rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vigil@18b749d,vigil,18b749d,3486,3232,0,254,0.9271,3.017702,524.2,3.017702,1.277298,-0.213644,0.5,0.0,1,0
2,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,3486,3197,0,289,0.9171,2.847715,494.7,2.847715,1.103645,-0.36268,0.5,0.0,2,0
3,vigil@1b5f3d1,vigil,1b5f3d1,3486,3169,0,317,0.9091,2.802351,486.8,2.802351,1.025769,-0.474769,0.0,-0.233744,3,0
4,vigil@bf9b3e3,vigil,bf9b3e3,3486,3152,0,334,0.9042,2.704422,469.8,2.704422,1.106669,-0.490765,0.0,-0.32869,4,0
5,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,3486,2840,0,646,0.8147,2.220107,385.7,2.220107,0.65825,0.203027,0.0,-1.146446,7,-2
6,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,3486,2832,0,654,0.8124,2.207437,383.5,2.207437,0.429057,0.496805,0.0,-0.891998,6,0
7,prospect@bf9b3e3,prospect,bf9b3e3,3486,2867,0,619,0.8224,2.185325,379.6,2.185325,0.497209,0.158886,0.0,-0.473784,5,2
8,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,3486,2818,0,668,0.8084,2.142134,372.1,2.142134,0.674516,0.099087,0.0,-1.265379,8,0
9,janus@8a1e7a1,janus,8a1e7a1,3486,2765,0,721,0.7932,2.09902,364.6,2.09902,0.252696,0.543461,0.0,-1.400893,9,0
10,vanguard_oracle@902be71,vanguard_oracle,902be71,3486,2589,0,897,0.7427,1.851409,321.6,1.851409,0.214448,0.662042,0.0,-1.936045,24,-14
11,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,3486,2498,0,988,0.7166,1.695471,294.5,1.695471,0.187022,0.878019,0.0,-2.604274,39,-28
12,vanguard_oracle@75591b7,vanguard_oracle,75591b7,3486,2463,0,1023,0.7065,1.653289,287.2,1.653289,0.109793,0.909506,0.0,-2.352302,33,-21
13,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,3486,2539,0,947,0.7283,1.637873,284.5,1.637873,0.162669,0.161109,0.0,-1.919593,20,-7
14,tempest_reinforcements@51ad530,tempest_reinforcements,51ad530,3486,2538,0,948,0.7281,1.633569,283.8,1.633569,0.168397,0.157469,0.0,-1.919593,21,-7
15,vanguard@9932bec,vanguard,9932bec,3486,2372,0,1114,0.6804,1.606541,279.1,1.606541,-0.199823,1.144382,0.0,-2.423538,35,-20
16,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,3486,2568,0,918,0.7367,1.604491,278.7,1.604491,0.416581,0.176549,0.0,-2.146581,25,-9
17,vanguard@818f3b4,vanguard,818f3b4,3486,2384,0,1102,0.6839,1.579673,274.4,1.579673,-0.120165,1.038857,0.0,-2.604274,40,-23
18,gobbleglitch@e808e1d,gobbleglitch,e808e1d,3486,2656,3,827,0.7623,1.576884,273.9,1.576884,0.936953,-0.148857,0.0,-2.146581,26,-8
19,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,3486,2533,0,953,0.7266,1.564825,271.8,1.564825,0.231156,0.02591,0.0,-1.72551,12,7
20,vanguard@c407e79,vanguard,c407e79,3486,2294,0,1192,0.6581,1.514817,263.2,1.514817,-0.289287,1.208764,0.0,-1.822551,19,1
21,undertow@fdc1e1f,undertow,fdc1e1f,3486,2290,0,1196,0.6569,1.423873,247.4,1.423873,-0.330659,0.76042,0.0,-2.285059,28,-7
22,undertow_oracle@75591b7,undertow_oracle,75591b7,3486,2342,0,1144,0.6718,1.42349,247.3,1.42349,-0.01209,0.858448,0.0,-2.423538,36,-14
23,tempest_oracle_ferry@fdc1e1f,tempest_oracle_ferry,fdc1e1f,3486,2579,0,907,0.7398,1.417518,246.2,1.417518,0.913254,-0.290774,0.0,-1.72551,13,10
24,v233_i@902be71,v233_i,902be71,3486,2240,0,1246,0.6426,1.41697,246.2,1.41697,-0.400021,1.342114,0.0,-3.88144,54,-30
25,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,3486,2330,0,1156,0.6684,1.411947,245.3,1.411947,-0.053612,0.849732,0.0,-2.785011,41,-16
26,undertow@da3fd8a,undertow,da3fd8a,3486,2285,0,1201,0.6555,1.397802,242.8,1.397802,-0.31581,0.773633,0.0,-2.285059,29,-3
27,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,3486,2232,0,1254,0.6403,1.317144,228.8,1.317144,-0.345344,0.853029,0.0,-2.423538,37,-10
28,v233_g@9713344,v233_g,9713344,3486,2133,0,1353,0.6119,1.31041,227.6,1.31041,-0.738907,1.140139,0.0,-2.352302,34,-6
29,autistimusprime@ecd4d24,autistimusprime,ecd4d24,3486,2587,3,896,0.7425,1.291604,224.4,1.291604,1.200499,-0.480444,0.0,-2.146581,27,2
30,vanguard@da3fd8a,vanguard,da3fd8a,3486,2156,0,1330,0.6185,1.264334,219.6,1.264334,-0.505079,1.320957,0.0,-4.442651,59,-29
31,tempest_ferry@26b5aa1,tempest_ferry,26b5aa1,3486,2453,2,1031,0.704,1.25867,218.7,1.25867,0.687629,-0.11972,0.0,-1.72551,14,17
32,tempest_frontier@fdc1e1f,tempest_frontier,fdc1e1f,3486,2399,3,1084,0.6886,1.182907,205.5,1.182907,0.744649,-0.050038,0.0,-1.919593,22,10
33,tempest_blindfire@fdc1e1f,tempest_blindfire,fdc1e1f,3486,2375,1,1110,0.6814,1.164362,202.3,1.164362,0.685979,-0.057984,0.0,-1.72551,15,18
