match_id,tournament_id,bot_id,bot_name,bot_commit,map,seed,guard_tle_ms,result,match_status,error,turns,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,max_round,timeouts,bot_exceptions,terminal_starts,close_threshold_us,limit_us,host,lsf_job,finished_at
5e4565dfeba1f000,auto-741eae5c5e11,eir@5d43b95,eir,5d43b95,antler,1,12,pass,ok,,27,195,34,50,98,1184,5614,26,0,0,0,9000,10000,n-62-28-28,29053702,2026-08-09T06:27:31+0200
94a9a579bb0504d7,auto-741eae5c5e11,eir@5d43b95,eir,5d43b95,archipelago,1,12,pass,ok,,27,118,44,95,974,2085,6728,13,0,0,0,9000,10000,n-62-28-28,29053702,2026-08-09T06:27:33+0200
0eb2f1927d8639a0,auto-741eae5c5e11,eir@5d43b95,eir,5d43b95,atoll,1,12,pass,ok,,27,187,32,54,120,1673,4744,6,0,0,0,9000,10000,n-62-28-28,29053702,2026-08-09T06:27:35+0200
0ae26eb57847dfbd,auto-741eae5c5e11,eir@5d43b95,eir,5d43b95,aurora,1,12,pass,ok,,27,147,48,102,399,2159,6952,3,0,0,0,9000,10000,n-62-28-28,29053702,2026-08-09T06:27:37+0200
aec295a7a9e0ac6e,auto-741eae5c5e11,eir@5d43b95,eir,5d43b95,bridge,1,12,pass,ok,,27,159,40,105,141,1113,2466,3,0,0,0,9000,10000,n-62-28-28,29053702,2026-08-09T06:27:39+0200
593a15ffeca37617,auto-741eae5c5e11,eir@5d43b95,eir,5d43b95,crossfire,1,12,pass,ok,,27,219,33,51,100,590,3869,3,0,0,0,9000,10000,n-62-28-28,29053702,2026-08-09T06:27:41+0200
a726fbe0dd6d0e39,auto-741eae5c5e11,eir@5d43b95,eir,5d43b95,drumlin,1,12,pass,ok,,27,136,35,57,716,1919,6775,26,0,0,0,9000,10000,n-62-28-28,29053702,2026-08-09T06:27:43+0200
840d99f1035fdff4,auto-741eae5c5e11,eir@5d43b95,eir,5d43b95,duel,1,12,pass,ok,,27,183,31,48,106,790,3288,8,0,0,0,9000,10000,n-62-28-28,29053702,2026-08-09T06:27:45+0200
d37002dc0ad0834d,auto-741eae5c5e11,eir@5d43b95,eir,5d43b95,eider,1,12,pass,ok,,27,175,33,45,107,946,5234,3,0,0,0,9000,10000,n-62-28-28,29053702,2026-08-09T06:27:47+0200
ee8e328aaaca703f,auto-741eae5c5e11,eir@5d43b95,eir,5d43b95,fjord,1,12,pass,ok,,27,170,28,54,124,1540,5170,3,0,0,0,9000,10000,n-62-28-28,29053702,2026-08-09T06:27:48+0200
9f52cb821d855cdb,auto-741eae5c5e11,eir@5d43b95,eir,5d43b95,fjordgate,1,12,pass,ok,,27,189,31,46,66,669,2719,8,0,0,0,9000,10000,n-62-28-33,29053702,2026-08-09T06:27:31+0200
6e16a79d2d76247c,auto-741eae5c5e11,eir@5d43b95,eir,5d43b95,heart,1,12,pass,ok,,27,175,33,48,138,1539,4941,19,0,0,0,9000,10000,n-62-28-33,29053702,2026-08-09T06:27:33+0200
7620f6daae5e4732,auto-741eae5c5e11,eir@5d43b95,eir,5d43b95,hive,1,12,pass,ok,,27,151,40,113,514,2136,6756,6,0,0,0,9000,10000,n-62-28-33,29053702,2026-08-09T06:27:35+0200
fb4d8f2f99aff3b2,auto-741eae5c5e11,eir@5d43b95,eir,5d43b95,jackpot,1,12,pass,ok,,27,166,33,68,144,1317,3362,19,0,0,0,9000,10000,n-62-28-33,29053702,2026-08-09T06:27:37+0200
39e9103cb019d475,auto-741eae5c5e11,eir@5d43b95,eir,5d43b95,lighthouse,1,12,pass,ok,,27,166,31,49,133,1127,4455,14,0,0,0,9000,10000,n-62-28-33,29053702,2026-08-09T06:27:39+0200
ccbca0817bdb60e3,auto-741eae5c5e11,eir@5d43b95,eir,5d43b95,longship,1,12,pass,ok,,27,176,33,58,134,1947,6684,3,0,0,0,9000,10000,n-62-28-33,29053702,2026-08-09T06:27:41+0200
b4b81b4d792295c1,auto-741eae5c5e11,eir@5d43b95,eir,5d43b95,meander,1,12,pass,ok,,27,196,35,53,117,971,3875,14,0,0,0,9000,10000,n-62-28-33,29053702,2026-08-09T06:27:43+0200
