rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,spar_sentinel@213b430,spar_sentinel,213b430,7590,5635,8,1947,0.743,1.228015,213.3,1.228015,0.078048,0.423505,0.0,-0.114585,12,-11
2,freyja@6a8a5f7,freyja,6a8a5f7,7590,5596,17,1977,0.7384,1.185153,205.9,1.185153,0.112255,0.637449,0.236213,0.0,1,1
3,vili@1a0c1ad,vili,1a0c1ad,7590,5570,16,2004,0.7349,1.169949,203.2,1.169949,0.101475,0.669414,0.0,-0.054854,10,-7
4,hlin@6b5d86e,hlin,6b5d86e,7590,5406,6,2178,0.7126,1.062,184.5,1.062,0.259819,-0.105227,0.0,-0.026794,7,-3
5,frigg@55df097,frigg,55df097,7590,5407,6,2177,0.7128,1.059892,184.1,1.059892,0.265692,-0.079628,0.0,-0.026794,7,-2
6,gefn@60ae5f1,gefn,60ae5f1,7590,5326,5,2259,0.702,1.038599,180.4,1.038599,-0.059281,0.056016,0.0,-0.018348,6,0
7,syn@5bf798e,syn,5bf798e,7590,5320,6,2264,0.7013,1.025633,178.2,1.025633,-0.022095,0.161356,0.0,-0.001455,4,3
8,lofn@c8d0165,lofn,c8d0165,7590,5371,6,2213,0.708,1.024838,178.0,1.024838,0.373075,-0.106159,0.724521,0.0,1,7
9,nanna@55df097,nanna,55df097,7590,5331,6,2253,0.7028,0.996984,173.2,0.996984,0.361355,-0.095112,0.0,-0.026794,7,2
10,bil@6b5d86e,bil,6b5d86e,7590,5307,6,2277,0.6996,0.980702,170.4,0.980702,0.356424,-0.153328,0.0,-0.00237,5,5
11,snotra_h@4437c29,snotra_h,4437c29,7590,5162,7,2421,0.6806,0.888339,154.3,0.888339,0.15486,0.502814,0.0,-0.348332,21,-10
12,eir@5d43b95,eir,5d43b95,7590,5165,7,2418,0.681,0.883136,153.4,0.883136,0.21968,0.512679,0.0,-0.345896,20,-8
13,bragi@db77268,bragi,db77268,7590,5152,7,2431,0.6792,0.879795,152.8,0.879795,0.131147,0.429305,0.0,-0.274726,13,0
14,snotra@34b0ce8,snotra,34b0ce8,7590,5134,5,2451,0.6767,0.868467,150.9,0.868467,0.162012,0.545506,0.0,-0.378254,24,-10
15,hoenir@5907a3b,hoenir,5907a3b,7590,5096,9,2485,0.672,0.845947,147.0,0.845947,0.399575,0.324692,0.0,-0.281176,14,1
16,gefn@46ac5e6,gefn,46ac5e6,7590,5042,6,2542,0.6647,0.811839,141.0,0.811839,0.076439,0.386955,0.0,-0.405695,27,-11
17,vor@c32539f,vor,c32539f,7590,5038,1,2551,0.6638,0.810131,140.7,0.810131,0.032957,0.39156,0.0,-0.433921,28,-11
18,fulla@ec5aa19,fulla,ec5aa19,7590,5034,1,2555,0.6633,0.808433,140.4,0.808433,0.052015,0.336613,0.0,-0.433921,28,-10
19,vidarr@c9193be,vidarr,c9193be,7590,4960,14,2616,0.6544,0.784119,136.2,0.784119,-0.006141,0.241495,0.0,-0.526942,38,-19
20,bifrost@c70c467,bifrost,c70c467,7590,4980,9,2601,0.6567,0.770512,133.9,0.770512,0.385377,0.172584,0.0,-0.328707,19,1
21,mani@11aec08,mani,11aec08,7590,4976,11,2603,0.6563,0.765392,133.0,0.765392,0.295245,-0.099563,0.0,-0.105436,11,10
22,forseti@37dc858,forseti,37dc858,7590,4931,8,2651,0.6502,0.747098,129.8,0.747098,0.008609,0.754023,0.0,-0.542047,40,-18
23,ostara@832c68a,ostara,832c68a,7590,4926,5,2659,0.6493,0.745072,129.4,0.745072,0.048907,0.140038,0.0,-0.395069,26,-3
24,magni@3677a66,magni,3677a66,7590,4927,8,2655,0.6497,0.742102,128.9,0.742102,0.015676,0.764813,0.0,-0.542047,40,-16
25,hodr@ea88247,hodr,ea88247,7590,4925,8,2657,0.6494,0.739526,128.5,0.739526,0.027262,0.780169,0.0,-0.542047,40,-15
26,spork@05ab6a2,spork,05ab6a2,7590,4871,5,2714,0.6421,0.70971,123.3,0.70971,0.043309,0.077768,0.0,-0.363276,22,4
27,saga@db77268,saga,db77268,7590,4856,9,2725,0.6404,0.705475,122.6,0.705475,0.017947,0.095137,0.0,-0.370686,23,4
28,loki@832c68a,loki,832c68a,7590,4820,1,2769,0.6351,0.678997,118.0,0.678997,0.011758,0.224171,0.0,-0.45847,31,-3
29,mimir@cfc1ec4,mimir,cfc1ec4,7590,4828,8,2754,0.6366,0.670445,116.5,0.670445,0.113977,0.630237,0.0,-0.551748,44,-15
30,steward_relent@7ed1acc,steward_relent,7ed1acc,7590,4811,19,2760,0.6351,0.661112,114.8,0.661112,0.090526,0.425241,0.0,-0.495004,33,-3
31,spar_sniper@aa24129,spar_sniper,aa24129,7590,4799,12,2779,0.6331,0.66063,114.8,0.66063,0.070276,0.554737,0.0,-0.554119,45,-14
32,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,7554,4751,23,2780,0.6305,0.659844,114.6,0.659844,-0.078382,0.473548,0.0,-0.390847,25,7
33,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,7554,4769,19,2766,0.6326,0.654251,113.7,0.654251,0.091903,0.48872,0.0,-0.512547,34,-1
34,tyr@a41cf22,tyr,a41cf22,7590,4769,20,2801,0.6296,0.652484,113.3,0.652484,0.066335,0.558864,0.0,-0.290598,16,18
35,freyr@c2c0d3d,freyr,c2c0d3d,7590,4799,18,2773,0.6335,0.65033,113.0,0.65033,0.084893,0.53637,0.0,-0.512547,34,1
36,loki@9ac8974,loki,9ac8974,7590,4781,1,2808,0.63,0.647521,112.5,0.647521,0.108534,0.155877,0.0,-0.437424,30,6
37,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,7554,4760,19,2775,0.6314,0.645014,112.1,0.645014,0.104469,0.571337,0.0,-0.512547,34,3
