match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
00180cbe6a0f45a6,auto-7421976bf898,bifrost@c70c467,bifrost,c70c467,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,sprint,all_official,1,0,rating,b,b,0.0,core_destroyed,183,,7,20,7,5,33,430,5,7,ok,,2.827,n-62-29-5,29052863,2026-08-08T17:50:44+0200
001853e2f29861c8,auto-7421976bf898,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,bifrost@c70c467,bifrost,c70c467,duel,all_official,1,0,rating,b,b,0.0,core_destroyed,49,,10,200,10,10,19,210,8,8,ok,,3.005,n-62-29-27,29052863,2026-08-08T17:49:42+0200
001b064375542905,auto-7421976bf898,jonbot@90fc9f3,jonbot,90fc9f3,bifrost@c70c467,bifrost,c70c467,skerry,all_official,1,0,rating,b,b,0.0,core_destroyed,85,,45,0,9,6,10,380,8,11,ok,,4.463,n-62-31-24,29052863,2026-08-08T17:49:49+0200
0026e9f924bff5a5,auto-7421976bf898,bifrost@c70c467,bifrost,c70c467,casemate_oracle@90fc9f3,casemate_oracle,90fc9f3,skerry,all_official,1,0,rating,a,a,1.0,core_destroyed,86,,18,390,8,10,30,0,4,9,ok,,4.871,n-62-29-15,29052863,2026-08-08T17:48:20+0200
0028f083640d8378,auto-7421976bf898,ullr@7d1ab4e,ullr,7d1ab4e,bifrost@c70c467,bifrost,c70c467,duel,all_official,1,0,rating,b,b,0.0,core_destroyed,47,,9,190,8,6,7,200,8,6,ok,,2.958,n-62-29-34,29052863,2026-08-08T17:51:59+0200
002d3735a5b46b45,auto-7421976bf898,bifrost@c70c467,bifrost,c70c467,tyr@2e6c876,tyr,2e6c876,drumlin,all_official,1,0,rating,a,a,1.0,core_destroyed,64,,31,550,9,37,72,320,8,30,ok,,3.865,n-62-28-34,29052863,2026-08-08T17:52:05+0200
003d2ed806e35b1d,auto-7421976bf898,ragnarok_fair@79582fc,ragnarok_fair,79582fc,bifrost@c70c467,bifrost,c70c467,antler,all_official,1,0,rating,b,b,0.0,core_destroyed,77,,10,340,7,10,58,330,6,9,ok,,3.009,n-62-30-24,29052863,2026-08-08T17:50:43+0200
0052f8b1e9b5d95e,auto-7421976bf898,bifrost@c70c467,bifrost,c70c467,skadi@821d792,skadi,821d792,sprint,all_official,1,0,rating,b,b,0.0,titanium_collected,1000,,16,10,7,7,16,120,5,10,ok,,6.051,n-62-12-2,29052863,2026-08-08T17:49:55+0200
00561a17d3f82dbf,auto-7421976bf898,mimir@cfc1ec4,mimir,cfc1ec4,bifrost@c70c467,bifrost,c70c467,saga,all_official,1,0,rating,a,a,1.0,core_destroyed,116,,18,440,9,24,20,510,7,26,ok,,5.947,n-62-21-3,29052863,2026-08-08T17:48:52+0200
00605ac4a0a7d0ff,auto-7421976bf898,bifrost@c70c467,bifrost,c70c467,bastion@840a180,bastion,840a180,vase,all_official,1,0,rating,b,b,0.0,core_destroyed,167,,15,380,10,6,10,380,5,13,ok,,4.857,n-62-21-98,29052863,2026-08-08T17:48:00+0200
