rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,snotra_h@4437c29,snotra_h,4437c29,6336,4559,7,1770,0.7201,1.077039,187.1,1.077039,0.160195,0.533485,0.461965,-0.0,1,0
2,snotra@34b0ce8,snotra,34b0ce8,6336,4543,5,1788,0.7174,1.060896,184.3,1.060896,0.185128,0.573332,0.0,-0.041355,4,-2
3,vor@c32539f,vor,c32539f,6336,4471,1,1864,0.7057,1.006512,174.8,1.006512,0.03656,0.401605,0.0,-0.189466,12,-9
4,gefn@46ac5e6,gefn,46ac5e6,6336,4469,6,1861,0.7058,1.004667,174.5,1.004667,0.097891,0.401136,0.0,-0.189466,12,-8
5,fulla@ec5aa19,fulla,ec5aa19,6336,4467,1,1868,0.7051,1.004389,174.5,1.004389,0.069374,0.346952,0.0,-0.189466,12,-7
6,vidarr@c9193be,vidarr,c9193be,6336,4408,10,1918,0.6965,0.98411,171.0,0.98411,-0.051914,0.238124,0.0,-0.085606,5,1
7,bifrost@c70c467,bifrost,c70c467,6333,4389,9,1935,0.6937,0.944988,164.2,0.944988,0.36469,0.195972,0.230518,-0.0,1,6
8,forseti@37dc858,forseti,37dc858,6336,4380,8,1948,0.6919,0.941385,163.5,0.941385,0.035182,0.796007,0.0,-0.134836,7,1
9,magni@3677a66,magni,3677a66,6336,4378,8,1950,0.6916,0.936772,162.7,0.936772,0.033804,0.807694,0.0,-0.125512,6,3
10,hodr@ea88247,hodr,ea88247,6336,4377,8,1951,0.6914,0.934304,162.3,0.934304,0.054667,0.823581,0.0,-0.134836,7,3
11,ostara@832c68a,ostara,832c68a,6336,4353,3,1980,0.6873,0.924328,160.6,0.924328,0.013118,0.151986,0.0,-0.152111,11,0
12,spork@05ab6a2,spork,05ab6a2,6336,4293,3,2040,0.6778,0.878795,152.7,0.878795,0.027581,0.103706,0.0,-0.147394,9,3
13,loki@832c68a,loki,832c68a,6336,4265,1,2070,0.6732,0.857103,148.9,0.857103,0.009408,0.243162,0.0,-0.28364,29,-16
14,mimir@cfc1ec4,mimir,cfc1ec4,6336,4278,8,2050,0.6758,0.850467,147.7,0.850467,0.135089,0.673621,0.0,-0.194323,15,-1
15,spar_sniper@aa24129,spar_sniper,aa24129,6336,4251,12,2073,0.6719,0.840051,145.9,0.840051,0.077633,0.595905,0.0,-0.148071,10,5
16,steward_relent@7ed1acc,steward_relent,7ed1acc,6336,4251,18,2067,0.6723,0.832071,144.5,0.832071,0.119848,0.462265,0.0,-0.194854,16,0
17,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,6300,4186,20,2094,0.666,0.826747,143.6,0.826747,-0.092724,0.531761,0.0,-0.373041,33,-16
18,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,6300,4212,18,2070,0.67,0.825885,143.5,0.825885,0.128867,0.527466,0.0,-0.209156,19,-1
19,freyr@c2c0d3d,freyr,c2c0d3d,6336,4242,17,2077,0.6708,0.821196,142.7,0.821196,0.113725,0.581016,0.0,-0.218349,22,-3
20,loki@9ac8974,loki,9ac8974,6336,4228,1,2107,0.6674,0.820661,142.6,0.820661,0.130127,0.175707,0.0,-0.280297,28,-8
21,njord@f66a427,njord,f66a427,6336,4230,19,2087,0.6691,0.817755,142.1,0.817755,0.072126,0.56852,0.0,-0.222412,24,-3
22,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,6300,4191,24,2085,0.6671,0.816163,141.8,0.816163,0.060854,0.521352,0.0,-0.209156,19,3
