rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vanguard_oracle@902be71,vanguard_oracle,902be71,3024,2469,0,555,0.8165,2.30229,399.9,2.30229,-0.145559,0.6388,0.0,-0.473784,23,-22
2,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,3024,2403,0,621,0.7946,2.180423,378.8,2.180423,-0.267365,0.749189,0.0,-0.473784,24,-22
3,vanguard_oracle@75591b7,vanguard_oracle,75591b7,3024,2357,0,667,0.7794,2.102271,365.2,2.102271,-0.408966,0.817744,0.0,-0.675755,28,-25
4,vanguard@9932bec,vanguard,9932bec,3024,2293,0,731,0.7583,2.100224,364.8,2.100224,-0.764276,0.722179,0.0,-0.573346,27,-23
5,vanguard@818f3b4,vanguard,818f3b4,3024,2303,0,721,0.7616,2.068934,359.4,2.068934,-0.609324,0.677827,0.0,-0.891998,32,-27
6,tempest_reinforcements@51ad530,tempest_reinforcements,51ad530,3024,2389,0,635,0.79,2.002079,347.8,2.002079,0.116719,0.253233,0.0,-0.186586,5,1
7,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,3024,2437,0,587,0.8059,1.999347,347.3,1.999347,0.374653,0.408121,0.0,-0.186586,6,1
8,vanguard@c407e79,vanguard,c407e79,3024,2217,0,807,0.7331,1.991451,346.0,1.991451,-0.919352,0.826944,0.0,-0.186586,7,1
9,v233_i@902be71,v233_i,902be71,3024,2178,0,846,0.7202,1.944741,337.8,1.944741,-1.027142,0.644995,0.0,-0.376478,18,-9
10,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,3024,2386,0,638,0.789,1.923397,334.1,1.923397,0.277338,0.210607,1.0,0.0,1,9
11,undertow_oracle@75591b7,undertow_oracle,75591b7,3024,2246,0,778,0.7427,1.859531,323.0,1.859531,-0.486535,0.655299,0.0,-0.186586,8,3
12,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,3024,2236,0,788,0.7394,1.856152,322.4,1.856152,-0.50415,0.587877,0.0,-0.186586,9,3
13,undertow@fdc1e1f,undertow,fdc1e1f,3024,2198,0,826,0.7269,1.855664,322.4,1.855664,-0.679133,0.385811,0.0,-0.09309,2,11
14,undertow@da3fd8a,undertow,da3fd8a,3024,2191,0,833,0.7245,1.822603,316.6,1.822603,-0.689251,0.416103,0.0,-0.09309,3,11
15,v233_g@9713344,v233_g,9713344,3024,2060,0,964,0.6812,1.771795,307.8,1.771795,-1.215177,0.397469,0.0,-0.675755,29,-14
16,vanguard@da3fd8a,vanguard,da3fd8a,3024,2080,0,944,0.6878,1.757189,305.3,1.757189,-1.1411,0.572457,0.0,-0.280902,13,3
17,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,3024,2149,0,875,0.7106,1.753106,304.5,1.753106,-0.755245,0.440212,0.0,-0.473784,25,-8
18,tempest_oracle_ferry@fdc1e1f,tempest_oracle_ferry,fdc1e1f,3024,2429,0,595,0.8032,1.74954,303.9,1.74954,1.094486,0.459638,0.0,-0.186586,10,8
