rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,spar_sentinel@213b430,spar_sentinel,213b430,8184,5945,11,2228,0.7271,1.146547,199.2,1.146547,-0.095142,-0.416544,0.0,-0.093397,12,-11
2,freyja@6a8a5f7,freyja,6a8a5f7,8184,5908,20,2256,0.7231,1.10823,192.5,1.10823,-0.147889,-0.648548,0.299523,-0.0,1,1
3,vili@1a0c1ad,vili,1a0c1ad,8184,5885,19,2280,0.7202,1.095306,190.3,1.095306,-0.142527,-0.669999,0.0,-0.123799,13,-10
4,hlin@6b5d86e,hlin,6b5d86e,8184,5733,7,2444,0.7009,1.000432,173.8,1.000432,-0.256914,0.113187,0.0,-0.002039,5,-1
5,frigg@55df097,frigg,55df097,8184,5731,7,2446,0.7007,0.997025,173.2,0.997025,-0.263204,0.086285,0.0,-0.023963,8,-3
6,gefn@60ae5f1,gefn,60ae5f1,8184,5660,6,2518,0.692,0.981935,170.6,0.981935,0.033071,-0.050644,0.333282,0.0,1,5
7,lofn@c8d0165,lofn,c8d0165,8184,5713,7,2464,0.6985,0.973407,169.1,0.973407,-0.377678,0.140374,0.0,-0.021924,7,0
8,syn@5bf798e,syn,5bf798e,8184,5656,7,2521,0.6915,0.970991,168.7,0.970991,-0.013859,-0.146421,0.0,-0.026051,9,-1
9,nanna@55df097,nanna,55df097,8184,5659,7,2518,0.6919,0.94058,163.4,0.94058,-0.358525,0.119528,0.0,-0.002039,5,4
10,bil@6b5d86e,bil,6b5d86e,8184,5652,7,2525,0.691,0.933952,162.2,0.933952,-0.364742,0.18669,0.0,-0.00202,4,6
11,var@1a4b18c,var,1a4b18c,8184,5616,9,2559,0.6868,0.913506,158.7,0.913506,-0.161926,-0.32155,0.0,-0.160465,14,-3
12,dagr@e113755,dagr,e113755,8184,5622,24,2538,0.6884,0.912485,158.5,0.912485,-0.316534,-0.128285,0.367195,-0.0,1,11
13,snotra_h@4437c29,snotra_h,4437c29,8184,5466,8,2710,0.6684,0.828051,143.8,0.828051,-0.181588,-0.483904,0.0,-0.25284,22,-9
14,bragi@db77268,bragi,db77268,8184,5469,8,2707,0.6687,0.826333,143.5,0.826333,-0.160309,-0.403884,0.0,-0.195868,16,-2
15,eir@5d43b95,eir,5d43b95,8184,5469,8,2707,0.6687,0.823223,143.0,0.823223,-0.243228,-0.486039,0.0,-0.25284,22,-7
16,snotra@34b0ce8,snotra,34b0ce8,8184,5426,5,2753,0.6633,0.803514,139.6,0.803514,-0.18792,-0.524415,0.0,-0.355393,33,-17
17,spar_wall@df098ec,spar_wall,df098ec,8155,5347,37,2771,0.6579,0.787759,136.8,0.787759,-0.151176,0.281718,0.0,-0.167002,15,2
18,hoenir@5907a3b,hoenir,5907a3b,8184,5389,12,2783,0.6592,0.783791,136.2,0.783791,-0.418186,-0.284752,0.0,-0.203886,17,1
19,hodr_bank@cfed588,hodr_bank,cfed588,8184,5322,0,2862,0.6503,0.755531,131.2,0.755531,-0.26804,-0.208158,0.0,-0.211585,18,1
20,sunna@82553b1,sunna,82553b1,8184,5339,9,2836,0.6529,0.750419,130.4,0.750419,-0.068212,-0.0597,0.0,-0.068691,10,10
21,gefn@46ac5e6,gefn,46ac5e6,8184,5324,6,2854,0.6509,0.746156,129.6,0.746156,-0.080509,-0.374545,0.0,-0.29615,25,-4
22,vor@c32539f,vor,c32539f,8184,5321,1,2862,0.6502,0.745051,129.4,0.745051,-0.0408,-0.383273,0.0,-0.317452,28,-6
23,fulla@ec5aa19,fulla,ec5aa19,8184,5317,1,2866,0.6497,0.743476,129.2,0.743476,-0.054636,-0.330088,0.0,-0.339983,32,-9
24,nott@d804023,nott,d804023,8184,5305,14,2865,0.6491,0.73625,127.9,0.73625,-0.361134,-0.277746,0.0,-0.211585,18,6
25,ran@0eca95f,ran,0eca95f,8184,5222,15,2947,0.639,0.720107,125.1,0.720107,0.062695,-0.187492,0.0,-0.442501,47,-22
26,mani@11aec08,mani,11aec08,8184,5291,12,2881,0.6472,0.719301,125.0,0.719301,-0.30706,0.139352,0.0,-0.081748,11,15
27,bifrost@c70c467,bifrost,c70c467,8184,5277,12,2895,0.6455,0.715768,124.3,0.715768,-0.390132,-0.132398,0.0,-0.235997,20,7
28,vidarr@c9193be,vidarr,c9193be,8184,5226,15,2943,0.6395,0.712884,123.8,0.712884,0.004899,-0.250708,0.0,-0.442501,47,-19
29,forseti@37dc858,forseti,37dc858,8184,5200,8,2976,0.6359,0.679602,118.1,0.679602,-0.030747,-0.74821,0.0,-0.336279,29,0
30,ostara@832c68a,ostara,832c68a,8184,5190,6,2988,0.6345,0.675705,117.4,0.675705,-0.047825,-0.134015,0.0,-0.242473,21,9
31,magni@3677a66,magni,3677a66,8184,5196,8,2980,0.6354,0.674966,117.3,0.674966,-0.03972,-0.758281,0.0,-0.336279,29,2
32,hodr@ea88247,hodr,ea88247,8184,5194,8,2982,0.6351,0.672576,116.8,0.672576,-0.05153,-0.770919,0.0,-0.336279,29,3
33,spork@05ab6a2,spork,05ab6a2,8184,5130,6,3048,0.6272,0.640415,111.3,0.640415,-0.030401,-0.074012,0.0,-0.306047,27,6
34,saga@db77268,saga,db77268,8184,5119,10,3055,0.6261,0.63844,110.9,0.63844,-0.009002,-0.092125,0.0,-0.302736,26,8
35,loki@832c68a,loki,832c68a,8184,5088,1,3095,0.6218,0.616101,107.0,0.616101,-0.009585,-0.217302,0.0,-0.381592,35,0
36,mimir@cfc1ec4,mimir,cfc1ec4,8184,5098,8,3078,0.6234,0.60909,105.8,0.60909,-0.132361,-0.610451,0.0,-0.379075,34,2
37,steward_relent@7ed1acc,steward_relent,7ed1acc,8184,5081,22,3081,0.6222,0.601149,104.4,0.601149,-0.10119,-0.40771,0.0,-0.428106,46,-9
38,spar_sniper@aa24129,spar_sniper,aa24129,8184,5070,12,3102,0.6202,0.600454,104.3,0.600454,-0.08435,-0.540392,0.0,-0.401857,37,1
39,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,8148,5033,22,3093,0.619,0.591827,102.8,0.591827,-0.103717,-0.473257,0.0,-0.403669,38,1
40,tyr@a41cf22,tyr,a41cf22,8184,5036,20,3128,0.6166,0.59099,102.7,0.59099,-0.111037,-0.533912,0.0,-0.470452,51,-11
41,loki@9ac8974,loki,9ac8974,8184,5052,1,3131,0.6174,0.588338,102.2,0.588338,-0.108636,-0.137521,0.0,-0.423787,45,-4
42,freyr@c2c0d3d,freyr,c2c0d3d,8184,5063,21,3100,0.6199,0.588189,102.2,0.588189,-0.101655,-0.52038,0.0,-0.403669,38,4
43,spar_grind@d9529a7,spar_grind,d9529a7,8184,5004,17,3163,0.6125,0.584797,101.6,0.584797,0.032087,-0.031584,0.0,-0.294715,24,19
44,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,8148,5025,22,3101,0.6181,0.583737,101.4,0.583737,-0.12286,-0.552129,0.0,-0.403669,38,6
45,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,8148,4988,23,3137,0.6136,0.582481,101.2,0.582481,0.075661,-0.487273,0.0,-0.48764,52,-7
46,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,8148,5005,28,3115,0.616,0.580745,100.9,0.580745,-0.062264,-0.466713,0.0,-0.403669,38,8
47,njord@f66a427,njord,f66a427,8184,5037,24,3123,0.6169,0.57852,100.5,0.57852,-0.05948,-0.516406,0.0,-0.420971,44,3
48,gefjon@f66a427,gefjon,f66a427,8184,4996,32,3156,0.6124,0.569065,98.9,0.569065,-0.057103,0.109981,0.0,-0.39323,36,12
49,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,8148,4943,43,3162,0.6093,0.560209,97.3,0.560209,-0.012643,-0.448922,0.0,-0.532455,55,-6
50,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,8148,4940,43,3165,0.6089,0.555727,96.5,0.555727,-0.04182,-0.466845,0.0,-0.532455,55,-5
51,idun@11e47ca,idun,11e47ca,8184,4953,23,3208,0.6066,0.552296,95.9,0.552296,0.021763,0.0246,0.0,-0.412039,43,8
