rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,skadi@6a2af02,skadi,6a2af02,6216,4787,22,1407,0.7719,1.38999,241.5,1.38999,-0.544257,0.393639,0.500068,0.0,1,0
2,skadi@821d792,skadi,821d792,6216,4748,31,1437,0.7663,1.360694,236.4,1.360694,-0.480252,0.284496,0.0,-0.046729,3,-1
3,skadi@aad5f44,skadi,aad5f44,6216,4739,34,1443,0.7651,1.354373,235.3,1.354373,-0.427146,0.323064,0.0,-0.046729,3,0
4,skadi@1e4eddf,skadi,1e4eddf,6216,4690,22,1504,0.7563,1.267157,220.1,1.267157,-0.603365,0.443018,0.0,-0.140432,6,-2
5,vidar@8b87da5,vidar,8b87da5,6216,4641,18,1557,0.7481,1.251533,217.4,1.251533,-0.658924,0.387648,0.0,-0.305056,9,-4
6,vidar_r2@c8b850e,vidar_r2,c8b850e,6216,4649,22,1545,0.7497,1.241071,215.6,1.241071,-0.732859,0.458332,0.0,-0.330205,14,-8
7,vidar_r3@c8b850e,vidar_r3,c8b850e,6216,4647,22,1547,0.7494,1.238783,215.2,1.238783,-0.74339,0.463054,0.0,-0.377356,15,-8
8,spar_econ@aad5f44,spar_econ,aad5f44,6216,4543,19,1654,0.7324,1.235494,214.6,1.235494,-0.249047,-0.182857,0.0,-0.116423,5,3
9,vidar@561800a,vidar,561800a,6216,4604,22,1590,0.7424,1.212291,210.6,1.212291,-0.662136,0.325494,0.0,-0.526137,26,-17
10,vidar@ee47958,vidar,ee47958,6216,4603,22,1591,0.7423,1.211638,210.5,1.211638,-0.664973,0.325159,0.0,-0.526137,26,-16
11,vidar_r1@c8b850e,vidar_r1,c8b850e,6216,4599,22,1595,0.7416,1.204802,209.3,1.204802,-0.694508,0.34056,0.0,-0.526137,26,-15
12,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,6214,4594,44,1576,0.7428,1.179,204.8,1.179,-0.279403,0.422851,0.499932,0.0,1,11
13,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,6216,4352,13,1851,0.7012,0.95154,165.3,0.95154,-0.469256,0.507729,0.0,-0.418067,18,-5
14,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,6216,4351,13,1852,0.701,0.949341,164.9,0.949341,-0.477539,0.513561,0.0,-0.418067,18,-4
15,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,6216,4259,11,1946,0.6861,0.927588,161.1,0.927588,-0.416282,0.182295,0.0,-0.701993,42,-27
16,vidar_noring@1b7a73a,vidar_noring,1b7a73a,6216,4224,15,1977,0.6807,0.898936,156.2,0.898936,-0.307457,0.300354,0.0,-0.305056,9,7
17,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,6216,4255,13,1948,0.6856,0.889291,154.5,0.889291,-0.461802,0.359646,0.0,-0.305718,11,6
18,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,6216,4198,15,2003,0.6766,0.877138,152.4,0.877138,-0.383234,0.426992,0.0,-0.403504,17,1
19,vidar_bat1@1b7a73a,vidar_bat1,1b7a73a,6216,4196,19,2001,0.6766,0.857471,149.0,0.857471,-0.487125,0.309705,0.0,-0.523558,22,-3
20,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,6216,4194,13,2009,0.6758,0.848583,147.4,0.848583,-0.546701,0.299116,0.0,-0.674318,36,-16
21,vidar@1b7a73a,vidar,1b7a73a,6216,4194,13,2009,0.6758,0.848245,147.4,0.848245,-0.545852,0.299051,0.0,-0.674318,36,-15
22,vidar_g_den1@8b87da5,vidar_g_den1,8b87da5,6216,4186,13,2017,0.6745,0.846837,147.1,0.846837,-0.53311,0.282657,0.0,-0.674318,36,-14
23,vidar_pg@1b7a73a,vidar_pg,1b7a73a,6216,4090,22,2104,0.6597,0.804587,139.8,0.804587,-0.45392,-0.096314,0.0,-0.73265,44,-21
24,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,6216,4128,16,2072,0.6654,0.79837,138.7,0.79837,-0.354101,0.530116,0.0,-0.211476,7,17
25,steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,6216,4105,30,2081,0.6628,0.791368,137.5,0.791368,-0.273195,0.531195,0.0,-0.304706,8,17
26,vidar_gg@1b7a73a,vidar_gg,1b7a73a,6216,4052,23,2141,0.6537,0.783868,136.2,0.783868,-0.48862,-0.111065,0.0,-0.80178,50,-24
27,vidar_png@1b7a73a,vidar_png,1b7a73a,6216,4063,25,2128,0.6556,0.775161,134.7,0.775161,-0.478919,0.053409,0.0,-0.864119,54,-27
28,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,6216,3949,52,2215,0.6395,0.75905,131.9,0.75905,0.236879,-0.32657,0.0,-0.377356,15,13
29,vidar_save60@1b7a73a,vidar_save60,1b7a73a,6216,4058,25,2133,0.6548,0.757575,131.6,0.757575,-0.452756,0.106541,0.0,-0.675755,39,-10
30,vidar_saveup@1b7a73a,vidar_saveup,1b7a73a,6216,4047,25,2144,0.6531,0.750346,130.3,0.750346,-0.406726,0.135486,0.0,-0.427104,20,10
31,vidar@544eeb3,vidar,544eeb3,6216,4086,14,2116,0.6585,0.749729,130.2,0.749729,-0.627785,0.256545,0.0,-0.7114,43,-12
32,vidar_save150@1b7a73a,vidar_save150,1b7a73a,6216,4041,25,2150,0.6521,0.746388,129.7,0.746388,-0.437253,0.090381,0.0,-0.781701,47,-15
33,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,6214,3999,12,2203,0.6445,0.743336,129.1,0.743336,-0.460572,-0.093039,0.0,-0.642412,35,-2
34,vidar_gg150@1b7a73a,vidar_gg150,1b7a73a,6216,3998,23,2195,0.645,0.739985,128.5,0.739985,-0.469504,-0.117327,0.0,-0.916753,59,-25
35,vidar_e7@544eeb3,vidar_e7,544eeb3,6216,4011,16,2189,0.6466,0.735213,127.7,0.735213,-0.488058,-0.007612,0.0,-0.865402,55,-20
36,vidar_nogun@1b7a73a,vidar_nogun,1b7a73a,6216,4028,22,2166,0.6498,0.733314,127.4,0.733314,-0.461949,0.058348,0.0,-0.815871,52,-16
37,vidar_pn@1b7a73a,vidar_pn,1b7a73a,6216,4016,17,2183,0.6474,0.720082,125.1,0.720082,-0.408209,0.05727,0.0,-0.812399,51,-14
38,vidar_ggng@1b7a73a,vidar_ggng,1b7a73a,6216,3977,7,2232,0.6404,0.711968,123.7,0.711968,-0.522077,-0.105294,0.0,-1.161889,80,-42
39,prospect@bf9b3e3,prospect,bf9b3e3,6216,3881,52,2283,0.6285,0.704422,122.4,0.704422,0.056191,-0.359653,0.0,-0.573346,31,8
40,vidar_seatcover@1b7a73a,vidar_seatcover,1b7a73a,6216,3939,7,2270,0.6343,0.681888,118.5,0.681888,-0.38735,0.119294,0.0,-0.627763,34,6
41,janus@8a1e7a1,janus,8a1e7a1,6216,3770,52,2394,0.6107,0.629489,109.4,0.629489,0.320252,-0.384039,0.0,-0.523572,23,18
42,heimdall@daf0de0,heimdall,daf0de0,6216,3849,7,2360,0.6198,0.61094,106.1,0.61094,-0.196424,-0.052278,0.0,-0.624558,33,9
43,odin@38e1456,odin,38e1456,6216,3799,6,2411,0.6116,0.586285,101.8,0.586285,-0.297029,-0.26072,0.0,-0.867072,56,-13
44,vidar2@544eeb3,vidar2,544eeb3,6216,3800,21,2395,0.613,0.584196,101.5,0.584196,-0.474511,-0.218998,0.0,-1.076151,71,-27
45,vidar2_b3@544eeb3,vidar2_b3,544eeb3,6216,3786,21,2409,0.6108,0.570826,99.2,0.570826,-0.495545,-0.235189,0.0,-1.14648,76,-31
46,vidar_guard@544eeb3,vidar_guard,544eeb3,6216,3743,22,2451,0.6039,0.55109,95.7,0.55109,-0.420293,-0.286602,0.0,-0.790523,48,-2
47,vidar2_c2@544eeb3,vidar2_c2,544eeb3,6216,3760,21,2435,0.6066,0.550087,95.6,0.550087,-0.41207,-0.171153,0.0,-0.894686,57,-10
48,odin@5a92113,odin,5a92113,6216,3745,6,2465,0.603,0.54237,94.2,0.54237,-0.338285,-0.242,0.0,-1.02101,68,-20
49,vidar_noecon@544eeb3,vidar_noecon,544eeb3,6216,3744,9,2463,0.603,0.535682,93.1,0.535682,-0.472747,-0.203851,0.0,-1.223359,84,-35
50,steward@e55aab5,steward,e55aab5,6216,3691,15,2510,0.595,0.519745,90.3,0.519745,-0.214182,-0.40891,0.0,-1.223359,84,-34
51,warden_walk@e55aab5,warden_walk,e55aab5,6216,3679,10,2527,0.5927,0.507493,88.2,0.507493,-0.192699,-0.650834,0.0,-0.550428,30,21
52,heimdall@840a180,heimdall,840a180,6216,3669,5,2542,0.5907,0.498452,86.6,0.498452,-0.235105,-0.272202,0.0,-1.068761,70,-18
53,undertow@fdc1e1f,undertow,fdc1e1f,6216,3610,3,2603,0.581,0.493876,85.8,0.493876,0.773171,0.374887,0.0,-0.328696,12,41
54,vidar_siege@544eeb3,vidar_siege,544eeb3,6216,3646,22,2548,0.5883,0.492643,85.6,0.492643,-0.358365,-0.508803,0.0,-1.010915,66,-12
55,undertow_adjacent@90fc9f3,undertow_adjacent,90fc9f3,6216,3610,3,2603,0.581,0.49106,85.3,0.49106,0.764069,0.381649,0.0,-0.328696,12,43
56,vidar2_g3@544eeb3,vidar2_g3,544eeb3,6216,3683,22,2511,0.5943,0.480848,83.5,0.480848,-0.463856,-0.152738,0.0,-0.968044,63,-7
57,bastion@840a180,bastion,840a180,6216,3603,14,2599,0.5808,0.456349,79.3,0.456349,-0.187076,-0.384558,0.0,-1.223269,83,-26
58,vidar_field@544eeb3,vidar_field,544eeb3,6216,3607,18,2591,0.5817,0.454438,78.9,0.454438,-0.439657,-0.646117,0.0,-0.96213,62,-4
59,odin@93e46da,odin,93e46da,6216,3634,2,2580,0.5848,0.450726,78.3,0.450726,-0.486052,-0.414551,0.0,-1.14648,76,-17
60,heimdall@4c0d92e,heimdall,4c0d92e,6216,3618,6,2592,0.5825,0.448948,78.0,0.448948,-0.275801,-0.31507,0.0,-1.14648,76,-16
61,odin@45aa24a,odin,45aa24a,6216,3614,6,2596,0.5819,0.448905,78.0,0.448905,-0.286868,-0.286591,0.0,-1.129865,75,-14
62,maporacle@38e1456,maporacle,38e1456,6216,3579,2,2635,0.5759,0.423453,73.6,0.423453,-0.274699,-0.394019,0.0,-1.204294,82,-20
63,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,6216,3506,0,2710,0.564,0.407657,70.8,0.407657,0.603595,0.1167,0.0,-0.902841,58,5
64,tyr@2e6c876,tyr,2e6c876,6216,3553,23,2640,0.5734,0.403517,70.1,0.403517,-0.600655,-0.654678,0.0,-1.118609,74,-10
65,ragnarok_fair@79582fc,ragnarok_fair,79582fc,6216,3524,19,2673,0.5685,0.402384,69.9,0.402384,0.102108,-0.459398,0.0,-0.790523,48,17
66,tyr_retgt@2e6c876,tyr_retgt,2e6c876,6216,3535,21,2660,0.5704,0.390652,67.9,0.390652,-0.578282,-0.690269,0.0,-1.337348,92,-26
67,tyr_hint@2e6c876,tyr_hint,2e6c876,6216,3524,22,2670,0.5687,0.390228,67.8,0.390228,-0.523556,-0.658135,0.0,-1.28094,89,-22
68,tyr_pad@2e6c876,tyr_pad,2e6c876,6216,3530,23,2663,0.5697,0.388955,67.6,0.388955,-0.551894,-0.64364,0.0,-1.493775,103,-35
69,mjolnir@2e6c876,mjolnir,2e6c876,6216,3526,22,2668,0.569,0.385522,67.0,0.385522,-0.558334,-0.640696,0.0,-1.493775,103,-34
70,vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,6216,3302,0,2914,0.5312,0.377916,65.7,0.377916,1.347379,7.4e-05,0.0,-0.523572,23,47
71,aegis@e55aab5,aegis,e55aab5,6216,3502,12,2702,0.5644,0.374427,65.0,0.374427,0.030189,-0.6621,0.0,-1.007641,64,7
72,tyr_belt@2e6c876,tyr_belt,2e6c876,6216,3503,20,2693,0.5652,0.374345,65.0,0.374345,-0.500529,-0.646743,0.0,-1.297422,90,-18
73,vidar_econwar@1b7a73a,vidar_econwar,1b7a73a,6216,3478,27,2711,0.5617,0.369741,64.2,0.369741,-0.235254,-0.177918,0.0,-1.330564,91,-18
74,warden_walk@3318ffd,warden_walk,3318ffd,6216,3485,11,2720,0.5615,0.364384,63.3,0.364384,-0.090379,-0.71456,0.0,-1.14648,76,-2
75,vanguard@da3fd8a,vanguard,da3fd8a,6216,3297,0,2919,0.5304,0.360919,62.7,0.360919,1.293268,0.025925,0.0,-0.523572,23,52
