rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vili@1a0c1ad,vili,1a0c1ad,6468,4954,7,1507,0.7665,1.333637,231.7,1.333637,0.117822,0.671143,1.0,0.0,1,0
2,snotra_h@4437c29,snotra_h,4437c29,6468,4616,7,1845,0.7142,1.049789,182.4,1.049789,0.172659,0.515711,0.0,-0.424157,7,-5
3,snotra@34b0ce8,snotra,34b0ce8,6468,4599,5,1864,0.7114,1.033296,179.5,1.033296,0.196062,0.553398,0.0,-0.550831,24,-21
4,hoenir@5907a3b,hoenir,5907a3b,6468,4566,9,1893,0.7066,1.010096,175.5,1.010096,0.404036,0.327197,0.0,-0.059719,2,2
5,vor@c32539f,vor,c32539f,6468,4529,1,1938,0.7003,0.981291,170.5,0.981291,0.051186,0.386663,0.0,-0.424157,7,-2
6,fulla@ec5aa19,fulla,ec5aa19,6468,4523,1,1944,0.6994,0.977972,169.9,0.977972,0.077369,0.33304,0.0,-0.487015,12,-6
7,gefn@46ac5e6,gefn,46ac5e6,6468,4524,6,1938,0.6999,0.977599,169.8,0.977599,0.10576,0.386849,0.0,-0.550831,24,-17
8,vidarr@c9193be,vidarr,c9193be,6468,4470,12,1986,0.692,0.962404,167.2,0.962404,-0.044683,0.222847,0.0,-0.27029,5,3
9,bifrost@c70c467,bifrost,c70c467,6468,4450,9,2009,0.6887,0.921713,160.1,0.921713,0.381086,0.177987,0.0,-0.239951,4,5
10,forseti@37dc858,forseti,37dc858,6468,4430,8,2030,0.6855,0.912528,158.5,0.912528,0.04992,0.77737,0.0,-0.487015,12,-2
11,magni@3677a66,magni,3677a66,6468,4428,8,2032,0.6852,0.908009,157.7,0.908009,0.050011,0.789271,0.0,-0.487015,12,-1
12,hodr@ea88247,hodr,ea88247,6468,4427,8,2033,0.6851,0.90559,157.3,0.90559,0.070587,0.804003,0.0,-0.487015,12,0
13,ostara@832c68a,ostara,832c68a,6468,4415,4,2049,0.6829,0.903536,157.0,0.903536,0.021191,0.138218,0.0,-0.209721,3,10
14,spork@05ab6a2,spork,05ab6a2,6468,4348,4,2116,0.6725,0.854627,148.5,0.854627,0.025233,0.092743,0.0,-0.455476,10,4
