rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,4650,3415,17,1218,0.7362,1.156943,201.0,1.156943,-0.16615,-0.607174,0.0,-0.119545,7,-6
2,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,4650,3363,29,1258,0.7263,1.108787,192.6,1.108787,-0.191711,-0.595124,0.0,-0.089612,6,-4
3,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,4650,3376,15,1259,0.7276,1.101139,191.3,1.101139,-0.324852,-0.599104,0.0,-0.059719,3,0
4,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,4650,3356,29,1265,0.7248,1.097679,190.7,1.097679,-0.208996,-0.627218,0.0,-0.029853,2,2
5,freyr@c2c0d3d,freyr,c2c0d3d,4685,3404,15,1266,0.7282,1.093983,190.0,1.093983,-0.314616,-0.671654,0.0,-0.059719,3,2
6,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,4650,3361,21,1268,0.7251,1.092992,189.9,1.092992,-0.242802,-0.639003,1.0,0.0,1,5
7,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,4650,3367,15,1268,0.7257,1.086257,188.7,1.086257,-0.342974,-0.707288,0.0,-0.059719,3,4
8,skadi@6a2af02,skadi,6a2af02,4650,3202,47,1401,0.6937,1.007813,175.1,1.007813,0.396513,-0.337876,0.0,-0.424157,11,-3
9,skadi@aad5f44,skadi,aad5f44,4650,3161,63,1426,0.6866,0.979563,170.2,0.979563,0.359051,-0.180308,0.0,-0.300754,9,0
10,skadi@821d792,skadi,821d792,4650,3166,60,1424,0.6873,0.978264,169.9,0.978264,0.327819,-0.206495,0.0,-0.239951,8,2
11,skadi@1e4eddf,skadi,1e4eddf,4650,3085,53,1512,0.6691,0.86259,149.8,0.86259,0.248994,-0.397487,0.0,-0.455476,14,-3
12,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,4650,3112,40,1498,0.6735,0.849626,147.6,0.849626,-0.193932,-0.581038,0.0,-0.424157,11,1
13,vidar@8b87da5,vidar,8b87da5,4650,3012,39,1599,0.6519,0.818741,142.2,0.818741,0.451068,-0.18619,0.0,-0.487015,16,-3
