rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,forseti@37dc858,forseti,37dc858,5346,3893,8,1445,0.729,1.119501,194.5,1.119501,0.798458,-0.244094,0.166705,-0.0,1,0
2,hodr@ea88247,hodr,ea88247,5346,3890,8,1448,0.7284,1.111125,193.0,1.111125,0.821755,-0.270546,0.166628,-0.0,1,1
3,mimir@cfc1ec4,mimir,cfc1ec4,5346,3804,8,1534,0.7123,1.021424,177.4,1.021424,0.656993,-0.30885,0.333333,-0.0,1,2
4,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,5310,3747,19,1544,0.7074,1.018896,177.0,1.018896,0.558588,-0.067417,0.0,-0.159752,15,-11
5,steward_relent@7ed1acc,steward_relent,7ed1acc,5346,3770,17,1559,0.7068,0.994173,172.7,0.994173,0.480087,-0.245667,0.083304,0.0,1,4
6,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,5310,3738,17,1555,0.7056,0.991998,172.3,0.991998,0.538656,-0.274968,0.083422,0.0,1,5
7,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,5310,3707,37,1566,0.7016,0.987653,171.6,0.987653,0.509286,-0.133275,0.0,-0.054778,12,-5
8,njord@f66a427,njord,f66a427,5346,3763,18,1565,0.7056,0.987475,171.5,0.987475,0.602984,-0.234396,0.0,-0.019906,9,-1
9,freyr@c2c0d3d,freyr,c2c0d3d,5346,3768,16,1562,0.7063,0.986452,171.4,0.986452,0.596329,-0.2662,0.083297,0.0,1,8
10,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,5310,3705,37,1568,0.7012,0.981548,170.5,0.981548,0.526904,-0.162143,0.0,-0.014929,8,2
11,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,5310,3717,23,1570,0.7022,0.980485,170.3,0.980485,0.553024,-0.188606,0.0,-0.059862,13,-2
