match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
0002c3ae9f436fc4,auto-88545c8121da,attack_wave_v1@9713344,attack_wave_v1,9713344,gobbleglitch@6cdc440,gobbleglitch,6cdc440,quarry,official,1,0,rating,b,b,0.0,titanium_collected,1000,,2644,0,6,3,4901,2460,8,14,ok,,5.768,n-62-11-69,29021514,2026-08-03T18:05:13+0200
00138b7a8794643a,auto-88545c8121da,gobbleglitch@6cdc440,gobbleglitch,6cdc440,v233_i@902be71,v233_i,902be71,string,official,1,0,rating,b,b,0.0,titanium_collected,1000,,2089,0,7,6,3317,2490,14,4,ok,,10.731,n-62-29-17,29021514,2026-08-03T18:07:33+0200
0027f5861c89af24,auto-88545c8121da,v233_d@9713344,v233_d,9713344,gobbleglitch@6cdc440,gobbleglitch,6cdc440,hive,official,1,0,rating,b,b,0.0,core_destroyed,70,,105,150,7,11,60,180,10,20,ok,,5.729,n-62-21-4,29021514,2026-08-03T18:07:02+0200
002846a5f6132014,auto-88545c8121da,gobbleglitch@6cdc440,gobbleglitch,6cdc440,v233_d@9713344,v233_d,9713344,vault,official,1,0,rating,a,a,1.0,core_destroyed,153,,60,0,12,1,423,720,1,11,ok,,6.182,n-62-21-8,29021514,2026-08-03T18:07:28+0200
0059240be2087e1c,auto-88545c8121da,siege_v2@9713344,siege_v2,9713344,gobbleglitch@6cdc440,gobbleglitch,6cdc440,strait,official,1,0,rating,b,b,0.0,core_destroyed,27,,172,0,5,3,21,0,13,1,ok,,3.724,n-62-21-56,29021514,2026-08-03T18:06:28+0200
006144e00b7aa545,auto-88545c8121da,gobbleglitch@6cdc440,gobbleglitch,6cdc440,tempest@da3fd8a,tempest,da3fd8a,fjord,official,1,0,rating,a,a,1.0,core_destroyed,27,,47,40,11,4,254,50,5,4,ok,,6.017,n-62-21-61,29021514,2026-08-03T18:05:10+0200
00671f099645ee34,auto-88545c8121da,ragnarok@79582fc,ragnarok,79582fc,gobbleglitch@6cdc440,gobbleglitch,6cdc440,duel,official,1,0,rating,a,a,1.0,core_destroyed,36,,11,80,11,10,68,50,7,5,ok,,4.187,n-62-21-15,29021514,2026-08-03T18:05:53+0200
0069ecbb60bf6c90,auto-88545c8121da,opponent_luc@e83a42c,opponent_luc,e83a42c,gobbleglitch@6cdc440,gobbleglitch,6cdc440,duel,official,1,0,rating,b,b,0.0,core_destroyed,31,,112,60,10,6,60,20,7,9,ok,,5.289,n-62-21-8,29021514,2026-08-03T18:05:15+0200
007cde15cfef75b8,auto-88545c8121da,tempest_oracle_ferry@fdc1e1f,tempest_oracle_ferry,fdc1e1f,gobbleglitch@6cdc440,gobbleglitch,6cdc440,runestone,official,1,0,rating,b,b,0.0,core_destroyed,34,,22,50,13,8,55,40,9,9,ok,,5.008,n-62-21-67,29021514,2026-08-03T18:05:23+0200
007f081257d9a2e3,auto-88545c8121da,gobbleglitch@6cdc440,gobbleglitch,6cdc440,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,pinch,official,1,0,rating,a,a,1.0,core_destroyed,344,,155,0,8,16,1069,1650,14,9,ok,,8.325,n-62-21-72,29021514,2026-08-03T18:07:47+0200
