rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,snotra_h@4437c29,snotra_h,4437c29,5940,4344,7,1589,0.7319,1.136727,197.5,1.136727,-0.118234,-0.544823,1.0,0.0,1,0
2,snotra@34b0ce8,snotra,34b0ce8,5940,4334,5,1601,0.7301,1.123589,195.2,1.123589,-0.145616,-0.588055,0.0,-0.059719,2,0
3,vor@c32539f,vor,c32539f,5940,4267,1,1672,0.7184,1.068922,185.7,1.068922,-0.008513,-0.405769,0.0,-0.300754,11,-8
4,gefn@46ac5e6,gefn,46ac5e6,5940,4264,6,1670,0.7184,1.06628,185.2,1.06628,-0.069639,-0.409648,0.0,-0.300754,11,-7
5,fulla@ec5aa19,fulla,ec5aa19,5940,4261,1,1678,0.7174,1.065327,185.1,1.065327,-0.04348,-0.3534,0.0,-0.300754,11,-6
6,forseti@37dc858,forseti,37dc858,5940,4183,8,1749,0.7049,1.00417,174.4,1.00417,0.009359,-0.807306,0.0,-0.239951,6,0
7,magni@3677a66,magni,3677a66,5940,4181,8,1751,0.7045,0.999254,173.6,0.999254,0.012979,-0.8183,0.0,-0.179586,4,3
8,hodr@ea88247,hodr,ea88247,5940,4180,8,1752,0.7044,0.996623,173.1,0.996623,-0.00757,-0.836639,0.0,-0.239951,6,2
9,mimir@cfc1ec4,mimir,cfc1ec4,5940,4090,8,1842,0.6892,0.913158,158.6,0.913158,-0.097171,-0.6934,0.0,-0.239951,6,3
10,spar_sniper@aa24129,spar_sniper,aa24129,5940,4062,12,1866,0.6848,0.901399,156.6,0.901399,-0.041347,-0.610225,0.0,-0.179586,4,6
11,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,5904,4013,20,1871,0.6814,0.897882,156.0,0.897882,0.116551,-0.529593,0.0,-0.393043,24,-13
12,steward_relent@7ed1acc,steward_relent,7ed1acc,5940,4062,17,1861,0.6853,0.892555,155.1,0.892555,-0.095484,-0.481312,0.0,-0.300754,11,1
13,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,5904,4026,17,1861,0.6834,0.887955,154.3,0.887955,-0.102589,-0.546256,0.0,-0.300754,11,2
14,freyr@c2c0d3d,freyr,c2c0d3d,5940,4056,16,1868,0.6842,0.882958,153.4,0.882958,-0.081745,-0.598638,0.0,-0.300754,11,3
15,njord@f66a427,njord,f66a427,5940,4043,18,1879,0.6822,0.878609,152.6,0.878609,-0.041793,-0.588274,0.0,-0.300754,11,4
16,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,5904,4006,23,1875,0.6805,0.87825,152.6,0.87825,-0.030523,-0.534039,0.0,-0.300754,11,5
17,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,5904,3984,37,1883,0.6779,0.876731,152.3,0.876731,0.013346,-0.48708,0.0,-0.300754,11,6
18,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,5904,4017,17,1870,0.6818,0.87618,152.2,0.87618,-0.097064,-0.63988,0.0,-0.300754,11,7
19,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,5904,3981,37,1886,0.6774,0.870574,151.2,0.870574,-0.007802,-0.513382,0.0,-0.300754,11,8
20,vali@7bc75e8,vali,7bc75e8,5940,4009,17,1914,0.6763,0.845219,146.8,0.845219,-0.10315,-0.614007,0.0,-0.239951,6,14
21,ullr@7d1ab4e,ullr,7d1ab4e,5940,3998,19,1923,0.6747,0.839044,145.8,0.839044,-0.076439,-0.622769,0.0,-0.239951,6,15
22,gefjon@f66a427,gefjon,f66a427,5940,3941,25,1974,0.6656,0.824779,143.3,0.824779,-0.046126,0.061193,0.0,-0.089612,3,19
23,sif@3fc5cd8,sif,3fc5cd8,5940,3907,4,2029,0.6581,0.791499,137.5,0.791499,0.005437,-0.066498,0.0,-0.362115,22,1
24,skadi@6a2af02,skadi,6a2af02,5904,3761,48,2095,0.6411,0.752834,130.8,0.752834,0.47539,0.007269,0.0,-0.362115,22,2
25,skadi@821d792,skadi,821d792,5904,3718,62,2124,0.635,0.724903,125.9,0.724903,0.366379,0.098879,0.0,-0.487015,25,0
26,skadi@aad5f44,skadi,aad5f44,5904,3699,65,2140,0.632,0.716316,124.4,0.716316,0.409358,0.120202,0.0,-0.487015,25,1
27,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,5904,3638,45,2221,0.62,0.606373,105.3,0.606373,0.101244,-0.449714,0.0,-0.963793,38,-11
28,skadi@1e4eddf,skadi,1e4eddf,5904,3563,59,2282,0.6085,0.582282,101.2,0.582282,0.467008,-0.091008,0.0,-0.819027,32,-4
29,vidar@8b87da5,vidar,8b87da5,5904,3491,41,2372,0.5948,0.546752,95.0,0.546752,0.557957,0.155248,0.0,-0.749659,31,-2
30,vidar_r2@c8b850e,vidar_r2,c8b850e,5904,3522,42,2340,0.6001,0.536469,93.2,0.536469,0.307986,-0.015786,0.0,-0.550831,27,3
31,vidar_r3@c8b850e,vidar_r3,c8b850e,5904,3524,41,2339,0.6004,0.534416,92.8,0.534416,0.283997,-0.047839,0.0,-0.550831,27,4
32,vidar@561800a,vidar,561800a,5904,3438,59,2407,0.5873,0.50714,88.1,0.50714,0.550513,0.12221,0.0,-0.890315,36,-4
33,vidar@ee47958,vidar,ee47958,5904,3437,59,2408,0.5871,0.495789,86.1,0.495789,0.489791,0.083981,0.0,-0.890315,36,-3
34,vidar_r1@c8b850e,vidar_r1,c8b850e,5904,3411,60,2433,0.5828,0.471912,82.0,0.471912,0.524644,0.022033,0.0,-0.963793,38,-4
35,audhumla@a7faecd,audhumla,a7faecd,5940,3223,9,2708,0.5434,0.31477,54.7,0.31477,-0.263777,0.348852,0.0,-0.819027,32,3
36,vidar_noring@1b7a73a,vidar_noring,1b7a73a,5904,3191,29,2684,0.5429,0.292189,50.8,0.292189,0.337226,0.207727,0.0,-0.615761,29,7
37,steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,5904,3210,44,2650,0.5474,0.279644,48.6,0.279644,-0.035505,-0.397497,0.0,-1.118613,45,-8
38,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,5904,3174,29,2701,0.5401,0.264419,45.9,0.264419,0.249772,0.116203,0.0,-0.615761,29,9
39,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,5904,3075,40,2789,0.5242,0.171359,29.8,0.171359,0.127601,-0.514314,0.0,-1.472472,67,-28
40,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,5904,3038,34,2832,0.5174,0.145187,25.2,0.145187,0.586398,-0.08129,0.0,-1.118613,45,-5
41,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,5904,3033,34,2837,0.5166,0.141917,24.7,0.141917,0.62131,-0.133358,0.0,-1.118613,45,-4
42,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,5904,2957,39,2908,0.5041,0.125965,21.9,0.125965,0.564199,0.290956,0.0,-1.159237,52,-10
43,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,5904,2974,34,2896,0.5066,0.090648,15.7,0.090648,0.655271,-0.068454,0.0,-1.118613,45,-2
44,spar_mender@d5b46bc,spar_mender,d5b46bc,5940,3006,46,2888,0.5099,0.088018,15.3,0.088018,-0.086348,-0.593851,0.0,-0.854415,35,9
45,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,5904,2916,34,2954,0.4968,0.081397,14.1,0.081397,0.541757,0.157727,0.0,-1.286665,56,-11
46,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,5904,2887,17,3000,0.4904,0.070642,12.3,0.070642,0.362742,0.36417,0.0,-0.963793,38,8
47,vidar@1b7a73a,vidar,1b7a73a,5904,2913,34,2957,0.4963,0.06565,11.4,0.06565,0.483007,0.083682,0.0,-1.286665,56,-9
48,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,5904,2869,19,3016,0.4876,0.044679,7.8,0.044679,-0.302034,0.21405,0.0,-1.118613,45,3
49,undertow@fdc1e1f,undertow,fdc1e1f,5904,2802,0,3102,0.4746,0.018682,3.2,0.018682,-0.080591,0.32934,0.0,-0.819027,32,17
50,vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,5904,2739,0,3165,0.4639,0.010617,1.8,0.010617,-0.437486,0.703083,0.0,-1.118613,45,5
51,vidar@544eeb3,vidar,544eeb3,5904,2835,35,3034,0.4831,0.005988,1.0,0.005988,0.577575,0.095894,0.0,-1.286665,56,-5
52,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,5904,2772,0,3132,0.4695,-0.012145,-2.1,-0.012145,-0.24476,0.373866,0.0,-0.963793,38,14
53,prospect@bf9b3e3,prospect,bf9b3e3,5904,2779,19,3106,0.4723,-0.032345,-5.6,-0.032345,-0.24114,0.147938,0.0,-1.376992,65,-12
54,janus@8a1e7a1,janus,8a1e7a1,5904,2756,19,3129,0.4684,-0.041164,-7.2,-0.041164,-0.267907,0.276026,0.0,-1.376992,65,-11
55,heimdall@daf0de0,heimdall,daf0de0,5904,2706,15,3183,0.4596,-0.099243,-17.2,-0.099243,0.213392,0.161306,0.0,-1.286665,56,-1
56,vidar_nogun@1b7a73a,vidar_nogun,1b7a73a,5904,2690,55,3159,0.4603,-0.099633,-17.3,-0.099633,0.365609,0.197867,0.0,-1.331235,64,-8
57,spar_mender@7ed1acc,spar_mender,7ed1acc,5940,2696,18,3226,0.4554,-0.100203,-17.4,-0.100203,0.279699,0.13572,0.0,-1.472472,67,-10
58,odin@38e1456,odin,38e1456,5904,2692,4,3208,0.4563,-0.101355,-17.6,-0.101355,0.022334,0.3875,0.0,-0.963793,38,20
59,vidar_png@1b7a73a,vidar_png,1b7a73a,5904,2656,30,3218,0.4524,-0.131779,-22.9,-0.131779,0.476893,0.307379,0.0,-1.682865,77,-18
60,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,5904,2674,6,3224,0.4534,-0.133148,-23.1,-0.133148,-0.552418,-0.294792,0.0,-1.200742,53,7
61,vidar2@544eeb3,vidar2,544eeb3,5904,2609,56,3239,0.4466,-0.148887,-25.9,-0.148887,0.18769,0.502758,0.0,-1.200742,53,8
62,warden_walk@e55aab5,warden_walk,e55aab5,5904,2650,13,3241,0.4499,-0.152916,-26.6,-0.152916,0.339428,0.359663,0.0,-1.472472,67,-5
63,fenrir2@6b39ebb,fenrir2,6b39ebb,5940,2626,7,3307,0.4427,-0.16788,-29.2,-0.16788,0.11576,0.484066,0.0,-1.286665,56,7
64,vigil@e267eeb,vigil,e267eeb,5904,2577,22,3305,0.4383,-0.181704,-31.6,-0.181704,-0.41632,0.499825,0.0,-1.118613,45,19
65,v233_i@902be71,v233_i,902be71,5904,2519,0,3385,0.4267,-0.192899,-33.5,-0.192899,-0.25572,0.511691,0.0,-1.574036,75,-10
66,odin@93e46da,odin,93e46da,5904,2567,6,3331,0.4353,-0.195684,-34.0,-0.195684,0.073327,0.507865,0.0,-1.286665,56,10
67,bastion@840a180,bastion,840a180,5904,2569,12,3323,0.4361,-0.200215,-34.8,-0.200215,0.317084,0.07172,0.0,-1.472472,67,0
68,vidar_ggng@1b7a73a,vidar_ggng,1b7a73a,5904,2552,21,3331,0.434,-0.223517,-38.8,-0.223517,0.552106,0.428447,0.0,-2.071073,84,-16
69,aegis@e55aab5,aegis,e55aab5,5904,2533,10,3361,0.4299,-0.235149,-40.8,-0.235149,-0.005815,0.377129,0.0,-1.286665,56,13
70,maporacle@38e1456,maporacle,38e1456,5904,2527,5,3372,0.4284,-0.244446,-42.5,-0.244446,0.030706,0.321553,0.0,-1.039772,44,26
71,steward_reinforced@a8dc58a,steward_reinforced,a8dc58a,5904,2500,25,3379,0.4256,-0.268015,-46.6,-0.268015,0.048702,-0.39176,0.0,-1.472472,67,4
72,ragnarok_fair@79582fc,ragnarok_fair,79582fc,5904,2459,12,3433,0.4175,-0.291344,-50.6,-0.291344,0.126591,0.36113,0.0,-1.574036,75,-3
73,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,5904,2366,21,3517,0.4025,-0.330758,-57.5,-0.330758,-0.281247,0.4889,0.0,-1.472472,67,6
74,tyr@2e6c876,tyr,2e6c876,5904,2383,34,3487,0.4065,-0.354631,-61.6,-0.354631,0.569437,0.528861,0.0,-1.522427,73,1
75,valkyrie_econ2@7227061,valkyrie_econ2,7227061,5904,2333,18,3553,0.3967,-0.386901,-67.2,-0.386901,-0.267811,0.798615,0.0,-1.200742,53,22
