rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vidar@8b87da5,vidar,8b87da5,5838,4449,17,1372,0.7635,1.322479,229.7,1.322479,-0.649335,0.455946,0.221883,0.0,1,0
2,vidar_r2@c8b850e,vidar_r2,c8b850e,5838,4452,13,1373,0.7637,1.305197,226.7,1.305197,-0.738754,0.523409,0.0,-0.010097,6,-4
3,vidar_r3@c8b850e,vidar_r3,c8b850e,5838,4452,13,1373,0.7637,1.304166,226.6,1.304166,-0.746825,0.530122,0.0,-0.010097,6,-3
4,vidar@561800a,vidar,561800a,5838,4425,13,1400,0.7591,1.287146,223.6,1.287146,-0.649686,0.400622,0.0,-0.14823,9,-5
5,vidar@ee47958,vidar,ee47958,5838,4425,13,1400,0.7591,1.287146,223.6,1.287146,-0.651,0.401102,0.0,-0.14823,9,-4
6,vidar_r1@c8b850e,vidar_r1,c8b850e,5838,4422,13,1403,0.7586,1.280553,222.5,1.280553,-0.680063,0.417749,0.0,-0.14823,9,-3
7,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,5838,4104,10,1724,0.7038,1.009496,175.4,1.009496,-0.379357,0.243905,0.0,-0.303044,24,-17
8,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,5838,4148,10,1680,0.7114,0.996695,173.1,0.996695,-0.486282,0.528355,0.186027,-0.0,1,7
9,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,5838,4147,10,1681,0.7112,0.994355,172.7,0.994355,-0.494816,0.534211,0.518558,-0.0,1,8
10,vidar_noring@1b7a73a,vidar_noring,1b7a73a,5838,4033,12,1793,0.6918,0.947195,164.5,0.947195,-0.327253,0.33828,0.0,-0.510682,43,-33
11,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,5838,4022,12,1804,0.69,0.936148,162.6,0.936148,-0.382714,0.48649,0.0,-0.712022,59,-48
12,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,5838,4056,10,1772,0.6956,0.931601,161.8,0.931601,-0.495187,0.387973,0.0,-0.25304,19,-7
13,vidar_bat1@1b7a73a,vidar_bat1,1b7a73a,5838,4016,16,1806,0.6893,0.912642,158.5,0.912642,-0.503742,0.354482,0.0,-0.366349,36,-23
14,vidar@1b7a73a,vidar,1b7a73a,5838,4021,10,1807,0.6896,0.909242,158.0,0.909242,-0.547027,0.342638,0.0,-0.22872,13,1
15,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,5838,4020,10,1808,0.6894,0.908934,157.9,0.908934,-0.549244,0.341639,0.0,-0.22872,13,2
16,vidar_g_den1@8b87da5,vidar_g_den1,8b87da5,5838,4015,10,1813,0.6886,0.905869,157.4,0.905869,-0.544064,0.33355,0.0,-0.243436,15,1
17,vidar_pg@1b7a73a,vidar_pg,1b7a73a,5838,3930,20,1888,0.6749,0.87071,151.3,0.87071,-0.471427,-0.05374,0.0,-0.403635,37,-20
18,vidar_png@1b7a73a,vidar_png,1b7a73a,5838,3937,18,1883,0.6759,0.866887,150.6,0.866887,-0.445666,0.129301,0.0,-0.282389,22,-4
19,vidar_gg@1b7a73a,vidar_gg,1b7a73a,5838,3889,21,1928,0.668,0.84693,147.1,0.84693,-0.516708,-0.071726,0.0,-0.747074,63,-44
20,vidar_save60@1b7a73a,vidar_save60,1b7a73a,5838,3893,24,1921,0.6689,0.819769,142.4,0.819769,-0.4546,0.144634,0.0,-0.311194,26,-6
21,vidar_save150@1b7a73a,vidar_save150,1b7a73a,5838,3881,24,1933,0.6668,0.812212,141.1,0.812212,-0.433824,0.13233,0.0,-0.354404,31,-10
22,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,5838,3781,49,2008,0.6518,0.811709,141.0,0.811709,0.200761,-0.31805,0.0,-0.305699,25,-3
23,vidar_ggng@1b7a73a,vidar_ggng,1b7a73a,5838,3858,4,1976,0.6612,0.807793,140.3,0.807793,-0.489253,-0.029408,0.0,-0.411263,38,-15
24,vidar@544eeb3,vidar,544eeb3,5838,3918,11,1909,0.6721,0.807748,140.3,0.807748,-0.640169,0.300302,0.0,-0.250311,18,6
25,vidar_gg150@1b7a73a,vidar_gg150,1b7a73a,5838,3842,21,1975,0.6599,0.806723,140.1,0.806723,-0.484446,-0.076387,0.0,-0.684653,57,-32
26,vidar_e7@544eeb3,vidar_e7,544eeb3,5838,3860,12,1966,0.6622,0.805587,139.9,0.805587,-0.489624,0.039983,0.0,-0.456766,39,-13
27,vidar_saveup@1b7a73a,vidar_saveup,1b7a73a,5838,3871,24,1943,0.6651,0.804293,139.7,0.804293,-0.41987,0.157116,0.0,-0.26247,21,6
28,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,5838,3836,12,1990,0.6581,0.803983,139.7,0.803983,-0.481782,-0.057605,0.0,-0.894168,71,-43
29,vidar_nogun@1b7a73a,vidar_nogun,1b7a73a,5838,3874,18,1946,0.6651,0.802015,139.3,0.802015,-0.457351,0.100008,0.0,-0.292761,23,6
30,vidar_pn@1b7a73a,vidar_pn,1b7a73a,5838,3866,14,1958,0.6634,0.790917,137.4,0.790917,-0.405779,0.101856,0.0,-0.253402,20,10
31,prospect@bf9b3e3,prospect,bf9b3e3,5838,3723,49,2066,0.6419,0.763097,132.6,0.763097,0.03132,-0.351936,0.0,-0.646364,54,-23
32,vidar_seatcover@1b7a73a,vidar_seatcover,1b7a73a,5838,3766,7,2065,0.6457,0.732955,127.3,0.732955,-0.412832,0.147034,0.0,-0.46639,41,-9
33,heimdall@daf0de0,heimdall,daf0de0,5838,3695,5,2138,0.6334,0.671696,116.7,0.671696,-0.205129,-0.03391,0.0,-0.166677,12,21
34,janus@8a1e7a1,janus,8a1e7a1,5838,3606,49,2183,0.6219,0.668946,116.2,0.668946,0.263772,-0.376068,0.0,-0.559731,46,-12
35,vidar2@544eeb3,vidar2,544eeb3,5838,3667,21,2150,0.6299,0.660854,114.8,0.660854,-0.489893,-0.170167,0.0,-0.808318,64,-29
36,odin@38e1456,odin,38e1456,5838,3657,6,2175,0.6269,0.651085,113.1,0.651085,-0.325509,-0.210745,0.0,-0.61383,52,-16
37,vidar2_b3@544eeb3,vidar2_b3,544eeb3,5838,3657,21,2160,0.6282,0.650306,113.0,0.650306,-0.507935,-0.180343,0.0,-0.914963,75,-38
38,vidar_guard@544eeb3,vidar_guard,544eeb3,5838,3602,21,2215,0.6188,0.619885,107.7,0.619885,-0.466379,-0.248887,0.0,-1.413049,101,-63
39,vidar2_c2@544eeb3,vidar2_c2,544eeb3,5838,3616,21,2201,0.6212,0.615194,106.9,0.615194,-0.451965,-0.133374,0.0,-0.60189,50,-11
40,vidar_noecon@544eeb3,vidar_noecon,544eeb3,5838,3614,7,2217,0.6196,0.610909,106.1,0.610909,-0.493028,-0.13508,0.0,-0.909441,72,-32
41,odin@5a92113,odin,5a92113,5838,3611,6,2221,0.619,0.610303,106.0,0.610303,-0.367125,-0.184075,0.0,-0.637811,53,-12
42,steward@e55aab5,steward,e55aab5,5838,3555,14,2269,0.6101,0.592436,102.9,0.592436,-0.226487,-0.37472,0.0,-0.54368,45,-3
43,warden_walk@e55aab5,warden_walk,e55aab5,5838,3532,9,2297,0.6058,0.568,98.7,0.568,-0.244163,-0.648654,0.0,-0.607414,51,-8
44,heimdall@840a180,heimdall,840a180,5838,3534,5,2299,0.6058,0.566472,98.4,0.566472,-0.252845,-0.23738,0.0,-0.674047,55,-11
45,vidar_siege@544eeb3,vidar_siege,544eeb3,5838,3517,22,2299,0.6043,0.565153,98.2,0.565153,-0.400924,-0.472769,0.0,-1.03426,85,-40
46,vidar2_g3@544eeb3,vidar2_g3,544eeb3,5838,3557,22,2259,0.6112,0.556567,96.7,0.556567,-0.475787,-0.092589,0.0,-0.868454,68,-22
47,vidar_field@544eeb3,vidar_field,544eeb3,5838,3484,15,2339,0.5981,0.530851,92.2,0.530851,-0.486052,-0.610743,0.0,-1.605476,112,-65
48,odin@93e46da,odin,93e46da,5838,3515,2,2321,0.6023,0.529719,92.0,0.529719,-0.508304,-0.356392,0.0,-1.013958,82,-34
49,undertow@fdc1e1f,undertow,fdc1e1f,5838,3429,3,2406,0.5876,0.526716,91.5,0.526716,0.762157,0.373139,0.0,-0.362515,33,16
50,undertow_adjacent@90fc9f3,undertow_adjacent,90fc9f3,5838,3429,3,2406,0.5876,0.523719,91.0,0.523719,0.752598,0.380053,0.0,-0.362515,33,17
51,bastion@840a180,bastion,840a180,5838,3463,13,2362,0.5943,0.519559,90.3,0.519559,-0.212415,-0.374887,0.0,-0.563864,47,4
52,heimdall@4c0d92e,heimdall,4c0d92e,5838,3490,6,2342,0.5983,0.517869,90.0,0.517869,-0.303309,-0.263447,0.0,-0.676755,56,-4
53,odin@45aa24a,odin,45aa24a,5838,3484,6,2348,0.5973,0.516915,89.8,0.516915,-0.310699,-0.243538,0.0,-0.692861,58,-5
54,maporacle@38e1456,maporacle,38e1456,5838,3450,2,2386,0.5911,0.488679,84.9,0.488679,-0.318126,-0.352373,0.0,-0.833926,65,-11
55,tyr@2e6c876,tyr,2e6c876,5838,3436,20,2382,0.5903,0.481045,83.6,0.481045,-0.659953,-0.604317,0.0,-1.478231,105,-50
56,tyr_retgt@2e6c876,tyr_retgt,2e6c876,5838,3427,17,2394,0.5885,0.475278,82.6,0.475278,-0.622227,-0.628679,0.0,-1.178948,92,-36
57,tyr_pad@2e6c876,tyr_pad,2e6c876,5838,3422,19,2397,0.5878,0.47428,82.4,0.47428,-0.593728,-0.572734,0.0,-1.085985,86,-29
58,tyr_hint@2e6c876,tyr_hint,2e6c876,5838,3412,18,2408,0.586,0.471283,81.9,0.471283,-0.57217,-0.597026,0.0,-1.440315,103,-45
59,mjolnir@2e6c876,mjolnir,2e6c876,5838,3417,18,2403,0.5868,0.469905,81.6,0.469905,-0.602174,-0.571327,0.0,-1.085985,86,-27
60,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,5838,3359,0,2479,0.5754,0.461245,80.1,0.461245,0.624425,0.13169,0.0,-0.336528,30,30
61,ragnarok_fair@79582fc,ragnarok_fair,79582fc,5838,3384,18,2436,0.5812,0.459947,79.9,0.459947,0.071448,-0.448752,0.0,-0.84179,66,-5
62,tyr_belt@2e6c876,tyr_belt,2e6c876,5838,3395,17,2426,0.583,0.456586,79.3,0.456586,-0.54317,-0.585953,0.0,-1.222012,94,-32
63,vidar_econwar@1b7a73a,vidar_econwar,1b7a73a,5838,3369,26,2443,0.5793,0.452949,78.7,0.452949,-0.206611,-0.129873,0.0,-1.14829,91,-28
64,aegis@e55aab5,aegis,e55aab5,5838,3370,11,2457,0.5782,0.437437,76.0,0.437437,-0.001918,-0.664902,0.0,-0.457578,40,24
65,warden_walk@3318ffd,warden_walk,3318ffd,5838,3360,10,2468,0.5764,0.433151,75.2,0.433151,-0.130103,-0.697204,0.0,-0.732194,62,3
66,heimdall@38e1456,heimdall,38e1456,5838,3401,2,2435,0.5827,0.425711,74.0,0.425711,-0.548946,-0.411212,0.0,-1.354484,98,-32
67,vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,5838,3139,0,2699,0.5377,0.414964,72.1,0.414964,1.375367,-0.01532,0.0,-0.246566,16,51
68,vanguard@da3fd8a,vanguard,da3fd8a,5838,3134,0,2704,0.5368,0.396875,68.9,0.396875,1.318735,0.010163,0.0,-0.246566,16,52
