rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vanguard_oracle@902be71,vanguard_oracle,902be71,2982,2453,0,529,0.8226,2.340846,406.6,2.340846,0.65269,-0.027728,0.0,-0.473784,22,-21
2,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,2982,2387,0,595,0.8005,2.217287,385.2,2.217287,0.792193,0.063168,0.0,-0.473784,23,-21
3,vanguard_oracle@75591b7,vanguard_oracle,75591b7,2982,2343,0,639,0.7857,2.140855,371.9,2.140855,0.893887,0.181844,0.0,-0.675755,27,-24
4,vanguard@9932bec,vanguard,9932bec,2982,2280,0,702,0.7646,2.140251,371.8,2.140251,0.888403,0.551281,0.0,-0.573346,26,-22
5,vanguard@818f3b4,vanguard,818f3b4,2982,2292,0,690,0.7686,2.111664,366.8,2.111664,0.805948,0.409711,0.0,-0.891998,31,-26
6,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,2982,2416,0,566,0.8102,2.027115,352.1,2.027115,0.301885,-0.466087,0.0,-0.186586,5,1
7,vanguard@c407e79,vanguard,c407e79,2982,2201,0,781,0.7381,2.02569,351.9,2.02569,1.031651,0.679303,0.0,-0.186586,6,1
8,v233_i@902be71,v233_i,902be71,2982,2163,0,819,0.7254,1.979714,343.9,1.979714,0.882066,0.82893,0.0,-0.376478,17,-9
9,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,2982,2363,0,619,0.7924,1.947519,338.3,1.947519,0.132852,-0.316659,1.0,0.0,1,8
10,undertow_oracle@75591b7,undertow_oracle,75591b7,2982,2226,0,756,0.7465,1.886651,327.7,1.886651,0.762481,0.304572,0.0,-0.186586,7,3
11,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,2982,2216,0,766,0.7431,1.883225,327.1,1.883225,0.702163,0.338106,0.0,-0.186586,8,3
12,undertow@fdc1e1f,undertow,fdc1e1f,2982,2178,0,804,0.7304,1.88273,327.1,1.88273,0.548418,0.559748,0.0,-0.09309,2,10
13,undertow@da3fd8a,undertow,da3fd8a,2982,2170,0,812,0.7277,1.847917,321.0,1.847917,0.580399,0.563572,0.0,-0.09309,3,10
14,v233_g@9713344,v233_g,9713344,2982,2044,0,938,0.6854,1.802984,313.2,1.802984,0.692446,1.07495,0.0,-0.675755,28,-14
15,vanguard@da3fd8a,vanguard,da3fd8a,2982,2063,0,919,0.6918,1.786823,310.4,1.786823,0.843931,0.960437,0.0,-0.280902,12,3
16,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,2982,2133,0,849,0.7153,1.784035,309.9,1.784035,0.617442,0.618246,0.0,-0.473784,24,-8
17,tempest_oracle_ferry@fdc1e1f,tempest_oracle_ferry,fdc1e1f,2982,2410,0,572,0.8082,1.776431,308.6,1.776431,0.174465,-1.178716,0.0,-0.186586,9,8
18,autistimusprime@ecd4d24,autistimusprime,ecd4d24,2982,2432,1,549,0.8157,1.663021,288.9,1.663021,-0.009437,-1.494436,0.0,-0.186586,10,8
