rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,spar_sentinel@213b430,spar_sentinel,213b430,7788,5738,10,2040,0.7374,1.199567,208.4,1.199567,0.088524,0.415749,0.0,-0.114585,12,-11
2,freyja@6a8a5f7,freyja,6a8a5f7,7788,5725,20,2043,0.7364,1.171706,203.5,1.171706,0.136185,0.633374,0.236213,0.0,1,1
3,vili@1a0c1ad,vili,1a0c1ad,7788,5693,19,2076,0.7322,1.15364,200.4,1.15364,0.12488,0.664124,0.0,-0.054854,10,-7
4,hlin@6b5d86e,hlin,6b5d86e,7788,5525,6,2257,0.7098,1.045563,181.6,1.045563,0.260694,-0.11342,0.0,-0.026794,7,-3
5,frigg@55df097,frigg,55df097,7788,5526,6,2256,0.7099,1.043508,181.3,1.043508,0.267583,-0.088257,0.0,-0.026794,7,-2
6,gefn@60ae5f1,gefn,60ae5f1,7788,5438,5,2345,0.6986,1.018984,177.0,1.018984,-0.057848,0.059097,0.0,-0.018348,6,0
7,lofn@c8d0165,lofn,c8d0165,7788,5491,6,2291,0.7054,1.009747,175.4,1.009747,0.373388,-0.119423,0.724521,0.0,1,6
8,syn@5bf798e,syn,5bf798e,7788,5433,6,2349,0.698,1.006856,174.9,1.006856,-0.016872,0.162946,0.0,-0.001455,4,4
9,nanna@55df097,nanna,55df097,7788,5451,6,2331,0.7003,0.982693,170.7,0.982693,0.364033,-0.108194,0.0,-0.026794,7,2
10,bil@6b5d86e,bil,6b5d86e,7788,5429,6,2353,0.6975,0.967796,168.1,0.967796,0.35615,-0.164814,0.0,-0.00237,5,5
11,snotra_h@4437c29,snotra_h,4437c29,7788,5276,8,2504,0.678,0.873838,151.8,0.873838,0.173563,0.493804,0.0,-0.348332,21,-10
12,eir@5d43b95,eir,5d43b95,7788,5279,8,2501,0.6784,0.868766,150.9,0.868766,0.239238,0.500308,0.0,-0.345896,20,-8
13,bragi@db77268,bragi,db77268,7788,5266,8,2514,0.6767,0.86547,150.3,0.86547,0.148518,0.421958,0.0,-0.274726,13,0
14,snotra@34b0ce8,snotra,34b0ce8,7788,5243,5,2540,0.6735,0.851628,147.9,0.851628,0.182239,0.534559,0.0,-0.378254,24,-10
15,hoenir@5907a3b,hoenir,5907a3b,7788,5197,12,2579,0.6681,0.826381,143.6,0.826381,0.410291,0.305718,0.0,-0.281176,14,1
16,gefn@46ac5e6,gefn,46ac5e6,7788,5149,6,2633,0.6615,0.795405,138.2,0.795405,0.091632,0.380125,0.0,-0.405695,28,-12
17,vor@c32539f,vor,c32539f,7788,5146,1,2641,0.6608,0.794243,138.0,0.794243,0.048567,0.387152,0.0,-0.433921,30,-13
