rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,hodr@ea88247,hodr,ea88247,5280,3857,8,1415,0.7312,1.124842,195.4,1.124842,0.219674,0.839646,0.333333,0.0,1,0
2,mimir@cfc1ec4,mimir,cfc1ec4,5280,3772,8,1500,0.7152,1.034771,179.8,1.034771,0.269059,0.679721,0.333333,0.0,1,1
3,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,5244,3717,19,1508,0.7106,1.033692,179.6,1.033692,0.035181,0.571891,0.0,-0.159752,14,-11
4,steward_relent@7ed1acc,steward_relent,7ed1acc,5280,3736,17,1527,0.7092,1.005709,174.7,1.005709,0.211071,0.509328,0.08346,0.0,1,3
5,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,5244,3704,17,1523,0.708,1.003508,174.3,1.003508,0.236996,0.569201,0.082778,0.0,1,4
6,njord@f66a427,njord,f66a427,5280,3731,18,1531,0.7083,1.000404,173.8,1.000404,0.195809,0.628853,0.0,-0.019906,8,-2
7,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,5244,3674,37,1533,0.7041,0.999846,173.7,0.999846,0.095218,0.533311,0.0,-0.054787,11,-4
8,freyr@c2c0d3d,freyr,c2c0d3d,5280,3734,16,1530,0.7087,0.997894,173.4,0.997894,0.223912,0.628507,0.083841,0.0,1,7
9,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,5244,3672,37,1535,0.7038,0.993666,172.6,0.993666,0.123478,0.554551,0.0,-0.014938,7,2
10,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,5244,3685,23,1536,0.7049,0.993327,172.6,0.993327,0.15241,0.580368,0.0,-0.059862,12,-2
11,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,5244,3695,17,1532,0.7062,0.990279,172.0,0.990279,0.248711,0.663883,0.083255,0.0,1,10
12,vali@7bc75e8,vali,7bc75e8,5280,3692,17,1571,0.7009,0.959188,166.6,0.959188,0.247365,0.640131,0.0,-0.039848,9,3
13,ullr@7d1ab4e,ullr,7d1ab4e,5280,3686,18,1576,0.6998,0.95557,166.0,0.95557,0.227102,0.654814,0.0,-0.039848,9,4
14,gefjon@f66a427,gefjon,f66a427,5280,3608,23,1649,0.6855,0.923622,160.4,0.923622,-0.013683,-0.021191,0.0,-0.107348,13,1
15,skadi@6a2af02,skadi,6a2af02,5244,3474,48,1722,0.667,0.877704,152.5,0.877704,-0.470399,0.192661,0.0,-0.388954,17,-2
16,skadi@821d792,skadi,821d792,5244,3441,62,1741,0.6621,0.854045,148.4,0.854045,-0.366033,0.070594,0.0,-0.317267,15,1
17,skadi@aad5f44,skadi,aad5f44,5244,3430,65,1749,0.6603,0.850703,147.8,0.850703,-0.404812,0.054363,0.0,-0.379038,16,1
18,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,5244,3394,45,1805,0.6515,0.747531,129.9,0.747531,0.079864,0.512387,0.0,-0.403476,18,0
19,skadi@1e4eddf,skadi,1e4eddf,5244,3329,58,1857,0.6404,0.728361,126.5,0.728361,-0.360332,0.270539,0.0,-0.653939,23,-4
20,vidar@8b87da5,vidar,8b87da5,5244,3251,40,1953,0.6238,0.683885,118.8,0.683885,-0.538683,0.042123,0.0,-0.763177,30,-10
21,vidar@561800a,vidar,561800a,5244,3214,58,1972,0.6184,0.652596,113.4,0.652596,-0.507236,0.074005,0.0,-0.764968,31,-10
22,vidar_r2@c8b850e,vidar_r2,c8b850e,5244,3256,41,1947,0.6248,0.650712,113.0,0.650712,-0.31089,0.185639,0.0,-0.545956,20,2
23,vidar_r3@c8b850e,vidar_r3,c8b850e,5244,3256,40,1948,0.6247,0.646815,112.4,0.646815,-0.286505,0.212838,0.0,-0.503428,19,4
24,vidar@ee47958,vidar,ee47958,5244,3213,58,1973,0.6182,0.639843,111.2,0.639843,-0.432566,0.091704,0.0,-0.764968,31,-7
25,vidar_r1@c8b850e,vidar_r1,c8b850e,5244,3194,59,1991,0.6147,0.619434,107.6,0.619434,-0.444093,0.159883,0.0,-0.812856,35,-10
26,vidar_noring@1b7a73a,vidar_noring,1b7a73a,5244,2970,26,2248,0.5688,0.413384,71.8,0.413384,-0.349078,-0.037442,0.0,-0.810123,34,-8
27,steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,5244,2987,42,2215,0.5736,0.396188,68.8,0.396188,0.139488,0.464365,0.0,-0.62696,22,5
28,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,5244,2958,26,2260,0.5666,0.386135,67.1,0.386135,-0.253202,0.033349,0.0,-0.716324,26,2
29,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,5244,2889,40,2315,0.5547,0.311172,54.1,0.311172,0.067206,0.610073,0.0,-0.75617,29,0
30,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,5244,2860,34,2350,0.5486,0.289131,50.2,0.289131,-0.47736,0.295277,0.0,-1.319959,60,-30
31,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,5244,2855,34,2355,0.5477,0.285458,49.6,0.285458,-0.506608,0.357727,0.0,-1.319959,60,-29
32,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,5244,2779,34,2431,0.5332,0.263909,45.8,0.263909,-0.578988,-0.082513,0.0,-1.180872,50,-18
33,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,5244,2793,34,2417,0.5359,0.227406,39.5,0.227406,-0.553587,0.296922,0.0,-1.544631,68,-35
34,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,5244,2735,34,2475,0.5248,0.213541,37.1,0.213541,-0.548526,0.054104,0.0,-1.234476,55,-21
35,spar_mender@d5b46bc,spar_mender,d5b46bc,5280,2813,38,2429,0.5364,0.203175,35.3,0.203175,0.221795,0.67385,0.0,-0.849711,36,-1
36,vidar@1b7a73a,vidar,1b7a73a,5244,2732,34,2478,0.5242,0.195849,34.0,0.195849,-0.468137,0.109696,0.0,-1.234476,55,-19
37,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,5244,2687,17,2540,0.514,0.181857,31.6,0.181857,-0.507537,-0.201358,0.0,-0.964627,43,-6
38,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,5244,2664,19,2561,0.5098,0.151241,26.3,0.151241,0.319186,-0.26507,0.0,-0.550831,21,17
39,undertow@fdc1e1f,undertow,fdc1e1f,5244,2606,0,2638,0.4969,0.127153,22.1,0.127153,0.074174,-0.219001,0.0,-1.059711,45,-6
40,vidar@544eeb3,vidar,544eeb3,5244,2650,35,2559,0.5087,0.126126,21.9,0.126126,-0.597135,0.123343,0.0,-1.410536,64,-24
41,vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,5244,2537,0,2707,0.4838,0.115515,20.1,0.115515,0.448054,-0.710537,0.0,-0.85101,37,4
42,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,5244,2574,0,2670,0.4908,0.090538,15.7,0.090538,0.210887,-0.312116,0.0,-0.803055,33,9
43,prospect@bf9b3e3,prospect,bf9b3e3,5244,2591,19,2634,0.4959,0.080172,13.9,0.080172,0.289596,-0.195851,0.0,-0.722146,27,16
44,janus@8a1e7a1,janus,8a1e7a1,5244,2569,19,2656,0.4917,0.071539,12.4,0.071539,0.29751,-0.329536,0.0,-0.749659,28,16
45,spar_mender@7ed1acc,spar_mender,7ed1acc,5280,2553,17,2710,0.4851,0.044654,7.8,0.044654,-0.294283,-0.01369,0.0,-1.119139,46,-1
46,heimdall@daf0de0,heimdall,daf0de0,5244,2550,15,2679,0.4877,0.034506,6.0,0.034506,-0.188203,-0.079209,0.0,-1.202006,51,-5
47,vidar_nogun@1b7a73a,vidar_nogun,1b7a73a,5244,2535,46,2663,0.4878,0.027434,4.8,0.027434,-0.440936,-0.072662,0.0,-1.217746,54,-7
48,vidar_png@1b7a73a,vidar_png,1b7a73a,5244,2512,30,2702,0.4819,0.008692,1.5,0.008692,-0.570698,-0.173091,0.0,-1.216157,53,-5
