match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
00033e4dd129fd48,auto-a38ac295eef6,spar_mender@7ed1acc,spar_mender,7ed1acc,casemate_oracle@90fc9f3,casemate_oracle,90fc9f3,aurora,all_official,1,0,rating,a,a,1.0,titanium_collected,1000,,72,7110,13,69,2584,0,1,25,ok,,20.881,n-62-28-31,29052043,2026-08-08T05:52:40+0200
002328560feb0a48,auto-a38ac295eef6,spar_mender@7ed1acc,spar_mender,7ed1acc,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,showdown,all_official,1,0,rating,a,a,1.0,core_destroyed,122,,18,480,11,19,12,0,2,7,ok,,3.926,n-62-29-34,29052043,2026-08-08T05:52:44+0200
00472488cc735776,auto-a38ac295eef6,spar_mender@7ed1acc,spar_mender,7ed1acc,aegis@e55aab5,aegis,e55aab5,fjordgate,all_official,1,0,rating,a,a,1.0,core_destroyed,235,,9,660,9,12,10,0,3,0,ok,,4.688,n-62-11-62,29052043,2026-08-08T05:51:25+0200
00504c75c1b6aa64,auto-a38ac295eef6,freyr@c2c0d3d,freyr,c2c0d3d,spar_mender@7ed1acc,spar_mender,7ed1acc,quarry,all_official,1,0,rating,a,a,1.0,core_destroyed,124,,40,1130,16,52,59,530,9,15,ok,,6.659,n-62-31-19,29052043,2026-08-08T05:51:35+0200
005fc1228f54bc78,auto-a38ac295eef6,spar_mender@7ed1acc,spar_mender,7ed1acc,skadi@821d792,skadi,821d792,pinch,all_official,1,0,rating,b,b,0.0,core_destroyed,78,,51,170,9,16,20,540,6,42,ok,,3.672,n-62-21-5,29052043,2026-08-08T05:52:56+0200
006362d296ff42f7,auto-a38ac295eef6,spar_mender@7ed1acc,spar_mender,7ed1acc,mjolnir@2e6c876,mjolnir,2e6c876,quarry,all_official,1,0,rating,a,a,1.0,core_destroyed,245,,18,1130,15,31,2308,3690,9,93,ok,,7.174,n-62-11-62,29052043,2026-08-08T05:52:17+0200
00c635b7fbbf8267,auto-a38ac295eef6,spar_mender@7ed1acc,spar_mender,7ed1acc,fenrir2@6b39ebb,fenrir2,6b39ebb,runestone,all_official,1,0,rating,a,a,1.0,core_destroyed,130,,19,590,12,28,10,290,4,24,ok,,4.206,n-62-30-25,29052043,2026-08-08T05:51:56+0200
00c6bf38f404d53f,auto-a38ac295eef6,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,spar_mender@7ed1acc,spar_mender,7ed1acc,showdown,all_official,1,0,rating,a,a,1.0,titanium_stored,1000,,18,0,6,12,16,0,12,1,ok,,9.113,n-62-31-16,29052043,2026-08-08T05:54:08+0200
00d17b9b3c4642a9,auto-a38ac295eef6,jotunn@6b39ebb,jotunn,6b39ebb,spar_mender@7ed1acc,spar_mender,7ed1acc,atoll,all_official,1,0,rating,b,b,0.0,core_destroyed,672,,428,2600,7,12,35,3320,21,29,ok,,16.059,n-62-13-7,29052043,2026-08-08T05:51:44+0200
00d3137d644025ec,auto-a38ac295eef6,spar_mender@7ed1acc,spar_mender,7ed1acc,ragnarok_fair@79582fc,ragnarok_fair,79582fc,drumlin,all_official,1,0,rating,a,a,1.0,core_destroyed,128,,116,1680,14,46,255,930,4,21,ok,,4.321,n-62-11-50,29052043,2026-08-08T05:53:34+0200
0101917f42d82eb4,auto-a38ac295eef6,spar_mender@7ed1acc,spar_mender,7ed1acc,freyr@c2c0d3d,freyr,c2c0d3d,runestone,all_official,1,0,rating,b,b,0.0,core_destroyed,98,,97,590,8,39,23,680,9,33,ok,,3.978,n-62-31-19,29052043,2026-08-08T05:51:39+0200
01418448ebdddb75,auto-a38ac295eef6,prospect@bf9b3e3,prospect,bf9b3e3,spar_mender@7ed1acc,spar_mender,7ed1acc,snowflake,all_official,1,0,rating,b,b,0.0,core_destroyed,197,,2200,2680,4,37,45,2090,21,33,ok,,10.224,n-62-30-25,29052043,2026-08-08T05:52:54+0200
0188666971b401ed,auto-a38ac295eef6,spar_mender@7ed1acc,spar_mender,7ed1acc,bastion@840a180,bastion,840a180,moonrise,all_official,1,0,rating,b,b,0.0,core_destroyed,160,,16,0,9,11,20,270,5,11,ok,,5.036,n-62-21-97,29052043,2026-08-08T05:51:26+0200
019c4936c0a49809,auto-a38ac295eef6,maporacle@38e1456,maporacle,38e1456,spar_mender@7ed1acc,spar_mender,7ed1acc,vase,all_official,1,0,rating,a,a,1.0,titanium_collected,1000,,479,2430,6,6,54,60,6,7,ok,,8.877,n-62-21-49,29052043,2026-08-08T05:51:34+0200
01bea9f1eba709b6,auto-a38ac295eef6,spar_mender@7ed1acc,spar_mender,7ed1acc,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,pinch,all_official,1,0,rating,b,b,0.0,core_destroyed,101,,58,230,10,13,11,480,6,24,ok,,3.562,n-62-11-66,29052043,2026-08-08T05:53:58+0200
01d82402af9fc75b,auto-a38ac295eef6,steward_reinforced@a8dc58a,steward_reinforced,a8dc58a,spar_mender@7ed1acc,spar_mender,7ed1acc,fjordgate,all_official,1,0,rating,b,b,0.0,core_destroyed,174,,11,0,7,1,10,140,6,5,ok,,4.076,n-62-29-32,29052043,2026-08-08T05:53:54+0200
01de25f9e5eeb8c7,auto-a38ac295eef6,spar_mender@7ed1acc,spar_mender,7ed1acc,e_t4l7@9e77076,e_t4l7,9e77076,longship,all_official,1,0,rating,a,a,1.0,core_destroyed,547,,20,5220,12,58,3982,5830,7,42,ok,,8.913,n-62-29-31,29052043,2026-08-08T05:52:26+0200
01e7697899c4be97,auto-a38ac295eef6,ragnarok_fair@79582fc,ragnarok_fair,79582fc,spar_mender@7ed1acc,spar_mender,7ed1acc,showdown,all_official,1,0,rating,b,b,0.0,core_destroyed,297,,10,0,2,0,9,0,9,1,ok,,4.134,n-62-11-55,29052043,2026-08-08T05:52:46+0200
021c3e6fec2c6ded,auto-a38ac295eef6,spar_mender@7ed1acc,spar_mender,7ed1acc,janus@8a1e7a1,janus,8a1e7a1,bridge,all_official,1,0,rating,b,b,0.0,core_destroyed,102,,8,200,10,13,72,590,10,17,ok,,5.114,n-62-21-2,29052043,2026-08-08T05:52:04+0200
021e1fd41e9646d8,auto-a38ac295eef6,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,spar_mender@7ed1acc,spar_mender,7ed1acc,drumlin,all_official,1,0,rating,a,a,1.0,core_destroyed,97,,64,1130,10,47,54,380,8,24,ok,,4.92,n-62-29-33,29052043,2026-08-08T05:54:00+0200
022a83ab6ef40efe,auto-a38ac295eef6,spar_mender@7ed1acc,spar_mender,7ed1acc,skadi@1e4eddf,skadi,1e4eddf,atoll,all_official,1,0,rating,b,b,0.0,titanium_collected,1000,,49,3100,22,47,300,4610,9,37,ok,,26.878,n-62-21-90,29052043,2026-08-08T05:53:40+0200
0236fe7fa30a85b6,auto-a38ac295eef6,spar_mender@7ed1acc,spar_mender,7ed1acc,janus@8a1e7a1,janus,8a1e7a1,sweden,all_official,1,0,rating,b,b,0.0,core_destroyed,177,,10,100,8,14,60,460,5,14,ok,,5.7,n-62-21-3,29052043,2026-08-08T05:52:02+0200
02548823f99ced09,auto-a38ac295eef6,janus@8a1e7a1,janus,8a1e7a1,spar_mender@7ed1acc,spar_mender,7ed1acc,strait,all_official,1,0,rating,a,a,1.0,core_destroyed,65,,10,190,8,15,206,280,8,25,ok,,3.878,n-62-21-3,29052043,2026-08-08T05:51:39+0200
02811e7ef2ed4418,auto-a38ac295eef6,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,spar_mender@7ed1acc,spar_mender,7ed1acc,nordkap,all_official,1,0,rating,a,a,1.0,core_destroyed,102,,10,370,8,16,35,30,6,27,ok,,3.77,n-62-11-66,29052043,2026-08-08T05:53:54+0200
028f3e2202aacfd8,auto-a38ac295eef6,spar_mender@7ed1acc,spar_mender,7ed1acc,odin@38e1456,odin,38e1456,duel,all_official,1,0,rating,b,b,0.0,core_destroyed,97,,57,630,10,26,20,450,2,9,ok,,3.827,n-62-21-92,29052043,2026-08-08T05:52:18+0200
02989d36c3437702,auto-a38ac295eef6,spar_mender@7ed1acc,spar_mender,7ed1acc,e_t4l7@9e77076,e_t4l7,9e77076,hive,all_official,1,0,rating,a,a,1.0,core_destroyed,474,,210,4450,20,45,2047,3360,1,62,ok,,10.606,n-62-29-31,29052043,2026-08-08T05:51:42+0200
02d06e621a738236,auto-a38ac295eef6,e_t4l7@9e77076,e_t4l7,9e77076,spar_mender@7ed1acc,spar_mender,7ed1acc,antler,all_official,1,0,rating,b,b,0.0,core_destroyed,270,,2611,3190,7,36,10,2090,17,34,ok,,7.243,n-62-29-21,29052043,2026-08-08T05:52:57+0200
03049554a2f1d5b2,auto-a38ac295eef6,spar_mender@7ed1acc,spar_mender,7ed1acc,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,pinch,all_official,1,0,rating,b,b,0.0,core_destroyed,101,,58,230,10,13,11,480,6,24,ok,,4.304,n-62-21-97,29052043,2026-08-08T05:54:01+0200
0354e7861b05fd0c,auto-a38ac295eef6,prospect@bf9b3e3,prospect,bf9b3e3,spar_mender@7ed1acc,spar_mender,7ed1acc,heart,all_official,1,0,rating,a,a,1.0,core_destroyed,189,,10,0,7,20,10,0,11,10,ok,,5.622,n-62-29-16,29052043,2026-08-08T05:53:30+0200
037a95c33e1acb01,auto-a38ac295eef6,odin@93e46da,odin,93e46da,spar_mender@7ed1acc,spar_mender,7ed1acc,sprint,all_official,1,0,rating,b,b,0.0,core_destroyed,538,,10,0,4,3,8,0,13,7,ok,,6.829,n-62-29-13,29052043,2026-08-08T05:53:46+0200
