rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,4782,3494,18,1270,0.7325,1.137391,197.6,1.137391,0.58946,-0.189057,0.0,-0.119545,8,-7
2,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,4782,3440,30,1312,0.7225,1.088677,189.1,1.088677,0.578298,-0.205874,0.0,-0.089612,7,-5
3,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,4782,3455,15,1312,0.7241,1.082446,188.0,1.082446,0.57777,-0.344812,0.0,-0.059719,3,0
4,steward_relent@7ed1acc,steward_relent,7ed1acc,4813,3481,15,1317,0.7248,1.081776,187.9,1.081776,0.532351,-0.297521,0.0,-0.059719,3,1
5,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,4782,3434,30,1318,0.7212,1.078677,187.4,1.078677,0.606957,-0.227931,0.0,-0.029853,2,3
6,freyr@c2c0d3d,freyr,c2c0d3d,4818,3485,15,1318,0.7249,1.076705,187.0,1.076705,0.651047,-0.338582,0.0,-0.059719,3,3
7,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,4782,3442,21,1319,0.722,1.07629,187.0,1.07629,0.617668,-0.266042,1.0,0.0,1,6
8,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,4782,3446,15,1321,0.7222,1.067966,185.5,1.067966,0.682751,-0.368943,0.0,-0.059719,3,5
9,skadi@6a2af02,skadi,6a2af02,4782,3271,47,1464,0.6889,0.983209,170.8,0.983209,0.334946,0.39466,0.0,-0.424157,12,-3
10,skadi@aad5f44,skadi,aad5f44,4782,3233,63,1486,0.6827,0.958167,166.5,0.958167,0.173918,0.352951,0.0,-0.300754,10,0
11,skadi@821d792,skadi,821d792,4782,3238,60,1484,0.6834,0.956841,166.2,0.956841,0.195558,0.318907,0.0,-0.239951,9,2
12,skadi@1e4eddf,skadi,1e4eddf,4782,3154,55,1573,0.6653,0.842704,146.4,0.842704,0.384259,0.232752,0.0,-0.455476,15,-3
13,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,4782,3188,41,1553,0.671,0.836348,145.3,0.836348,0.570375,-0.207325,0.0,-0.424157,12,1
14,vidar@8b87da5,vidar,8b87da5,4782,3083,40,1659,0.6489,0.801477,139.2,0.801477,0.18635,0.439259,0.0,-0.487015,17,-3
15,vidar@561800a,vidar,561800a,4782,3046,55,1681,0.6427,0.765964,133.1,0.765964,0.217696,0.426864,0.0,-0.583146,21,-6
16,vidar@ee47958,vidar,ee47958,4782,3045,55,1682,0.6425,0.752005,130.6,0.752005,0.209501,0.347134,0.0,-0.583146,21,-5
17,vidar_r2@c8b850e,vidar_r2,c8b850e,4781,3069,38,1674,0.6459,0.747545,129.9,0.747545,0.307649,0.250988,0.0,-0.455476,15,2
18,vidar_r3@c8b850e,vidar_r3,c8b850e,4778,3066,37,1675,0.6456,0.741811,128.9,0.741811,0.338852,0.227883,0.0,-0.393043,11,7
19,vidar_r1@c8b850e,vidar_r1,c8b850e,4782,3029,56,1697,0.6393,0.732484,127.2,0.732484,0.287249,0.344485,0.0,-0.583146,21,-2
20,vidar_noring@1b7a73a,vidar_noring,1b7a73a,4782,2813,24,1945,0.5908,0.514342,89.4,0.514342,0.091803,0.293038,0.0,-0.487015,17,3
21,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,4782,2793,24,1965,0.5866,0.47719,82.9,0.47719,0.155468,0.223656,0.0,-0.424157,12,9
22,steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,4782,2810,34,1938,0.5912,0.475207,82.6,0.475207,0.536023,-0.239667,0.0,-0.648695,26,-4
23,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,4782,2739,34,2009,0.5763,0.415944,72.3,0.415944,0.398171,0.297546,0.0,-1.118613,44,-21
24,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,4782,2734,34,2014,0.5753,0.411923,71.6,0.411923,0.481182,0.320575,0.0,-1.118613,44,-20
25,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,4782,2715,33,2034,0.5712,0.385394,66.9,0.385394,0.720485,-0.169079,0.0,-0.890315,30,-5
26,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,4782,2649,32,2101,0.5573,0.377345,65.6,0.377345,0.061252,0.523179,0.0,-1.039772,38,-12
27,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,4782,2681,34,2067,0.5642,0.361158,62.7,0.361158,0.392857,0.342306,0.0,-1.376992,58,-31
28,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,4782,2603,34,2145,0.5479,0.322223,56.0,0.322223,0.200902,0.468806,0.0,-1.039772,38,-10
29,vidar@1b7a73a,vidar,1b7a73a,4782,2600,34,2148,0.5473,0.302857,52.6,0.302857,0.234593,0.3773,0.0,-1.039772,38,-9
30,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,4782,2548,17,2217,0.5346,0.27824,48.3,0.27824,-0.061823,0.541892,0.0,-1.039772,38,-8
31,vidar@544eeb3,vidar,544eeb3,4782,2530,35,2217,0.5327,0.239945,41.7,0.239945,0.271005,0.495509,0.0,-1.200742,51,-20
32,undertow@fdc1e1f,undertow,fdc1e1f,4782,2461,0,2321,0.5146,0.215366,37.4,0.215366,-0.187218,-0.157753,0.0,-0.963793,35,-3
33,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,4782,2482,19,2281,0.521,0.20625,35.8,0.20625,-0.259952,-0.261969,0.0,-0.550831,19,14
34,vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,4782,2380,0,2402,0.4977,0.189513,32.9,0.189513,-0.795582,-0.446877,0.0,-0.615761,24,10
35,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,4782,2417,0,2365,0.5054,0.161858,28.1,0.161858,-0.282432,-0.205326,0.0,-0.819027,28,7
36,prospect@bf9b3e3,prospect,bf9b3e3,4782,2428,19,2335,0.5097,0.145469,25.3,0.145469,-0.200379,-0.261625,0.0,-0.550831,19,17
37,spar_mender@7ed1acc,spar_mender,7ed1acc,4818,2428,17,2373,0.5057,0.14282,24.8,0.14282,0.084372,0.293777,0.0,-0.890315,30,7
38,janus@8a1e7a1,janus,8a1e7a1,4782,2407,19,2356,0.5053,0.136926,23.8,0.136926,-0.353451,-0.258692,0.0,-0.681974,27,11
39,vidar_nogun@1b7a73a,vidar_nogun,1b7a73a,4782,2423,40,2319,0.5109,0.134054,23.3,0.134054,0.012403,0.420379,0.0,-1.159237,48,-9
40,heimdall@daf0de0,heimdall,daf0de0,4782,2422,14,2346,0.5079,0.129394,22.5,0.129394,-0.016134,0.169311,0.0,-1.118613,44,-4
41,vidar_png@1b7a73a,vidar_png,1b7a73a,4782,2407,27,2348,0.5062,0.122379,21.3,0.122379,-0.078164,0.58866,0.0,-1.159237,48,-7
42,warden_walk@e55aab5,warden_walk,e55aab5,4782,2377,13,2392,0.4984,0.083016,14.4,0.083016,-0.23274,0.286764,0.0,-1.472472,59,-17
43,odin@38e1456,odin,38e1456,4782,2366,4,2412,0.4952,0.080723,14.0,0.080723,-0.263234,0.265434,0.0,-1.039772,38,5
44,bastion@840a180,bastion,840a180,4782,2318,12,2452,0.486,0.045059,7.8,0.045059,0.136316,0.106949,0.0,-1.472472,59,-15
