match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
000143fbcfbfe8e8,auto-a4b9325b9465,vidar_r2@c8b850e,vidar_r2,c8b850e,jonbot@90fc9f3,jonbot,90fc9f3,duel,official,1,0,rating,a,a,1.0,core_destroyed,196,,18,480,7,9,66,20,4,7,ok,,3.416,n-62-11-60,29029435,2026-08-05T13:06:50+0200
000510742207b0ed,auto-a4b9325b9465,vidar_r1@c8b850e,vidar_r1,c8b850e,heimdall@38e1456,heimdall,38e1456,pinch,official,1,0,rating,a,a,1.0,core_destroyed,286,,53,2430,24,24,2389,2180,0,10,ok,,9.268,n-62-29-23,29029435,2026-08-05T12:59:03+0200
0005266a42ac0ea4,auto-a4b9325b9465,vidar_r1@c8b850e,vidar_r1,c8b850e,warden_walk@e55aab5,warden_walk,e55aab5,twins,official,1,0,rating,a,a,1.0,core_destroyed,235,,8,480,10,13,632,1770,5,95,ok,,5.168,n-62-31-22,29029435,2026-08-05T13:04:32+0200
000572ccfb4d1cb3,auto-a4b9325b9465,vidar_r2@c8b850e,vidar_r2,c8b850e,vidar_nogun@1b7a73a,vidar_nogun,1b7a73a,fjord,official,1,0,rating,b,b,0.0,titanium_collected,1000,,3875,6970,13,45,4992,7850,11,50,ok,,20.153,n-62-21-103,29029435,2026-08-05T13:10:57+0200
000a4f014e477525,auto-a4b9325b9465,vidar_r2@c8b850e,vidar_r2,c8b850e,vidar@544eeb3,vidar,544eeb3,showdown,official,1,0,rating,a,a,1.0,core_destroyed,153,,9,0,6,1,10,0,4,1,ok,,3.333,n-62-31-24,29029435,2026-08-05T13:09:14+0200
000ba769a7492924,auto-a4b9325b9465,vidar_r3@c8b850e,vidar_r3,c8b850e,tyr@2e6c876,tyr,2e6c876,vault,official,1,0,rating,a,a,1.0,titanium_collected,1000,,9352,9880,6,73,5797,5880,7,76,ok,,10.162,n-62-31-24,29029435,2026-08-05T13:15:38+0200
000d03b862993444,auto-a4b9325b9465,vidar_r1@c8b850e,vidar_r1,c8b850e,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,sweden,official,1,0,rating,b,b,0.0,core_destroyed,184,,29,70,5,16,20,230,2,20,ok,,3.85,n-62-21-99,29029435,2026-08-05T13:05:56+0200
000f859ae95ba0a0,auto-a4b9325b9465,vidar_r3@c8b850e,vidar_r3,c8b850e,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,jackpot,official,1,0,rating,a,a,1.0,core_destroyed,477,,19,1180,7,8,701,2330,6,7,ok,,6.197,n-62-11-66,29029435,2026-08-05T13:16:50+0200
0010c7b60960846d,auto-a4b9325b9465,vigil@18b749d,vigil,18b749d,vidar_r3@c8b850e,vidar_r3,c8b850e,duel,official,1,0,rating,b,b,0.0,core_destroyed,196,,714,930,4,11,43,840,9,30,ok,,5.278,n-62-29-15,29029435,2026-08-05T13:19:51+0200
001438ccfde73cf3,auto-a4b9325b9465,vidar_r1@c8b850e,vidar_r1,c8b850e,pantheon_puppet@5a92113,pantheon_puppet,5a92113,runestone,official,1,0,rating,a,a,1.0,core_destroyed,78,,16,250,6,17,10,0,6,0,ok,,3.632,n-62-12-3,29029435,2026-08-05T12:58:44+0200
0016a479b5042b45,auto-a4b9325b9465,vidar_pn@1b7a73a,vidar_pn,1b7a73a,vidar_r1@c8b850e,vidar_r1,c8b850e,showdown,official,1,0,rating,a,a,1.0,core_destroyed,153,,9,0,6,1,10,0,4,1,ok,,2.915,n-62-29-19,29029435,2026-08-05T13:06:56+0200
001a7512794b4f4e,auto-a4b9325b9465,vidar_r3@c8b850e,vidar_r3,c8b850e,vidar_gg@1b7a73a,vidar_gg,1b7a73a,skerry,official,1,0,rating,a,a,1.0,core_destroyed,140,,156,1270,7,30,11,960,11,36,ok,,5.042,n-62-29-23,29029435,2026-08-05T13:20:21+0200
001aa90be2517079,auto-a4b9325b9465,strategist@2e6eca5,strategist,2e6eca5,vidar_r1@c8b850e,vidar_r1,c8b850e,skerry,official,1,0,rating,b,b,0.0,core_destroyed,305,,1642,2220,10,24,10,2160,6,52,ok,,6.174,n-62-21-65,29029435,2026-08-05T12:59:24+0200
001c319f27b5a2bf,auto-a4b9325b9465,vidar_r1@c8b850e,vidar_r1,c8b850e,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,jackpot,official,1,0,rating,a,a,1.0,core_destroyed,163,,10,970,12,39,1022,880,5,25,ok,,5.523,n-62-21-92,29029435,2026-08-05T13:02:07+0200
00213cebe427434f,auto-a4b9325b9465,vidar_r1@c8b850e,vidar_r1,c8b850e,steward@e55aab5,steward,e55aab5,strait,official,1,0,rating,a,a,1.0,core_destroyed,181,,16,830,10,35,60,1290,7,47,ok,,4.645,n-62-12-65,29029435,2026-08-05T12:59:23+0200
00256591dcc2c959,auto-a4b9325b9465,vidar_r3@c8b850e,vidar_r3,c8b850e,bastion@840a180,bastion,840a180,runestone,official,1,0,rating,a,a,1.0,titanium_collected,1000,,12640,17760,11,77,5902,13840,10,62,ok,,37.708,n-62-28-35,29029435,2026-08-05T13:13:20+0200
0025fc5f7afb12d6,auto-a4b9325b9465,odin@93e46da,odin,93e46da,vidar_r1@c8b850e,vidar_r1,c8b850e,sweden,official,1,0,rating,b,b,0.0,titanium_collected,1000,,1701,90,0,1,5612,7360,12,36,ok,,20.419,n-62-11-50,29029435,2026-08-05T13:00:09+0200
0028b28488c170c2,auto-a4b9325b9465,tyr_hint@2e6c876,tyr_hint,2e6c876,vidar_r3@c8b850e,vidar_r3,c8b850e,quarry,official,1,0,rating,b,b,0.0,titanium_collected,1000,,8371,10520,3,90,9013,11560,12,58,ok,,42.667,n-62-31-10,29029435,2026-08-05T13:17:30+0200
0029bc0d0ef44d0c,auto-a4b9325b9465,vidar_r2@c8b850e,vidar_r2,c8b850e,tyr_retgt@2e6c876,tyr_retgt,2e6c876,strait,official,1,0,rating,a,a,1.0,titanium_collected,1000,,11027,11520,7,70,5144,4320,4,20,ok,,13.575,n-62-31-24,29029435,2026-08-05T13:10:43+0200
002bba4974410be8,auto-a4b9325b9465,vidar_r2@c8b850e,vidar_r2,c8b850e,mistral_fast@26b5aa1,mistral_fast,26b5aa1,atoll,official,1,0,rating,a,a,1.0,core_destroyed,132,,60,620,10,13,70,0,1,0,ok,,3.801,n-62-29-29,29029435,2026-08-05T13:07:09+0200
002f78843a5416df,auto-a4b9325b9465,valkyrie@d181312,valkyrie,d181312,vidar_r2@c8b850e,vidar_r2,c8b850e,hive,official,1,0,rating,b,b,0.0,core_destroyed,121,,11,610,10,39,75,1010,11,52,ok,,5.789,n-62-31-21,29029435,2026-08-05T13:10:08+0200
00340b1122a75aa0,auto-a4b9325b9465,vidar_r3@c8b850e,vidar_r3,c8b850e,vidar2_g3@544eeb3,vidar2_g3,544eeb3,twins,official,1,0,rating,a,a,1.0,core_destroyed,136,,96,860,7,40,511,880,8,25,ok,,4.013,n-62-11-61,29029435,2026-08-05T13:18:21+0200
003ad79de76a87af,auto-a4b9325b9465,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,vidar_r3@c8b850e,vidar_r3,c8b850e,runestone,official,1,0,rating,a,a,1.0,titanium_collected,1000,,9170,10540,11,52,6873,7690,9,43,ok,,16.667,n-62-31-10,29029435,2026-08-05T13:21:25+0200
004aaa5f19b72509,auto-a4b9325b9465,vidar_r3@c8b850e,vidar_r3,c8b850e,vanguard@c407e79,vanguard,c407e79,twins,official,1,0,rating,a,a,1.0,core_destroyed,362,,6,880,7,13,71,2070,8,20,ok,,5.738,n-62-11-64,29029435,2026-08-05T13:17:49+0200
004acc32b4cb647b,auto-a4b9325b9465,vidar_r1@c8b850e,vidar_r1,c8b850e,steward@e55aab5,steward,e55aab5,runestone,official,1,0,rating,a,a,1.0,core_destroyed,142,,85,920,8,47,43,960,11,48,ok,,4.755,n-62-12-64,29029435,2026-08-05T13:01:00+0200
004eaedd12929057,auto-a4b9325b9465,strategist@2a19238,strategist,2a19238,vidar_r1@c8b850e,vidar_r1,c8b850e,aurora,official,1,0,rating,b,b,0.0,core_destroyed,75,,352,280,5,47,12,400,6,44,ok,,2.492,n-62-12-66,29029435,2026-08-05T12:58:36+0200
005033952368e990,auto-a4b9325b9465,vidar_r2@c8b850e,vidar_r2,c8b850e,v233_a@9713344,v233_a,9713344,aurora,official,1,0,rating,a,a,1.0,core_destroyed,77,,30,540,6,52,84,170,10,12,ok,,3.673,n-62-31-9,29029435,2026-08-05T13:08:53+0200
0052c490a8644977,auto-a4b9325b9465,vidar_r2@c8b850e,vidar_r2,c8b850e,pantheon_puppet@5a92113,pantheon_puppet,5a92113,skerry,official,1,0,rating,a,a,1.0,core_destroyed,98,,71,660,10,16,38,0,4,0,ok,,4.923,n-62-11-69,29029435,2026-08-05T13:07:19+0200
00530b729a3f4c0d,auto-a4b9325b9465,valkyrie_atk2@7227061,valkyrie_atk2,7227061,vidar_r2@c8b850e,vidar_r2,c8b850e,crossfire,official,1,0,rating,b,b,0.0,core_destroyed,172,,55,890,5,24,42,1290,10,42,ok,,7.703,n-62-28-29,29029435,2026-08-05T13:10:05+0200
0054fb4063a617a7,auto-a4b9325b9465,odin@93e46da,odin,93e46da,vidar_r1@c8b850e,vidar_r1,c8b850e,skerry,official,1,0,rating,a,a,1.0,titanium_collected,1000,,7094,11840,8,58,3589,7390,10,24,ok,,11.198,n-62-11-50,29029435,2026-08-05T12:58:53+0200
005b15f4c64447b5,auto-a4b9325b9465,vidar_r1@c8b850e,vidar_r1,c8b850e,vidar_gg@1b7a73a,vidar_gg,1b7a73a,pinch,official,1,0,rating,a,a,1.0,titanium_collected,1000,,8063,9410,7,42,4182,4710,5,20,ok,,11.371,n-62-29-12,29029435,2026-08-05T13:04:03+0200
006526fc57697daa,auto-a4b9325b9465,vidar_r3@c8b850e,vidar_r3,c8b850e,v233_f@9713344,v233_f,9713344,longship,official,1,0,rating,a,a,1.0,core_destroyed,82,,10,460,7,40,95,500,12,15,ok,,4.575,n-62-31-24,29029435,2026-08-05T13:15:39+0200
0069be0cb154924c,auto-a4b9325b9465,vidar_r2@c8b850e,vidar_r2,c8b850e,uw_v2@9713344,uw_v2,9713344,sprint,official,1,0,rating,b,b,0.0,titanium_stored,1000,,12,0,7,7,1242,0,5,12,ok,,7.16,n-62-11-60,29029435,2026-08-05T13:09:21+0200
006f1707d1e0a484,auto-a4b9325b9465,gobbleglitch@6cdc440,gobbleglitch,6cdc440,vidar_r2@c8b850e,vidar_r2,c8b850e,fjord,official,1,0,rating,b,b,0.0,core_destroyed,92,,70,200,5,3,39,420,9,10,ok,,3.737,n-62-11-60,29029435,2026-08-05T13:07:04+0200
00770aa0a141a5d8,auto-a4b9325b9465,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,vidar_r1@c8b850e,vidar_r1,c8b850e,quarry,official,1,0,rating,b,b,0.0,titanium_collected,1000,,14924,15830,5,129,16592,18270,11,170,ok,,60.317,n-62-28-30,29029435,2026-08-05T13:06:37+0200
0077b6f4ac13ed9a,auto-a4b9325b9465,vidar_r1@c8b850e,vidar_r1,c8b850e,heimdall@840a180,heimdall,840a180,twins,official,1,0,rating,a,a,1.0,core_destroyed,118,,70,710,7,45,1089,940,2,21,ok,,3.675,n-62-29-12,29029435,2026-08-05T12:59:59+0200
007f52fb65504ef8,auto-a4b9325b9465,mjolnir@2e6c876,mjolnir,2e6c876,vidar_r2@c8b850e,vidar_r2,c8b850e,duel,official,1,0,rating,b,b,0.0,titanium_collected,1000,,1965,1270,3,8,4994,4830,5,29,ok,,7.266,n-62-29-12,29029435,2026-08-05T13:06:49+0200
00814ecd03b2e6a7,auto-a4b9325b9465,vidar_noecon@544eeb3,vidar_noecon,544eeb3,vidar_r1@c8b850e,vidar_r1,c8b850e,runestone,official,1,0,rating,b,b,0.0,titanium_collected,1000,,11362,11470,5,70,14286,16800,13,146,ok,,12.814,n-62-29-10,29029435,2026-08-05T13:04:16+0200
0087bdbc8b63e304,auto-a4b9325b9465,vidar_r3@c8b850e,vidar_r3,c8b850e,jonbot_190003d@90fc9f3,jonbot_190003d,90fc9f3,longship,official,1,0,rating,a,a,1.0,core_destroyed,226,,10,610,5,29,44,0,8,8,ok,,4.402,n-62-31-11,29029435,2026-08-05T13:14:16+0200
008cbcefbc053b4b,auto-a4b9325b9465,undertow@da3fd8a,undertow,da3fd8a,vidar_r3@c8b850e,vidar_r3,c8b850e,jackpot,official,1,0,rating,a,a,1.0,core_destroyed,121,,306,530,4,7,40,530,10,28,ok,,4.366,n-62-11-65,29029435,2026-08-05T13:16:19+0200
008cf6c7753e6d93,auto-a4b9325b9465,vidar_r2@c8b850e,vidar_r2,c8b850e,maporacle@38e1456,maporacle,38e1456,vase,official,1,0,rating,a,a,1.0,core_destroyed,160,,47,360,5,8,404,360,3,6,ok,,4.569,n-62-29-19,29029435,2026-08-05T13:07:00+0200
008d97bebbcf782f,auto-a4b9325b9465,odin@5a92113,odin,5a92113,vidar_r1@c8b850e,vidar_r1,c8b850e,sweden,official,1,0,rating,b,b,0.0,titanium_collected,1000,,1620,170,0,2,4331,5380,9,31,ok,,14.086,n-62-11-57,29029435,2026-08-05T12:59:39+0200
008ed583eae8badb,auto-a4b9325b9465,uw_v1@9713344,uw_v1,9713344,vidar_r3@c8b850e,vidar_r3,c8b850e,twins,official,1,0,rating,b,b,0.0,core_destroyed,74,,75,160,9,13,25,560,6,48,ok,,3.861,n-62-31-23,29029435,2026-08-05T13:16:11+0200
