rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vidar@8b87da5,vidar,8b87da5,5712,4362,17,1333,0.7651,1.31696,228.8,1.31696,0.633439,-0.486474,0.221883,-0.0,1,0
2,vidar_r2@c8b850e,vidar_r2,c8b850e,5710,4360,13,1337,0.7647,1.296417,225.2,1.296417,0.72952,-0.54943,0.0,-0.010097,5,-3
3,vidar_r3@c8b850e,vidar_r3,c8b850e,5710,4359,13,1338,0.7645,1.294591,224.9,1.294591,0.741452,-0.554187,0.0,-0.010097,5,-2
4,vidar@ee47958,vidar,ee47958,5712,4331,13,1368,0.7594,1.275548,221.6,1.275548,0.650943,-0.421427,0.0,-0.14823,8,-4
5,vidar_r1@c8b850e,vidar_r1,c8b850e,5708,4327,13,1368,0.7592,1.269655,220.6,1.269655,0.680052,-0.436343,0.0,-0.14823,8,-3
6,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,5712,4025,10,1677,0.7055,1.002632,174.2,1.002632,0.347832,-0.282778,0.0,-0.303044,22,-16
7,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,5712,4063,10,1639,0.7122,0.985404,171.2,0.985404,0.456917,-0.54006,0.352124,0.0,1,6
8,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,5712,4061,10,1641,0.7118,0.98233,170.6,0.98233,0.469152,-0.543914,0.352461,0.0,1,7
9,vidar_noring@1b7a73a,vidar_noring,1b7a73a,5712,3947,12,1753,0.6921,0.934123,162.3,0.934123,0.319125,-0.365247,0.0,-0.510682,41,-32
10,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,5712,3941,12,1759,0.691,0.926288,160.9,0.926288,0.364776,-0.526391,0.0,-0.712022,57,-47
11,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,5712,3975,10,1727,0.6968,0.921614,160.1,0.921614,0.473353,-0.403611,0.0,-0.25304,17,-6
