match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
000c4009778369c9,auto-a6502712d5ba,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,snotra_h@4437c29,snotra_h,4437c29,moonrise,all_official,1,0,rating,b,b,0.0,core_destroyed,61,,59,30,8,8,19,230,7,8,ok,,3.227,n-62-29-15,29052673,2026-08-08T14:56:36+0200
000cd299a3a26212,auto-a6502712d5ba,fulla@ec5aa19,fulla,ec5aa19,snotra_h@4437c29,snotra_h,4437c29,bridge,all_official,1,0,rating,a,a,1.0,titanium_collected,1000,,172,2460,28,10,20,0,14,5,ok,,39.681,n-62-12-5,29052673,2026-08-08T14:53:41+0200
001c2b1f2859580c,auto-a6502712d5ba,snotra_h@4437c29,snotra_h,4437c29,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,antler,all_official,1,0,rating,b,b,0.0,core_destroyed,239,,8,840,5,13,1,1150,8,13,ok,,4.471,n-62-29-21,29052673,2026-08-08T14:54:33+0200
00208fc7d7438c2e,auto-a6502712d5ba,snotra_h@4437c29,snotra_h,4437c29,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,fjord,all_official,1,0,rating,b,b,0.0,core_destroyed,70,,83,450,11,21,12,450,8,29,ok,,3.72,n-62-28-34,29052673,2026-08-08T14:57:29+0200
0020ed9895c0efe0,auto-a6502712d5ba,maporacle@38e1456,maporacle,38e1456,snotra_h@4437c29,snotra_h,4437c29,runestone,all_official,1,0,rating,b,b,0.0,core_destroyed,91,,9,200,9,12,9,200,9,9,ok,,3.799,n-62-30-25,29052673,2026-08-08T14:53:10+0200
0021da282d1b103e,auto-a6502712d5ba,snotra_h@4437c29,snotra_h,4437c29,freyr@c2c0d3d,freyr,c2c0d3d,hive,all_official,1,0,rating,b,b,0.0,core_destroyed,56,,18,120,9,19,16,180,8,22,ok,,3.489,n-62-11-52,29052673,2026-08-08T14:52:31+0200
002fe5fc71dbbf5c,auto-a6502712d5ba,snotra_h@4437c29,snotra_h,4437c29,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,string,all_official,1,0,rating,b,b,0.0,core_destroyed,163,,10,40,5,1,10,930,15,11,ok,,4.921,n-62-11-62,29052673,2026-08-08T14:55:19+0200
003f9f523b8c7cbe,auto-a6502712d5ba,skadi@aad5f44,skadi,aad5f44,snotra_h@4437c29,snotra_h,4437c29,bridge,all_official,1,0,rating,b,b,0.0,core_destroyed,482,,1852,2900,4,13,10,0,9,6,ok,,12.164,n-62-28-28,29052673,2026-08-08T14:55:19+0200
0054ace722f2a435,auto-a6502712d5ba,snotra_h@4437c29,snotra_h,4437c29,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,drumlin,all_official,1,0,rating,a,a,1.0,core_destroyed,51,,4,240,7,19,6,160,9,10,ok,,3.143,n-62-11-64,29052673,2026-08-08T14:53:33+0200
005bed97e3a7723b,auto-a6502712d5ba,spar_sniper@aa24129,spar_sniper,aa24129,snotra_h@4437c29,snotra_h,4437c29,archipelago,all_official,1,0,rating,b,b,0.0,core_destroyed,63,,59,330,7,27,9,360,7,24,ok,,3.261,n-62-29-31,29052673,2026-08-08T14:54:48+0200
