rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,snotra_h@4437c29,snotra_h,4437c29,5871,4304,7,1560,0.7337,1.145943,199.1,1.145943,-0.136835,-0.537732,1.0,0.0,1,0
2,snotra@34b0ce8,snotra,34b0ce8,5874,4298,5,1571,0.7321,1.134078,197.0,1.134078,-0.169319,-0.579405,0.0,-0.059719,2,0
3,gefn@46ac5e6,gefn,46ac5e6,5874,4231,6,1637,0.7208,1.078127,187.3,1.078127,-0.088219,-0.403389,0.0,-0.300754,11,-8
4,fulla@ec5aa19,fulla,ec5aa19,5874,4228,1,1645,0.7199,1.077164,187.1,1.077164,-0.059093,-0.348691,0.0,-0.300754,11,-7
5,forseti@37dc858,forseti,37dc858,5874,4152,8,1714,0.7075,1.016656,176.6,1.016656,-0.027933,-0.811711,0.0,-0.239951,6,-1
6,magni@3677a66,magni,3677a66,5874,4151,8,1715,0.7074,1.012352,175.9,1.012352,-0.025855,-0.822796,0.0,-0.179586,4,2
7,hodr@ea88247,hodr,ea88247,5874,4149,8,1717,0.707,1.009025,175.3,1.009025,-0.046115,-0.840556,0.0,-0.239951,6,1
8,mimir@cfc1ec4,mimir,cfc1ec4,5874,4058,8,1808,0.6915,0.923967,160.5,0.923967,-0.126386,-0.693172,0.0,-0.239951,6,2
9,spar_sniper@aa24129,spar_sniper,aa24129,5874,4030,12,1832,0.6871,0.912078,158.4,0.912078,-0.065946,-0.612068,0.0,-0.179586,4,5
10,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,5838,3985,20,1833,0.6843,0.9112,158.3,0.9112,0.090454,-0.538473,0.0,-0.393043,23,-13
11,steward_relent@7ed1acc,steward_relent,7ed1acc,5874,4030,17,1827,0.6875,0.903136,156.9,0.903136,-0.115181,-0.48287,0.0,-0.300754,11,0
12,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,5838,3995,17,1826,0.6858,0.89915,156.2,0.89915,-0.126624,-0.547639,0.0,-0.300754,11,1
13,freyr@c2c0d3d,freyr,c2c0d3d,5874,4025,16,1833,0.6866,0.894097,155.3,0.894097,-0.107672,-0.600828,0.0,-0.300754,11,2
14,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,5838,3956,37,1845,0.6808,0.889815,154.6,0.889815,-0.01068,-0.492508,0.0,-0.300754,11,3
15,njord@f66a427,njord,f66a427,5874,4012,18,1844,0.6845,0.8897,154.6,0.8897,-0.067123,-0.593383,0.0,-0.300754,11,4
16,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,5838,3975,23,1840,0.6829,0.889336,154.5,0.889336,-0.052641,-0.538597,0.0,-0.300754,11,5
17,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,5838,3986,17,1835,0.6842,0.887244,154.1,0.887244,-0.124741,-0.641124,0.0,-0.300754,11,6
18,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,5838,3953,37,1848,0.6803,0.883589,153.5,0.883589,-0.032802,-0.51775,0.0,-0.300754,11,7
19,vali@7bc75e8,vali,7bc75e8,5874,3979,17,1878,0.6788,0.856605,148.8,0.856605,-0.130741,-0.615753,0.0,-0.239951,6,13
20,ullr@7d1ab4e,ullr,7d1ab4e,5874,3968,19,1887,0.6771,0.850362,147.7,0.850362,-0.10385,-0.625753,0.0,-0.239951,6,14
21,gefjon@f66a427,gefjon,f66a427,5874,3906,25,1943,0.6671,0.832615,144.6,0.832615,-0.033812,0.060787,0.0,-0.089612,3,18
22,sif@3fc5cd8,sif,3fc5cd8,5874,3876,4,1994,0.6602,0.801622,139.3,0.801622,0.007918,-0.070102,0.0,-0.362115,21,1
23,skadi@6a2af02,skadi,6a2af02,5838,3736,48,2054,0.6441,0.76661,133.2,0.76661,0.474817,-0.020109,0.0,-0.362115,21,2
24,skadi@821d792,skadi,821d792,5838,3694,62,2082,0.6381,0.739078,128.4,0.739078,0.367925,0.075937,0.0,-0.487015,24,0
25,skadi@aad5f44,skadi,aad5f44,5838,3676,65,2097,0.6352,0.731117,127.0,0.731117,0.410619,0.095211,0.0,-0.487015,24,1
26,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,5838,3615,45,2178,0.6231,0.619952,107.7,0.619952,0.076822,-0.460533,0.0,-0.963793,37,-11
27,skadi@1e4eddf,skadi,1e4eddf,5838,3543,59,2236,0.6119,0.597852,103.9,0.597852,0.457375,-0.118181,0.0,-0.819027,31,-4
28,vidar@8b87da5,vidar,8b87da5,5838,3469,41,2328,0.5977,0.560404,97.4,0.560404,0.564863,0.125572,0.0,-0.749659,30,-2
29,vidar_r2@c8b850e,vidar_r2,c8b850e,5838,3498,42,2298,0.6028,0.54855,95.3,0.54855,0.310001,-0.036842,0.0,-0.550831,27,2
30,vidar_r3@c8b850e,vidar_r3,c8b850e,5835,3499,41,2295,0.6032,0.546547,94.9,0.546547,0.284457,-0.067504,0.0,-0.544302,26,4
31,vidar@561800a,vidar,561800a,5838,3419,59,2360,0.5907,0.522667,90.8,0.522667,0.551086,0.092111,0.0,-0.890315,35,-4
32,vidar@ee47958,vidar,ee47958,5838,3418,59,2361,0.5905,0.51119,88.8,0.51119,0.48839,0.056834,0.0,-0.890315,35,-3
33,vidar_r1@c8b850e,vidar_r1,c8b850e,5838,3393,60,2385,0.5863,0.487864,84.8,0.487864,0.519637,-0.006536,0.0,-0.963793,37,-4
34,audhumla@a7faecd,audhumla,a7faecd,5874,3202,9,2663,0.5459,0.326597,56.7,0.326597,-0.249534,0.354113,0.0,-0.819027,31,3
35,vidar_noring@1b7a73a,vidar_noring,1b7a73a,5838,3174,29,2635,0.5462,0.306988,53.3,0.306988,0.342681,0.187131,0.0,-0.615761,28,7
36,steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,5838,3188,44,2606,0.5498,0.290328,50.4,0.290328,-0.050462,-0.402831,0.0,-1.118613,44,-8
37,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,5838,3157,29,2652,0.5433,0.27891,48.5,0.27891,0.251806,0.099031,0.0,-0.615761,28,9
38,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,5838,3060,40,2738,0.5276,0.186605,32.4,0.186605,0.097673,-0.527251,0.0,-1.472472,66,-28
39,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,5838,3022,34,2782,0.5206,0.159229,27.7,0.159229,0.581549,-0.113998,0.0,-1.118613,44,-5
40,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,5838,3017,34,2787,0.5197,0.155923,27.1,0.155923,0.614695,-0.167363,0.0,-1.118613,44,-4
41,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,5838,2939,39,2860,0.5068,0.138073,24.0,0.138073,0.580214,0.25905,0.0,-1.159237,51,-10
42,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,5838,2956,34,2848,0.5092,0.102364,17.8,0.102364,0.656826,-0.104115,0.0,-1.118613,44,-2
43,spar_mender@d5b46bc,spar_mender,d5b46bc,5874,2985,46,2843,0.5121,0.097326,16.9,0.097326,-0.10776,-0.599592,0.0,-0.854415,34,9
44,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,5838,2898,34,2906,0.4993,0.09301,16.2,0.09301,0.553813,0.126093,0.0,-1.286665,55,-11
45,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,5838,2870,17,2951,0.4931,0.08298,14.4,0.08298,0.381857,0.343117,0.0,-0.963793,37,8
46,vidar@1b7a73a,vidar,1b7a73a,5838,2895,34,2909,0.4988,0.077088,13.4,0.077088,0.491684,0.054826,0.0,-1.286665,55,-9
47,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,5838,2855,19,2964,0.4907,0.059472,10.3,0.059472,-0.304611,0.225357,0.0,-1.118613,44,3
48,undertow@fdc1e1f,undertow,fdc1e1f,5838,2784,0,3054,0.4769,0.029599,5.1,0.029599,-0.066613,0.321642,0.0,-0.819027,31,17
49,vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,5838,2722,0,3116,0.4663,0.022288,3.9,0.022288,-0.414523,0.712242,0.0,-1.118613,44,5
50,vidar@544eeb3,vidar,544eeb3,5838,2816,35,2987,0.4854,0.015947,2.8,0.015947,0.591542,0.063688,0.0,-1.286665,55,-5
51,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,5838,2755,0,3083,0.4719,-0.000726,-0.1,-0.000726,-0.230838,0.374837,0.0,-0.963793,37,14
52,prospect@bf9b3e3,prospect,bf9b3e3,5838,2765,19,3054,0.4752,-0.018408,-3.2,-0.018408,-0.244273,0.15725,0.0,-1.376992,64,-12
53,janus@8a1e7a1,janus,8a1e7a1,5838,2742,19,3077,0.4713,-0.027325,-4.7,-0.027325,-0.266092,0.286198,0.0,-1.376992,64,-11
54,heimdall@daf0de0,heimdall,daf0de0,5838,2694,15,3129,0.4627,-0.083985,-14.6,-0.083985,0.213472,0.147224,0.0,-1.286665,55,-1
