rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,4980,3600,18,1362,0.7247,1.098679,190.9,1.098679,0.124303,0.576057,0.0,-0.119545,9,-8
2,steward_relent@7ed1acc,steward_relent,7ed1acc,5016,3603,16,1397,0.7199,1.05679,183.6,1.05679,0.274813,0.509846,0.0,-0.059719,3,-1
3,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,4980,3549,35,1396,0.7162,1.056444,183.5,1.056444,0.163672,0.55271,0.0,-0.089612,8,-5
4,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,4980,3571,16,1393,0.7187,1.054474,183.2,1.054474,0.307101,0.564284,0.0,-0.059719,3,1
5,freyr@c2c0d3d,freyr,c2c0d3d,5016,3601,16,1399,0.7195,1.048957,182.2,1.048957,0.298797,0.62963,0.0,-0.059719,3,2
6,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,4980,3545,35,1400,0.7154,1.048388,182.1,1.048388,0.189138,0.574841,0.0,-0.029853,2,4
7,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,4980,3557,22,1401,0.7165,1.047648,182.0,1.047648,0.229655,0.588276,1.0,0.0,1,6
8,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,4980,3562,16,1402,0.7169,1.040559,180.8,1.040559,0.327276,0.661484,0.0,-0.059719,3,5
9,vali@7bc75e8,vali,7bc75e8,5016,3562,17,1437,0.7118,1.010568,175.6,1.010568,0.321688,0.633805,0.0,-0.179586,10,-1
10,ullr@7d1ab4e,ullr,7d1ab4e,5016,3556,17,1443,0.7106,1.006374,174.8,1.006374,0.296112,0.652992,0.0,-0.059719,3,7
11,skadi@6a2af02,skadi,6a2af02,4980,3359,47,1574,0.6792,0.936244,162.6,0.936244,-0.451292,0.290397,0.0,-0.424157,14,-3
12,skadi@821d792,skadi,821d792,4980,3331,61,1588,0.675,0.915271,159.0,0.915271,-0.357294,0.1526,0.0,-0.239951,11,1
13,skadi@aad5f44,skadi,aad5f44,4980,3324,64,1592,0.6739,0.914966,158.9,0.914966,-0.392443,0.134623,0.0,-0.300754,12,1
14,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,4980,3288,44,1648,0.6647,0.806391,140.1,0.806391,0.167774,0.535728,0.0,-0.424157,14,0
15,skadi@1e4eddf,skadi,1e4eddf,4980,3237,57,1686,0.6557,0.797997,138.6,0.797997,-0.295732,0.341126,0.0,-0.455476,17,-2
16,vidar@8b87da5,vidar,8b87da5,4980,3159,40,1781,0.6384,0.752042,130.6,0.752042,-0.500147,0.136173,0.0,-0.487015,19,-3
17,vidar@561800a,vidar,561800a,4980,3125,57,1798,0.6332,0.72094,125.2,0.72094,-0.473332,0.163622,0.0,-0.583146,23,-6
18,vidar@ee47958,vidar,ee47958,4980,3124,57,1799,0.633,0.707524,122.9,0.707524,-0.395558,0.165334,0.0,-0.583146,23,-5
19,vidar_r2@c8b850e,vidar_r2,c8b850e,4980,3153,40,1787,0.6371,0.707116,122.8,0.707116,-0.289919,0.261925,0.0,-0.455476,17,2
20,vidar_r3@c8b850e,vidar_r3,c8b850e,4980,3152,39,1789,0.6368,0.702174,122.0,0.702174,-0.266232,0.289091,0.0,-0.393043,13,7
21,vidar_r1@c8b850e,vidar_r1,c8b850e,4980,3108,58,1814,0.6299,0.688764,119.7,0.688764,-0.393781,0.23489,0.0,-0.583146,23,-2
22,vidar_noring@1b7a73a,vidar_noring,1b7a73a,4980,2886,24,2070,0.5819,0.473656,82.3,0.473656,-0.326913,0.043869,0.0,-0.487015,19,3
23,steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,4980,2894,39,2047,0.585,0.446724,77.6,0.446724,0.20341,0.497467,0.0,-0.648695,28,-5
24,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,4980,2869,24,2087,0.5785,0.440439,76.5,0.440439,-0.247984,0.107265,0.0,-0.424157,14,10
25,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,4980,2795,34,2151,0.5647,0.362732,63.0,0.362732,-0.380856,0.37239,0.0,-1.118613,47,-22
26,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,4980,2790,34,2156,0.5637,0.358867,62.3,0.358867,-0.405597,0.444652,0.0,-1.118613,47,-21
27,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,4980,2797,38,2145,0.5655,0.358629,62.3,0.358629,0.139555,0.665037,0.0,-0.890315,33,-6
28,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,4980,2711,32,2237,0.5476,0.331496,57.6,0.331496,-0.553777,0.015196,0.0,-1.039772,41,-13
29,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,4980,2731,34,2215,0.5518,0.303756,52.8,0.303756,-0.435645,0.368828,0.0,-1.376992,61,-32
30,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,4980,2663,34,2283,0.5382,0.277153,48.1,0.277153,-0.503625,0.148938,0.0,-1.039772,41,-11
31,spar_mender@d5b46bc,spar_mender,d5b46bc,5016,2740,33,2243,0.5495,0.260582,45.3,0.260582,0.316743,0.69534,0.0,-0.784119,30,1
32,vidar@1b7a73a,vidar,1b7a73a,4980,2660,34,2286,0.5376,0.258542,44.9,0.258542,-0.416235,0.189385,0.0,-1.039772,41,-9
33,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,4980,2609,17,2354,0.5256,0.236041,41.0,0.236041,-0.549562,-0.106578,0.0,-1.039772,41,-8
34,vidar@544eeb3,vidar,544eeb3,4980,2583,35,2362,0.5222,0.191139,33.2,0.191139,-0.541769,0.218057,0.0,-1.200742,54,-20
35,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,4980,2570,19,2391,0.518,0.189415,32.9,0.189415,0.286743,-0.276236,0.0,-0.550831,21,14
36,undertow@fdc1e1f,undertow,fdc1e1f,4980,2531,0,2449,0.5082,0.181826,31.6,0.181826,0.120551,-0.186343,0.0,-0.963793,38,-2
37,vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,4980,2459,0,2521,0.4938,0.165968,28.8,0.165968,0.440634,-0.745456,0.0,-0.615761,26,11
38,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,4980,2492,0,2488,0.5004,0.13608,23.6,0.13608,0.19697,-0.284087,0.0,-0.819027,31,7
39,prospect@bf9b3e3,prospect,bf9b3e3,4980,2509,19,2452,0.5057,0.125204,21.8,0.125204,0.274895,-0.212284,0.0,-0.550831,21,18
40,janus@8a1e7a1,janus,8a1e7a1,4980,2487,19,2474,0.5013,0.116026,20.2,0.116026,0.274086,-0.352446,0.0,-0.681974,29,11
41,spar_mender@7ed1acc,spar_mender,7ed1acc,5016,2490,17,2509,0.4981,0.106976,18.6,0.106976,-0.293595,0.050102,0.0,-0.890315,33,8
42,heimdall@daf0de0,heimdall,daf0de0,4980,2488,14,2478,0.501,0.096074,16.7,0.096074,-0.17286,-0.044811,0.0,-1.118613,47,-5
43,vidar_nogun@1b7a73a,vidar_nogun,1b7a73a,4980,2473,42,2465,0.5008,0.0874,15.2,0.0874,-0.449726,-0.0086,0.0,-1.159237,51,-8
44,vidar_png@1b7a73a,vidar_png,1b7a73a,4980,2454,29,2497,0.4957,0.073236,12.7,0.073236,-0.609878,-0.099892,0.0,-1.159237,51,-7
45,odin@38e1456,odin,38e1456,4980,2429,4,2547,0.4882,0.04799,8.3,0.04799,-0.251665,-0.291872,0.0,-1.039772,41,4
46,warden_walk@e55aab5,warden_walk,e55aab5,4980,2439,13,2528,0.4911,0.045892,8.0,0.045892,-0.295979,-0.267791,0.0,-1.472472,62,-16
47,vidar2@544eeb3,vidar2,544eeb3,4980,2365,53,2562,0.4802,0.013608,2.4,0.013608,-0.325494,-0.368115,0.0,-0.963793,38,9
48,bastion@840a180,bastion,840a180,4980,2380,12,2588,0.4791,0.010263,1.8,0.010263,-0.137173,0.096475,0.0,-1.472472,62,-14
49,fenrir2@6b39ebb,fenrir2,6b39ebb,5016,2390,7,2619,0.4772,-0.002846,-0.5,-0.002846,-0.381838,-0.354549,0.0,-0.819027,31,18
50,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,4980,2396,5,2579,0.4816,-0.004532,-0.8,-0.004532,0.698444,0.224887,0.0,-0.615761,26,24
51,vidar_ggng@1b7a73a,vidar_ggng,1b7a73a,4980,2372,20,2588,0.4783,-0.006863,-1.2,-0.006863,-0.701765,-0.209712,0.0,-1.331235,60,-9
52,v233_i@902be71,v233_i,902be71,4980,2283,0,2697,0.4584,-0.028876,-5.0,-0.028876,0.21178,-0.497446,0.0,-0.890315,33,19
53,odin@93e46da,odin,93e46da,4980,2336,6,2638,0.4697,-0.030896,-5.4,-0.030896,-0.323286,-0.413495,0.0,-0.890315,33,20
54,vigil@e267eeb,vigil,e267eeb,4980,2329,22,2629,0.4699,-0.034541,-6.0,-0.034541,0.242409,-0.726547,0.0,-0.926762,37,17
55,aegis@e55aab5,aegis,e55aab5,4980,2307,10,2663,0.4643,-0.070627,-12.3,-0.070627,-0.006547,-0.396277,0.0,-1.286665,57,-2
56,steward_reinforced@a8dc58a,steward_reinforced,a8dc58a,4980,2296,24,2660,0.4635,-0.088195,-15.3,-0.088195,0.197263,0.558398,0.0,-1.286665,57,-1
57,maporacle@38e1456,maporacle,38e1456,4980,2294,5,2681,0.4611,-0.092145,-16.0,-0.092145,-0.212157,-0.260095,0.0,-1.118613,47,10
58,ragnarok_fair@79582fc,ragnarok_fair,79582fc,4980,2262,11,2707,0.4553,-0.105199,-18.3,-0.105199,-0.111969,-0.339194,0.0,-1.472472,62,-4
59,tyr@2e6c876,tyr,2e6c876,4980,2221,24,2735,0.4484,-0.138835,-24.1,-0.138835,-0.656031,-0.348824,0.0,-1.522427,66,-7
60,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,4980,2154,21,2805,0.4346,-0.171781,-29.8,-0.171781,0.180681,-0.605715,0.0,-1.159237,51,9
61,mjolnir@2e6c876,mjolnir,2e6c876,4980,2156,36,2788,0.4365,-0.20952,-36.4,-0.20952,-0.540974,-0.381193,0.0,-1.574036,67,-6
62,valkyrie_econ2@7227061,valkyrie_econ2,7227061,4980,2108,12,2860,0.4245,-0.256063,-44.5,-0.256063,-0.132206,-0.81674,0.0,-1.039772,41,21
63,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,4980,2033,0,2947,0.4082,-0.288671,-50.1,-0.288671,0.443609,-0.537618,0.0,-0.963793,38,25
64,valkyrie_atk2@7227061,valkyrie_atk2,7227061,4980,2038,9,2933,0.4101,-0.30704,-53.3,-0.30704,0.107045,-0.383203,0.0,-1.286665,57,7
65,jotunn@6b39ebb,jotunn,6b39ebb,5016,1751,5,3260,0.3496,-0.684253,-118.9,-0.684253,-0.543259,-1.171215,0.0,-1.928961,69,-4
66,jonbot_190003d@90fc9f3,jonbot_190003d,90fc9f3,4980,1557,0,3423,0.3127,-0.794094,-137.9,-0.794094,0.766443,0.13641,0.0,-1.200742,54,12
67,gobbleglitch@6cdc440,gobbleglitch,6cdc440,4980,1439,1,3540,0.2891,-0.911936,-158.4,-0.911936,0.50658,-0.200022,0.0,-1.574036,67,0
68,e_t4l7@9e77076,e_t4l7,9e77076,4980,1349,0,3631,0.2709,-1.102545,-191.5,-1.102545,0.570405,-0.973122,0.0,-1.200742,54,14
69,vigil_reinforcements@2e6c876,vigil_reinforcements,2e6c876,4980,1226,6,3748,0.2468,-1.176278,-204.3,-1.176278,0.275374,-0.015277,0.0,-2.071073,71,-2
70,jonbot@90fc9f3,jonbot,90fc9f3,4980,1057,0,3923,0.2122,-1.404713,-244.0,-1.404713,0.234213,-0.275895,0.0,-2.230841,72,-2
71,tempest@90fc9f3,tempest,90fc9f3,4980,967,1,4012,0.1943,-1.512974,-262.8,-1.512974,0.150706,0.412717,0.0,-2.898277,74,-3
72,strategist@2e6eca5,strategist,2e6eca5,4980,963,3,4014,0.1937,-1.58928,-276.1,-1.58928,1.29102,-0.228792,0.0,-1.472472,62,10
73,strategist@2a19238,strategist,2a19238,4980,956,3,4021,0.1923,-1.60937,-279.6,-1.60937,1.345593,-0.204205,0.0,-1.928961,69,4
74,casemate_oracle@90fc9f3,casemate_oracle,90fc9f3,4980,595,0,4385,0.1195,-2.110872,-366.7,-2.110872,0.944821,-0.128302,0.0,-2.414289,73,1
75,warden_@d142ef0,warden_,d142ef0,2568,256,0,2312,0.0997,-2.56599,-445.8,-2.56599,0.197252,-1.091258,0.0,-4.110874,76,-1
76,mistral@90fc9f3,mistral,90fc9f3,4980,367,2,4611,0.0739,-2.915647,-506.5,-2.915647,0.265829,-0.178564,0.0,-3.250374,75,1
77,lockin@90fc9f3,lockin,90fc9f3,4980,18,6,4956,0.0042,-4.599444,-799.0,-4.599444,0.740711,0.086925,0.0,-4.890349,77,0
