rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,spar_sentinel@213b430,spar_sentinel,213b430,7524,5592,8,1924,0.7438,1.233339,214.3,1.233339,0.25571,-0.362691,0.0,-0.114585,12,-11
2,freyja@6a8a5f7,freyja,6a8a5f7,7524,5556,17,1951,0.7396,1.19177,207.0,1.19177,0.376015,-0.542163,0.236213,0.0,1,1
3,vili@1a0c1ad,vili,1a0c1ad,7524,5530,16,1978,0.736,1.176434,204.4,1.176434,0.407279,-0.558852,0.0,-0.054854,10,-7
4,hlin@6b5d86e,hlin,6b5d86e,7524,5368,6,2150,0.7138,1.068619,185.6,1.068619,-0.257965,-0.10751,0.0,-0.026794,7,-3
5,frigg@55df097,frigg,55df097,7524,5369,6,2149,0.714,1.066493,185.3,1.066493,-0.243919,-0.130243,0.0,-0.026794,7,-2
6,gefn@60ae5f1,gefn,60ae5f1,7524,5290,5,2229,0.7034,1.046068,181.7,1.046068,0.084731,-0.002608,0.0,-0.018348,6,0
7,syn@5bf798e,syn,5bf798e,7524,5285,6,2233,0.7028,1.033512,179.5,1.033512,0.13081,-0.1052,0.0,-0.001455,4,3
8,lofn@c8d0165,lofn,c8d0165,7524,5332,6,2186,0.7091,1.030601,179.0,1.030601,-0.337786,-0.185632,0.724521,-0.0,1,7
9,nanna@55df097,nanna,55df097,7524,5294,6,2224,0.704,1.003566,174.3,1.003566,-0.324662,-0.185276,0.0,-0.026794,7,2
10,bil@6b5d86e,bil,6b5d86e,7524,5269,6,2249,0.7007,0.986615,171.4,0.986615,-0.358663,-0.14147,0.0,-0.00237,5,5
11,snotra_h@4437c29,snotra_h,4437c29,7524,5129,7,2388,0.6822,0.896064,155.7,0.896064,0.240963,-0.462284,0.0,-0.348332,20,-9
12,bragi@db77268,bragi,db77268,7524,5119,7,2398,0.6808,0.887445,154.2,0.887445,0.20733,-0.396763,0.0,-0.274726,13,-1
13,snotra@34b0ce8,snotra,34b0ce8,7524,5102,5,2417,0.6784,0.876539,152.3,0.876539,0.263826,-0.498036,0.0,-0.378254,23,-10
14,hoenir@5907a3b,hoenir,5907a3b,7524,5061,9,2454,0.6732,0.852264,148.1,0.852264,-0.057124,-0.510346,0.0,-0.281176,14,0
15,gefn@46ac5e6,gefn,46ac5e6,7524,5014,6,2504,0.6668,0.821514,142.7,0.821514,0.209253,-0.32981,0.0,-0.405695,26,-11
16,vor@c32539f,vor,c32539f,7524,5010,1,2513,0.6659,0.819791,142.4,0.819791,0.244676,-0.303327,0.0,-0.433921,27,-11
17,fulla@ec5aa19,fulla,ec5aa19,7524,5006,1,2517,0.6654,0.818078,142.1,0.818078,0.192111,-0.277299,0.0,-0.433921,27,-10
18,vidarr@c9193be,vidarr,c9193be,7524,4928,14,2582,0.6559,0.791457,137.5,0.791457,0.180773,-0.177682,0.0,-0.526942,37,-19
19,bifrost@c70c467,bifrost,c70c467,7524,4945,9,2570,0.6578,0.776172,134.8,0.776172,-0.151221,-0.390758,0.0,-0.328707,19,0
20,mani@11aec08,mani,11aec08,7524,4943,11,2570,0.6577,0.772048,134.1,0.772048,-0.278223,-0.139774,0.0,-0.105436,11,9
21,forseti@37dc858,forseti,37dc858,7524,4902,8,2614,0.652,0.755681,131.3,0.755681,0.524386,-0.549034,0.0,-0.542047,39,-18
22,ostara@832c68a,ostara,832c68a,7524,4895,5,2624,0.6509,0.752591,130.7,0.752591,0.067482,-0.142933,0.0,-0.395069,25,-3
23,magni@3677a66,magni,3677a66,7524,4897,8,2619,0.6514,0.750116,130.3,0.750116,0.529115,-0.561334,0.0,-0.542047,39,-16
24,hodr@ea88247,hodr,ea88247,7524,4896,8,2620,0.6512,0.748044,129.9,0.748044,0.529436,-0.580514,0.0,-0.542047,39,-15
25,spork@05ab6a2,spork,05ab6a2,7524,4839,5,2680,0.6435,0.716401,124.5,0.716401,0.030435,-0.092196,0.0,-0.363276,21,4
26,saga@db77268,saga,db77268,7524,4824,9,2691,0.6417,0.712129,123.7,0.712129,0.060748,-0.085682,0.0,-0.370686,22,4
27,loki@832c68a,loki,832c68a,7524,4794,1,2729,0.6372,0.68859,119.6,0.68859,0.141138,-0.16835,0.0,-0.45847,30,-3
28,mimir@cfc1ec4,mimir,cfc1ec4,7524,4799,8,2717,0.6384,0.678362,117.8,0.678362,0.362738,-0.532995,0.0,-0.551748,43,-15
29,steward_relent@7ed1acc,steward_relent,7ed1acc,7524,4783,19,2722,0.637,0.669476,116.3,0.669476,0.234881,-0.374624,0.0,-0.495004,32,-3
30,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,7488,4725,22,2741,0.6325,0.668999,116.2,0.668999,0.387071,-0.288993,0.0,-0.390847,24,6
31,spar_sniper@aa24129,spar_sniper,aa24129,7524,4769,12,2743,0.6346,0.667936,116.0,0.667936,0.343154,-0.447675,0.0,-0.554119,44,-13
32,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,7488,4741,19,2728,0.6344,0.662555,115.1,0.662555,0.278748,-0.420782,0.0,-0.512547,33,-1
33,tyr@a41cf22,tyr,a41cf22,7524,4738,20,2766,0.631,0.659198,114.5,0.659198,0.354514,-0.453015,0.0,-0.290598,16,17
34,freyr@c2c0d3d,freyr,c2c0d3d,7524,4771,18,2735,0.6353,0.658601,114.4,0.658601,0.317921,-0.450114,0.0,-0.512547,33,1
35,loki@9ac8974,loki,9ac8974,7524,4756,1,2767,0.6322,0.657386,114.2,0.657386,0.021435,-0.18716,0.0,-0.437424,29,6
36,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,7488,4732,19,2737,0.6332,0.653238,113.5,0.653238,0.32845,-0.488537,0.0,-0.512547,33,3
37,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,7488,4715,25,2748,0.6313,0.651583,113.2,0.651583,0.302159,-0.379862,0.0,-0.512547,33,4
