rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,spar_sentinel@213b430,spar_sentinel,213b430,7458,5553,8,1897,0.7451,1.240981,215.6,1.240981,0.068266,0.439009,0.0,-0.114585,12,-11
2,freyja@6a8a5f7,freyja,6a8a5f7,7458,5521,17,1920,0.7414,1.201176,208.7,1.201176,0.107832,0.654299,0.236213,0.0,1,1
3,vili@1a0c1ad,vili,1a0c1ad,7458,5496,16,1946,0.738,1.18623,206.1,1.18623,0.098195,0.688973,0.0,-0.054854,10,-7
4,hlin@6b5d86e,hlin,6b5d86e,7458,5328,6,2124,0.7148,1.074272,186.6,1.074272,0.265192,-0.096583,0.0,-0.026794,7,-3
5,frigg@55df097,frigg,55df097,7458,5329,6,2123,0.7149,1.072127,186.2,1.072127,0.270474,-0.069876,0.0,-0.026794,7,-2
6,gefn@60ae5f1,gefn,60ae5f1,7458,5241,5,2212,0.7031,1.046124,181.7,1.046124,-0.084777,0.05928,0.0,-0.018348,6,0
7,lofn@c8d0165,lofn,c8d0165,7458,5293,6,2159,0.7101,1.036465,180.1,1.036465,0.379891,-0.094086,0.724521,-0.0,1,6
8,syn@5bf798e,syn,5bf798e,7458,5239,6,2213,0.7029,1.035393,179.9,1.035393,-0.041463,0.167043,0.0,-0.001455,4,4
9,nanna@55df097,nanna,55df097,7457,5254,6,2197,0.705,1.008974,175.3,1.008974,0.368711,-0.082856,0.0,-0.026794,7,2
10,bil@6b5d86e,bil,6b5d86e,7458,5230,6,2222,0.7017,0.992093,172.3,0.992093,0.362781,-0.139427,0.0,-0.00237,5,5
11,snotra_h@4437c29,snotra_h,4437c29,7458,5094,7,2357,0.6835,0.902875,156.8,0.902875,0.14701,0.512035,0.0,-0.348332,19,-8
12,bragi@db77268,bragi,db77268,7458,5081,7,2370,0.6818,0.892592,155.1,0.892592,0.119895,0.438835,0.0,-0.274726,13,-1
13,snotra@34b0ce8,snotra,34b0ce8,7458,5066,5,2387,0.6796,0.882652,153.3,0.882652,0.152827,0.55551,0.0,-0.378254,22,-9
14,hoenir@5907a3b,hoenir,5907a3b,7458,5028,9,2421,0.6748,0.85974,149.4,0.85974,0.402943,0.338417,0.0,-0.281176,14,0
15,gefn@46ac5e6,gefn,46ac5e6,7458,4980,6,2472,0.6681,0.828196,143.9,0.828196,0.078498,0.395005,0.0,-0.405695,25,-10
16,vor@c32539f,vor,c32539f,7458,4975,1,2482,0.6671,0.825934,143.5,0.825934,0.031955,0.399455,0.0,-0.433921,26,-10
17,fulla@ec5aa19,fulla,ec5aa19,7458,4972,1,2485,0.6667,0.824731,143.3,0.824731,0.054785,0.344656,0.0,-0.433921,26,-9
18,vidarr@c9193be,vidarr,c9193be,7458,4886,14,2558,0.6561,0.793567,137.9,0.793567,-0.024449,0.253043,0.0,-0.526942,36,-18
19,bifrost@c70c467,bifrost,c70c467,7458,4912,9,2537,0.6592,0.782981,136.0,0.782981,0.388469,0.187606,0.0,-0.328708,18,1
20,mani@11aec08,mani,11aec08,7458,4906,11,2541,0.6586,0.776715,134.9,0.776715,0.297601,-0.087792,0.0,-0.105436,11,9
21,forseti@37dc858,forseti,37dc858,7458,4869,8,2581,0.6534,0.76231,132.4,0.76231,-0.003374,0.768613,0.0,-0.542047,38,-17
22,magni@3677a66,magni,3677a66,7458,4863,8,2587,0.6526,0.756172,131.4,0.756172,-0.00042,0.781249,0.0,-0.542047,38,-16
23,ostara@832c68a,ostara,832c68a,7458,4856,5,2597,0.6514,0.756016,131.3,0.756016,0.039444,0.151665,0.0,-0.395069,24,-1
24,hodr@ea88247,hodr,ea88247,7458,4863,8,2587,0.6526,0.754605,131.1,0.754605,0.014533,0.795544,0.0,-0.542047,38,-14
25,spork@05ab6a2,spork,05ab6a2,7458,4804,5,2649,0.6445,0.721637,125.4,0.721637,0.038309,0.090274,0.0,-0.363276,20,5
26,saga@db77268,saga,db77268,7456,4788,9,2659,0.6428,0.718275,124.8,0.718275,0.000671,0.107638,0.0,-0.370687,21,5
27,loki@832c68a,loki,832c68a,7458,4761,1,2696,0.6384,0.69463,120.7,0.69463,0.014477,0.232252,0.0,-0.45847,29,-2
28,mimir@cfc1ec4,mimir,cfc1ec4,7458,4766,8,2684,0.6396,0.684312,118.9,0.684312,0.103226,0.646888,0.0,-0.551749,42,-14
29,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,7422,4692,21,2709,0.6336,0.674606,117.2,0.674606,-0.085894,0.487752,0.0,-0.390847,23,6
30,steward_relent@7ed1acc,steward_relent,7ed1acc,7458,4749,18,2691,0.638,0.674562,117.2,0.674562,0.084153,0.445738,0.0,-0.495004,31,-1
31,spar_sniper@aa24129,spar_sniper,aa24129,7458,4736,12,2710,0.6358,0.673795,117.1,0.673795,0.058296,0.571555,0.0,-0.554119,43,-12
32,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,7422,4707,18,2697,0.6354,0.667581,116.0,0.667581,0.083415,0.509786,0.0,-0.512547,32,0
33,loki@9ac8974,loki,9ac8974,7458,4725,1,2732,0.6336,0.664202,115.4,0.664202,0.119137,0.162284,0.0,-0.437424,28,5
34,freyr@c2c0d3d,freyr,c2c0d3d,7458,4737,17,2704,0.6363,0.663592,115.3,0.663592,0.074548,0.55846,0.0,-0.512547,32,2
35,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,7422,4698,18,2706,0.6342,0.658182,114.3,0.658182,0.09325,0.594205,0.0,-0.512547,32,3
36,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,7422,4681,24,2717,0.6323,0.656512,114.0,0.656512,0.037592,0.495039,0.0,-0.512547,32,4
37,njord@f66a427,njord,f66a427,7458,4711,19,2728,0.6329,0.652659,113.4,0.652659,0.031498,0.546779,0.0,-0.566823,45,-8
38,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,7422,4634,39,2749,0.627,0.642103,111.5,0.642103,-0.001585,0.462228,0.0,-0.609999,51,-13
39,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,7422,4631,39,2752,0.6266,0.637189,110.7,0.637189,0.025457,0.483655,0.0,-0.612408,53,-14
40,gefjon@f66a427,gefjon,f66a427,7458,4657,29,2772,0.6264,0.63603,110.5,0.63603,0.077144,-0.098948,0.0,-0.543367,41,-1
41,vali@7bc75e8,vali,7bc75e8,7458,4673,18,2767,0.6278,0.623886,108.4,0.623886,0.089071,0.566969,0.0,-0.55959,44,-3
42,ullr@7d1ab4e,ullr,7d1ab4e,7458,4659,20,2779,0.626,0.617029,107.2,0.617029,0.070223,0.578606,0.0,-0.609999,51,-9
43,sif@3fc5cd8,sif,3fc5cd8,7458,4581,7,2870,0.6147,0.587283,102.0,0.587283,0.019978,0.033375,0.0,-0.488254,30,13
44,skadi@6a2af02,skadi,6a2af02,7422,4449,48,2925,0.6027,0.562788,97.8,0.562788,-0.474543,-0.089326,0.039266,-0.0,1,43
45,skadi@821d792,skadi,821d792,7422,4346,62,3014,0.5897,0.507286,88.1,0.507286,-0.400308,-0.15253,0.0,-0.284772,15,30
46,skadi@aad5f44,skadi,aad5f44,7422,4322,65,3035,0.5867,0.497604,86.4,0.497604,-0.44763,-0.168974,0.0,-0.301611,16,30
47,skadi@1e4eddf,skadi,1e4eddf,7422,4108,59,3255,0.5575,0.346112,60.1,0.346112,-0.507924,0.046511,0.0,-0.536013,37,10
48,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,7422,4139,45,3238,0.5607,0.340115,59.1,0.340115,-0.098959,0.480971,0.0,-0.919121,58,-10
49,vidar@8b87da5,vidar,8b87da5,7422,4051,49,3322,0.5491,0.328538,57.1,0.328538,-0.577677,-0.166943,0.0,-0.68619,54,-5
50,vidar_r2@c8b850e,vidar_r2,c8b850e,7422,4087,43,3292,0.5536,0.320989,55.8,0.320989,-0.365028,-0.050564,0.0,-0.694771,55,-5
51,vidar_r3@c8b850e,vidar_r3,c8b850e,7422,4091,41,3290,0.554,0.320102,55.6,0.320102,-0.33585,-0.023143,0.0,-0.696001,56,-5
52,byggvir@6b5d86e,byggvir,6b5d86e,7458,4095,1,3362,0.5491,0.309435,53.8,0.309435,-0.022508,-0.269509,0.0,-0.709102,57,-5
53,byggvir@5bf798e,byggvir,5bf798e,7458,4094,1,3363,0.549,0.302947,52.6,0.302947,-0.059963,-0.213324,0.0,-0.599605,49,4
54,byggvir@55df097,byggvir,55df097,7458,4093,1,3364,0.5489,0.300131,52.1,0.300131,-0.036914,-0.214094,0.0,-0.599605,49,5
55,vidar@561800a,vidar,561800a,7422,3986,59,3377,0.541,0.28759,50.0,0.28759,-0.581556,-0.15697,0.0,-0.570169,46,9
56,vidar@ee47958,vidar,ee47958,7422,3985,59,3378,0.5409,0.278529,48.4,0.278529,-0.528497,-0.128482,0.0,-0.570169,46,10
57,vidar_r1@c8b850e,vidar_r1,c8b850e,7422,3958,60,3404,0.5373,0.258875,45.0,0.258875,-0.548725,-0.073496,0.0,-0.571462,48,9
58,audhumla@a7faecd,audhumla,a7faecd,7458,3829,9,3620,0.514,0.169073,29.4,0.169073,0.230122,-0.477333,0.0,-0.320641,17,41
59,vidar_noring@1b7a73a,vidar_noring,1b7a73a,7422,3623,38,3761,0.4907,0.045686,7.9,0.045686,-0.413111,-0.198187,0.0,-1.332211,78,-19
60,steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,7422,3628,47,3747,0.492,0.024927,4.3,0.024927,0.029431,0.400764,0.0,-1.311008,77,-17
61,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,7422,3602,38,3782,0.4879,0.020362,3.5,0.020362,-0.327852,-0.127645,0.0,-1.276484,74,-13
62,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,7422,3474,42,3906,0.4709,-0.075718,-13.2,-0.075718,-0.120352,0.50298,0.0,-1.35017,83,-21
63,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,7422,3457,35,3930,0.4681,-0.083883,-14.6,-0.083883,-0.664867,0.061681,0.0,-1.214853,70,-7
64,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,7422,3452,35,3935,0.4675,-0.086493,-15.0,-0.086493,-0.684137,0.11166,0.0,-1.214853,70,-6
65,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,7422,3376,43,4003,0.4578,-0.097437,-16.9,-0.097437,-0.618164,-0.260658,0.0,-1.210366,68,-3
66,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,7422,3426,35,3961,0.464,-0.107258,-18.6,-0.107258,-0.711486,0.009249,0.0,-0.960363,60,6
67,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,7422,3326,35,4061,0.4505,-0.142924,-24.8,-0.142924,-0.60588,-0.156501,0.0,-1.345979,81,-14
68,vidar@1b7a73a,vidar,1b7a73a,7422,3323,35,4064,0.4501,-0.155494,-27.0,-0.155494,-0.549192,-0.095707,0.0,-1.345979,81,-13
69,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,7422,3282,19,4121,0.4435,-0.167457,-29.1,-0.167457,0.244321,-0.173501,0.0,-1.302919,76,-7
70,vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,7422,3184,0,4238,0.429,-0.172461,-30.0,-0.172461,0.236218,-0.687413,0.0,-1.257771,72,-2
71,spar_mender@d5b46bc,spar_mender,d5b46bc,7458,3337,64,4057,0.4517,-0.181537,-31.5,-0.181537,0.028967,0.556721,0.0,-1.518844,90,-19
72,undertow@fdc1e1f,undertow,fdc1e1f,7422,3209,0,4213,0.4324,-0.186063,-32.3,-0.186063,-0.021491,-0.364389,0.0,-1.097723,64,8
