match_id,tournament_id,bot_id,bot_name,bot_commit,map,seed,guard_tle_ms,result,match_status,error,turns,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,max_round,timeouts,bot_exceptions,terminal_starts,close_threshold_us,limit_us,host,lsf_job,finished_at
d6df5dae01465831,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,antler,1,12,pass,ok,,27,181,29,40,77,771,3612,2,0,0,0,9000,10000,n-62-21-98,29043403,2026-08-06T18:33:00+0200
ed5083c333d4b7c6,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,archipelago,1,12,pass,ok,,27,123,44,63,1500,2059,7467,26,0,0,0,9000,10000,n-62-21-98,29043403,2026-08-06T18:33:02+0200
b55749ed3fae3879,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,atoll,1,12,pass,ok,,27,161,26,54,74,1070,5057,26,0,0,0,9000,10000,n-62-21-98,29043403,2026-08-06T18:33:04+0200
a134219a0e8e4f3b,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,aurora,1,12,pass,ok,,27,136,42,58,704,1768,5305,2,0,0,0,9000,10000,n-62-21-98,29043403,2026-08-06T18:33:05+0200
f9db192d434ff900,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,bridge,1,12,pass,ok,,27,143,27,59,599,928,2455,26,0,0,0,9000,10000,n-62-21-98,29043403,2026-08-06T18:33:07+0200
994310b4d38e69d9,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,crossfire,1,12,pass,ok,,27,177,25,46,67,946,3439,2,0,0,0,9000,10000,n-62-21-98,29043403,2026-08-06T18:33:09+0200
6423354c6aaf14bd,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,drumlin,1,12,pass,ok,,27,143,26,48,544,1428,6617,26,0,0,0,9000,10000,n-62-29-24,29043403,2026-08-06T18:32:34+0200
50e609fd8665fa98,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,duel,1,12,pass,ok,,27,189,23,36,61,687,2501,2,0,0,0,9000,10000,n-62-29-24,29043403,2026-08-06T18:32:36+0200
320c898ec97e39ac,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,eider,1,12,pass,ok,,27,181,26,42,64,1312,3765,24,0,0,0,9000,10000,n-62-29-24,29043403,2026-08-06T18:32:38+0200
301f360bebffdc13,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,fjord,1,12,pass,ok,,27,141,37,61,526,1228,5084,26,0,0,0,9000,10000,n-62-29-24,29043403,2026-08-06T18:32:40+0200
0c57ed92d285db5f,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,fjordgate,1,12,pass,ok,,27,233,29,49,57,632,2538,2,0,0,0,9000,10000,n-62-29-24,29043403,2026-08-06T18:32:42+0200
6f73ca58dfcc3408,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,heart,1,12,pass,ok,,27,192,30,47,64,730,3668,5,0,0,0,9000,10000,n-62-29-24,29043403,2026-08-06T18:32:44+0200
95c9079d20d658ce,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,hive,1,12,pass,ok,,27,137,49,65,772,1601,4535,2,0,0,0,9000,10000,n-62-29-24,29043403,2026-08-06T18:32:45+0200
780f951f3ffaf63d,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,jackpot,1,12,pass,ok,,27,144,34,56,467,967,2745,26,0,0,0,9000,10000,n-62-29-24,29043403,2026-08-06T18:32:47+0200
c3442de67f1ae605,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,lighthouse,1,12,pass,ok,,27,182,30,39,66,653,3219,2,0,0,0,9000,10000,n-62-29-24,29043403,2026-08-06T18:32:49+0200
c77fd55a89dae170,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,longship,1,12,pass,ok,,27,138,42,58,585,1368,2974,2,0,0,0,9000,10000,n-62-29-24,29043403,2026-08-06T18:32:51+0200
f259d00d385772ef,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,meander,1,12,pass,ok,,27,203,25,38,52,674,3345,4,0,0,0,9000,10000,n-62-29-27,29043403,2026-08-06T18:32:35+0200
a19d565a35c1ca9e,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,moonrise,1,12,pass,ok,,27,190,24,39,58,598,2957,2,0,0,0,9000,10000,n-62-29-27,29043403,2026-08-06T18:32:37+0200
08e2fa9cb8839a55,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,nordkap,1,12,pass,ok,,27,183,23,41,60,745,3709,14,0,0,0,9000,10000,n-62-29-27,29043403,2026-08-06T18:32:39+0200
6cda50a3eba3903d,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,pinch,1,12,pass,ok,,27,150,25,56,426,1070,4364,26,0,0,0,9000,10000,n-62-29-27,29043403,2026-08-06T18:32:41+0200
4c756f89f0524849,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,quarry,1,12,pass,ok,,27,132,41,56,784,1474,4216,2,0,0,0,9000,10000,n-62-29-27,29043403,2026-08-06T18:32:42+0200
93e65e9772a1b845,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,runestone,1,12,pass,ok,,27,144,32,53,592,1352,5911,26,0,0,0,9000,10000,n-62-29-27,29043403,2026-08-06T18:32:44+0200
bb84f16e4b75e85a,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,saga,1,12,pass,ok,,27,136,40,54,707,1337,4263,2,0,0,0,9000,10000,n-62-29-27,29043403,2026-08-06T18:32:46+0200
beb565e6f16134cd,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,showdown,1,12,pass,ok,,27,200,25,36,52,617,2983,2,0,0,0,9000,10000,n-62-29-27,29043403,2026-08-06T18:32:47+0200
6562cb942fcd7097,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,skerry,1,12,pass,ok,,27,141,31,52,543,1204,5010,26,0,0,0,9000,10000,n-62-29-27,29043403,2026-08-06T18:32:49+0200
b1c2483c8df0268d,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,snowflake,1,12,pass,ok,,27,140,30,56,623,1529,6559,26,0,0,0,9000,10000,n-62-29-27,29043403,2026-08-06T18:32:51+0200
0a40791e8e51a58c,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,sprint,1,12,pass,ok,,27,200,24,40,59,638,2245,10,0,0,0,9000,10000,n-62-29-12,29043403,2026-08-06T18:32:36+0200
7bb5b0a885e9d372,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,strait,1,12,pass,ok,,27,136,50,63,741,1448,2930,2,0,0,0,9000,10000,n-62-29-12,29043403,2026-08-06T18:32:37+0200
e8bc495772a56e0c,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,string,1,12,pass,ok,,27,179,24,40,63,692,2016,24,0,0,0,9000,10000,n-62-29-12,29043403,2026-08-06T18:32:39+0200
5815e6792d6ba087,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,sweden,1,12,pass,ok,,27,136,37,61,655,1131,2251,24,0,0,0,9000,10000,n-62-29-12,29043403,2026-08-06T18:32:41+0200
befb011312654347,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,twins,1,12,pass,ok,,27,136,38,56,651,1248,2803,2,0,0,0,9000,10000,n-62-29-12,29043403,2026-08-06T18:32:42+0200
57bc2f55b5c8f442,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,vase,1,12,pass,ok,,27,174,24,36,70,865,2414,21,0,0,0,9000,10000,n-62-29-12,29043403,2026-08-06T18:32:44+0200
62aebe1603bb8820,auto-b10e94bd7fe6,fenrir2@6b39ebb,fenrir2,6b39ebb,vault,1,12,pass,ok,,27,137,38,52,599,1203,5440,26,0,0,0,9000,10000,n-62-29-12,29043403,2026-08-06T18:32:46+0200
06f54dd4ba6cccaf,auto-b10e94bd7fe6,jotunn@6b39ebb,jotunn,6b39ebb,antler,1,12,pass,ok,,27,138,35,52,576,852,1183,1,0,0,0,9000,10000,n-62-29-12,29043403,2026-08-06T18:32:47+0200
e50fd7ae32582ea3,auto-b10e94bd7fe6,jotunn@6b39ebb,jotunn,6b39ebb,archipelago,1,12,pass,ok,,27,122,39,54,736,1353,2113,15,0,0,0,9000,10000,n-62-29-12,29043403,2026-08-06T18:32:49+0200
4ff9da64bee26441,auto-b10e94bd7fe6,jotunn@6b39ebb,jotunn,6b39ebb,atoll,1,12,pass,ok,,27,137,38,57,605,829,1291,23,0,0,0,9000,10000,n-62-29-12,29043403,2026-08-06T18:32:51+0200
dc084db8435aad95,auto-b10e94bd7fe6,jotunn@6b39ebb,jotunn,6b39ebb,aurora,1,12,pass,ok,,27,136,46,63,768,1163,2149,22,0,0,0,9000,10000,n-62-31-5,29043403,2026-08-06T18:32:37+0200
56e13e3aed74db94,auto-b10e94bd7fe6,jotunn@6b39ebb,jotunn,6b39ebb,bridge,1,12,pass,ok,,27,133,46,67,736,851,1240,22,0,0,0,9000,10000,n-62-31-5,29043403,2026-08-06T18:32:38+0200
