rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vidar@8b87da5,vidar,8b87da5,5796,4425,17,1354,0.7649,1.329973,231.0,1.329973,-0.646627,0.466621,0.221883,0.0,1,0
2,vidar_r2@c8b850e,vidar_r2,c8b850e,5796,4424,13,1359,0.7644,1.309725,227.5,1.309725,-0.746455,0.531218,0.0,-0.010097,5,-3
3,vidar_r3@c8b850e,vidar_r3,c8b850e,5796,4423,13,1360,0.7642,1.307925,227.2,1.307925,-0.757514,0.536852,0.0,-0.010097,5,-2
4,vidar@561800a,vidar,561800a,5796,4394,13,1389,0.7592,1.289156,223.9,1.289156,-0.665458,0.4043,0.0,-0.14823,8,-4
5,vidar@ee47958,vidar,ee47958,5796,4394,13,1389,0.7592,1.289156,223.9,1.289156,-0.666835,0.404783,0.0,-0.14823,8,-3
6,vidar_r1@c8b850e,vidar_r1,c8b850e,5796,4392,13,1391,0.7589,1.283348,222.9,1.283348,-0.693943,0.422085,0.0,-0.14823,8,-2
7,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,5796,4083,10,1703,0.7053,1.016759,176.6,1.016759,-0.369398,0.255561,0.0,-0.303044,23,-16
8,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,5796,4129,10,1657,0.7133,1.005208,174.6,1.005208,-0.472529,0.540938,0.352294,0.0,1,7
9,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,5796,4127,10,1659,0.7129,1.002178,174.1,1.002178,-0.483782,0.545786,0.352291,0.0,1,8
10,vidar_noring@1b7a73a,vidar_noring,1b7a73a,5796,4008,12,1776,0.6925,0.951301,165.3,0.951301,-0.328407,0.347376,0.0,-0.510682,42,-32
11,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,5796,4000,12,1784,0.6912,0.942214,163.7,0.942214,-0.377603,0.499342,0.0,-0.712022,58,-47
12,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,5796,4036,10,1750,0.6972,0.938973,163.1,0.938973,-0.48586,0.397497,0.0,-0.25304,18,-6
13,vidar_bat1@1b7a73a,vidar_bat1,1b7a73a,5796,3995,16,1785,0.6906,0.919208,159.7,0.919208,-0.497638,0.36437,0.0,-0.366349,35,-22
14,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,5796,4000,10,1786,0.691,0.916143,159.2,0.916143,-0.541202,0.351024,0.0,-0.22872,12,2
15,vidar@1b7a73a,vidar,1b7a73a,5796,4000,10,1786,0.691,0.915784,159.1,0.915784,-0.541275,0.351155,0.0,-0.22872,12,3
16,vidar_g_den1@8b87da5,vidar_g_den1,8b87da5,5796,3995,10,1791,0.6901,0.913056,158.6,0.913056,-0.536153,0.342759,0.0,-0.243436,14,2
17,vidar_pg@1b7a73a,vidar_pg,1b7a73a,5796,3909,20,1867,0.6762,0.876974,152.3,0.876974,-0.466213,-0.045416,0.0,-0.403635,36,-19
18,vidar_png@1b7a73a,vidar_png,1b7a73a,5796,3920,18,1858,0.6779,0.875832,152.1,0.875832,-0.43097,0.142797,0.0,-0.282389,21,-3
19,vidar_gg@1b7a73a,vidar_gg,1b7a73a,5796,3870,21,1905,0.6695,0.854365,148.4,0.854365,-0.50866,-0.060431,0.0,-0.747074,62,-43
20,vidar_save60@1b7a73a,vidar_save60,1b7a73a,5796,3872,24,1900,0.6701,0.825666,143.4,0.825666,-0.450187,0.151936,0.0,-0.311194,25,-5
21,vidar_save150@1b7a73a,vidar_save150,1b7a73a,5796,3859,24,1913,0.6679,0.817385,142.0,0.817385,-0.43116,0.138874,0.0,-0.354404,30,-9
22,vidar_ggng@1b7a73a,vidar_ggng,1b7a73a,5796,3841,4,1951,0.663,0.816313,141.8,0.816313,-0.477466,-0.016839,0.0,-0.411263,37,-15
23,vidar_nogun@1b7a73a,vidar_nogun,1b7a73a,5796,3863,18,1915,0.668,0.815034,141.6,0.815034,-0.427468,0.118781,0.0,-0.292761,22,1
24,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,5796,3756,49,1991,0.6523,0.814841,141.6,0.814841,0.20635,-0.313342,0.0,-0.305699,24,0
25,vidar_gg150@1b7a73a,vidar_gg150,1b7a73a,5796,3824,21,1951,0.6616,0.814548,141.5,0.814548,-0.475086,-0.064442,0.0,-0.684652,56,-31
26,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,5796,3821,12,1963,0.6603,0.813892,141.4,0.813892,-0.463808,-0.045306,0.0,-0.894168,70,-44
27,vidar@544eeb3,vidar,544eeb3,5796,3894,11,1891,0.6728,0.811538,141.0,0.811538,-0.645043,0.303973,0.0,-0.25031,17,10
28,vidar_e7@544eeb3,vidar_e7,544eeb3,5796,3838,12,1946,0.6632,0.810713,140.8,0.810713,-0.488665,0.047449,0.0,-0.456766,38,-10
29,vidar_saveup@1b7a73a,vidar_saveup,1b7a73a,5796,3849,24,1923,0.6661,0.80941,140.6,0.80941,-0.417559,0.165411,0.0,-0.26247,20,9
30,vidar_pn@1b7a73a,vidar_pn,1b7a73a,5796,3853,14,1929,0.666,0.802231,139.4,0.802231,-0.38006,0.118154,0.0,-0.253402,19,11
31,prospect@bf9b3e3,prospect,bf9b3e3,5796,3701,49,2046,0.6428,0.767917,133.4,0.767917,0.039724,-0.349195,0.0,-0.646363,53,-22
32,vidar_seatcover@1b7a73a,vidar_seatcover,1b7a73a,5796,3745,7,2044,0.6467,0.738228,128.2,0.738228,-0.410134,0.155145,0.0,-0.46639,40,-8
33,heimdall@daf0de0,heimdall,daf0de0,5796,3676,5,2115,0.6347,0.677871,117.8,0.677871,-0.196341,-0.027773,0.0,-0.166677,11,22
34,janus@8a1e7a1,janus,8a1e7a1,5796,3579,49,2168,0.6217,0.669634,116.3,0.669634,0.261628,-0.374256,0.0,-0.559731,45,-11
