rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,6498,5119,28,1351,0.7899,1.477522,256.7,1.477522,0.594178,0.251322,0.0,-0.09309,3,-2
2,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,6498,5101,15,1382,0.7862,1.473387,256.0,1.473387,0.458638,0.401442,0.0,-0.338917,12,-10
3,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,6498,5113,28,1357,0.789,1.468133,255.0,1.468133,0.622251,0.282499,0.0,-0.09309,3,0
4,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,6498,5090,34,1374,0.7859,1.456201,253.0,1.456201,0.590884,0.265354,0.392995,0.0,1,3
5,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,6498,5058,31,1409,0.7808,1.438517,249.9,1.438517,0.568174,0.225089,0.0,-0.09309,3,2
6,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,6498,5051,31,1416,0.7797,1.430806,248.6,1.430806,0.568901,0.242472,0.607005,0.0,1,5
7,skadi@6a2af02,skadi,6a2af02,6498,4929,22,1547,0.7602,1.345585,233.8,1.345585,0.396397,0.480909,0.0,-0.186586,7,0
8,skadi@821d792,skadi,821d792,6498,4891,31,1576,0.7551,1.318208,229.0,1.318208,0.286492,0.424113,0.0,-0.186586,7,1
9,skadi@aad5f44,skadi,aad5f44,6498,4882,34,1582,0.7539,1.31217,227.9,1.31217,0.316687,0.369859,0.0,-0.186586,7,2
10,skadi@1e4eddf,skadi,1e4eddf,6498,4815,26,1657,0.743,1.212411,210.6,1.212411,0.460208,0.535372,0.0,-0.424883,14,-4
11,vidar@8b87da5,vidar,8b87da5,6498,4760,18,1720,0.7339,1.198982,208.3,1.198982,0.395202,0.605488,0.0,-0.473784,17,-6
12,vidar_r3@c8b850e,vidar_r3,c8b850e,6498,4787,26,1685,0.7387,1.194476,207.5,1.194476,0.511266,0.648002,0.0,-0.176646,6,6
13,vidar_r2@c8b850e,vidar_r2,c8b850e,6498,4783,26,1689,0.7381,1.193008,207.2,1.193008,0.500552,0.646712,0.0,-0.270906,10,3
14,spar_econ@aad5f44,spar_econ,aad5f44,6481,4639,19,1823,0.7173,1.174358,204.0,1.174358,-0.177681,0.290773,0.0,-0.63814,24,-10
15,vidar@561800a,vidar,561800a,6498,4717,26,1755,0.7279,1.158829,201.3,1.158829,0.333773,0.61894,0.0,-0.624154,21,-6
16,vidar@ee47958,vidar,ee47958,6498,4715,26,1757,0.7276,1.150949,199.9,1.150949,0.343785,0.617102,0.0,-0.624154,21,-5
17,vidar_r1@c8b850e,vidar_r1,c8b850e,6498,4711,26,1761,0.727,1.14442,198.8,1.14442,0.364743,0.644366,0.0,-0.624154,21,-4
18,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,6498,4722,44,1732,0.7301,1.128018,196.0,1.128018,0.471658,0.251478,0.0,-0.512912,18,0
19,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,6498,4445,13,2040,0.6851,0.886257,154.0,0.886257,0.512255,0.457512,0.0,-0.937445,45,-26
20,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,6498,4445,13,2040,0.6851,0.884861,153.7,0.884861,0.509186,0.447914,0.0,-0.937445,45,-25
21,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,6498,4351,11,2136,0.6704,0.870428,151.2,0.870428,0.162725,0.427056,0.0,-1.055674,56,-35
22,vidar_noring@1b7a73a,vidar_noring,1b7a73a,6498,4351,15,2132,0.6707,0.867249,150.7,0.867249,0.283925,0.244312,0.0,-0.435543,15,7
23,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,6498,4327,15,2156,0.6671,0.838207,145.6,0.838207,0.428417,0.288733,0.0,-0.280902,11,12
24,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,6498,4341,13,2144,0.6691,0.822164,142.8,0.822164,0.360716,0.465352,0.0,-1.162187,71,-47
25,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,6498,4297,13,2188,0.6623,0.803257,139.5,0.803257,0.311294,0.520482,0.0,-0.825047,36,-11
26,vidar_bat1@1b7a73a,vidar_bat1,1b7a73a,6498,4287,24,2187,0.6616,0.798167,138.7,0.798167,0.313872,0.4703,0.0,-0.995753,48,-22
27,vidar@1b7a73a,vidar,1b7a73a,6498,4296,13,2189,0.6621,0.795678,138.2,0.795678,0.320697,0.515013,0.0,-0.825047,36,-9
28,vidar_g_den1@8b87da5,vidar_g_den1,8b87da5,6498,4280,13,2205,0.6597,0.78831,136.9,0.78831,0.296971,0.519067,0.0,-0.985478,47,-19
29,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,6498,4224,21,2253,0.6517,0.745368,129.5,0.745368,0.581346,0.323578,0.0,-1.067841,61,-32
30,steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,6498,4210,35,2253,0.6506,0.745204,129.5,0.745204,0.56693,0.220853,0.0,-0.836248,39,-9
31,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,6498,4074,52,2372,0.631,0.725761,126.1,0.725761,-0.322309,-0.210355,0.0,-0.435543,15,16
32,vidar_pg@1b7a73a,vidar_pg,1b7a73a,6498,4148,23,2327,0.6401,0.717388,124.6,0.717388,-0.134775,0.564828,0.0,-2.22549,129,-97
33,vidar_png@1b7a73a,vidar_png,1b7a73a,6498,4147,26,2325,0.6402,0.709019,123.2,0.709019,0.061795,0.492858,0.0,-1.339666,88,-55
34,vidar@544eeb3,vidar,544eeb3,6498,4178,14,2306,0.644,0.700403,121.7,0.700403,0.277736,0.616623,0.0,-1.055674,56,-22
35,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,6498,4095,12,2391,0.6311,0.697009,121.1,0.697009,-0.093317,0.470846,0.0,-1.081831,62,-27
36,vidar_save60@1b7a73a,vidar_save60,1b7a73a,6498,4131,25,2342,0.6377,0.690672,120.0,0.690672,0.092747,0.500979,0.0,-1.55463,103,-67
37,vidar_e7@544eeb3,vidar_e7,544eeb3,6498,4108,16,2374,0.6334,0.690142,119.9,0.690142,-0.00281,0.488431,0.0,-0.918527,44,-7
38,vidar_saveup@1b7a73a,vidar_saveup,1b7a73a,6498,4118,25,2355,0.6357,0.680967,118.3,0.680967,0.109806,0.462895,0.0,-1.621785,110,-72
39,vidar_save150@1b7a73a,vidar_save150,1b7a73a,6498,4114,25,2359,0.635,0.679987,118.1,0.679987,0.074587,0.486693,0.0,-1.55463,103,-64
40,prospect@bf9b3e3,prospect,bf9b3e3,6498,4003,52,2443,0.62,0.667065,115.9,0.667065,-0.320731,-0.04419,0.0,-0.376478,13,27
41,vidar_gg@1b7a73a,vidar_gg,1b7a73a,6498,4095,23,2380,0.632,0.666616,115.8,0.666616,-0.1869,0.668139,0.0,-3.109891,145,-104
42,vidar_nogun@1b7a73a,vidar_nogun,1b7a73a,6498,4102,27,2369,0.6333,0.662403,115.1,0.662403,0.058141,0.493167,0.0,-1.418226,93,-51
43,vidar_pn@1b7a73a,vidar_pn,1b7a73a,6498,4096,24,2378,0.6322,0.658673,114.4,0.658673,0.051788,0.430932,0.0,-1.275998,85,-42
44,vidar_ggng@1b7a73a,vidar_ggng,1b7a73a,6498,4054,7,2437,0.6244,0.64468,112.0,0.64468,-0.098714,0.559572,0.0,-1.542667,102,-58
45,vidar_gg150@1b7a73a,vidar_gg150,1b7a73a,6498,4051,23,2424,0.6252,0.642464,111.6,0.642464,-0.154772,0.583103,0.0,-2.314695,133,-88
46,vidar_seatcover@1b7a73a,vidar_seatcover,1b7a73a,6498,4009,7,2482,0.6175,0.606794,105.4,0.606794,0.111309,0.422065,0.0,-1.55463,103,-57
47,janus@8a1e7a1,janus,8a1e7a1,6498,3884,52,2562,0.6017,0.590436,102.6,0.590436,-0.395813,-0.293324,0.0,-0.573346,19,28
48,heimdall@daf0de0,heimdall,daf0de0,6498,3959,7,2532,0.6098,0.574594,99.8,0.574594,-0.030314,0.17434,0.0,-0.675755,27,21
49,vidar2@544eeb3,vidar2,544eeb3,6498,3907,31,2560,0.6036,0.550253,95.6,0.550253,-0.179489,0.443199,0.0,-0.63814,24,25
50,vidar2_b3@544eeb3,vidar2_b3,544eeb3,6498,3894,31,2573,0.6016,0.544739,94.6,0.544739,-0.200617,0.468609,0.0,-0.63814,24,26
51,odin@38e1456,odin,38e1456,6498,3895,6,2597,0.5999,0.538221,93.5,0.538221,-0.244317,0.298997,0.0,-1.036384,54,-3
52,vidar_guard@544eeb3,vidar_guard,544eeb3,6498,3844,30,2624,0.5939,0.520168,90.4,0.520168,-0.271554,0.404997,0.0,-0.713612,30,22
53,vidar2_c2@544eeb3,vidar2_c2,544eeb3,6498,3860,31,2607,0.5964,0.51943,90.2,0.51943,-0.149281,0.39718,0.0,-0.825047,36,17
54,vidar_noecon@544eeb3,vidar_noecon,544eeb3,6498,3849,20,2629,0.5939,0.502982,87.4,0.502982,-0.167307,0.436918,0.0,-0.698575,28,26
55,odin@5a92113,odin,5a92113,6498,3835,6,2657,0.5906,0.490141,85.1,0.490141,-0.216652,0.342805,0.0,-1.081831,62,-7
56,undertow@fdc1e1f,undertow,fdc1e1f,6498,3713,3,2782,0.5716,0.464355,80.7,0.464355,0.215529,-0.773827,0.0,-0.781701,33,23
57,undertow_adjacent@90fc9f3,undertow_adjacent,90fc9f3,6498,3713,3,2782,0.5716,0.461666,80.2,0.461666,0.224358,-0.765789,0.0,-0.781701,33,24
