rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vidar_e7@544eeb3,vidar_e7,544eeb3,4536,3277,0,1259,0.7224,1.066168,185.2,1.066168,0.374833,0.067735,0.0,-0.195245,18,-17
2,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,4536,3156,40,1340,0.7002,1.038592,180.4,1.038592,-0.194978,0.185428,0.128499,0.0,1,1
3,vidar@544eeb3,vidar,544eeb3,4517,3246,5,1266,0.7192,1.003173,174.3,1.003173,0.529134,0.093684,0.567532,-0.0,1,2
4,prospect@bf9b3e3,prospect,bf9b3e3,4536,3122,40,1374,0.6927,0.997315,173.3,0.997315,-0.024119,0.308751,0.0,-0.012771,7,-3
5,vidar2@544eeb3,vidar2,544eeb3,4536,3165,21,1350,0.7001,0.960959,166.9,0.960959,0.359921,0.170774,0.0,-0.241992,22,-17
6,vidar_guard@544eeb3,vidar_guard,544eeb3,4536,3148,18,1370,0.696,0.958263,166.5,0.958263,0.347622,0.119237,0.0,-0.079722,9,-3
7,vidar2_b3@544eeb3,vidar2_b3,544eeb3,4536,3160,21,1355,0.699,0.953399,165.6,0.953399,0.376507,0.183001,0.0,-0.241992,22,-15
8,odin@38e1456,odin,38e1456,4535,3148,5,1382,0.6947,0.944077,164.0,0.944077,0.23865,0.127929,0.0,-0.104434,13,-5
9,vidar_noecon@544eeb3,vidar_noecon,544eeb3,4519,3131,7,1381,0.6936,0.928655,161.3,0.928655,0.35689,0.067578,0.0,-0.36875,31,-22
10,vidar_siege@544eeb3,vidar_siege,544eeb3,4531,3091,22,1418,0.6846,0.914772,158.9,0.914772,0.236653,0.271748,0.0,-0.430791,36,-26
11,odin@5a92113,odin,5a92113,4534,3122,5,1407,0.6891,0.912422,158.5,0.912422,0.283054,0.111475,0.0,-0.216636,19,-8
12,vidar_field@544eeb3,vidar_field,544eeb3,4536,3094,14,1428,0.6836,0.912179,158.5,0.912179,0.260419,0.364708,0.0,-0.524122,42,-30
13,janus@8a1e7a1,janus,8a1e7a1,4536,3038,40,1458,0.6742,0.905275,157.3,0.905275,-0.270623,0.17801,0.0,-0.134849,15,-2
14,tyr@2e6c876,tyr,2e6c876,4536,3081,19,1436,0.6813,0.887929,154.2,0.887929,0.426393,0.395639,0.0,-0.65291,51,-37
15,heimdall@daf0de0,heimdall,daf0de0,4536,3094,5,1437,0.6826,0.885421,153.8,0.885421,0.254372,0.138699,0.103876,0.0,1,14
16,vidar2_c2@544eeb3,vidar2_c2,544eeb3,4536,3095,21,1420,0.6846,0.884603,153.7,0.884603,0.360774,0.227404,0.0,-0.172786,17,-1
17,tyr_hint@2e6c876,tyr_hint,2e6c876,4536,3064,17,1455,0.6774,0.87888,152.7,0.87888,0.367521,0.316555,0.0,-0.75492,58,-41
18,odin@93e46da,odin,93e46da,4535,3091,0,1444,0.6816,0.872893,151.6,0.872893,0.329714,0.242041,0.0,-0.435929,37,-19
19,tyr_retgt@2e6c876,tyr_retgt,2e6c876,4536,3066,16,1454,0.6777,0.872649,151.6,0.872649,0.412887,0.410508,0.0,-0.756336,59,-40
20,tyr_pad@2e6c876,tyr_pad,2e6c876,4536,3059,18,1459,0.6764,0.866333,150.5,0.866333,0.411014,0.351533,0.0,-0.765577,60,-40
21,mjolnir@2e6c876,mjolnir,2e6c876,4534,3055,17,1462,0.6757,0.862156,149.8,0.862156,0.425625,0.358642,0.0,-0.730641,57,-36
22,warden_walk@e55aab5,warden_walk,e55aab5,4536,3048,6,1482,0.6726,0.859734,149.4,0.859734,0.137458,0.727259,0.0,-0.09982,12,10
23,heimdall@840a180,heimdall,840a180,4536,3048,4,1484,0.6724,0.852142,148.0,0.852142,0.222623,0.145865,0.0,-0.22858,20,3
24,tyr_belt@2e6c876,tyr_belt,2e6c876,4536,3033,16,1487,0.6704,0.845557,146.9,0.845557,0.344834,0.329268,0.0,-0.880165,68,-44
25,steward@e55aab5,steward,e55aab5,4535,3020,12,1503,0.6673,0.845156,146.8,0.845156,0.239294,0.504087,0.0,-0.086309,10,15
26,vidar2_g3@544eeb3,vidar2_g3,544eeb3,4536,3059,21,1456,0.6767,0.834082,144.9,0.834082,0.326961,0.131643,0.0,-0.265883,27,-1
27,heimdall@4c0d92e,heimdall,4c0d92e,4536,3031,5,1500,0.6688,0.819831,142.4,0.819831,0.1975,0.1478,0.0,-0.337118,30,-3
28,maporacle@38e1456,maporacle,38e1456,4536,3024,0,1512,0.6667,0.81188,141.0,0.81188,0.283765,0.201478,0.0,-0.392286,34,-6
29,odin@45aa24a,odin,45aa24a,4530,3017,5,1508,0.6666,0.810596,140.8,0.810596,0.232518,0.163548,0.0,-0.276378,28,1
30,heimdall@38e1456,heimdall,38e1456,4536,3020,0,1516,0.6658,0.794369,138.0,0.794369,0.309245,0.239923,0.0,-0.586031,47,-17
31,bastion@840a180,bastion,840a180,4536,2962,11,1563,0.6542,0.780159,135.5,0.780159,0.221463,0.475749,0.0,-0.138241,16,15
32,vigil@e267eeb,vigil,e267eeb,4536,2877,20,1639,0.6365,0.732933,127.3,0.732933,-0.029848,0.501068,0.0,-0.586432,48,-16
33,warden_walk@3318ffd,warden_walk,3318ffd,4536,2917,9,1610,0.6441,0.727514,126.4,0.727514,0.014929,0.698182,0.0,-0.090993,11,22
34,vigil@2e6c876,vigil,2e6c876,4534,2873,20,1641,0.6359,0.725605,126.1,0.725605,0.011042,0.520839,0.0,-0.586432,48,-14
35,ragnarok_fair@79582fc,ragnarok_fair,79582fc,4533,2896,18,1619,0.6409,0.717169,124.6,0.717169,-0.164135,0.35863,0.0,-0.373517,32,3
36,aegis@e55aab5,aegis,e55aab5,4536,2897,8,1631,0.6396,0.711668,123.6,0.711668,0.010547,0.667261,0.0,-0.047131,8,28
37,vigil@60d5afa,vigil,60d5afa,4535,2816,20,1699,0.6232,0.701958,121.9,0.701958,-0.217585,0.550058,0.0,-0.844834,66,-29
38,undertow@fdc1e1f,undertow,fdc1e1f,4536,2761,3,1772,0.609,0.638737,111.0,0.638737,-0.608121,-0.663854,0.031973,-0.0,1,37
39,undertow_adjacent@90fc9f3,undertow_adjacent,90fc9f3,4536,2760,3,1773,0.6088,0.633827,110.1,0.633827,-0.587907,-0.652357,0.03189,-0.0,1,38
40,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,4536,2758,0,1778,0.608,0.614015,106.7,0.614015,-0.572545,-0.382451,0.0,-0.1301,14,26
41,warden@3318ffd,warden,3318ffd,4536,2767,12,1757,0.6113,0.594384,103.3,0.594384,0.05152,0.596241,0.0,-0.488906,39,2
42,vigil@18b749d,vigil,18b749d,4535,2710,15,1810,0.5992,0.59041,102.6,0.59041,-0.489877,0.54482,0.0,-0.836104,64,-22
43,vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,4536,2575,0,1961,0.5677,0.585309,101.7,0.585309,-1.297486,-0.851788,0.0,-0.253604,25,18
44,vanguard@da3fd8a,vanguard,da3fd8a,4536,2572,0,1964,0.567,0.56386,98.0,0.56386,-1.202183,-0.803021,0.0,-0.253604,25,19
45,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,4536,2677,22,1837,0.5926,0.557095,96.8,0.557095,-0.580456,0.574422,0.0,-0.837427,65,-20
46,valkyrie_econ2@7227061,valkyrie_econ2,7227061,4536,2724,9,1803,0.6015,0.509034,88.4,0.509034,0.001019,0.540136,0.0,-0.802175,62,-16
47,undertow_oracle@75591b7,undertow_oracle,75591b7,4536,2652,0,1884,0.5847,0.501271,87.1,0.501271,-0.609563,-0.269687,0.0,-0.395382,35,12
48,valkyrie@d181312,valkyrie,d181312,4536,2674,11,1851,0.5907,0.500504,86.9,0.500504,-0.020508,0.593842,0.0,-0.638777,50,-2
49,vigil@1b5f3d1,vigil,1b5f3d1,4535,2622,39,1874,0.5825,0.495395,86.1,0.495395,-0.351122,0.665888,0.0,-0.76972,61,-12
50,ragnarok@79582fc,ragnarok,79582fc,4536,2650,12,1874,0.5855,0.479176,83.2,0.479176,-0.051537,0.618809,0.0,-0.714975,55,-5
51,undertow@da3fd8a,undertow,da3fd8a,4536,2610,3,1923,0.5757,0.478388,83.1,0.478388,-0.581935,-0.594023,0.0,-0.233966,21,30
52,vanguard@9932bec,vanguard,9932bec,4536,2553,0,1983,0.5628,0.46991,81.6,0.46991,-1.293714,-0.336732,0.0,-0.250864,24,28
53,v233_i@902be71,v233_i,902be71,4534,2539,1,1994,0.5601,0.434106,75.4,0.434106,-0.979162,-0.34304,0.0,-0.69446,54,-1
54,vanguard@c407e79,vanguard,c407e79,4536,2554,1,1981,0.5632,0.432321,75.1,0.432321,-1.078034,-0.205327,0.0,-0.538063,43,11
55,vigil@bf9b3e3,vigil,bf9b3e3,4536,2558,39,1939,0.5682,0.397398,69.0,0.397398,-0.328094,0.598003,0.0,-0.725512,56,-1
56,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,4536,2508,0,2028,0.5529,0.380182,66.0,0.380182,-0.856185,-0.033373,0.0,-0.509183,41,15
57,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,4536,2613,2,1921,0.5763,0.3659,63.6,0.3659,0.27561,0.120371,0.136231,-0.0,1,56
58,valkyrie_atk2@7227061,valkyrie_atk2,7227061,4535,2558,10,1967,0.5652,0.35413,61.5,0.35413,0.064989,0.540604,0.0,-0.57647,45,13
59,v233_g@9713344,v233_g,9713344,4536,2369,0,2167,0.5223,0.339382,59.0,0.339382,-1.138689,-0.752839,0.0,-0.672426,53,6
60,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,4535,2425,3,2107,0.5351,0.299521,52.0,0.299521,-0.710459,-0.596223,0.0,-0.390767,33,27
61,pantheon_replica_day3@840a180,pantheon_replica_day3,840a180,4536,2525,0,2011,0.5567,0.283616,49.3,0.283616,0.238723,0.073471,0.0,-0.329879,29,32
62,vanguard_oracle@902be71,vanguard_oracle,902be71,4533,2426,10,2097,0.5363,0.251749,43.7,0.251749,-0.419914,-0.203423,0.0,-0.468822,38,24
63,valkyrie@30d0491,valkyrie,30d0491,4536,2432,14,2090,0.5377,0.218785,38.0,0.218785,0.022156,0.624019,0.0,-0.496345,40,23
64,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,4536,2442,9,2085,0.5394,0.217996,37.9,0.217996,0.260351,0.290518,0.0,-0.661688,52,12
65,vanguard@818f3b4,vanguard,818f3b4,4536,2371,3,2162,0.523,0.206433,35.9,0.206433,-0.766897,-0.128856,0.0,-0.559042,44,21
66,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,4536,2322,35,2179,0.5158,0.145212,25.2,0.145212,-0.781638,0.068352,0.0,-0.86666,67,-1
67,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,4536,2281,24,2231,0.5055,0.117758,20.5,0.117758,-0.745487,-0.002053,0.0,-0.825971,63,4
