rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,spar_sentinel@213b430,spar_sentinel,213b430,7062,5326,8,1728,0.7547,1.292069,224.5,1.292069,-0.065175,-0.449435,0.0,-0.114585,9,-8
2,freyja@6a8a5f7,freyja,6a8a5f7,7062,5287,13,1762,0.7496,1.246335,216.5,1.246335,-0.086564,-0.66062,0.236213,-0.0,1,1
3,vili@1a0c1ad,vili,1a0c1ad,7062,5268,12,1782,0.7468,1.234013,214.4,1.234013,-0.079575,-0.698799,0.0,-0.054854,8,-5
4,hlin@6b5d86e,hlin,6b5d86e,7062,5111,6,1945,0.7242,1.123172,195.1,1.123172,-0.265404,0.097986,0.0,-0.026794,5,-1
5,frigg@55df097,frigg,55df097,7062,5112,6,1944,0.7243,1.120908,194.7,1.120908,-0.269793,0.071004,0.0,-0.026794,5,0
6,lofn@c8d0165,lofn,c8d0165,7062,5075,6,1981,0.7191,1.082807,188.1,1.082807,-0.380187,0.086307,0.724521,0.0,1,5
7,nanna@55df097,nanna,55df097,7051,5029,6,2016,0.7137,1.054754,183.2,1.054754,-0.370542,0.076603,0.0,-0.026794,5,2
8,bil@6b5d86e,bil,6b5d86e,7062,5011,6,2045,0.71,1.03544,179.9,1.03544,-0.36377,0.134178,0.0,-0.00237,4,4
9,snotra_h@4437c29,snotra_h,4437c29,7062,4890,7,2165,0.6929,0.94955,165.0,0.94955,-0.130547,-0.513648,0.0,-0.348332,15,-6
10,snotra@34b0ce8,snotra,34b0ce8,7062,4863,5,2194,0.689,0.928705,161.3,0.928705,-0.138392,-0.561305,0.0,-0.378254,17,-7
11,hoenir@5907a3b,hoenir,5907a3b,7062,4837,9,2216,0.6856,0.911402,158.3,0.911402,-0.391514,-0.344424,0.0,-0.281176,10,1
