match_id,tournament_id,bot_id,bot_name,bot_commit,map,seed,guard_tle_ms,result,match_status,error,turns,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,max_round,timeouts,bot_exceptions,terminal_starts,close_threshold_us,limit_us,host,lsf_job,finished_at
7896b264900ab1f6,auto-bd4fff161ee9,lattice@1e4eddf,lattice,1e4eddf,atoll,1,12,pass,ok,,27,102,327,424,513,606,911,25,0,0,0,9000,10000,n-62-11-66,29034354,2026-08-05T21:35:09+0200
0605e3a586ae2141,auto-bd4fff161ee9,lattice@1e4eddf,lattice,1e4eddf,aurora,1,12,pass,ok,,27,102,286,461,498,580,794,26,0,0,0,9000,10000,n-62-11-66,29034354,2026-08-05T21:35:11+0200
39ca3b92440d8501,auto-bd4fff161ee9,lattice@1e4eddf,lattice,1e4eddf,bridge,1,12,pass,ok,,27,102,208,266,330,379,502,1,0,0,0,9000,10000,n-62-11-66,29034354,2026-08-05T21:35:12+0200
f1f0b5c2c82e06ff,auto-bd4fff161ee9,lattice@1e4eddf,lattice,1e4eddf,crossfire,1,12,pass,ok,,27,102,132,185,416,553,735,8,0,0,0,9000,10000,n-62-11-66,29034354,2026-08-05T21:35:13+0200
1ffc497623d4c5b1,auto-bd4fff161ee9,lattice@1e4eddf,lattice,1e4eddf,duel,1,12,pass,ok,,27,126,100,137,272,418,526,2,0,0,0,9000,10000,n-62-11-66,29034354,2026-08-05T21:35:15+0200
c9a408e1850e394f,auto-bd4fff161ee9,lattice@1e4eddf,lattice,1e4eddf,fjord,1,12,pass,ok,,27,102,371,461,527,594,844,26,0,0,0,9000,10000,n-62-11-66,29034354,2026-08-05T21:35:16+0200
fad5cd128da8fc3f,auto-bd4fff161ee9,lattice@1e4eddf,lattice,1e4eddf,hive,1,12,pass,ok,,27,102,355,449,524,702,994,24,0,0,0,9000,10000,n-62-11-66,29034354,2026-08-05T21:35:17+0200
ee3a784f91528769,auto-bd4fff161ee9,lattice@1e4eddf,lattice,1e4eddf,jackpot,1,12,pass,ok,,27,102,279,326,440,494,652,26,0,0,0,9000,10000,n-62-11-66,29034354,2026-08-05T21:35:18+0200
d904d2f881b7f9bd,auto-bd4fff161ee9,lattice@1e4eddf,lattice,1e4eddf,longship,1,12,pass,ok,,27,102,291,396,417,508,788,23,0,0,0,9000,10000,n-62-11-66,29034354,2026-08-05T21:35:19+0200
20bee50583ebc880,auto-bd4fff161ee9,lattice@1e4eddf,lattice,1e4eddf,pinch,1,12,pass,ok,,27,102,296,348,470,582,791,12,0,0,0,9000,10000,n-62-11-66,29034354,2026-08-05T21:35:20+0200
8764673be273bf78,auto-bd4fff161ee9,lattice@1e4eddf,lattice,1e4eddf,quarry,1,12,pass,ok,,27,102,385,444,593,838,1088,19,0,0,0,9000,10000,n-62-11-66,29034354,2026-08-05T21:35:22+0200
15f029cdfb3ac4f8,auto-bd4fff161ee9,lattice@1e4eddf,lattice,1e4eddf,runestone,1,12,pass,ok,,27,102,346,510,561,602,841,24,0,0,0,9000,10000,n-62-11-66,29034354,2026-08-05T21:35:23+0200
f8a33636689a73e8,auto-bd4fff161ee9,lattice@1e4eddf,lattice,1e4eddf,showdown,1,12,pass,ok,,27,126,147,359,472,590,945,20,0,0,0,9000,10000,n-62-11-66,29034354,2026-08-05T21:35:24+0200
e052bfdb5b30ddd3,auto-bd4fff161ee9,lattice@1e4eddf,lattice,1e4eddf,skerry,1,12,pass,ok,,27,102,339,450,477,591,869,26,0,0,0,9000,10000,n-62-11-66,29034354,2026-08-05T21:35:25+0200
8ac585c7d7c54ac2,auto-bd4fff161ee9,lattice@1e4eddf,lattice,1e4eddf,sprint,1,12,pass,ok,,27,155,111,140,194,392,516,19,0,0,0,9000,10000,n-62-11-64,29034354,2026-08-05T21:34:47+0200
6e54e1e10af58be6,auto-bd4fff161ee9,lattice@1e4eddf,lattice,1e4eddf,strait,1,12,pass,ok,,27,102,306,420,481,548,723,26,0,0,0,9000,10000,n-62-11-64,29034354,2026-08-05T21:34:49+0200
9261571f7bd24123,auto-bd4fff161ee9,lattice@1e4eddf,lattice,1e4eddf,string,1,12,pass,ok,,27,104,99,150,288,345,483,12,0,0,0,9000,10000,n-62-11-64,29034354,2026-08-05T21:34:50+0200
8891c14ed5df6823,auto-bd4fff161ee9,lattice@1e4eddf,lattice,1e4eddf,sweden,1,12,pass,ok,,27,102,279,345,474,700,1002,24,0,0,0,9000,10000,n-62-11-64,29034354,2026-08-05T21:34:51+0200
