rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,skadi@1e4eddf,skadi,1e4eddf,5964,4573,13,1378,0.7679,1.32326,229.9,1.32326,-0.600115,0.470509,0.245706,0.0,1,0
2,vidar@8b87da5,vidar,8b87da5,5964,4531,17,1416,0.7612,1.314211,228.3,1.314211,-0.647393,0.43183,0.0,-0.001946,5,-3
3,vidar_r2@c8b850e,vidar_r2,c8b850e,5964,4538,13,1413,0.762,1.300052,225.8,1.300052,-0.728328,0.50148,0.0,-0.046719,6,-3
4,vidar_r3@c8b850e,vidar_r3,c8b850e,5964,4537,13,1414,0.7618,1.298327,225.5,1.298327,-0.738123,0.506959,0.0,-0.046719,6,-2
5,vidar@561800a,vidar,561800a,5964,4506,13,1445,0.7566,1.278922,222.2,1.278922,-0.647291,0.375891,0.0,-0.196624,14,-9
6,vidar@ee47958,vidar,ee47958,5964,4505,13,1446,0.7565,1.278241,222.1,1.278241,-0.649982,0.37549,0.0,-0.196624,14,-8
7,vidar_r1@c8b850e,vidar_r1,c8b850e,5964,4501,13,1450,0.7558,1.271119,220.8,1.271119,-0.680696,0.390888,0.0,-0.196624,14,-7
8,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,5964,4232,10,1722,0.7104,0.994689,172.8,0.994689,-0.476894,0.51373,0.295547,0.0,1,7
9,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,5964,4231,10,1723,0.7103,0.992398,172.4,0.992398,-0.485548,0.519599,0.295538,0.0,1,8
10,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,5964,4170,10,1784,0.7,0.991343,172.2,0.991343,-0.400555,0.223216,0.0,-0.358106,33,-23
11,vidar_noring@1b7a73a,vidar_noring,1b7a73a,5964,4110,12,1842,0.6901,0.943531,163.9,0.943531,-0.317384,0.313246,0.0,-0.430082,43,-32
12,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,5964,4136,10,1818,0.6943,0.930219,161.6,0.930219,-0.480304,0.366354,0.0,-0.265509,18,-6
13,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,5964,4095,12,1857,0.6876,0.928179,161.2,0.928179,-0.381225,0.456781,0.0,-0.643659,62,-49
14,vidar_bat1@1b7a73a,vidar_bat1,1b7a73a,5964,4092,17,1855,0.6875,0.907436,157.6,0.907436,-0.495873,0.331606,0.0,-0.309796,28,-14
15,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,5964,4093,10,1861,0.6871,0.900216,156.4,0.900216,-0.548065,0.319727,0.0,-0.281615,22,-7
16,vidar@1b7a73a,vidar,1b7a73a,5964,4093,10,1861,0.6871,0.899864,156.3,0.899864,-0.54735,0.319622,0.0,-0.281615,22,-6
17,vidar_g_den1@8b87da5,vidar_g_den1,8b87da5,5964,4087,10,1867,0.6861,0.899698,156.3,0.899698,-0.536653,0.303491,0.0,-0.266356,19,-2
18,vidar_pg@1b7a73a,vidar_pg,1b7a73a,5964,3998,20,1946,0.672,0.860612,149.5,0.860612,-0.466043,-0.074898,0.0,-0.366007,35,-17
19,vidar_png@1b7a73a,vidar_png,1b7a73a,5964,3993,19,1952,0.6711,0.844748,146.7,0.844748,-0.469435,0.103341,0.0,-0.325663,32,-13
20,vidar_gg@1b7a73a,vidar_gg,1b7a73a,5964,3958,22,1984,0.6655,0.838298,145.6,0.838298,-0.506512,-0.092528,0.0,-0.50187,49,-29
21,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,5964,4006,13,1945,0.6728,0.833506,144.8,0.833506,-0.37059,0.524523,0.0,-0.0626,8,13
22,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,5964,3858,50,2056,0.6511,0.814185,141.4,0.814185,0.217657,-0.32855,0.0,-0.225822,17,5
23,vidar_save60@1b7a73a,vidar_save60,1b7a73a,5964,3957,25,1982,0.6656,0.806163,140.0,0.806163,-0.46257,0.122891,0.0,-0.362726,34,-11
24,vidar@544eeb3,vidar,544eeb3,5964,3987,11,1966,0.6694,0.798455,138.7,0.798455,-0.638257,0.274726,0.0,-0.306778,27,-3
25,vidar_save150@1b7a73a,vidar_save150,1b7a73a,5964,3944,25,1995,0.6634,0.797421,138.5,0.797421,-0.44407,0.111147,0.0,-0.3883,37,-12
26,vidar_gg150@1b7a73a,vidar_gg150,1b7a73a,5964,3908,22,2034,0.6571,0.795649,138.2,0.795649,-0.480883,-0.095798,0.0,-0.564861,56,-30
27,vidar_saveup@1b7a73a,vidar_saveup,1b7a73a,5964,3938,25,2001,0.6624,0.79308,137.8,0.79308,-0.422989,0.139262,0.0,-0.27489,20,7
28,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,5964,3901,12,2051,0.6551,0.79285,137.7,0.79285,-0.477546,-0.079958,0.0,-0.681562,65,-37
29,vidar_e7@544eeb3,vidar_e7,544eeb3,5964,3923,13,2028,0.6589,0.790935,137.4,0.790935,-0.496108,0.019365,0.0,-0.474173,45,-16
30,vidar_nogun@1b7a73a,vidar_nogun,1b7a73a,5964,3937,18,2009,0.6616,0.78661,136.6,0.78661,-0.467769,0.080083,0.0,-0.403761,41,-11
31,vidar_ggng@1b7a73a,vidar_ggng,1b7a73a,5964,3910,5,2049,0.656,0.783352,136.1,0.783352,-0.514007,-0.052088,0.0,-0.466187,44,-13
32,vidar_pn@1b7a73a,vidar_pn,1b7a73a,5964,3931,14,2019,0.6603,0.777157,135.0,0.777157,-0.414114,0.083224,0.0,-0.316882,30,2
33,prospect@bf9b3e3,prospect,bf9b3e3,5964,3795,50,2119,0.6405,0.760234,132.1,0.760234,0.039722,-0.358565,0.0,-0.491344,48,-15
34,vidar_seatcover@1b7a73a,vidar_seatcover,1b7a73a,5964,3836,7,2121,0.6438,0.725947,126.1,0.725947,-0.404723,0.130848,0.0,-0.424849,42,-8
35,janus@8a1e7a1,janus,8a1e7a1,5964,3682,50,2232,0.6216,0.680964,118.3,0.680964,0.301114,-0.395704,0.0,-0.398681,39,-4
36,heimdall@daf0de0,heimdall,daf0de0,5964,3756,5,2203,0.6302,0.657967,114.3,0.657967,-0.216394,-0.047025,0.0,-0.122725,9,27
37,vidar2@544eeb3,vidar2,544eeb3,5964,3728,21,2215,0.6268,0.646805,112.4,0.646805,-0.491767,-0.184247,0.0,-0.724829,68,-31
38,odin@38e1456,odin,38e1456,5964,3724,6,2234,0.6249,0.646542,112.3,0.646542,-0.308919,-0.233526,0.0,-0.556028,55,-17
39,vidar2_b3@544eeb3,vidar2_b3,544eeb3,5964,3717,21,2226,0.625,0.635624,110.4,0.635624,-0.510933,-0.195758,0.0,-0.820055,75,-36
40,vidar_guard@544eeb3,vidar_guard,544eeb3,5964,3667,22,2275,0.6167,0.609809,105.9,0.609809,-0.456355,-0.25939,0.0,-1.243765,102,-62
41,vidar2_c2@544eeb3,vidar2_c2,544eeb3,5964,3682,21,2261,0.6191,0.606255,105.3,0.606255,-0.443178,-0.145984,0.0,-0.530965,51,-10
42,odin@5a92113,odin,5a92113,5964,3676,6,2282,0.6169,0.605203,105.1,0.605203,-0.351154,-0.209511,0.0,-0.512438,50,-8
43,vidar_noecon@544eeb3,vidar_noecon,544eeb3,5964,3676,7,2281,0.617,0.599994,104.2,0.599994,-0.487141,-0.161129,0.0,-0.836713,78,-35
44,steward@e55aab5,steward,e55aab5,5964,3621,14,2329,0.6083,0.582928,101.3,0.582928,-0.228991,-0.380076,0.0,-0.593803,57,-13
45,warden_walk@e55aab5,warden_walk,e55aab5,5964,3595,9,2360,0.6035,0.557791,96.9,0.557791,-0.242811,-0.65111,0.0,-0.553439,54,-9
46,heimdall@840a180,heimdall,840a180,5964,3597,5,2362,0.6035,0.557049,96.8,0.557049,-0.247296,-0.249737,0.0,-0.618599,59,-13
47,vidar_siege@544eeb3,vidar_siege,544eeb3,5964,3578,22,2364,0.6018,0.554207,96.3,0.554207,-0.391234,-0.485522,0.0,-0.79734,70,-23
48,vidar2_g3@544eeb3,vidar2_g3,544eeb3,5964,3613,22,2329,0.6076,0.540923,94.0,0.540923,-0.482202,-0.118683,0.0,-0.821454,76,-28
49,undertow@fdc1e1f,undertow,fdc1e1f,5964,3508,3,2453,0.5884,0.531309,92.3,0.531309,0.76435,0.359094,0.0,-0.298828,25,24
50,undertow_adjacent@90fc9f3,undertow_adjacent,90fc9f3,5964,3508,3,2453,0.5884,0.528375,91.8,0.528375,0.7546,0.365901,0.0,-0.298828,25,25
51,vidar_field@544eeb3,vidar_field,544eeb3,5964,3545,16,2403,0.5957,0.519476,90.2,0.519476,-0.474926,-0.6154,0.0,-1.34477,106,-55
52,odin@93e46da,odin,93e46da,5964,3570,2,2392,0.5988,0.514333,89.3,0.514333,-0.508186,-0.380028,0.0,-0.924617,83,-31
53,bastion@840a180,bastion,840a180,5964,3531,13,2420,0.5931,0.513679,89.2,0.513679,-0.207904,-0.373423,0.0,-0.481785,46,7
54,heimdall@4c0d92e,heimdall,4c0d92e,5964,3553,6,2405,0.5962,0.511326,88.8,0.511326,-0.290115,-0.284403,0.0,-0.601319,58,-4
55,odin@45aa24a,odin,45aa24a,5964,3546,6,2412,0.5951,0.508569,88.3,0.508569,-0.301755,-0.261711,0.0,-0.63182,61,-6
56,maporacle@38e1456,maporacle,38e1456,5964,3515,2,2447,0.5895,0.485992,84.4,0.485992,-0.294875,-0.368538,0.0,-0.678223,64,-8
57,tyr@2e6c876,tyr,2e6c876,5964,3496,21,2447,0.5879,0.470921,81.8,0.470921,-0.641286,-0.615683,0.0,-1.263128,103,-46
58,tyr_pad@2e6c876,tyr_pad,2e6c876,5964,3481,20,2463,0.5853,0.464104,80.6,0.464104,-0.576157,-0.590065,0.0,-0.962391,85,-27
59,tyr_retgt@2e6c876,tyr_retgt,2e6c876,5964,3483,18,2463,0.5855,0.462012,80.3,0.462012,-0.610498,-0.644707,0.0,-1.049829,91,-32
60,mjolnir@2e6c876,mjolnir,2e6c876,5964,3477,19,2468,0.5846,0.460527,80.0,0.460527,-0.582946,-0.587218,0.0,-0.962391,85,-25
61,tyr_hint@2e6c876,tyr_hint,2e6c876,5964,3470,19,2475,0.5834,0.460443,80.0,0.460443,-0.55559,-0.614184,0.0,-1.300902,104,-43
62,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,5964,3427,0,2537,0.5746,0.457562,79.5,0.457562,0.610301,0.118779,0.0,-0.280781,21,41
63,ragnarok_fair@79582fc,ragnarok_fair,79582fc,5964,3447,18,2499,0.5795,0.453182,78.7,0.453182,0.072995,-0.458642,0.0,-0.814089,74,-11
64,tyr_belt@2e6c876,tyr_belt,2e6c876,5964,3452,18,2494,0.5803,0.445585,77.4,0.445585,-0.52774,-0.603412,0.0,-1.012055,89,-25
65,vidar_econwar@1b7a73a,vidar_econwar,1b7a73a,5964,3417,27,2520,0.5752,0.432488,75.1,0.432488,-0.226919,-0.144319,0.0,-1.125862,95,-30
66,aegis@e55aab5,aegis,e55aab5,5964,3431,11,2522,0.5762,0.428622,74.5,0.428622,-0.001711,-0.663437,0.0,-0.388928,38,28
67,warden_walk@3318ffd,warden_walk,3318ffd,5964,3423,10,2531,0.5748,0.425727,74.0,0.425727,-0.124035,-0.701905,0.0,-0.712686,67,0
68,vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,5964,3210,0,2754,0.5382,0.416564,72.4,0.416564,1.362432,-0.030554,0.0,-0.173838,11,57
69,heimdall@38e1456,heimdall,38e1456,5964,3452,2,2510,0.579,0.407967,70.9,0.407967,-0.550816,-0.447985,0.0,-1.241121,100,-31
70,vanguard@da3fd8a,vanguard,da3fd8a,5964,3205,0,2759,0.5374,0.398854,69.3,0.398854,1.305775,-0.004778,0.0,-0.173838,11,59
71,vigil@e267eeb,vigil,e267eeb,5964,3294,28,2642,0.5547,0.363525,63.2,0.363525,0.032715,-0.906112,0.0,-0.81313,72,-1
72,vigil@60d5afa,vigil,60d5afa,5964,3256,23,2685,0.5479,0.359629,62.5,0.359629,0.199076,-0.956405,0.0,-1.094931,93,-21
73,undertow@da3fd8a,undertow,da3fd8a,5964,3281,3,2680,0.5504,0.358745,62.3,0.358745,0.721222,0.285566,0.0,-0.322002,31,42
74,vigil@2e6c876,vigil,2e6c876,5964,3291,28,2645,0.5542,0.358189,62.2,0.358189,0.007983,-0.893374,0.0,-0.81313,72,2
75,undertow_oracle@75591b7,undertow_oracle,75591b7,5964,3285,0,2679,0.5508,0.348281,60.5,0.348281,0.616751,0.0509,0.0,-0.291719,24,51
76,steward_reinforced@a8dc58a,steward_reinforced,a8dc58a,5964,3347,22,2595,0.563,0.332848,57.8,0.332848,-0.312576,0.850797,0.0,-0.182358,13,63
77,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,5964,3325,2,2637,0.5577,0.299118,52.0,0.299118,0.029078,0.402379,0.163208,0.0,1,76
78,vanguard@9932bec,vanguard,9932bec,5964,3135,0,2829,0.5257,0.291458,50.6,0.291458,1.177969,-0.348792,0.0,-0.136805,10,68
79,vigil@18b749d,vigil,18b749d,5964,3142,24,2798,0.5288,0.271409,47.1,0.271409,0.407195,-0.99288,0.0,-0.836648,77,2
80,warden@3318ffd,warden,3318ffd,5964,3199,13,2752,0.5375,0.263165,45.7,0.263165,-0.125172,-0.760921,0.0,-0.905371,82,-2
81,vanguard@c407e79,vanguard,c407e79,5964,3117,1,2846,0.5227,0.246992,42.9,0.246992,0.8742,-0.304686,0.0,-0.53356,52,29
82,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,5964,3101,31,2832,0.5226,0.240812,41.8,0.240812,0.523727,-1.053398,0.0,-0.89977,81,1
83,v233_i@902be71,v233_i,902be71,5964,3046,1,2917,0.5108,0.206586,35.9,0.206586,0.852334,-0.297961,0.0,-0.619106,60,23
84,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,5964,3070,3,2891,0.515,0.204585,35.5,0.204585,0.87407,0.27758,0.0,-0.312382,29,55
85,vigil@1b5f3d1,vigil,1b5f3d1,5964,3049,52,2863,0.5156,0.193206,33.6,0.193206,0.349423,-0.959364,0.0,-0.792758,69,16
86,pantheon_replica_day3@840a180,pantheon_replica_day3,840a180,5964,3170,0,2794,0.5315,0.185561,32.2,0.185561,-0.007222,0.332084,0.0,-0.37987,36,50
87,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,5964,3033,0,2931,0.5086,0.179196,31.1,0.179196,0.635232,-0.381576,0.0,-0.852156,79,8
88,v233_g@9713344,v233_g,9713344,5964,2912,0,3052,0.4883,0.16484,28.6,0.16484,1.236123,-0.14187,0.0,-0.709636,66,22
89,valkyrie@d181312,valkyrie,d181312,5964,3066,12,2886,0.5151,0.153819,26.7,0.153819,-0.077042,-0.838435,0.0,-1.14943,97,-8
90,valkyrie_econ2@7227061,valkyrie_econ2,7227061,5964,3098,16,2850,0.5208,0.139428,24.2,0.139428,-0.259972,-0.723865,0.0,-1.236824,99,-9
91,ragnarok@79582fc,ragnarok,79582fc,5964,3033,14,2917,0.5097,0.129198,22.4,0.129198,-0.053451,-0.901809,0.0,-1.241894,101,-10
92,vigil@bf9b3e3,vigil,bf9b3e3,5964,2979,52,2933,0.5039,0.11198,19.5,0.11198,0.370106,-0.886835,0.0,-0.80805,71,21
93,vanguard_oracle@902be71,vanguard_oracle,902be71,5964,2970,10,2984,0.4988,0.092218,16.0,0.092218,0.528262,0.047241,0.0,-0.542824,53,40
94,valkyrie_atk2@7227061,valkyrie_atk2,7227061,5964,2999,17,2948,0.5043,0.087111,15.1,0.087111,-0.148676,-0.471276,0.0,-1.044749,90,4
95,vanguard@818f3b4,vanguard,818f3b4,5964,2915,3,3046,0.489,0.063408,11.0,0.063408,0.788285,-0.106127,0.0,-0.4004,40,55
96,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,5964,2890,10,3064,0.4854,-0.009845,-1.7,-0.009845,-0.220758,-0.207806,0.0,-1.107009,94,2
97,valkyrie@30d0491,valkyrie,30d0491,5964,2857,17,3090,0.4805,-0.027705,-4.8,-0.027705,-0.021711,-0.518036,0.0,-0.966409,87,10
98,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,5964,2808,39,3117,0.4741,-0.031607,-5.5,-0.031607,0.678466,-0.301093,0.0,-1.055858,92,6
99,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,5964,2808,10,3146,0.4717,-0.03852,-6.7,-0.03852,0.596748,0.020738,0.0,-0.487546,47,52
100,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,5964,2746,57,3161,0.4652,-0.042047,-7.3,-0.042047,0.773055,-0.321992,0.0,-0.898918,80,20
101,vanguard_oracle@75591b7,vanguard_oracle,75591b7,5964,2747,3,3214,0.4608,-0.08082,-14.0,-0.08082,0.646688,-0.134257,0.0,-0.652942,63,38
102,v233_f@9713344,v233_f,9713344,5964,2583,0,3381,0.4331,-0.152514,-26.5,-0.152514,1.003278,-0.099639,0.0,-0.970263,88,14
103,undertow@9713344,undertow,9713344,5964,2608,0,3356,0.4373,-0.159855,-27.8,-0.159855,1.062945,-0.122197,0.0,-1.14715,96,7
104,gobbleglitch@6cdc440,gobbleglitch,6cdc440,5964,2279,8,3677,0.3828,-0.495002,-86.0,-0.495002,0.293078,-0.313105,0.0,-1.394433,109,-5
105,uw_v2@9713344,uw_v2,9713344,5964,2111,0,3853,0.354,-0.635689,-110.4,-0.635689,0.58743,-0.177155,0.0,-1.500864,113,-8
106,v233_e@9713344,v233_e,9713344,5964,2043,2,3919,0.3427,-0.651174,-113.1,-0.651174,0.742971,0.173418,0.0,-1.234707,98,8
107,autistimusprime@ecd4d24,autistimusprime,ecd4d24,5964,2042,5,3917,0.3428,-0.722601,-125.5,-0.722601,0.414972,-0.293726,0.0,-1.361148,107,0
108,gobbleglitch@e808e1d,gobbleglitch,e808e1d,5964,2030,5,3929,0.3408,-0.733636,-127.4,-0.733636,0.520927,-0.306893,0.0,-1.310149,105,3
109,tempest_sentinel@fdc1e1f,tempest_sentinel,fdc1e1f,5964,1868,8,4088,0.3139,-0.812351,-141.1,-0.812351,-0.008336,0.203643,0.0,-0.930474,84,25
110,gobbleglitch@a79dd98,gobbleglitch,a79dd98,5964,1954,5,4005,0.3281,-0.837116,-145.4,-0.837116,0.546122,-0.59418,0.0,-1.826527,132,-22
111,jonbot_190003d@90fc9f3,jonbot_190003d,90fc9f3,5964,1805,1,4158,0.3027,-0.924519,-160.6,-0.924519,-0.118631,0.36766,0.0,-1.624687,118,-7
112,pantheon_puppet@5a92113,pantheon_puppet,5a92113,5964,1710,19,4235,0.2883,-0.9285,-161.3,-0.9285,-0.588187,0.498344,0.0,-1.467976,112,0
