rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,heimdall@840a180,heimdall,840a180,4452,4066,0,386,0.9133,2.747478,477.3,2.747478,-0.32254,0.954759,1.0,0.0,1,0
2,bastion@840a180,bastion,840a180,4452,3883,1,568,0.8723,2.59749,451.2,2.59749,-1.107715,0.092341,0.0,-0.675755,5,-3
3,steward@e55aab5,steward,e55aab5,4452,3857,0,595,0.8664,2.536056,440.6,2.536056,-1.091496,0.089373,0.0,-1.007641,8,-5
4,vigil@e22eda8,vigil,e22eda8,4452,3785,0,667,0.8502,2.418602,420.2,2.418602,-1.040656,0.20773,0.0,-2.423538,51,-47
5,vigil@18b749d,vigil,18b749d,4452,3736,0,716,0.8392,2.40732,418.2,2.40732,-0.990765,-0.241508,0.0,-2.423538,51,-46
6,warden@3318ffd,warden,3318ffd,4452,3804,1,647,0.8546,2.401555,417.2,2.401555,-1.087696,0.192388,0.0,-1.72551,18,-12
7,vigil@e267eeb,vigil,e267eeb,4452,3779,0,673,0.8488,2.394745,416.0,2.394745,-1.008826,0.196317,0.0,-2.423538,51,-44
8,ragnarok@79582fc,ragnarok,79582fc,4452,3797,0,655,0.8529,2.393742,415.8,2.393742,-1.09765,0.143105,0.0,-2.423538,51,-43
9,valkyrie@d181312,valkyrie,d181312,4452,3790,1,661,0.8514,2.384595,414.2,2.384595,-1.109129,0.151418,0.0,-2.146581,38,-29
10,warden_walk@e55aab5,warden_walk,e55aab5,4452,3791,1,660,0.8516,2.374558,412.5,2.374558,-0.869316,0.209643,0.0,-1.400893,12,-2
11,warden_walk@3318ffd,warden_walk,3318ffd,4452,3758,1,693,0.8442,2.328347,404.5,2.328347,-0.81022,0.173548,0.0,-1.72551,18,-7
12,aegis@e55aab5,aegis,e55aab5,4452,3754,1,697,0.8433,2.298727,399.3,2.298727,-0.751648,0.29507,0.0,-2.146581,38,-26
13,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,4452,3667,0,785,0.8237,2.23609,388.4,2.23609,-0.886002,-0.147455,0.0,-2.423538,51,-38
14,valkyrie@30d0491,valkyrie,30d0491,4452,3689,0,763,0.8286,2.204695,383.0,2.204695,-1.010308,0.02145,0.0,-1.919593,26,-12
15,vigil@1b5f3d1,vigil,1b5f3d1,4452,3631,0,821,0.8156,2.197259,381.7,2.197259,-0.868226,-0.087612,0.0,-2.423538,51,-36
16,heimdall@daf0de0,heimdall,daf0de0,4452,3710,5,737,0.8339,2.134262,370.8,2.134262,-0.361451,0.485523,0.0,-0.573346,4,12
17,vigil@bf9b3e3,vigil,bf9b3e3,4452,3608,0,844,0.8104,2.108119,366.2,2.108119,-0.996407,-0.055387,0.0,-2.423538,51,-34
18,vigil@60d5afa,vigil,60d5afa,4452,3545,0,907,0.7963,1.959431,340.4,1.959431,-0.945534,-0.079878,0.0,-2.146581,38,-20
19,ragnarok_fair@79582fc,ragnarok_fair,79582fc,4452,3398,0,1054,0.7633,1.82752,317.5,1.82752,-0.197732,-0.018776,0.0,-1.129865,9,10
20,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,4452,3384,1,1067,0.7602,1.801399,312.9,1.801399,-0.684713,-0.310401,0.0,-0.473784,3,17
21,valkyrie_atk2@7227061,valkyrie_atk2,7227061,4452,3488,0,964,0.7835,1.749229,303.9,1.749229,-1.105075,0.202948,0.0,-3.320228,71,-50
22,pantheon_replica_day3@840a180,pantheon_replica_day3,840a180,4452,3356,0,1096,0.7538,1.692117,294.0,1.692117,-0.816994,-0.191359,0.0,-0.376478,2,20
23,valkyrie_econ2@7227061,valkyrie_econ2,7227061,4452,3413,0,1039,0.7666,1.638301,284.6,1.638301,-0.952705,0.139574,0.0,-2.785011,65,-42
24,prospect@bf9b3e3,prospect,bf9b3e3,4452,3249,0,1203,0.7298,1.63399,283.9,1.63399,-0.177789,-0.223138,0.0,-1.55463,13,11
25,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,4452,3174,0,1278,0.7129,1.611967,280.0,1.611967,-0.330446,-0.41749,0.0,-1.919593,26,-1
26,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,4452,3164,0,1288,0.7107,1.601102,278.1,1.601102,-0.048265,-0.517758,0.0,-1.919593,26,0
27,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,4452,3162,0,1290,0.7102,1.558978,270.8,1.558978,-0.338835,-0.348421,0.0,-1.129865,9,18
28,gobbleglitch@6cdc440,gobbleglitch,6cdc440,4452,3158,5,1289,0.7099,1.547418,268.8,1.547418,-0.628337,-0.727284,0.0,-2.785011,65,-37
29,janus@8a1e7a1,janus,8a1e7a1,4452,3059,0,1393,0.6871,1.469178,255.2,1.469178,0.111665,-0.568379,0.0,-1.919593,26,3
30,vigil_reinforcements@60d5afa,vigil_reinforcements,60d5afa,4452,3301,0,1151,0.7415,1.224345,212.7,1.224345,-1.295473,0.72015,0.0,-0.891998,6,24
31,vanguard_oracle@902be71,vanguard_oracle,902be71,4452,2782,0,1670,0.6249,1.116333,193.9,1.116333,0.133034,-0.904291,0.0,-1.919593,26,5
32,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,4452,2815,0,1637,0.6323,1.080362,187.7,1.080362,0.092139,-0.247422,0.0,-2.146581,38,-6
33,tempest_reinforcements@51ad530,tempest_reinforcements,51ad530,4452,2814,0,1638,0.6321,1.076984,187.1,1.076984,0.086914,-0.243458,0.0,-2.146581,38,-5
34,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,4452,2812,0,1640,0.6316,1.026164,178.3,1.026164,0.006146,-0.145981,0.0,-2.146581,38,-4
35,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,4452,2816,0,1636,0.6325,1.00047,173.8,1.00047,-0.113753,-0.393182,0.0,-2.423538,51,-16
36,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,4452,2681,0,1771,0.6022,0.974677,169.3,0.974677,0.229882,-1.004559,0.0,-1.72551,18,18
37,gobbleglitch@e808e1d,gobbleglitch,e808e1d,4452,2876,6,1570,0.6467,0.938983,163.1,0.938983,-0.596451,-0.407963,0.0,-2.785011,65,-28
38,gobbleglitch@a79dd98,gobbleglitch,a79dd98,4452,2832,4,1616,0.6366,0.927894,161.2,0.927894,-0.442082,-0.459978,0.0,-2.423538,51,-13
39,vanguard_oracle@75591b7,vanguard_oracle,75591b7,4452,2635,0,1817,0.5919,0.923314,160.4,0.923314,0.286497,-1.017232,0.0,-2.146581,38,1
40,tempest_oracle_ferry@fdc1e1f,tempest_oracle_ferry,fdc1e1f,4452,2808,0,1644,0.6307,0.871843,151.5,0.871843,-0.441033,-0.120178,0.0,-0.891998,6,34
41,vanguard@9932bec,vanguard,9932bec,4452,2520,0,1932,0.566,0.855875,148.7,0.855875,0.626528,-1.141275,0.0,-1.55463,13,28
42,vanguard@c407e79,vanguard,c407e79,4452,2447,0,2005,0.5496,0.797151,138.5,0.797151,0.736674,-1.057696,0.0,-1.260254,11,31
43,vanguard@818f3b4,vanguard,818f3b4,4452,2513,0,1939,0.5645,0.793617,137.9,0.793617,0.53987,-1.176929,0.0,-1.72551,18,25
44,undertow@fdc1e1f,undertow,fdc1e1f,4452,2446,0,2006,0.5494,0.740384,128.6,0.740384,0.628518,-0.75084,0.0,-1.919593,26,18
45,undertow@da3fd8a,undertow,da3fd8a,4452,2440,0,2012,0.5481,0.715781,124.3,0.715781,0.617962,-0.75196,0.0,-1.919593,26,19
46,v233_i@902be71,v233_i,902be71,4452,2384,0,2068,0.5355,0.713267,123.9,0.713267,0.846113,-1.102055,0.0,-1.55463,13,33
47,autistimusprime@ecd4d24,autistimusprime,ecd4d24,4452,2800,6,1646,0.6296,0.697958,121.2,0.697958,-0.946432,-0.167717,0.0,-2.785011,65,-18
