rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vidar@8b87da5,vidar,8b87da5,5754,4383,17,1354,0.7632,1.307417,227.1,1.307417,-0.488533,-0.630219,0.221883,0.0,1,0
2,vidar_r2@c8b850e,vidar_r2,c8b850e,5754,4382,13,1359,0.7627,1.287023,223.6,1.287023,-0.551465,-0.72425,0.0,-0.010097,5,-3
3,vidar_r3@c8b850e,vidar_r3,c8b850e,5753,4380,13,1360,0.7625,1.284865,223.2,1.284865,-0.555488,-0.736579,0.0,-0.010097,5,-2
4,vidar@ee47958,vidar,ee47958,5754,4352,13,1389,0.7575,1.266305,220.0,1.266305,-0.426122,-0.648663,0.0,-0.14823,8,-4
5,vidar@561800a,vidar,561800a,5742,4343,13,1386,0.7575,1.265368,219.8,1.265368,-0.426676,-0.644453,0.0,-0.14823,8,-3
6,vidar_r1@c8b850e,vidar_r1,c8b850e,5754,4350,13,1391,0.7571,1.260455,219.0,1.260455,-0.441352,-0.677174,0.0,-0.14823,8,-2
7,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,5754,4041,10,1703,0.7032,0.991933,172.3,0.991933,-0.278302,-0.34667,0.0,-0.303044,23,-16
8,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,5754,4087,10,1657,0.7112,0.980299,170.3,0.980299,-0.54999,-0.443779,0.352337,-0.0,1,7
9,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,5754,4085,10,1659,0.7108,0.977247,169.8,0.977247,-0.554002,-0.455747,0.352248,-0.0,1,8
10,vidar_noring@1b7a73a,vidar_noring,1b7a73a,5754,3966,12,1776,0.6903,0.926002,160.9,0.926002,-0.365677,-0.310891,0.0,-0.510682,42,-32
11,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,5754,3958,12,1784,0.6889,0.916848,159.3,0.916848,-0.52228,-0.35954,0.0,-0.712022,58,-47
12,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,5754,3994,10,1750,0.695,0.913584,158.7,0.913584,-0.406022,-0.463575,0.0,-0.25304,18,-6
13,vidar_bat1@1b7a73a,vidar_bat1,1b7a73a,5754,3953,16,1785,0.6884,0.893676,155.2,0.893676,-0.380132,-0.476427,0.0,-0.366349,35,-22
14,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,5754,3958,10,1786,0.6887,0.890589,154.7,0.890589,-0.364578,-0.518251,0.0,-0.22872,12,2
