match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
00054b94e7699749,auto-cbf15637b9be,mistral_fast@26b5aa1,mistral_fast,26b5aa1,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,sprint,official,1,0,rating,a,a,1.0,core_destroyed,73,,60,0,8,1,237,160,5,5,ok,,3.589,n-62-11-57,29038476,2026-08-06T02:39:54+0200
0005964cb592a2ee,auto-cbf15637b9be,vidar@544eeb3,vidar,544eeb3,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,pinch,official,1,0,rating,b,b,0.0,core_destroyed,132,,20,430,8,8,38,890,11,25,ok,,4.68,n-62-11-64,29038476,2026-08-06T02:44:57+0200
000b742bb3934259,auto-cbf15637b9be,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,vanguard@da3fd8a,vanguard,da3fd8a,bridge,official,1,0,rating,b,b,0.0,core_destroyed,256,,20,0,5,13,245,670,12,16,ok,,5.405,n-62-29-12,29038476,2026-08-06T02:42:31+0200
001409748f043c4b,auto-cbf15637b9be,lockin@90fc9f3,lockin,90fc9f3,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,aurora,official,1,0,rating,b,b,0.0,core_destroyed,104,,39,0,12,2,33,440,9,37,ok,,9.5,n-62-11-55,29038476,2026-08-06T02:39:26+0200
001e25a8d287b269,auto-cbf15637b9be,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,vidar_seatcover@1b7a73a,vidar_seatcover,1b7a73a,fjord,official,1,0,rating,a,a,1.0,core_destroyed,136,,67,920,7,31,17,580,8,20,ok,,4.91,n-62-29-12,29038476,2026-08-06T02:45:52+0200
0022fbf9550fa153,auto-cbf15637b9be,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,vigil@bf9b3e3,vigil,bf9b3e3,longship,official,1,0,rating,a,a,1.0,core_destroyed,58,,6,180,8,14,24,120,9,13,ok,,3.988,n-62-21-98,29038476,2026-08-06T02:45:44+0200
002629fa272301b5,auto-cbf15637b9be,vigil@18b749d,vigil,18b749d,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,twins,official,1,0,rating,b,b,0.0,core_destroyed,94,,10,130,6,3,6,200,8,7,ok,,3.915,n-62-11-63,29038476,2026-08-06T02:45:17+0200
002ddcc1d84a2c93,auto-cbf15637b9be,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,aegis@e55aab5,aegis,e55aab5,duel,official,1,0,rating,a,a,1.0,core_destroyed,70,,16,310,7,9,6,210,7,5,ok,,3.123,n-62-31-21,29038476,2026-08-06T02:39:33+0200
0036935b1a9a1356,auto-cbf15637b9be,vigil@2e6c876,vigil,2e6c876,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,vase,official,1,0,rating,b,b,0.0,core_destroyed,218,,826,500,5,6,35,510,14,7,ok,,5.533,n-62-31-24,29038476,2026-08-06T02:45:27+0200
0046a15d611d5bec,auto-cbf15637b9be,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,v233_b@9713344,v233_b,9713344,hive,official,1,0,rating,a,a,1.0,core_destroyed,141,,9,330,11,24,60,0,3,6,ok,,6.197,n-62-21-103,29038476,2026-08-06T02:41:42+0200
0047144fa8f08089,auto-cbf15637b9be,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,steward_reinforced@a8dc58a,steward_reinforced,a8dc58a,string,official,1,0,rating,a,a,1.0,core_destroyed,168,,19,370,7,3,16,0,6,3,ok,,4.47,n-62-21-98,29038476,2026-08-06T02:43:53+0200
004a7aa1f430eb61,auto-cbf15637b9be,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,heimdall@4c0d92e,heimdall,4c0d92e,runestone,official,1,0,rating,a,a,1.0,core_destroyed,107,,19,420,7,25,10,370,8,20,ok,,4.324,n-62-29-17,29038476,2026-08-06T02:39:43+0200
004bb47e3ac57286,auto-cbf15637b9be,vidar_r1@c8b850e,vidar_r1,c8b850e,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,atoll,official,1,0,rating,b,b,0.0,titanium_collected,1000,,17,3220,9,19,28,4950,12,10,ok,,12.231,n-62-31-4,29038476,2026-08-06T02:45:22+0200
004eaa75364e3f43,auto-cbf15637b9be,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,lockin@90fc9f3,lockin,90fc9f3,vault,official,1,0,rating,a,a,1.0,core_destroyed,51,,10,200,10,11,39,0,11,3,ok,,7.771,n-62-11-51,29038476,2026-08-06T02:38:54+0200
005807870e62caac,auto-cbf15637b9be,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,undertow_oracle@75591b7,undertow_oracle,75591b7,vase,official,1,0,rating,a,a,1.0,core_destroyed,206,,10,480,8,16,309,470,7,6,ok,,5.238,n-62-11-64,29038476,2026-08-06T02:42:52+0200
0058dc70f0cb7299,auto-cbf15637b9be,vidar_r1@c8b850e,vidar_r1,c8b850e,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,bridge,official,1,0,rating,b,b,0.0,core_destroyed,965,,3893,3790,1,5,10,0,18,4,ok,,19.03,n-62-31-4,29038476,2026-08-06T02:46:05+0200
00626d900699f1c3,auto-cbf15637b9be,odin@5a92113,odin,5a92113,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,twins,official,1,0,rating,b,b,0.0,core_destroyed,101,,31,570,10,31,9,210,8,19,ok,,4.075,n-62-12-3,29038476,2026-08-06T02:40:03+0200
006c94f0cf0e82b7,auto-cbf15637b9be,janus@8a1e7a1,janus,8a1e7a1,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,string,official,1,0,rating,a,a,1.0,core_destroyed,83,,88,210,7,5,10,200,8,3,ok,,3.651,n-62-29-14,29038476,2026-08-06T02:39:19+0200
00701ce3503e4631,auto-cbf15637b9be,vidar2@544eeb3,vidar2,544eeb3,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,vase,official,1,0,rating,a,a,1.0,titanium_stored,1000,,4318,2400,3,8,3422,2400,12,17,ok,,15.162,n-62-28-34,29038476,2026-08-06T02:44:28+0200
00735daeed686c03,auto-cbf15637b9be,vigil@18b749d,vigil,18b749d,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,string,official,1,0,rating,a,a,1.0,core_destroyed,120,,46,580,6,12,67,780,10,14,ok,,4.837,n-62-31-21,29038476,2026-08-06T02:45:41+0200
007c7e80e4ca70bc,auto-cbf15637b9be,valkyrie_econ2@7227061,valkyrie_econ2,7227061,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,vase,official,1,0,rating,a,a,1.0,core_destroyed,122,,24,260,6,7,197,260,9,10,ok,,5.109,n-62-29-18,29038476,2026-08-06T02:43:53+0200
008665ed28bab644,auto-cbf15637b9be,pantheon_clone@daf0de0,pantheon_clone,daf0de0,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,atoll,official,1,0,rating,b,b,0.0,core_destroyed,53,,60,0,9,8,10,210,9,17,ok,,3.9,n-62-21-9,29038476,2026-08-06T02:38:48+0200
00a0985c24dc8780,auto-cbf15637b9be,mistral@90fc9f3,mistral,90fc9f3,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,crossfire,official,1,0,rating,b,b,0.0,core_destroyed,58,,364,0,4,0,10,130,9,13,ok,,4.648,n-62-11-56,29038476,2026-08-06T02:39:53+0200
00b0736cbef43445,auto-cbf15637b9be,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,undertow_adjacent@90fc9f3,undertow_adjacent,90fc9f3,strait,official,1,0,rating,a,a,1.0,core_destroyed,134,,9,640,7,26,56,520,10,9,ok,,5.545,n-62-28-35,29038476,2026-08-06T02:42:07+0200
00b3f9fccdbd572b,auto-cbf15637b9be,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,skadi@aad5f44,skadi,aad5f44,atoll,official,1,0,rating,a,a,1.0,core_destroyed,179,,10,840,9,13,17,280,7,11,ok,,5.557,n-62-21-53,29038476,2026-08-06T02:39:32+0200
00b76583bc7437bd,auto-cbf15637b9be,tempest@90fc9f3,tempest,90fc9f3,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,runestone,official,1,0,rating,b,b,0.0,core_destroyed,63,,424,130,4,9,10,130,8,22,ok,,4.828,n-62-31-23,29038476,2026-08-06T02:42:26+0200
00c0019df4be0b1b,auto-cbf15637b9be,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,bridge,official,1,0,rating,a,a,1.0,titanium_stored,1000,,219,0,12,17,82,0,8,7,ok,,25.36,n-62-11-60,29038476,2026-08-06T02:40:13+0200
00dccbddd1714aa6,auto-cbf15637b9be,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,janus@8a1e7a1,janus,8a1e7a1,crossfire,official,1,0,rating,a,a,1.0,core_destroyed,162,,37,390,6,5,28,390,9,5,ok,,5.056,n-62-29-10,29038476,2026-08-06T02:38:45+0200
00e4fb94685b8915,auto-cbf15637b9be,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,hive,official,1,0,rating,a,a,1.0,core_destroyed,65,,9,220,9,13,45,220,6,22,ok,,4.383,n-62-21-17,29038476,2026-08-06T02:39:07+0200
00e7f5b65acb8fb4,auto-cbf15637b9be,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,crossfire,official,1,0,rating,a,a,1.0,core_destroyed,383,,196,3150,19,41,4,50,3,4,ok,,8.421,n-62-31-11,29038476,2026-08-06T02:41:49+0200
00e9506c19c62579,auto-cbf15637b9be,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,sprint,official,1,0,rating,b,b,0.0,core_destroyed,89,,7,0,7,13,6,70,4,8,ok,,2.847,n-62-29-12,29038476,2026-08-06T02:43:48+0200
00f101e43b0153b4,auto-cbf15637b9be,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,heimdall@4c0d92e,heimdall,4c0d92e,duel,official,1,0,rating,a,a,1.0,core_destroyed,52,,26,220,9,7,16,210,8,9,ok,,4.214,n-62-29-12,29038476,2026-08-06T02:40:33+0200
010b62e27d3d8e65,auto-cbf15637b9be,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,crossfire,official,1,0,rating,b,b,0.0,core_destroyed,166,,204,770,9,18,92,1010,9,21,ok,,7.405,n-62-28-31,29038476,2026-08-06T02:47:27+0200
