rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,6426,5053,15,1358,0.7875,1.47439,256.1,1.47439,-0.407178,0.435659,0.0,-0.328691,11,-10
2,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,6426,5063,28,1335,0.7901,1.467856,255.0,1.467856,-0.288439,0.594227,0.0,-0.09309,3,-1
3,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,6426,5038,34,1354,0.7866,1.447814,251.5,1.447814,-0.267951,0.573403,0.499994,0.0,1,2
4,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,6426,5007,31,1388,0.7816,1.430505,248.5,1.430505,-0.227394,0.553485,0.0,-0.09309,3,1
5,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,6426,4999,31,1396,0.7803,1.422089,247.0,1.422089,-0.246979,0.552925,0.500006,0.0,1,4
6,skadi@6a2af02,skadi,6a2af02,6426,4880,22,1524,0.7611,1.337577,232.4,1.337577,-0.488618,0.40134,0.0,-0.186586,5,1
7,skadi@821d792,skadi,821d792,6426,4842,31,1553,0.7559,1.309845,227.5,1.309845,-0.430418,0.291372,0.0,-0.186586,5,2
8,skadi@aad5f44,skadi,aad5f44,6426,4833,34,1559,0.7547,1.303729,226.5,1.303729,-0.375851,0.323334,0.0,-0.186586,5,3
9,skadi@1e4eddf,skadi,1e4eddf,6426,4770,26,1630,0.7443,1.21189,210.5,1.21189,-0.546719,0.454588,0.0,-0.424883,13,-4
10,vidar_r3@c8b850e,vidar_r3,c8b850e,6426,4741,26,1659,0.7398,1.193089,207.3,1.193089,-0.662135,0.502359,0.0,-0.186688,8,2
11,vidar@8b87da5,vidar,8b87da5,6426,4716,18,1692,0.7353,1.192247,207.1,1.192247,-0.610041,0.399844,0.0,-0.473784,16,-5
12,vidar_r2@c8b850e,vidar_r2,c8b850e,6426,4738,26,1662,0.7393,1.192235,207.1,1.192235,-0.658827,0.49248,0.0,-0.281059,10,2
13,spar_econ@aad5f44,spar_econ,aad5f44,6426,4613,19,1794,0.7193,1.173284,203.8,1.173284,-0.281753,-0.179831,0.0,-0.682889,25,-12
14,vidar@561800a,vidar,561800a,6426,4674,26,1726,0.7294,1.152261,200.2,1.152261,-0.620645,0.33871,0.0,-0.624154,20,-6
15,vidar@ee47958,vidar,ee47958,6426,4673,26,1727,0.7292,1.151629,200.1,1.151629,-0.623464,0.338753,0.0,-0.624154,20,-5
16,vidar_r1@c8b850e,vidar_r1,c8b850e,6426,4669,26,1731,0.7286,1.145015,198.9,1.145015,-0.651501,0.358805,0.0,-0.624154,20,-4
17,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,6426,4677,44,1705,0.7312,1.1264,195.7,1.1264,-0.257641,0.45932,0.0,-0.523565,17,0
18,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,6426,4407,13,2006,0.6868,0.887887,154.2,0.887887,-0.446372,0.502653,0.0,-0.949819,43,-25
19,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,6426,4406,13,2007,0.6867,0.88576,153.9,0.88576,-0.454021,0.510095,0.0,-0.949819,43,-24
20,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,6426,4311,11,2104,0.6717,0.862375,149.8,0.862375,-0.416178,0.172057,0.0,-1.068752,55,-35
21,vidar_noring@1b7a73a,vidar_noring,1b7a73a,6426,4304,15,2107,0.6709,0.854263,148.4,0.854263,-0.248808,0.293441,0.0,-0.425132,14,7
22,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,6426,4282,15,2129,0.6675,0.835734,145.2,0.835734,-0.303011,0.424278,0.0,-0.280902,9,13
23,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,6426,4304,13,2109,0.6708,0.822595,142.9,0.822595,-0.456558,0.359216,0.0,-1.204265,72,-49
