match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
000a9be349032178,auto-d068dd3ad909,frontier_v1@9713344,frontier_v1,9713344,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,twins,official,1,0,rating,b,b,0.0,core_destroyed,34,,24,0,10,2,10,0,11,5,ok,,3.583,n-62-29-29,29004186,2026-08-02T13:26:25+0200
001196c52171b817,auto-d068dd3ad909,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,hive,official,1,0,rating,a,a,1.0,core_destroyed,51,,10,100,11,7,2,100,9,6,ok,,6.482,n-62-13-9,29004186,2026-08-02T13:27:20+0200
001af2e0257b76b6,auto-d068dd3ad909,siege_v1@9713344,siege_v1,9713344,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,vase,official,1,0,rating,b,b,0.0,core_destroyed,34,,266,0,3,1,10,0,11,2,ok,,3.743,n-62-11-56,29004186,2026-08-02T13:26:56+0200
00221f132d06203e,auto-d068dd3ad909,uw_v1@9713344,uw_v1,9713344,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,vault,official,1,0,rating,b,b,0.0,core_destroyed,54,,94,0,5,4,10,220,12,17,ok,,3.939,n-62-11-66,29004186,2026-08-02T13:27:43+0200
00466d5a2bdab611,auto-d068dd3ad909,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,vg_v5@9713344,vg_v5,9713344,runestone,official,1,0,rating,a,a,1.0,core_destroyed,53,,10,0,11,5,75,60,6,10,ok,,3.284,n-62-31-21,29004186,2026-08-02T13:28:13+0200
0047843fa78972bb,auto-d068dd3ad909,claude_challenger_2@fdc1e1f,claude_challenger_2,fdc1e1f,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,vault,official,1,0,rating,b,b,0.0,core_destroyed,47,,264,200,10,6,2,180,11,17,ok,,5.061,n-62-31-9,29004186,2026-08-02T13:26:56+0200
0048a42e5b329769,auto-d068dd3ad909,tempest_outer@fdc1e1f,tempest_outer,fdc1e1f,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,sprint,official,1,0,rating,a,a,1.0,core_destroyed,34,,58,0,8,4,11,10,7,4,ok,,3.691,n-62-21-13,29004186,2026-08-02T13:27:21+0200
0050ef6a2623953e,auto-d068dd3ad909,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,opponent_luc@e83a42c,opponent_luc,e83a42c,aurora,official,1,0,rating,a,a,1.0,core_destroyed,40,,30,80,11,8,15,0,12,2,ok,,6.761,n-62-31-20,29004186,2026-08-02T13:27:01+0200
0054ee6b9dc08fad,auto-d068dd3ad909,undertow@fdc1e1f,undertow,fdc1e1f,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,skerry,official,1,0,rating,a,a,1.0,core_destroyed,50,,56,220,12,8,8,110,13,4,ok,,5.441,n-62-31-24,29004186,2026-08-02T13:27:29+0200
007a76b6455fbb13,auto-d068dd3ad909,claude_challenger_2@fdc1e1f,claude_challenger_2,fdc1e1f,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,runestone,official,1,0,rating,b,b,0.0,core_destroyed,32,,129,50,9,6,20,0,11,5,ok,,4.819,n-62-21-92,29004186,2026-08-02T13:27:28+0200
00953c5353bb878f,auto-d068dd3ad909,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,casemate@902be71,casemate,902be71,aurora,official,1,0,rating,a,a,1.0,core_destroyed,50,,10,100,11,8,79,0,4,29,ok,,3.207,n-62-11-61,29004186,2026-08-02T13:27:23+0200
