rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,forseti@37dc858,forseti,37dc858,5544,3996,8,1540,0.7215,1.082802,188.1,1.082802,-0.815191,0.10103,0.0,-0.01495,8,-7
2,magni@3677a66,magni,3677a66,5544,3991,8,1545,0.7206,1.075414,186.8,1.075414,-0.828754,0.092045,0.249888,-0.0,1,1
3,hodr@ea88247,hodr,ea88247,5544,3993,8,1543,0.721,1.074721,186.7,1.074721,-0.842828,0.1225,0.0,-0.01495,8,-5
4,mimir@cfc1ec4,mimir,cfc1ec4,5544,3902,8,1634,0.7045,0.98467,171.1,0.98467,-0.686952,0.184876,0.249888,0.0,1,3
5,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,5508,3843,19,1646,0.6994,0.980822,170.4,0.980822,-0.542069,-0.033907,0.0,-0.13471,18,-13
6,spar_sniper@aa24129,spar_sniper,aa24129,5544,3872,12,1660,0.6995,0.970655,168.6,0.970655,-0.609717,0.108804,0.0,-0.044796,12,-6
7,steward_relent@7ed1acc,steward_relent,7ed1acc,5544,3871,17,1656,0.6998,0.960489,166.9,0.960489,-0.490206,0.161394,0.125125,-0.0,1,6
8,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,5508,3839,17,1652,0.6985,0.958392,166.5,0.958392,-0.553227,0.179691,0.125125,-0.0,1,7
9,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,5508,3809,37,1662,0.6949,0.954903,165.9,0.954903,-0.499751,0.053529,0.0,-0.052283,13,-4
10,freyr@c2c0d3d,freyr,c2c0d3d,5544,3869,16,1659,0.6993,0.953042,165.6,0.953042,-0.607701,0.162986,0.124868,-0.0,1,9
11,njord@f66a427,njord,f66a427,5544,3859,18,1667,0.6977,0.950514,165.1,0.950514,-0.610474,0.123573,0.0,-0.029873,11,0
12,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,5508,3806,37,1665,0.6944,0.948312,164.7,0.948312,-0.522152,0.07663,0.0,-0.007461,7,5
13,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,5508,3818,23,1667,0.6953,0.947286,164.6,0.947286,-0.553364,0.096833,0.0,-0.015003,10,3
14,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,5508,3830,17,1661,0.6969,0.945786,164.3,0.945786,-0.645597,0.183216,0.125106,-0.0,1,13
15,vali@7bc75e8,vali,7bc75e8,5544,3825,17,1702,0.6915,0.914753,158.9,0.914753,-0.624242,0.187375,0.0,-0.059799,15,0
16,ullr@7d1ab4e,ullr,7d1ab4e,5544,3814,19,1711,0.6897,0.908142,157.8,0.908142,-0.638126,0.15601,0.0,-0.089672,17,-1
17,gefjon@f66a427,gefjon,f66a427,5544,3733,24,1787,0.6755,0.875574,152.1,0.875574,0.048121,-0.008867,0.0,-0.08597,16,1
18,sif@3fc5cd8,sif,3fc5cd8,5544,3717,4,1823,0.6708,0.852998,148.2,0.852998,-0.086734,-0.02415,0.0,-0.059746,14,4
19,skadi@6a2af02,skadi,6a2af02,5508,3586,48,1874,0.6554,0.822125,142.8,0.822125,-0.099496,-0.475139,0.0,-0.401699,22,-3
20,skadi@821d792,skadi,821d792,5508,3549,62,1897,0.65,0.796709,138.4,0.796709,0.008723,-0.367473,0.0,-0.310083,19,1
