match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
000913c6ec9a2133,auto-d63897e202b9,mani@11aec08,mani,11aec08,vidar2@544eeb3,vidar2,544eeb3,sprint,all_official,1,0,rating,a,a,1.0,core_destroyed,59,,7,0,6,1,7,0,7,3,ok,,2.437,n-62-29-34,29053431,2026-08-09T01:06:41+0200
000a6eedb539fa1f,auto-d63897e202b9,mani@11aec08,mani,11aec08,strategist@2a19238,strategist,2a19238,showdown,all_official,1,0,rating,a,a,1.0,core_destroyed,76,,30,410,7,31,10,0,5,50,ok,,2.665,n-62-21-92,29053431,2026-08-09T01:05:07+0200
001a7dcdcab56079,auto-d63897e202b9,loki@9ac8974,loki,9ac8974,mani@11aec08,mani,11aec08,saga,all_official,1,0,rating,a,a,1.0,core_destroyed,104,,54,560,10,33,20,320,10,19,ok,,5.955,n-62-31-5,29053431,2026-08-09T01:02:24+0200
00270a7b6d3e97a2,auto-d63897e202b9,mani@11aec08,mani,11aec08,valkyrie_econ2@7227061,valkyrie_econ2,7227061,showdown,all_official,1,0,rating,a,a,1.0,core_destroyed,146,,8,20,6,12,10,0,7,2,ok,,2.771,n-62-11-66,29053431,2026-08-09T01:06:41+0200
002a464276832a4b,auto-d63897e202b9,mani@11aec08,mani,11aec08,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,snowflake,all_official,1,0,rating,a,a,1.0,core_destroyed,65,,20,380,8,24,29,230,10,10,ok,,4.564,n-62-11-67,29053431,2026-08-09T01:06:13+0200
0034690beadf2a4f,auto-d63897e202b9,mani@11aec08,mani,11aec08,vali@7bc75e8,vali,7bc75e8,aurora,all_official,1,0,rating,a,a,1.0,core_destroyed,136,,48,760,7,29,16,450,9,17,ok,,4.706,n-62-31-24,29053431,2026-08-09T01:06:15+0200
003f3d81c903c3ca,auto-d63897e202b9,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,mani@11aec08,mani,11aec08,drumlin,all_official,1,0,rating,a,a,1.0,core_destroyed,68,,26,230,7,20,49,400,9,19,ok,,4.559,n-62-31-11,29053431,2026-08-09T01:04:44+0200
0049e17d5a19359b,auto-d63897e202b9,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,mani@11aec08,mani,11aec08,sweden,all_official,1,0,rating,a,a,1.0,core_destroyed,196,,285,1440,9,34,49,870,12,22,ok,,6.255,n-62-11-55,29053431,2026-08-09T01:08:53+0200
0053909865c16316,auto-d63897e202b9,mani@11aec08,mani,11aec08,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,crossfire,all_official,1,0,rating,a,a,1.0,core_destroyed,146,,8,450,7,14,8,40,8,2,ok,,3.713,n-62-31-22,29053431,2026-08-09T01:04:19+0200
0060be365b21f4a3,auto-d63897e202b9,mani@11aec08,mani,11aec08,skadi@aad5f44,skadi,aad5f44,pinch,all_official,1,0,rating,b,b,0.0,core_destroyed,496,,103,1650,8,25,231,5550,24,52,ok,,13.68,n-62-31-11,29053431,2026-08-09T01:04:31+0200
