rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,spar_sentinel@213b430,spar_sentinel,213b430,7326,5477,8,1841,0.7482,1.25769,218.5,1.25769,-0.449984,0.071064,0.0,-0.114585,12,-11
2,freyja@6a8a5f7,freyja,6a8a5f7,7326,5442,16,1868,0.7439,1.215308,211.1,1.215308,-0.662152,0.113778,0.236213,0.0,1,1
3,vili@1a0c1ad,vili,1a0c1ad,7326,5419,15,1892,0.7407,1.201177,208.7,1.201177,-0.697008,0.106999,0.0,-0.054854,10,-7
4,hlin@6b5d86e,hlin,6b5d86e,7326,5249,6,2071,0.7169,1.086422,188.7,1.086422,0.10045,0.262773,0.0,-0.026794,7,-3
5,frigg@55df097,frigg,55df097,7326,5250,6,2070,0.717,1.084239,188.4,1.084239,0.073833,0.267995,0.0,-0.026794,7,-2
6,gefn@60ae5f1,gefn,60ae5f1,7326,5174,5,2147,0.7066,1.06427,184.9,1.06427,-0.06085,-0.08017,0.0,-0.018348,6,0
7,syn@5bf798e,syn,5bf798e,7326,5172,6,2148,0.7064,1.053346,183.0,1.053346,-0.169237,-0.037383,0.0,-0.001455,4,3
8,lofn@c8d0165,lofn,c8d0165,7326,5216,6,2104,0.7124,1.049055,182.2,1.049055,0.095955,0.378324,0.724521,0.0,1,7
9,nanna@55df097,nanna,55df097,7326,5178,6,2142,0.7072,1.021285,177.4,1.021285,0.086447,0.366629,0.0,-0.026794,7,2
10,bil@6b5d86e,bil,6b5d86e,7326,5155,6,2165,0.7041,1.004981,174.6,1.004981,0.143205,0.360324,0.0,-0.00237,5,5
11,snotra_h@4437c29,snotra_h,4437c29,7326,5027,7,2292,0.6867,0.918465,159.6,0.918465,-0.509332,0.149828,0.0,-0.348332,18,-7
12,snotra@34b0ce8,snotra,34b0ce8,7326,5000,5,2321,0.6828,0.898414,156.1,0.898414,-0.554686,0.157614,0.0,-0.378254,20,-8
13,hoenir@5907a3b,hoenir,5907a3b,7326,4960,9,2357,0.6777,0.874025,151.8,0.874025,-0.334818,0.406766,0.0,-0.281176,13,0
14,gefn@46ac5e6,gefn,46ac5e6,7326,4916,6,2404,0.6714,0.844052,146.6,0.844052,-0.395616,0.082151,0.0,-0.405695,23,-9
15,vor@c32539f,vor,c32539f,7326,4911,1,2414,0.6704,0.841749,146.2,0.841749,-0.400335,0.035073,0.0,-0.433921,24,-9
16,fulla@ec5aa19,fulla,ec5aa19,7326,4908,1,2417,0.67,0.840524,146.0,0.840524,-0.345237,0.057779,0.0,-0.433921,24,-8
