match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
0008bdc1190f7ed2,auto-d81dfc83b6f8,dagr@e113755,dagr,e113755,bifrost@c70c467,bifrost,c70c467,atoll,all_official,1,0,rating,a,a,1.0,core_destroyed,77,,8,350,8,9,8,250,9,5,ok,,3.631,n-62-28-31,29053898,2026-08-09T10:00:27+0200
001ecd1bbf92d4d4,auto-d81dfc83b6f8,bil@6b5d86e,bil,6b5d86e,dagr@e113755,dagr,e113755,vase,all_official,1,0,rating,b,b,0.0,core_destroyed,153,,37,0,9,7,10,0,8,13,ok,,4.507,n-62-29-22,29053898,2026-08-09T10:02:23+0200
00247911cea0b507,auto-d81dfc83b6f8,dagr@e113755,dagr,e113755,byggvir@5bf798e,byggvir,5bf798e,archipelago,all_official,1,0,rating,a,a,1.0,core_destroyed,73,,6,370,7,18,60,560,8,33,ok,,3.564,n-62-29-8,29053898,2026-08-09T10:00:33+0200
002968fdbadadc89,auto-d81dfc83b6f8,dagr@e113755,dagr,e113755,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,hive,all_official,1,0,rating,a,a,1.0,core_destroyed,136,,29,590,9,19,16,200,9,2,ok,,3.771,n-62-29-29,29053898,2026-08-09T10:03:22+0200
002ca5d0f16f2f75,auto-d81dfc83b6f8,njord@f66a427,njord,f66a427,dagr@e113755,dagr,e113755,sweden,all_official,1,0,rating,a,a,1.0,core_destroyed,493,,10,1130,12,20,126,1500,10,27,ok,,19.257,n-62-29-33,29053898,2026-08-09T10:02:48+0200
002fe231e8217453,auto-d81dfc83b6f8,sif@3fc5cd8,sif,3fc5cd8,dagr@e113755,dagr,e113755,eider,all_official,1,0,rating,a,a,1.0,core_destroyed,175,,17,630,7,10,7,310,6,5,ok,,3.212,n-62-11-62,29053898,2026-08-09T10:03:21+0200
003bf5dc2c8bdcad,auto-d81dfc83b6f8,dagr@e113755,dagr,e113755,byggvir@55df097,byggvir,55df097,pinch,all_official,1,0,rating,a,a,1.0,core_destroyed,77,,9,170,8,12,10,180,7,19,ok,,2.886,n-62-29-18,29053898,2026-08-09T10:00:34+0200
006addb8a086f1ba,auto-d81dfc83b6f8,dagr@e113755,dagr,e113755,byggvir@55df097,byggvir,55df097,fjord,all_official,1,0,rating,a,a,1.0,core_destroyed,55,,17,350,5,17,8,260,9,18,ok,,3.783,n-62-29-33,29053898,2026-08-09T10:00:32+0200
00c18098a7fa64ea,auto-d81dfc83b6f8,dagr@e113755,dagr,e113755,ragnarok_fair@79582fc,ragnarok_fair,79582fc,nordkap,all_official,1,0,rating,a,a,1.0,core_destroyed,90,,8,200,6,6,20,370,9,10,ok,,3.553,n-62-29-34,29053898,2026-08-09T10:03:21+0200
00d59706069c257c,auto-d81dfc83b6f8,e_t4l7@9e77076,e_t4l7,9e77076,dagr@e113755,dagr,e113755,showdown,all_official,1,0,rating,a,a,1.0,harvesters,1000,,684,0,10,20,12,0,8,14,ok,,6.808,n-62-12-2,29053898,2026-08-09T10:01:07+0200
00f4409eb2729435,auto-d81dfc83b6f8,loki@9ac8974,loki,9ac8974,dagr@e113755,dagr,e113755,vase,all_official,1,0,rating,b,b,0.0,core_destroyed,226,,84,20,6,4,20,530,10,16,ok,,5.474,n-62-31-7,29053898,2026-08-09T10:02:56+0200
010e9c25fd55c140,auto-d81dfc83b6f8,heimdall@daf0de0,heimdall,daf0de0,dagr@e113755,dagr,e113755,quarry,all_official,1,0,rating,b,b,0.0,core_destroyed,91,,0,170,9,31,35,610,10,20,ok,,4.31,n-62-30-25,29053898,2026-08-09T10:01:28+0200
01194e182cbfe117,auto-d81dfc83b6f8,dagr@e113755,dagr,e113755,fenrir2@6b39ebb,fenrir2,6b39ebb,vase,all_official,1,0,rating,a,a,1.0,core_destroyed,85,,24,170,7,8,47,170,8,6,ok,,3.958,n-62-21-23,29053898,2026-08-09T10:01:10+0200
0125ff316d93c7f4,auto-d81dfc83b6f8,bifrost@c70c467,bifrost,c70c467,dagr@e113755,dagr,e113755,sweden,all_official,1,0,rating,a,a,1.0,core_destroyed,298,,100,710,7,35,116,530,8,20,ok,,10.429,n-62-29-15,29053898,2026-08-09T10:01:34+0200
01290da37adcbdde,auto-d81dfc83b6f8,gobbleglitch@6cdc440,gobbleglitch,6cdc440,dagr@e113755,dagr,e113755,skerry,all_official,1,0,rating,b,b,0.0,core_destroyed,55,,59,110,7,3,9,340,10,10,ok,,3.1,n-62-29-11,29053898,2026-08-09T10:01:26+0200
01460baa48ef5857,auto-d81dfc83b6f8,dagr@e113755,dagr,e113755,audhumla@a7faecd,audhumla,a7faecd,bridge,all_official,1,0,rating,a,a,1.0,core_destroyed,176,,47,1130,18,20,119,0,7,5,ok,,6.781,n-62-11-68,29053898,2026-08-09T10:00:38+0200
0152397c8151ace1,auto-d81dfc83b6f8,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,dagr@e113755,dagr,e113755,archipelago,all_official,1,0,rating,b,b,0.0,core_destroyed,66,,9,350,7,15,48,510,8,23,ok,,3.236,n-62-29-23,29053898,2026-08-09T10:03:32+0200
015eb9cd971f8c1f,auto-d81dfc83b6f8,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,dagr@e113755,dagr,e113755,runestone,all_official,1,0,rating,b,b,0.0,core_destroyed,101,,10,40,8,8,27,220,9,12,ok,,3.593,n-62-29-13,29053898,2026-08-09T10:03:19+0200
017367673cf155f6,auto-d81dfc83b6f8,gefn@60ae5f1,gefn,60ae5f1,dagr@e113755,dagr,e113755,snowflake,all_official,1,0,rating,a,a,1.0,core_destroyed,66,,0,740,9,34,49,400,8,20,ok,,3.468,n-62-29-13,29053898,2026-08-09T10:01:11+0200
019e0caab31d2005,auto-d81dfc83b6f8,bil@6b5d86e,bil,6b5d86e,dagr@e113755,dagr,e113755,archipelago,all_official,1,0,rating,a,a,1.0,core_destroyed,79,,17,530,8,25,4,470,9,24,ok,,3.953,n-62-29-21,29053898,2026-08-09T10:00:54+0200
01a472e90c589592,auto-d81dfc83b6f8,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,dagr@e113755,dagr,e113755,sprint,all_official,1,0,rating,b,b,0.0,core_destroyed,157,,10,20,2,1,9,370,9,10,ok,,3.289,n-62-31-24,29053898,2026-08-09T10:03:20+0200
01bf7ad7ba114470,auto-d81dfc83b6f8,mimir@cfc1ec4,mimir,cfc1ec4,dagr@e113755,dagr,e113755,twins,all_official,1,0,rating,b,b,0.0,core_destroyed,249,,9,160,7,5,20,590,8,13,ok,,4.93,n-62-28-34,29053898,2026-08-09T10:03:33+0200
01cf52e0361f4604,auto-d81dfc83b6f8,dagr@e113755,dagr,e113755,byggvir@5bf798e,byggvir,5bf798e,vault,all_official,1,0,rating,b,b,0.0,core_destroyed,95,,0,430,11,19,8,500,7,33,ok,,4.729,n-62-31-7,29053898,2026-08-09T10:00:53+0200
01ec24c060470e19,auto-d81dfc83b6f8,dagr@e113755,dagr,e113755,ragnarok_fair@79582fc,ragnarok_fair,79582fc,heart,all_official,1,0,rating,a,a,1.0,harvesters,1000,,18,0,6,12,10,0,9,12,ok,,11.127,n-62-29-15,29053898,2026-08-09T10:03:10+0200
022baf1c49b81b9f,auto-d81dfc83b6f8,dagr@e113755,dagr,e113755,jotunn@6b39ebb,jotunn,6b39ebb,fjord,all_official,1,0,rating,a,a,1.0,core_destroyed,147,,16,1040,10,18,10,960,12,36,ok,,6.472,n-62-28-35,29053898,2026-08-09T10:02:22+0200
0230a7d4658d4e4e,auto-d81dfc83b6f8,dagr@e113755,dagr,e113755,fenrir2@6b39ebb,fenrir2,6b39ebb,duel,all_official,1,0,rating,b,b,0.0,core_destroyed,69,,9,310,9,5,20,310,7,7,ok,,3.294,n-62-21-17,29053898,2026-08-09T10:01:06+0200
028dba5fb5b2192d,auto-d81dfc83b6f8,nott@d804023,nott,d804023,dagr@e113755,dagr,e113755,sprint,all_official,1,0,rating,b,b,0.0,titanium_collected,1000,,12,30,5,2,19,2470,10,10,ok,,8.788,n-62-11-60,29053898,2026-08-09T10:02:39+0200
0299e1299bd5ba79,auto-d81dfc83b6f8,dagr@e113755,dagr,e113755,mani@11aec08,mani,11aec08,saga,all_official,1,0,rating,a,a,1.0,core_destroyed,89,,26,480,8,40,27,240,11,22,ok,,4.455,n-62-11-66,29053898,2026-08-09T10:02:06+0200
02a8808d93692b7c,auto-d81dfc83b6f8,skadi@6a2af02,skadi,6a2af02,dagr@e113755,dagr,e113755,runestone,all_official,1,0,rating,b,b,0.0,core_destroyed,152,,16,400,6,19,41,750,8,22,ok,,4.68,n-62-28-34,29053898,2026-08-09T10:03:33+0200
02b28cc153488b22,auto-d81dfc83b6f8,dagr@e113755,dagr,e113755,byggvir@6b5d86e,byggvir,6b5d86e,sweden,all_official,1,0,rating,b,b,0.0,core_destroyed,109,,46,450,9,20,9,600,9,28,ok,,4.78,n-62-11-50,29053898,2026-08-09T10:00:57+0200
02c37bd4e2855091,auto-d81dfc83b6f8,dagr@e113755,dagr,e113755,e_t4l7@9e77076,e_t4l7,9e77076,twins,all_official,1,0,rating,a,a,1.0,core_destroyed,299,,20,2030,9,64,354,800,2,14,ok,,5.256,n-62-12-4,29053898,2026-08-09T10:00:20+0200
02c3ed09f7680880,auto-d81dfc83b6f8,bragi@db77268,bragi,db77268,dagr@e113755,dagr,e113755,crossfire,all_official,1,0,rating,a,a,1.0,core_destroyed,146,,8,350,8,5,8,350,8,3,ok,,3.325,n-62-29-26,29053898,2026-08-09T10:00:21+0200
02d735548c98f861,auto-d81dfc83b6f8,janus@8a1e7a1,janus,8a1e7a1,dagr@e113755,dagr,e113755,jackpot,all_official,1,0,rating,a,a,1.0,core_destroyed,98,,60,330,11,7,10,0,7,4,ok,,4.901,n-62-11-67,29053898,2026-08-09T10:02:32+0200
02db0c2a1bd9a83a,auto-d81dfc83b6f8,lockin@90fc9f3,lockin,90fc9f3,dagr@e113755,dagr,e113755,runestone,all_official,1,0,rating,b,b,0.0,core_destroyed,56,,51,0,12,2,20,210,8,22,ok,,5.24,n-62-29-26,29053898,2026-08-09T10:02:24+0200
02e4594a510cf2ab,auto-d81dfc83b6f8,odin@38e1456,odin,38e1456,dagr@e113755,dagr,e113755,jackpot,all_official,1,0,rating,a,a,1.0,core_destroyed,73,,20,300,8,24,60,0,11,4,ok,,3.695,n-62-29-5,29053898,2026-08-09T10:02:41+0200
02ebdda21a7525ef,auto-d81dfc83b6f8,dagr@e113755,dagr,e113755,njord@f66a427,njord,f66a427,fjord,all_official,1,0,rating,b,b,0.0,core_destroyed,62,,33,390,10,10,8,330,6,19,ok,,3.43,n-62-29-34,29053898,2026-08-09T10:02:24+0200
