rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,spar_sentinel@213b430,spar_sentinel,213b430,7920,5811,11,2098,0.7344,1.183461,205.6,1.183461,0.084091,0.416914,0.0,-0.093397,11,-10
2,freyja@6a8a5f7,freyja,6a8a5f7,7920,5785,20,2115,0.7317,1.14936,199.7,1.14936,0.123142,0.644391,0.299523,-0.0,1,1
3,vili@1a0c1ad,vili,1a0c1ad,7920,5754,19,2147,0.7277,1.132054,196.7,1.132054,0.112774,0.671117,0.0,-0.123799,12,-9
4,hlin@6b5d86e,hlin,6b5d86e,7920,5596,7,2317,0.707,1.031013,179.1,1.031013,0.254403,-0.111995,0.0,-0.002039,5,-1
5,frigg@55df097,frigg,55df097,7920,5595,7,2318,0.7069,1.027996,178.6,1.027996,0.26008,-0.085142,0.0,-0.023963,8,-3
6,gefn@60ae5f1,gefn,60ae5f1,7920,5515,6,2399,0.6967,1.007881,175.1,1.007881,-0.050508,0.051446,0.333282,0.0,1,5
7,lofn@c8d0165,lofn,c8d0165,7920,5567,7,2346,0.7033,0.998446,173.4,0.998446,0.372106,-0.124154,0.0,-0.021924,7,0
8,syn@5bf798e,syn,5bf798e,7920,5510,7,2403,0.6961,0.996002,173.0,0.996002,-0.010643,0.151989,0.0,-0.026051,9,-1
9,nanna@55df097,nanna,55df097,7920,5522,7,2391,0.6977,0.969182,168.4,0.969182,0.358816,-0.108977,0.0,-0.002039,5,4
10,bil@6b5d86e,bil,6b5d86e,7920,5505,7,2408,0.6955,0.957188,166.3,0.957188,0.356791,-0.170903,0.0,-0.00202,4,6
11,dagr@e113755,dagr,e113755,7920,5469,22,2429,0.6919,0.931219,161.8,0.931219,0.325101,0.156918,0.367195,-0.0,1,10
12,snotra_h@4437c29,snotra_h,4437c29,7920,5340,8,2572,0.6747,0.858403,149.1,0.858403,0.164718,0.488384,0.0,-0.25284,18,-6
13,eir@5d43b95,eir,5d43b95,7920,5343,8,2569,0.6751,0.853416,148.3,0.853416,0.230921,0.495768,0.0,-0.25284,18,-5
14,bragi@db77268,bragi,db77268,7920,5333,8,2579,0.6739,0.851664,147.9,0.851664,0.142324,0.412357,0.0,-0.195868,13,1
15,snotra@34b0ce8,snotra,34b0ce8,7920,5304,5,2611,0.67,0.835066,145.1,0.835066,0.171243,0.530624,0.0,-0.355393,29,-14
16,hoenir@5907a3b,hoenir,5907a3b,7920,5264,12,2644,0.6654,0.813224,141.3,0.813224,0.406196,0.299988,0.0,-0.203886,14,2
17,gefn@46ac5e6,gefn,46ac5e6,7920,5207,6,2707,0.6578,0.778288,135.2,0.778288,0.079222,0.376293,0.0,-0.29615,21,-4
18,vor@c32539f,vor,c32539f,7920,5204,1,2715,0.6571,0.777145,135.0,0.777145,0.036405,0.383112,0.0,-0.317452,24,-6
19,fulla@ec5aa19,fulla,ec5aa19,7920,5201,1,2718,0.6568,0.776015,134.8,0.776015,0.053542,0.329651,0.0,-0.339983,28,-9
20,nott@d804023,nott,d804023,7920,5180,14,2726,0.6549,0.764075,132.7,0.764075,0.351801,0.285734,0.0,-0.211585,15,5
21,ran@0eca95f,ran,0eca95f,7920,5107,15,2798,0.6458,0.752362,130.7,0.752362,-0.070367,0.181279,0.0,-0.442501,43,-22
22,vidarr@c9193be,vidarr,c9193be,7920,5111,15,2794,0.6463,0.7449,129.4,0.7449,-0.012266,0.248911,0.0,-0.442501,43,-21
23,bifrost@c70c467,bifrost,c70c467,7920,5152,12,2756,0.6513,0.742908,129.1,0.742908,0.384742,0.147633,0.0,-0.235997,16,7
24,mani@11aec08,mani,11aec08,7920,5155,12,2753,0.6516,0.741042,128.7,0.741042,0.298113,-0.120141,0.0,-0.081748,10,14
25,forseti@37dc858,forseti,37dc858,7920,5088,8,2824,0.6429,0.712128,123.7,0.712128,0.016811,0.749974,0.0,-0.336279,25,0
26,magni@3677a66,magni,3677a66,7920,5084,8,2828,0.6424,0.707338,122.9,0.707338,0.024287,0.760111,0.0,-0.336279,25,1
27,ostara@832c68a,ostara,832c68a,7920,5076,6,2838,0.6413,0.707077,122.8,0.707077,0.04789,0.135032,0.0,-0.242473,17,10
28,hodr@ea88247,hodr,ea88247,7920,5082,8,2830,0.6422,0.704869,122.4,0.704869,0.037523,0.774832,0.0,-0.336279,25,3
29,spork@05ab6a2,spork,05ab6a2,7920,5014,6,2900,0.6335,0.669643,116.3,0.669643,0.037433,0.076735,0.0,-0.306047,23,6
30,saga@db77268,saga,db77268,7920,5001,10,2909,0.6321,0.666581,115.8,0.666581,0.012126,0.091312,0.0,-0.302736,22,8
31,loki@832c68a,loki,832c68a,7920,4977,1,2942,0.6285,0.646927,112.4,0.646927,0.010747,0.215945,0.0,-0.381592,31,0
32,mimir@cfc1ec4,mimir,cfc1ec4,7920,4983,8,2929,0.6297,0.637727,110.8,0.637727,0.121473,0.619394,0.0,-0.379075,30,2
33,spar_sniper@aa24129,spar_sniper,aa24129,7920,4954,12,2954,0.6263,0.628286,109.1,0.628286,0.073542,0.547416,0.0,-0.401857,33,0
34,steward_relent@7ed1acc,steward_relent,7ed1acc,7920,4962,22,2936,0.6279,0.627482,109.0,0.627482,0.093721,0.419297,0.0,-0.428106,42,-8
35,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,7884,4920,22,2942,0.6254,0.620895,107.9,0.620895,0.096385,0.482946,0.0,-0.403669,34,1
36,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,7884,4889,23,2972,0.6216,0.618546,107.5,0.618546,-0.081493,0.480891,0.0,-0.48764,48,-12
37,freyr@c2c0d3d,freyr,c2c0d3d,7920,4950,21,2949,0.6263,0.617137,107.2,0.617137,0.090861,0.529727,0.0,-0.403669,34,3
38,loki@9ac8974,loki,9ac8974,7920,4937,1,2982,0.6234,0.616244,107.1,0.616244,0.109856,0.14276,0.0,-0.423787,41,-3
39,tyr@a41cf22,tyr,a41cf22,7920,4914,20,2986,0.6217,0.615498,106.9,0.615498,0.08333,0.544337,0.0,-0.470452,47,-8
40,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,7884,4912,22,2950,0.6244,0.612537,106.4,0.612537,0.111492,0.563071,0.0,-0.403669,34,6
41,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,7884,4894,28,2962,0.6225,0.610467,106.0,0.610467,0.0509,0.470671,0.0,-0.403669,34,7
42,spar_grind@d9529a7,spar_grind,d9529a7,7920,4884,17,3019,0.6177,0.610112,106.0,0.610112,-0.045324,0.032132,0.0,-0.294715,20,22
43,njord@f66a427,njord,f66a427,7920,4922,24,2974,0.623,0.606146,105.3,0.606146,0.049318,0.524254,0.0,-0.420971,40,3
44,gefjon@f66a427,gefjon,f66a427,7920,4884,32,3004,0.6187,0.597938,103.9,0.597938,0.074575,-0.109232,0.0,-0.39323,32,12
45,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,7884,4834,43,3007,0.6159,0.590315,102.5,0.590315,0.0022,0.447492,0.0,-0.532455,51,-6
46,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,7884,4831,43,3010,0.6155,0.585685,101.7,0.585685,0.030183,0.466496,0.0,-0.532455,51,-5
47,vali@7bc75e8,vali,7bc75e8,7920,4884,23,3013,0.6181,0.578998,100.6,0.578998,0.105968,0.537397,0.0,-0.444052,45,2
48,idun@11e47ca,idun,11e47ca,7920,4836,22,3062,0.612,0.577794,100.4,0.577794,-0.028993,-0.019959,0.0,-0.412039,39,9
49,ullr@7d1ab4e,ullr,7d1ab4e,7920,4871,25,3024,0.6166,0.573024,99.5,0.573024,0.091278,0.551544,0.0,-0.467485,46,3
50,sif@3fc5cd8,sif,3fc5cd8,7920,4792,7,3121,0.6055,0.543339,94.4,0.543339,0.016444,0.023021,0.0,-0.407868,38,12
51,skadi@6a2af02,skadi,6a2af02,7884,4640,48,3196,0.5916,0.509923,88.6,0.509923,-0.469576,-0.079722,0.0,-0.581622,53,-2
52,skadi@821d792,skadi,821d792,7884,4530,62,3292,0.5785,0.454207,78.9,0.454207,-0.406499,-0.139215,0.0,-0.793556,57,-5
53,skadi@aad5f44,skadi,aad5f44,7884,4502,65,3317,0.5752,0.442983,77.0,0.442983,-0.454744,-0.149517,0.0,-0.84038,58,-5
54,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,7884,4317,46,3521,0.5505,0.293581,51.0,0.293581,-0.085256,0.469612,0.0,-0.656063,56,-2
55,skadi@1e4eddf,skadi,1e4eddf,7884,4274,61,3549,0.546,0.293368,51.0,0.293368,-0.504088,0.057496,0.0,-0.969512,66,-11
56,byggvir@6b5d86e,byggvir,6b5d86e,7920,4307,1,3612,0.5439,0.282019,49.0,0.282019,-0.006364,-0.278143,0.0,-0.583219,54,2
57,byggvir@5bf798e,byggvir,5bf798e,7920,4305,1,3614,0.5436,0.275362,47.8,0.275362,-0.041594,-0.222912,0.0,-0.519648,49,8
58,vidar@8b87da5,vidar,8b87da5,7884,4211,49,3624,0.5372,0.272901,47.4,0.272901,-0.595545,-0.14171,0.0,-0.984046,68,-10
59,byggvir@55df097,byggvir,55df097,7920,4304,1,3615,0.5435,0.272709,47.4,0.272709,-0.01868,-0.224247,0.0,-0.519648,49,10
60,vidar_r2@c8b850e,vidar_r2,c8b850e,7884,4254,45,3585,0.5424,0.269957,46.9,0.269957,-0.378067,-0.05084,0.0,-0.925061,63,-3
61,vidar_r3@c8b850e,vidar_r3,c8b850e,7884,4259,43,3582,0.5429,0.269681,46.8,0.269681,-0.346289,-0.026091,0.0,-0.925061,63,-2
62,vidar@561800a,vidar,561800a,7884,4149,61,3674,0.5301,0.236506,41.1,0.236506,-0.586372,-0.143701,0.0,-0.919148,61,1
