rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vigil@18b749d,vigil,18b749d,3444,3198,0,246,0.9286,3.037182,527.6,3.037182,-1.232991,0.408215,0.000523,0.0,1,0
2,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,3444,3163,0,281,0.9184,2.865147,497.7,2.865147,-1.034811,0.525345,0.999477,0.0,2,0
3,vigil@1b5f3d1,vigil,1b5f3d1,3444,3136,0,308,0.9106,2.820931,490.0,2.820931,-0.944348,0.622395,0.0,-0.186635,3,0
4,vigil@bf9b3e3,vigil,bf9b3e3,3444,3120,0,324,0.9059,2.723392,473.1,2.723392,-1.022675,0.653519,0.0,-0.280952,4,0
5,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,3444,2822,0,622,0.8194,2.25024,390.9,2.25024,-0.698773,-0.098368,0.0,-0.892264,7,-2
6,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,3444,2810,0,634,0.8159,2.232911,387.9,2.232911,-0.502765,-0.422141,0.0,-0.891998,6,0
7,prospect@bf9b3e3,prospect,bf9b3e3,3444,2845,0,599,0.8261,2.210533,384.0,2.210533,-0.519217,-0.07835,0.0,-0.473784,5,2
8,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,3444,2799,0,645,0.8127,2.170191,377.0,2.170191,-0.696782,0.003967,0.0,-1.130006,8,0
9,vanguard_oracle@902be71,vanguard_oracle,902be71,3444,2574,0,870,0.7474,1.880623,326.7,1.880623,-0.327172,-0.626547,0.0,-1.72573,19,-10
10,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,3444,2486,0,958,0.7218,1.726645,299.9,1.726645,-0.335891,-0.843506,0.0,-2.423727,38,-28
11,vanguard_oracle@75591b7,vanguard_oracle,75591b7,3444,2447,0,997,0.7105,1.678916,291.7,1.678916,-0.254738,-0.891153,0.0,-1.920045,24,-13
12,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,3444,2523,0,921,0.7326,1.663314,288.9,1.663314,-0.190315,-0.137708,0.0,-1.919593,20,-8
13,tempest_reinforcements@51ad530,tempest_reinforcements,51ad530,3444,2522,0,922,0.7323,1.658959,288.2,1.658959,-0.195122,-0.132873,0.0,-1.919593,21,-8
14,vanguard@9932bec,vanguard,9932bec,3444,2360,0,1084,0.6852,1.636644,284.3,1.636644,0.012549,-1.167666,0.0,-2.423538,34,-20
15,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,3444,2554,0,890,0.7416,1.631964,283.5,1.631964,-0.449959,-0.113618,0.0,-2.146581,26,-11
16,vanguard@818f3b4,vanguard,818f3b4,3444,2372,0,1072,0.6887,1.609452,279.6,1.609452,-0.05099,-1.052213,0.0,-2.423727,39,-23
17,gobbleglitch@e808e1d,gobbleglitch,e808e1d,3444,2635,3,806,0.7655,1.595882,277.2,1.595882,-0.905685,0.282354,0.0,-2.146581,27,-10
18,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,3444,2519,0,925,0.7314,1.59182,276.5,1.59182,-0.239971,0.008731,0.0,-1.72551,11,7
19,vanguard@c407e79,vanguard,c407e79,3444,2285,0,1159,0.6635,1.548252,269.0,1.548252,0.087442,-1.242657,0.0,-1.725612,18,1
20,undertow@fdc1e1f,undertow,fdc1e1f,3444,2281,0,1163,0.6623,1.456212,253.0,1.456212,0.196454,-0.808543,0.0,-2.146726,29,-9
21,v233_i@902be71,v233_i,902be71,3444,2232,0,1212,0.6481,1.45092,252.1,1.45092,0.175761,-1.391534,0.0,-3.320815,53,-32
22,undertow_oracle@75591b7,undertow_oracle,75591b7,3444,2329,0,1115,0.6762,1.450058,251.9,1.450058,-0.126279,-0.859019,0.0,-2.423538,35,-13
23,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,3444,2317,0,1127,0.6728,1.438376,249.9,1.438376,-0.084124,-0.858312,0.0,-2.785011,41,-18
24,tempest_oracle_ferry@fdc1e1f,tempest_oracle_ferry,fdc1e1f,3444,2560,0,884,0.7433,1.436844,249.6,1.436844,-0.859501,0.422134,0.0,-1.72551,12,12
25,undertow@da3fd8a,undertow,da3fd8a,3444,2275,0,1169,0.6606,1.428255,248.1,1.428255,0.184163,-0.818264,0.0,-2.146726,30,-5
26,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,3444,2222,0,1222,0.6452,1.346626,233.9,1.346626,0.202643,-0.902834,0.0,-2.423538,36,-10
27,v233_g@9713344,v233_g,9713344,3444,2126,0,1318,0.6173,1.344928,233.6,1.344928,0.542909,-1.246869,0.0,-1.920045,25,2
28,autistimusprime@ecd4d24,autistimusprime,ecd4d24,3444,2566,3,875,0.7455,1.307166,227.1,1.307166,-1.111946,0.652694,0.0,-2.146581,28,0
29,vanguard@da3fd8a,vanguard,da3fd8a,3444,2147,0,1297,0.6234,1.29475,224.9,1.29475,0.288456,-1.391269,0.0,-4.442651,58,-29
30,tempest_ferry@26b5aa1,tempest_ferry,26b5aa1,3444,2437,2,1005,0.7079,1.279543,222.3,1.279543,-0.663243,0.218012,0.0,-1.72551,13,17
31,tempest_frontier@fdc1e1f,tempest_frontier,fdc1e1f,3444,2383,3,1058,0.6924,1.202868,209.0,1.202868,-0.730065,0.155705,0.0,-1.919593,22,9
32,tempest_blindfire@fdc1e1f,tempest_blindfire,fdc1e1f,3444,2360,1,1083,0.6854,1.185298,205.9,1.185298,-0.671767,0.155374,0.0,-1.72551,14,18
33,tempest_fast@eb1f0f3,tempest_fast,eb1f0f3,3444,2355,1,1088,0.6839,1.179558,204.9,1.179558,-0.657265,0.15272,0.0,-1.72551,15,18
34,tempest_outer@fdc1e1f,tempest_outer,fdc1e1f,3444,2354,1,1089,0.6837,1.172174,203.6,1.172174,-0.604007,0.192766,0.0,-1.72551,16,18
35,tempest@da3fd8a,tempest,da3fd8a,3444,2345,1,1098,0.681,1.167793,202.9,1.167793,-0.627093,0.151782,0.0,-1.72551,17,18
36,tempest_picket@fdc1e1f,tempest_picket,fdc1e1f,3444,2374,3,1067,0.6898,1.163263,202.1,1.163263,-0.729754,0.217637,0.0,-1.919593,23,13
37,v233_f@9713344,v233_f,9713344,3444,2011,0,1433,0.5839,1.102958,191.6,1.102958,0.616112,-1.386351,0.0,-2.785291,43,-6
38,mistral_fast@26b5aa1,mistral_fast,26b5aa1,3444,2254,2,1188,0.6548,1.066875,185.3,1.066875,-0.626538,-0.228867,0.0,-2.146726,31,7
39,mistral@ba943b9,mistral,ba943b9,3444,2248,2,1194,0.653,1.059664,184.1,1.059664,-0.605531,-0.229987,0.0,-2.146726,32,7
40,undertow@9713344,undertow,9713344,3444,2047,1,1396,0.5945,0.991449,172.2,0.991449,0.226709,-0.939476,0.0,-3.320228,45,-5
41,tempest_reinforcements@87724ec,tempest_reinforcements,87724ec,3444,2148,1,1295,0.6238,0.933249,162.1,0.933249,-0.38028,-0.041076,0.0,-2.146726,33,8
42,e_final@9e77076,e_final,9e77076,3444,2056,0,1388,0.597,0.723918,125.8,0.723918,-0.308647,-0.216223,0.0,-2.423538,37,5
43,v233_e@9713344,v233_e,9713344,3444,1877,0,1567,0.545,0.555898,96.6,0.555898,0.234503,-0.716142,0.0,-2.785877,44,-1
44,uw_v2@9713344,uw_v2,9713344,3444,1933,0,1511,0.5613,0.51108,88.8,0.51108,-0.216903,-0.306123,0.0,-3.320815,54,-10
45,jonbot@da3fd8a,jonbot,da3fd8a,3444,1941,0,1503,0.5636,0.423809,73.6,0.423809,-0.367971,0.402009,0.0,-1.400974,9,36
46,casemate_oracle@902be71,casemate_oracle,902be71,3444,1950,0,1494,0.5662,0.377576,65.6,0.377576,-0.854754,0.488763,0.0,-1.55463,10,36
47,v233_c@9713344,v233_c,9713344,3444,1720,1,1723,0.4996,0.010168,1.8,0.010168,-0.510537,-0.256608,0.0,-3.320228,46,1
48,v233_b@9713344,v233_b,9713344,3444,1677,1,1766,0.4871,-0.048333,-8.4,-0.048333,-0.465776,-0.260052,0.0,-3.320228,47,1
49,v233_d@9713344,v233_d,9713344,3444,1654,0,1790,0.4803,-0.099802,-17.3,-0.099802,-0.256799,-0.357912,0.0,-3.320228,48,1
