rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,4116,2956,29,1131,0.7217,1.147683,199.4,1.147683,0.133333,-0.195583,0.138174,-0.0,1,0
2,prospect@bf9b3e3,prospect,bf9b3e3,4116,2924,29,1163,0.7139,1.104178,191.8,1.104178,-0.049369,-0.312604,0.0,-0.005992,8,-6
3,odin@38e1456,odin,38e1456,4116,2947,5,1164,0.7166,1.047618,182.0,1.047618,-0.241336,-0.093099,0.100511,0.0,1,2
4,janus@8a1e7a1,janus,8a1e7a1,4116,2859,29,1228,0.6981,1.02086,177.3,1.02086,0.201352,-0.183851,0.0,-0.173313,21,-17
5,odin@5a92113,odin,5a92113,4116,2917,5,1194,0.7093,1.008627,175.2,1.008627,-0.280949,-0.08792,0.216239,0.0,1,4
6,tyr_hint@2e6c876,tyr_hint,2e6c876,4116,2889,15,1212,0.7037,1.001069,173.9,1.001069,-0.390236,-0.224931,0.0,-0.118719,17,-11
7,tyr_retgt@2e6c876,tyr_retgt,2e6c876,4116,2897,14,1205,0.7055,1.000368,173.8,1.000368,-0.441134,-0.307659,0.204472,-0.0,1,6
8,tyr@2e6c876,tyr,2e6c876,4116,2893,17,1206,0.7049,0.998288,173.4,0.998288,-0.440551,-0.316982,0.0,-0.086798,14,-6
9,tyr_pad@2e6c876,tyr_pad,2e6c876,4116,2890,16,1210,0.7041,0.993503,172.6,0.993503,-0.435501,-0.250733,0.11438,-0.0,1,8
10,mjolnir@2e6c876,mjolnir,2e6c876,4116,2886,14,1216,0.7029,0.987811,171.6,0.987811,-0.45133,-0.259985,0.0,-0.014864,9,1
11,warden_walk@e55aab5,warden_walk,e55aab5,4116,2876,6,1234,0.6995,0.983009,170.8,0.983009,-0.235755,-0.703776,0.0,-0.213955,23,-12
12,odin@93e46da,odin,93e46da,4116,2902,0,1214,0.7051,0.981521,170.5,0.981521,-0.329819,-0.186863,0.0,-0.027232,10,2
13,tyr_belt@2e6c876,tyr_belt,2e6c876,4116,2865,14,1237,0.6978,0.972638,169.0,0.972638,-0.365172,-0.229039,0.0,-0.090405,15,-2
14,heimdall@daf0de0,heimdall,daf0de0,4116,2881,5,1230,0.7006,0.97202,168.9,0.97202,-0.262089,-0.132567,0.019496,-0.0,1,13
15,heimdall@840a180,heimdall,840a180,4116,2861,4,1251,0.6956,0.960294,166.8,0.960294,-0.236894,-0.100411,0.0,-0.071672,12,3
16,steward@e55aab5,steward,e55aab5,4116,2839,11,1266,0.6911,0.957149,166.3,0.957149,-0.34034,-0.497695,0.206728,0.0,1,15
17,maporacle@38e1456,maporacle,38e1456,4116,2856,0,1260,0.6939,0.93455,162.3,0.93455,-0.331508,-0.134595,0.0,-0.162532,20,-3
18,heimdall@4c0d92e,heimdall,4c0d92e,4116,2850,5,1261,0.693,0.930458,161.6,0.930458,-0.203813,-0.107493,0.0,-0.137719,18,0
19,odin@45aa24a,odin,45aa24a,4116,2845,5,1266,0.6918,0.926539,161.0,0.926539,-0.241971,-0.114319,0.0,-0.114206,16,3
20,vigil@e267eeb,vigil,e267eeb,4116,2764,9,1343,0.6726,0.899988,156.3,0.899988,-0.12513,-0.396536,0.0,-0.479044,31,-11
21,heimdall@38e1456,heimdall,38e1456,4116,2835,0,1281,0.6888,0.899227,156.2,0.899227,-0.30073,-0.193364,0.0,-0.062565,11,10
22,bastion@840a180,bastion,840a180,4116,2794,10,1312,0.68,0.898887,156.2,0.898887,-0.320342,-0.461367,0.0,-0.084293,13,9
23,vigil@2e6c876,vigil,2e6c876,4116,2760,9,1347,0.6716,0.891211,154.8,0.891211,-0.16933,-0.418796,0.0,-0.479044,31,-8
24,vigil@60d5afa,vigil,60d5afa,4116,2712,14,1390,0.6606,0.878625,152.6,0.878625,0.039321,-0.460259,0.0,-0.802326,46,-22
25,warden_walk@3318ffd,warden_walk,3318ffd,4116,2760,9,1347,0.6716,0.852335,148.1,0.852335,-0.124138,-0.684078,0.0,-0.392136,30,-5
26,ragnarok_fair@79582fc,ragnarok_fair,79582fc,4116,2730,17,1369,0.6653,0.83039,144.3,0.83039,0.107542,-0.369155,0.0,-0.514708,34,-8
27,aegis@e55aab5,aegis,e55aab5,4116,2733,6,1377,0.6647,0.82828,143.9,0.82828,-0.130669,-0.663032,0.0,-0.590454,39,-12
28,vigil@18b749d,vigil,18b749d,4116,2613,6,1497,0.6356,0.763556,132.6,0.763556,0.327843,-0.490721,0.0,-0.860008,49,-21
