rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,spar_sentinel@213b430,spar_sentinel,213b430,6534,5036,8,1490,0.7713,1.376297,239.1,1.376297,0.126827,0.411596,0.0,-0.362115,6,-5
2,vili@1a0c1ad,vili,1a0c1ad,6534,4993,7,1534,0.7647,1.323922,230.0,1.323922,0.129018,0.669383,1.0,0.0,1,1
3,snotra_h@4437c29,snotra_h,4437c29,6534,4639,7,1888,0.7105,1.033133,179.5,1.033133,0.161724,0.509581,0.0,-0.424157,8,-5
4,snotra@34b0ce8,snotra,34b0ce8,6534,4621,5,1908,0.7076,1.016143,176.5,1.016143,0.183556,0.547201,0.0,-0.550831,25,-21
5,hoenir@5907a3b,hoenir,5907a3b,6534,4594,9,1931,0.7038,0.996987,173.2,0.996987,0.400382,0.317307,0.0,-0.059719,2,3
6,vor@c32539f,vor,c32539f,6534,4550,1,1983,0.6964,0.963981,167.5,0.963981,0.040089,0.380121,0.0,-0.424157,8,-2
7,gefn@46ac5e6,gefn,46ac5e6,6534,4546,6,1982,0.6962,0.961004,166.9,0.961004,0.095744,0.379897,0.0,-0.550831,25,-18
8,fulla@ec5aa19,fulla,ec5aa19,6534,4544,1,1989,0.6955,0.960695,166.9,0.960695,0.066065,0.32675,0.0,-0.487015,13,-5
9,vidarr@c9193be,vidarr,c9193be,6534,4501,13,2020,0.6899,0.951884,165.4,0.951884,-0.036627,0.219589,0.0,-0.27029,5,4
10,bifrost@c70c467,bifrost,c70c467,6534,4477,9,2048,0.6859,0.908875,157.9,0.908875,0.377808,0.168096,0.0,-0.239951,4,6
11,forseti@37dc858,forseti,37dc858,6534,4451,8,2075,0.6818,0.895906,155.6,0.895906,0.039993,0.772894,0.0,-0.487015,13,-2
12,ostara@832c68a,ostara,832c68a,6534,4444,4,2086,0.6804,0.892101,155.0,0.892101,0.027545,0.134996,0.0,-0.209721,3,9
13,magni@3677a66,magni,3677a66,6534,4449,8,2077,0.6815,0.891432,154.9,0.891432,0.040257,0.784248,0.0,-0.487015,13,0
14,hodr@ea88247,hodr,ea88247,6534,4448,8,2078,0.6814,0.889038,154.4,0.889038,0.060502,0.799148,0.0,-0.487015,13,1
15,spork@05ab6a2,spork,05ab6a2,6534,4379,4,2151,0.6705,0.844885,146.8,0.844885,0.034769,0.086943,0.0,-0.455476,11,4
16,loki@832c68a,loki,832c68a,6534,4340,1,2193,0.6643,0.816624,141.9,0.816624,0.017237,0.221768,0.0,-0.487015,13,3
17,mimir@cfc1ec4,mimir,cfc1ec4,6534,4348,8,2178,0.6661,0.807022,140.2,0.807022,0.138461,0.649306,0.0,-0.487015,13,4
18,spar_sniper@aa24129,spar_sniper,aa24129,6534,4321,12,2201,0.6622,0.796919,138.4,0.796919,0.08248,0.573673,0.0,-0.487015,13,5
19,steward_relent@7ed1acc,steward_relent,7ed1acc,6534,4328,18,2188,0.6638,0.793738,137.9,0.793738,0.128127,0.438393,0.0,-0.424157,8,11
20,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,6498,4264,20,2214,0.6577,0.789212,137.1,0.789212,-0.064617,0.509653,0.0,-0.362115,6,14
21,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,6498,4285,18,2195,0.6608,0.78521,136.4,0.78521,0.133487,0.505376,0.0,-0.487015,13,8
22,freyr@c2c0d3d,freyr,c2c0d3d,6534,4315,17,2202,0.6617,0.780662,135.6,0.780662,0.122746,0.557669,0.0,-0.487015,13,9
23,loki@9ac8974,loki,9ac8974,6534,4301,1,2232,0.6583,0.780029,135.5,0.780029,0.130161,0.156353,0.0,-0.550831,25,-2
24,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,6498,4266,24,2208,0.6584,0.777058,135.0,0.777058,0.071582,0.497095,0.0,-0.487015,13,11
25,njord@f66a427,njord,f66a427,6534,4299,19,2216,0.6594,0.774654,134.6,0.774654,0.072279,0.549866,0.0,-0.550831,25,0
26,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,6498,4276,18,2204,0.6594,0.774495,134.5,0.774495,0.143427,0.595354,0.0,-0.487015,13,13
27,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,6498,4233,39,2226,0.6544,0.769413,133.7,0.769413,0.019679,0.456522,0.0,-0.550831,25,2
28,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,6498,4230,39,2229,0.654,0.76381,132.7,0.76381,0.04632,0.479575,0.0,-0.550831,25,3
29,gefjon@f66a427,gefjon,f66a427,6534,4245,27,2262,0.6517,0.755266,131.2,0.755266,0.073588,-0.106212,0.0,-0.487015,13,16
30,vali@7bc75e8,vali,7bc75e8,6534,4263,18,2253,0.6538,0.743053,129.1,0.743053,0.135649,0.568501,0.0,-0.550831,25,5
31,ullr@7d1ab4e,ullr,7d1ab4e,6534,4255,20,2259,0.6527,0.739134,128.4,0.739134,0.115258,0.57765,0.0,-0.550831,25,6
32,sif@3fc5cd8,sif,3fc5cd8,6534,4178,6,2350,0.6399,0.705173,122.5,0.705173,0.022318,0.033284,0.0,-0.455476,11,21
33,skadi@6a2af02,skadi,6a2af02,6498,4003,48,2447,0.6197,0.651469,113.2,0.651469,-0.464097,-0.008185,0.0,-0.615761,33,0
34,skadi@821d792,skadi,821d792,6498,3953,62,2483,0.6131,0.620939,107.9,0.620939,-0.386006,-0.10757,0.0,-0.963793,37,-3
35,skadi@aad5f44,skadi,aad5f44,6498,3932,65,2501,0.6101,0.611832,106.3,0.611832,-0.431178,-0.123467,0.0,-1.039772,40,-5
36,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,6498,3837,45,2616,0.594,0.489943,85.1,0.489943,-0.086057,0.45698,0.0,-0.681974,35,1
37,skadi@1e4eddf,skadi,1e4eddf,6498,3766,59,2673,0.5841,0.470164,81.7,0.470164,-0.477773,0.09202,0.0,-1.286665,47,-10
38,vidar@8b87da5,vidar,8b87da5,6498,3701,41,2756,0.5727,0.442705,76.9,0.442705,-0.567333,-0.138495,0.0,-1.118613,41,-3
39,vidar_r2@c8b850e,vidar_r2,c8b850e,6498,3726,43,2729,0.5767,0.429355,74.6,0.429355,-0.328933,-0.004845,0.0,-1.286665,47,-8
40,vidar_r3@c8b850e,vidar_r3,c8b850e,6498,3730,41,2727,0.5772,0.428344,74.4,0.428344,-0.299522,0.023615,0.0,-1.286665,47,-7
41,vidar@561800a,vidar,561800a,6498,3639,59,2800,0.5646,0.399951,69.5,0.399951,-0.568633,-0.111043,0.0,-1.286665,47,-6
42,vidar@ee47958,vidar,ee47958,6498,3638,59,2801,0.5644,0.389621,67.7,0.389621,-0.506737,-0.081038,0.0,-1.286665,47,-5
43,vidar_r1@c8b850e,vidar_r1,c8b850e,6498,3612,60,2826,0.5605,0.367893,63.9,0.367893,-0.526924,-0.019884,0.0,-1.286665,47,-4
44,audhumla@a7faecd,audhumla,a7faecd,6534,3442,9,3083,0.5275,0.238607,41.5,0.238607,0.238287,-0.406388,0.0,-0.615761,33,11
45,steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,6498,3391,47,3060,0.5255,0.18154,31.5,0.18154,0.061888,0.366695,0.0,-1.200742,43,2
46,vidar_noring@1b7a73a,vidar_noring,1b7a73a,6498,3358,29,3111,0.519,0.178539,31.0,0.178539,-0.408365,-0.19441,0.0,-1.928961,75,-29
47,vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,6498,3342,29,3127,0.5165,0.153463,26.7,0.153463,-0.312442,-0.118506,0.0,-1.928961,75,-28
48,steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,6498,3250,42,3206,0.5034,0.077322,13.4,0.077322,-0.079995,0.490802,0.0,-1.472472,59,-11
49,vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,6498,3188,34,3276,0.4932,0.031688,5.5,0.031688,-0.618674,0.095633,0.0,-1.928961,75,-26
50,vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,6498,3183,34,3281,0.4925,0.028713,5.0,0.028713,-0.642306,0.149006,0.0,-1.928961,75,-25
51,vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,6498,3111,41,3346,0.4819,0.02098,3.6,0.02098,-0.602366,-0.248924,0.0,-1.424035,58,-7
52,vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,6498,3135,34,3329,0.4851,-0.010823,-1.9,-0.010823,-0.671159,0.081236,0.0,-2.071073,88,-36
53,vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,6498,3075,34,3389,0.4758,-0.020739,-3.6,-0.020739,-0.582294,-0.144889,0.0,-1.928961,75,-22
54,spar_mender@d5b46bc,spar_mender,d5b46bc,6534,3135,53,3346,0.4839,-0.032686,-5.7,-0.032686,0.080258,0.55909,0.0,-1.627456,66,-12
55,vidar@1b7a73a,vidar,1b7a73a,6498,3072,34,3392,0.4754,-0.03507,-6.1,-0.03507,-0.516384,-0.080249,0.0,-1.928961,75,-20
56,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,6498,3033,19,3446,0.4682,-0.046639,-8.1,-0.046639,0.270403,-0.229016,0.0,-1.200742,43,13
57,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,6498,3012,19,3467,0.465,-0.055795,-9.7,-0.055795,-0.453218,-0.339791,0.0,-2.230841,90,-33
58,vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,6498,2910,0,3588,0.4478,-0.071908,-12.5,-0.071908,0.305895,-0.739159,0.0,-1.286665,47,11
59,undertow@fdc1e1f,undertow,fdc1e1f,6498,2962,0,3536,0.4558,-0.072429,-12.6,-0.072429,-0.002164,-0.357367,0.0,-1.472472,59,0
60,vidar@544eeb3,vidar,544eeb3,6498,2993,35,3470,0.4633,-0.090055,-15.6,-0.090055,-0.595533,-0.087889,0.0,-1.928961,75,-15
61,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,6498,2913,0,3585,0.4483,-0.116355,-20.2,-0.116355,0.134814,-0.390285,0.0,-1.682865,68,-7
62,prospect@bf9b3e3,prospect,bf9b3e3,6498,2927,19,3552,0.4519,-0.128049,-22.2,-0.128049,0.219415,-0.159437,0.0,-1.200742,43,19
63,janus@8a1e7a1,janus,8a1e7a1,6498,2913,19,3566,0.4498,-0.12926,-22.5,-0.12926,0.238362,-0.289469,0.0,-1.118613,41,22
64,vidar_nogun@1b7a73a,vidar_nogun,1b7a73a,6498,2838,59,3601,0.4413,-0.194328,-33.8,-0.194328,-0.406545,-0.210633,0.0,-1.928961,75,-11
65,heimdall@daf0de0,heimdall,daf0de0,6498,2844,15,3639,0.4388,-0.198671,-34.5,-0.198671,-0.242453,-0.15181,0.0,-1.472472,59,6
66,odin@38e1456,odin,38e1456,6498,2821,4,3673,0.4344,-0.207919,-36.1,-0.207919,-0.071412,-0.387307,0.0,-1.376992,56,10
67,spar_mender@7ed1acc,spar_mender,7ed1acc,6534,2823,20,3691,0.4336,-0.211053,-36.7,-0.211053,-0.316552,-0.113483,0.0,-1.286665,47,20
68,warden_walk@e55aab5,warden_walk,e55aab5,6498,2816,13,3669,0.4344,-0.227859,-39.6,-0.227859,-0.314036,-0.317092,0.0,-0.963793,37,31
69,vidar2@544eeb3,vidar2,544eeb3,6498,2759,56,3683,0.4289,-0.23533,-40.9,-0.23533,-0.231667,-0.518811,0.0,-1.574036,64,5
70,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,6498,2790,8,3700,0.43,-0.245726,-42.7,-0.245726,0.522077,0.244879,0.0,-1.627456,66,4
71,vidar_png@1b7a73a,vidar_png,1b7a73a,6498,2766,30,3702,0.428,-0.255091,-44.3,-0.255091,-0.550242,-0.278843,0.0,-2.230841,90,-19
72,vigil@e267eeb,vigil,e267eeb,6498,2728,22,3748,0.4215,-0.260783,-45.3,-0.260783,0.393672,-0.534281,0.0,-1.200742,43,29
73,fenrir2@6b39ebb,fenrir2,6b39ebb,6534,2747,7,3780,0.421,-0.276645,-48.1,-0.276645,-0.168284,-0.488903,0.0,-1.574036,64,9
74,odin@93e46da,odin,93e46da,6498,2690,6,3802,0.4144,-0.299775,-52.1,-0.299775,-0.125019,-0.521035,0.0,-1.472472,59,15
75,bastion@840a180,bastion,840a180,6498,2682,12,3804,0.4137,-0.311148,-54.1,-0.311148,-0.342123,-0.034439,0.0,-1.928961,75,0
76,aegis@e55aab5,aegis,e55aab5,6498,2684,10,3804,0.4138,-0.312409,-54.3,-0.312409,-0.004403,-0.374108,0.0,-1.376992,56,20
77,v233_i@902be71,v233_i,902be71,6498,2620,0,3878,0.4032,-0.315943,-54.9,-0.315943,0.127458,-0.515295,0.0,-1.286665,47,30
78,maporacle@38e1456,maporacle,38e1456,6498,2665,5,3828,0.4105,-0.32954,-57.2,-0.32954,-0.024815,-0.326008,0.0,-0.963793,37,41
79,vidar_ggng@1b7a73a,vidar_ggng,1b7a73a,6498,2660,21,3817,0.411,-0.340074,-59.1,-0.340074,-0.614357,-0.390915,0.0,-2.230841,90,-11
80,ragnarok_fair@79582fc,ragnarok_fair,79582fc,6498,2593,12,3893,0.4,-0.376594,-65.4,-0.376594,-0.145094,-0.358144,0.0,-1.472472,59,21
81,steward_reinforced@a8dc58a,steward_reinforced,a8dc58a,6498,2610,25,3863,0.4036,-0.377384,-65.6,-0.377384,-0.051217,0.388809,0.0,-1.682865,68,13
82,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,6498,2479,21,3998,0.3831,-0.4294,-74.6,-0.4294,0.220459,-0.489988,0.0,-1.682865,68,14
83,tyr@2e6c876,tyr,2e6c876,6498,2498,34,3966,0.387,-0.450868,-78.3,-0.450868,-0.586983,-0.49925,0.0,-1.928961,75,8
84,valkyrie_econ2@7227061,valkyrie_econ2,7227061,6498,2459,19,4020,0.3799,-0.468295,-81.4,-0.468295,0.207452,-0.82988,0.0,-1.682865,68,16
85,mjolnir@2e6c876,mjolnir,2e6c876,6498,2451,47,4000,0.3808,-0.484898,-84.2,-0.484898,-0.397878,-0.517518,0.0,-1.928961,75,10
86,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,6498,2389,0,4109,0.3677,-0.501513,-87.1,-0.501513,0.563093,-0.540696,0.0,-1.682865,68,18
87,valkyrie_atk2@7227061,valkyrie_atk2,7227061,6498,2310,10,4178,0.3563,-0.582961,-101.3,-0.582961,0.081665,-0.375174,0.0,-1.682865,68,19
88,jonbot_190003d@90fc9f3,jonbot_190003d,90fc9f3,6498,1914,0,4584,0.2946,-0.882389,-153.3,-0.882389,0.980857,0.092235,0.0,-0.819027,36,52
89,jotunn@6b39ebb,jotunn,6b39ebb,6534,1904,5,4625,0.2918,-1.027687,-178.5,-1.027687,-0.269256,-1.119404,0.0,-1.800493,74,15
