match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
0026fb3f7e962e96,auto-e624ea975740,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,spar_mender@d5b46bc,spar_mender,d5b46bc,jackpot,all_official,1,0,rating,b,b,0.0,core_destroyed,692,,747,3310,3,10,126,3360,30,26,ok,,22.853,n-62-30-23,29052089,2026-08-08T06:43:35+0200
002d295d764f91fe,auto-e624ea975740,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,spar_mender@d5b46bc,spar_mender,d5b46bc,nordkap,all_official,1,0,rating,a,a,1.0,core_destroyed,113,,9,260,9,10,10,0,8,2,ok,,3.827,n-62-29-24,29052089,2026-08-08T06:40:39+0200
0042d9cbec8c9efa,auto-e624ea975740,spar_mender@d5b46bc,spar_mender,d5b46bc,vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,aurora,all_official,1,0,rating,a,a,1.0,core_destroyed,192,,29,610,6,21,19,590,9,15,ok,,4.734,n-62-29-31,29052089,2026-08-08T06:42:55+0200
0048f7e668ac073c,auto-e624ea975740,bastion@840a180,bastion,840a180,spar_mender@d5b46bc,spar_mender,d5b46bc,skerry,all_official,1,0,rating,a,a,1.0,core_destroyed,74,,18,410,6,26,12,310,10,10,ok,,3.683,n-62-31-9,29052089,2026-08-08T06:38:18+0200
00554ea7b17f6508,auto-e624ea975740,ragnarok_fair@79582fc,ragnarok_fair,79582fc,spar_mender@d5b46bc,spar_mender,d5b46bc,meander,all_official,1,0,rating,a,a,1.0,core_destroyed,174,,1121,1620,4,23,8,0,7,3,ok,,3.869,n-62-31-7,29052089,2026-08-08T06:39:50+0200
005f66da9e94005b,auto-e624ea975740,spar_mender@d5b46bc,spar_mender,d5b46bc,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,fjord,all_official,1,0,rating,a,a,1.0,core_destroyed,128,,16,860,11,29,306,890,8,9,ok,,5.957,n-62-28-33,29052089,2026-08-08T06:41:57+0200
0063e351a11a9498,auto-e624ea975740,strategist@2e6eca5,strategist,2e6eca5,spar_mender@d5b46bc,spar_mender,d5b46bc,vault,all_official,1,0,rating,b,b,0.0,titanium_collected,1000,,5021,4950,8,83,152,4960,29,38,ok,,31.462,n-62-29-24,29052089,2026-08-08T06:42:02+0200
0074817d1b4ddba0,auto-e624ea975740,skadi@6a2af02,skadi,6a2af02,spar_mender@d5b46bc,spar_mender,d5b46bc,string,all_official,1,0,rating,b,b,0.0,core_destroyed,186,,9,620,4,6,70,1180,9,15,ok,,6.612,n-62-12-4,29052089,2026-08-08T06:40:06+0200
007ee0090ad99f4f,auto-e624ea975740,spar_mender@d5b46bc,spar_mender,d5b46bc,gobbleglitch@6cdc440,gobbleglitch,6cdc440,heart,all_official,1,0,rating,a,a,1.0,core_destroyed,937,,9,0,8,5,60,0,7,9,ok,,7.147,n-62-31-19,29052089,2026-08-08T06:38:51+0200
0091cce759ac4da1,auto-e624ea975740,spar_mender@d5b46bc,spar_mender,d5b46bc,valkyrie_atk2@7227061,valkyrie_atk2,7227061,vault,all_official,1,0,rating,a,a,1.0,core_destroyed,162,,10,750,10,45,498,750,7,46,ok,,5.359,n-62-31-10,29052089,2026-08-08T06:42:00+0200
009821e7580bdd80,auto-e624ea975740,spar_mender@d5b46bc,spar_mender,d5b46bc,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,sweden,all_official,1,0,rating,b,b,0.0,core_destroyed,594,,30,0,5,5,3719,5660,14,23,ok,,16.401,n-62-31-4,29052089,2026-08-08T06:39:43+0200
009850b34ba22f5d,auto-e624ea975740,spar_mender@d5b46bc,spar_mender,d5b46bc,undertow@fdc1e1f,undertow,fdc1e1f,longship,all_official,1,0,rating,b,b,0.0,core_destroyed,112,,19,440,9,20,69,710,9,24,ok,,5.067,n-62-21-97,29052089,2026-08-08T06:41:33+0200
00a56bb3236e065d,auto-e624ea975740,vali@7bc75e8,vali,7bc75e8,spar_mender@d5b46bc,spar_mender,d5b46bc,hive,all_official,1,0,rating,a,a,1.0,core_destroyed,161,,8,380,8,22,9,380,9,22,ok,,4.446,n-62-29-34,29052089,2026-08-08T06:42:21+0200
00a67d896bd3f6ad,auto-e624ea975740,spar_mender@d5b46bc,spar_mender,d5b46bc,freyr@c2c0d3d,freyr,c2c0d3d,crossfire,all_official,1,0,rating,a,a,1.0,core_destroyed,181,,20,840,10,26,199,650,7,5,ok,,7.059,n-62-30-24,29052089,2026-08-08T06:37:58+0200
00a815e891dc06a8,auto-e624ea975740,spar_mender@d5b46bc,spar_mender,d5b46bc,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,atoll,all_official,1,0,rating,a,a,1.0,core_destroyed,216,,30,1010,8,13,551,980,5,33,ok,,5.742,n-62-28-33,29052089,2026-08-08T06:39:00+0200
00e8a29d51f373af,auto-e624ea975740,spar_mender@d5b46bc,spar_mender,d5b46bc,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,archipelago,all_official,1,0,rating,a,a,1.0,core_destroyed,98,,19,670,8,25,9,310,9,18,ok,,4.45,n-62-11-62,29052089,2026-08-08T06:40:38+0200
0102143a7934f981,auto-e624ea975740,spar_mender@d5b46bc,spar_mender,d5b46bc,valkyrie_atk2@7227061,valkyrie_atk2,7227061,meander,all_official,1,0,rating,a,a,1.0,core_destroyed,453,,9,0,9,1,10,0,2,1,ok,,7.817,n-62-21-92,29052089,2026-08-08T06:41:37+0200
011d00cea081af08,auto-e624ea975740,spar_mender@d5b46bc,spar_mender,d5b46bc,jotunn@6b39ebb,jotunn,6b39ebb,atoll,all_official,1,0,rating,a,a,1.0,titanium_collected,1000,,66,4950,24,41,2147,3020,8,7,ok,,30.798,n-62-21-18,29052089,2026-08-08T06:38:21+0200
012e4aed6e014090,auto-e624ea975740,steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,spar_mender@d5b46bc,spar_mender,d5b46bc,drumlin,all_official,1,0,rating,a,a,1.0,core_destroyed,72,,48,620,8,24,100,390,8,21,ok,,4.559,n-62-29-16,29052089,2026-08-08T06:41:27+0200
013c538125e21273,auto-e624ea975740,spar_mender@d5b46bc,spar_mender,d5b46bc,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,bridge,all_official,1,0,rating,b,b,0.0,titanium_stored,1000,,40,0,15,5,55,0,11,5,ok,,24.099,n-62-29-27,29052089,2026-08-08T06:40:17+0200
0150c2d026794efd,auto-e624ea975740,spar_mender@d5b46bc,spar_mender,d5b46bc,casemate_oracle@90fc9f3,casemate_oracle,90fc9f3,strait,all_official,1,0,rating,a,a,1.0,core_destroyed,212,,20,510,9,50,480,0,2,24,ok,,6.501,n-62-28-33,29052089,2026-08-08T06:39:03+0200
0158354de8eeadfa,auto-e624ea975740,spar_mender@d5b46bc,spar_mender,d5b46bc,skadi@6a2af02,skadi,6a2af02,lighthouse,all_official,1,0,rating,a,a,1.0,core_destroyed,145,,51,950,9,15,38,220,8,9,ok,,3.968,n-62-12-8,29052089,2026-08-08T06:40:02+0200
015a928511c66bc5,auto-e624ea975740,valkyrie_atk2@7227061,valkyrie_atk2,7227061,spar_mender@d5b46bc,spar_mender,d5b46bc,moonrise,all_official,1,0,rating,b,b,0.0,core_destroyed,845,,4702,10260,8,30,8,0,7,6,ok,,8.324,n-62-21-92,29052089,2026-08-08T06:41:55+0200
015bd60f5638d199,auto-e624ea975740,casemate_oracle@90fc9f3,casemate_oracle,90fc9f3,spar_mender@d5b46bc,spar_mender,d5b46bc,antler,all_official,1,0,rating,b,b,0.0,core_destroyed,130,,185,0,1,27,133,930,9,33,ok,,4.051,n-62-31-11,29052089,2026-08-08T06:38:12+0200
0169777def7c44ba,auto-e624ea975740,spar_mender@d5b46bc,spar_mender,d5b46bc,jonbot_190003d@90fc9f3,jonbot_190003d,90fc9f3,drumlin,all_official,1,0,rating,a,a,1.0,core_destroyed,309,,6,1420,12,16,67,1790,4,23,ok,,7.078,n-62-21-17,29052089,2026-08-08T06:38:24+0200
016a32eaa47eecf9,auto-e624ea975740,spar_mender@d5b46bc,spar_mender,d5b46bc,lockin@90fc9f3,lockin,90fc9f3,heart,all_official,1,0,rating,a,a,1.0,core_destroyed,60,,20,90,7,21,650,0,0,0,ok,,2.209,n-62-21-55,29052089,2026-08-08T06:38:18+0200
016e02558a285e45,auto-e624ea975740,spar_mender@d5b46bc,spar_mender,d5b46bc,prospect@bf9b3e3,prospect,bf9b3e3,strait,all_official,1,0,rating,b,b,0.0,core_destroyed,86,,83,190,8,21,10,310,7,16,ok,,3.636,n-62-29-16,29052089,2026-08-08T06:39:29+0200
017882f97d8351c6,auto-e624ea975740,mistral@90fc9f3,mistral,90fc9f3,spar_mender@d5b46bc,spar_mender,d5b46bc,snowflake,all_official,1,0,rating,b,b,0.0,core_destroyed,217,,60,0,8,0,50,520,13,12,ok,,12.831,n-62-21-49,29052089,2026-08-08T06:38:43+0200
0195e2300fdf783b,auto-e624ea975740,vidar@1b7a73a,vidar,1b7a73a,spar_mender@d5b46bc,spar_mender,d5b46bc,longship,all_official,1,0,rating,b,b,0.0,core_destroyed,115,,62,500,8,23,6,430,7,32,ok,,4.5,n-62-29-9,29052089,2026-08-08T06:42:34+0200
01d10201ff73607e,auto-e624ea975740,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,spar_mender@d5b46bc,spar_mender,d5b46bc,snowflake,all_official,1,0,rating,a,a,1.0,core_destroyed,76,,55,680,10,21,20,110,10,4,ok,,4.486,n-62-31-14,29052089,2026-08-08T06:40:42+0200
01d333418034ddec,auto-e624ea975740,spar_mender@d5b46bc,spar_mender,d5b46bc,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,twins,all_official,1,0,rating,a,a,1.0,core_destroyed,349,,9,850,14,26,10,260,6,6,ok,,6.6,n-62-31-7,29052089,2026-08-08T06:41:17+0200
01d4208e6b3e57ff,auto-e624ea975740,skadi@1e4eddf,skadi,1e4eddf,spar_mender@d5b46bc,spar_mender,d5b46bc,longship,all_official,1,0,rating,a,a,1.0,core_destroyed,133,,49,850,7,27,9,310,6,17,ok,,4.191,n-62-11-57,29052089,2026-08-08T06:39:29+0200
01ff069ebc0e3aa8,auto-e624ea975740,skadi@aad5f44,skadi,aad5f44,spar_mender@d5b46bc,spar_mender,d5b46bc,crossfire,all_official,1,0,rating,b,b,0.0,core_destroyed,313,,33,2670,18,30,45,1420,5,9,ok,,9.372,n-62-11-62,29052089,2026-08-08T06:39:45+0200
