match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
000253c451d0dee7,auto-e65473c8a824,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,siege_v2@9713344,siege_v2,9713344,sprint,official,1,0,rating,a,a,1.0,core_destroyed,32,,20,0,11,7,232,0,2,1,ok,,2.877,n-62-11-65,29024039,2026-08-04T12:02:08+0200
00096c56461b11d4,auto-e65473c8a824,undertow@9713344,undertow,9713344,heimdall@4c0d92e,heimdall,4c0d92e,sweden,official,1,0,rating,b,b,0.0,core_destroyed,146,,450,910,6,24,78,1040,16,33,ok,,6.019,n-62-29-13,29024039,2026-08-04T11:58:46+0200
000f880569c573c6,auto-e65473c8a824,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,frontier_v1@9713344,frontier_v1,9713344,atoll,official,1,0,rating,a,a,1.0,core_destroyed,27,,3,70,10,14,64,0,9,2,ok,,4.23,n-62-21-9,29024039,2026-08-04T12:01:34+0200
00196f03a9fadcfa,auto-e65473c8a824,tempest_fast@eb1f0f3,tempest_fast,eb1f0f3,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,aurora,official,1,0,rating,a,a,1.0,core_destroyed,50,,58,0,13,4,17,190,6,39,ok,,4.252,n-62-28-30,29024039,2026-08-04T12:02:41+0200
001bc982892cd434,auto-e65473c8a824,vigil_reinforcements@60d5afa,vigil_reinforcements,60d5afa,heimdall@4c0d92e,heimdall,4c0d92e,sprint,official,1,0,rating,b,b,0.0,titanium_collected,1000,,41,0,5,2,3888,2190,4,10,ok,,17.273,n-62-31-11,29024039,2026-08-04T12:02:02+0200
002cee63fe6e1df6,auto-e65473c8a824,heimdall@4c0d92e,heimdall,4c0d92e,bastion@840a180,bastion,840a180,atoll,official,1,0,rating,b,b,0.0,core_destroyed,98,,186,440,9,11,66,350,10,7,ok,,5.619,n-62-31-9,29024039,2026-08-04T11:57:34+0200
002dba29b76da3ad,auto-e65473c8a824,valkyrie_econ2@7227061,valkyrie_econ2,7227061,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,runestone,official,1,0,rating,b,b,0.0,core_destroyed,35,,4,110,10,24,10,10,7,20,ok,,3.892,n-62-21-97,29024039,2026-08-04T12:03:17+0200
003c89bbd8ca605d,auto-e65473c8a824,vanguard_oracle@902be71,vanguard_oracle,902be71,heimdall@4c0d92e,heimdall,4c0d92e,fjord,official,1,0,rating,b,b,0.0,core_destroyed,48,,117,200,5,5,22,200,12,14,ok,,4.511,n-62-29-32,29024039,2026-08-04T11:59:53+0200
003e503d4d256e83,auto-e65473c8a824,ragnarok_fair@79582fc,ragnarok_fair,79582fc,heimdall@4c0d92e,heimdall,4c0d92e,twins,official,1,0,rating,b,b,0.0,core_destroyed,40,,87,130,6,15,38,140,9,19,ok,,3.62,n-62-21-68,29024039,2026-08-04T11:58:21+0200
0042210038754b37,auto-e65473c8a824,valkyrie_atk2@7227061,valkyrie_atk2,7227061,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,bridge,official,1,0,rating,b,b,0.0,titanium_stored,1000,,2407,0,6,4,2427,0,6,1,ok,,8.53,n-62-21-98,29024039,2026-08-04T12:03:18+0200
0045b47bbd162d95,auto-e65473c8a824,v233_i@902be71,v233_i,902be71,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,fjord,official,1,0,rating,a,a,1.0,core_destroyed,42,,68,180,11,6,10,240,10,33,ok,,4.005,n-62-11-62,29024039,2026-08-04T12:02:59+0200
00497a5083f7955f,auto-e65473c8a824,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,v233_f@9713344,v233_f,9713344,quarry,official,1,0,rating,a,a,1.0,core_destroyed,45,,20,140,10,22,59,180,5,23,ok,,3.478,n-62-12-6,29024039,2026-08-04T12:03:20+0200
004d2c0091edf13d,auto-e65473c8a824,heimdall@4c0d92e,heimdall,4c0d92e,uw_v2@9713344,uw_v2,9713344,showdown,official,1,0,rating,a,a,1.0,core_destroyed,27,,3,0,11,3,102,0,1,1,ok,,3.388,n-62-21-90,29024039,2026-08-04T11:59:03+0200
005342cef377a9fe,auto-e65473c8a824,ragnarok@79582fc,ragnarok,79582fc,heimdall@4c0d92e,heimdall,4c0d92e,jackpot,official,1,0,rating,b,b,0.0,titanium_collected,1000,,2347,360,3,10,4422,2480,7,7,ok,,11.701,n-62-21-54,29024039,2026-08-04T11:58:09+0200
005b0a785b5895da,auto-e65473c8a824,heimdall@4c0d92e,heimdall,4c0d92e,gobbleglitch@e808e1d,gobbleglitch,e808e1d,crossfire,official,1,0,rating,a,a,1.0,core_destroyed,34,,24,70,11,6,104,30,6,8,ok,,3.179,n-62-29-11,29024039,2026-08-04T11:57:25+0200
005c3870950b68ca,auto-e65473c8a824,vigil@bf9b3e3,vigil,bf9b3e3,heimdall@4c0d92e,heimdall,4c0d92e,string,official,1,0,rating,a,a,1.0,core_destroyed,152,,823,700,4,10,729,700,5,11,ok,,3.108,n-62-11-62,29024039,2026-08-04T12:00:54+0200
005f88494d50782e,auto-e65473c8a824,warden_walk@e55aab5,warden_walk,e55aab5,heimdall@4c0d92e,heimdall,4c0d92e,showdown,official,1,0,rating,b,b,0.0,core_destroyed,22,,232,0,3,0,10,0,11,1,ok,,3.475,n-62-21-99,29024039,2026-08-04T12:01:33+0200
00632c660eb85aef,auto-e65473c8a824,v233_e@9713344,v233_e,9713344,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,string,official,1,0,rating,b,b,0.0,core_destroyed,160,,67,150,5,4,848,1370,10,24,ok,,6.024,n-62-21-90,29024039,2026-08-04T12:02:46+0200
006a021d1ef751ea,auto-e65473c8a824,tempest_blindfire@fdc1e1f,tempest_blindfire,fdc1e1f,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,longship,official,1,0,rating,b,b,0.0,core_destroyed,28,,173,50,8,7,11,30,9,17,ok,,3.842,n-62-21-99,29024039,2026-08-04T12:02:10+0200
0071006e3623258b,auto-e65473c8a824,heimdall@4c0d92e,heimdall,4c0d92e,casemate@902be71,casemate,902be71,hive,official,1,0,rating,a,a,1.0,core_destroyed,53,,10,110,11,28,24,0,3,30,ok,,4.461,n-62-21-103,29024039,2026-08-04T11:57:21+0200
0073f0764e0ac505,auto-e65473c8a824,tempest@da3fd8a,tempest,da3fd8a,heimdall@4c0d92e,heimdall,4c0d92e,string,official,1,0,rating,b,b,0.0,core_destroyed,49,,293,0,2,1,60,200,10,16,ok,,3.101,n-62-21-72,29024039,2026-08-04T11:57:11+0200
00779f452a018dcf,auto-e65473c8a824,heimdall@4c0d92e,heimdall,4c0d92e,vanguard@c407e79,vanguard,c407e79,duel,official,1,0,rating,a,a,1.0,core_destroyed,65,,19,360,13,18,79,200,4,3,ok,,4.035,n-62-29-18,29024039,2026-08-04T11:58:55+0200
007e477d3f209ff8,auto-e65473c8a824,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,heimdall@4c0d92e,heimdall,4c0d92e,pinch,official,1,0,rating,b,b,0.0,core_destroyed,36,,87,140,6,10,20,70,12,14,ok,,3.514,n-62-29-14,29024039,2026-08-04T12:00:52+0200
00859131bc7f1185,auto-e65473c8a824,gobbleglitch@e808e1d,gobbleglitch,e808e1d,heimdall@4c0d92e,heimdall,4c0d92e,showdown,official,1,0,rating,b,b,0.0,core_destroyed,19,,38,0,6,6,5,0,13,3,ok,,3.094,n-62-29-27,29024039,2026-08-04T11:57:17+0200
00907b413f20a769,auto-e65473c8a824,v233_i@902be71,v233_i,902be71,heimdall@4c0d92e,heimdall,4c0d92e,vase,official,1,0,rating,b,b,0.0,core_destroyed,110,,95,70,3,4,45,240,14,7,ok,,6.374,n-62-21-18,29024039,2026-08-04T12:00:44+0200
0096b8c71fe2686f,auto-e65473c8a824,casemate_oracle@902be71,casemate_oracle,902be71,heimdall@4c0d92e,heimdall,4c0d92e,vase,official,1,0,rating,b,b,0.0,core_destroyed,56,,407,0,1,2,20,100,10,10,ok,,3.123,n-62-21-97,29024039,2026-08-04T11:58:35+0200
009cd4499f18aa71,auto-e65473c8a824,nemesis@9713344,nemesis,9713344,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,crossfire,official,1,0,rating,b,b,0.0,core_destroyed,28,,100,50,7,7,23,90,9,16,ok,,3.355,n-62-29-31,29024039,2026-08-04T12:01:23+0200
009f45c0fe6891c8,auto-e65473c8a824,heimdall@4c0d92e,heimdall,4c0d92e,undertow_oracle@75591b7,undertow_oracle,75591b7,twins,official,1,0,rating,a,a,1.0,core_destroyed,98,,0,590,11,47,133,800,12,36,ok,,6.141,n-62-29-33,29024039,2026-08-04T11:59:51+0200
00a29430d3b9d4e5,auto-e65473c8a824,claude_challenger_3@fdc1e1f,claude_challenger_3,fdc1e1f,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,bridge,official,1,0,rating,b,b,0.0,core_destroyed,36,,590,0,0,0,36,0,9,9,ok,,2.219,n-62-29-31,29024039,2026-08-04T12:01:45+0200
00ae86db750cbd7b,auto-e65473c8a824,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,heimdall@4c0d92e,heimdall,4c0d92e,runestone,official,1,0,rating,b,b,0.0,core_destroyed,42,,32,70,7,12,27,80,11,13,ok,,4.162,n-62-12-67,29024039,2026-08-04T11:58:28+0200
00aebaf670b33a09,auto-e65473c8a824,titanium_v1@9713344,titanium_v1,9713344,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,bridge,official,1,0,rating,b,b,0.0,core_destroyed,54,,363,0,2,2,10,0,10,14,ok,,3.216,n-62-29-12,29024039,2026-08-04T12:02:42+0200
00bc34804fc6e805,auto-e65473c8a824,pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,twins,official,1,0,rating,b,b,0.0,core_destroyed,24,,21,10,10,9,23,40,10,9,ok,,4.167,n-62-29-10,29024039,2026-08-04T12:01:50+0200
00cbbc97f226f003,auto-e65473c8a824,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,janus@8a1e7a1,janus,8a1e7a1,aurora,official,1,0,rating,b,b,0.0,titanium_collected,53,,10,170,8,25,7,190,13,10,ok,,4.595,n-62-31-9,29024039,2026-08-04T12:01:17+0200
00cfebeb264b4597,auto-e65473c8a824,heimdall@4c0d92e,heimdall,4c0d92e,tempest_blindfire@fdc1e1f,tempest_blindfire,fdc1e1f,vault,official,1,0,rating,a,a,1.0,core_destroyed,45,,231,180,9,11,309,180,8,5,ok,,3.431,n-62-28-27,29024039,2026-08-04T11:57:44+0200
00d148c4eed915f8,auto-e65473c8a824,heimdall@4c0d92e,heimdall,4c0d92e,tempest_picket@fdc1e1f,tempest_picket,fdc1e1f,runestone,official,1,0,rating,b,b,0.0,core_destroyed,36,,66,60,9,14,21,0,14,5,ok,,4.593,n-62-31-11,29024039,2026-08-04T11:58:43+0200
00f4108f327638f1,auto-e65473c8a824,heimdall@4c0d92e,heimdall,4c0d92e,baiter@9713344,baiter,9713344,hive,official,1,0,rating,a,a,1.0,core_destroyed,86,,10,260,8,47,91,0,7,7,ok,,3.979,n-62-11-65,29024039,2026-08-04T11:58:20+0200
00f8156d0198f797,auto-e65473c8a824,heimdall@4c0d92e,heimdall,4c0d92e,vanguard@da3fd8a,vanguard,da3fd8a,sweden,official,1,0,rating,b,b,0.0,core_destroyed,82,,183,460,15,26,428,450,6,21,ok,,4.567,n-62-29-21,29024039,2026-08-04T11:59:41+0200
011796260856512e,auto-e65473c8a824,heimdall@4c0d92e,heimdall,4c0d92e,vg_v4@9713344,vg_v4,9713344,sweden,official,1,0,rating,a,a,1.0,core_destroyed,175,,861,1120,9,21,463,180,7,7,ok,,5.081,n-62-31-11,29024039,2026-08-04T11:59:34+0200
011a896b5e6d570c,auto-e65473c8a824,vg_v6@9713344,vg_v6,9713344,heimdall@4c0d92e,heimdall,4c0d92e,twins,official,1,0,rating,b,b,0.0,core_destroyed,34,,85,60,5,7,11,110,9,23,ok,,3.739,n-62-21-97,29024039,2026-08-04T12:00:19+0200
011a9ce074c767f1,auto-e65473c8a824,heimdall@4c0d92e,heimdall,4c0d92e,vanguard@c407e79,vanguard,c407e79,vault,official,1,0,rating,a,a,1.0,core_destroyed,43,,71,170,13,11,62,180,10,6,ok,,4.551,n-62-29-26,29024039,2026-08-04T12:00:02+0200
01251c9c1007b661,auto-e65473c8a824,undertow@fdc1e1f,undertow,fdc1e1f,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,vault,official,1,0,rating,b,b,0.0,core_destroyed,48,,65,200,10,6,22,190,10,32,ok,,5.233,n-62-31-4,29024039,2026-08-04T12:03:22+0200
0126de52f29ba819,auto-e65473c8a824,pantheon_replica_day3@840a180,pantheon_replica_day3,840a180,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,bridge,official,1,0,rating,b,b,0.0,core_destroyed,709,,949,0,10,8,10,0,5,10,ok,,9.293,n-62-31-10,29024039,2026-08-04T12:02:17+0200
01299fd3f6ace296,auto-e65473c8a824,v233_d@9713344,v233_d,9713344,heimdall@4c0d92e,heimdall,4c0d92e,pinch,official,1,0,rating,b,b,0.0,titanium_collected,1000,,8777,7100,9,31,13787,12020,5,43,ok,,7.697,n-62-11-67,29024039,2026-08-04T11:59:29+0200
0138357d2d87f7af,auto-e65473c8a824,heimdall@4c0d92e,heimdall,4c0d92e,siege_v1@9713344,siege_v1,9713344,vase,official,1,0,rating,a,a,1.0,core_destroyed,41,,10,60,10,7,286,0,2,1,ok,,3.061,n-62-21-62,29024039,2026-08-04T11:57:04+0200
013ac9effda2e446,auto-e65473c8a824,frontier_v2@9713344,frontier_v2,9713344,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,atoll,official,1,0,rating,b,b,0.0,core_destroyed,27,,44,0,8,3,3,80,10,17,ok,,3.398,n-62-29-15,29024039,2026-08-04T12:01:35+0200
013e0b7a2300d6d7,auto-e65473c8a824,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,e_condc@6db8844,e_condc,6db8844,jackpot,official,1,0,rating,a,a,1.0,titanium_collected,1000,,11239,9640,12,41,4721,2480,5,19,ok,,15.246,n-62-31-23,29024039,2026-08-04T12:01:48+0200
013e989e34677cad,auto-e65473c8a824,vg_v2@9713344,vg_v2,9713344,heimdall@4c0d92e,heimdall,4c0d92e,bridge,official,1,0,rating,b,b,0.0,core_destroyed,217,,129,220,2,2,42,490,11,13,ok,,5.131,n-62-31-21,29024039,2026-08-04T11:59:58+0200
0158019e8d76e397,auto-e65473c8a824,heimdall@4c0d92e,heimdall,4c0d92e,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,skerry,official,1,0,rating,a,a,1.0,core_destroyed,61,,0,270,17,10,99,210,4,5,ok,,5.321,n-62-29-21,29024039,2026-08-04T11:58:43+0200
016164b7200d8e83,auto-e65473c8a824,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,siege_v2@9713344,siege_v2,9713344,string,official,1,0,rating,a,a,1.0,core_destroyed,87,,60,190,14,16,367,0,1,0,ok,,3.379,n-62-11-65,29024039,2026-08-04T12:02:21+0200
0171b8c1b47fa065,auto-e65473c8a824,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,heimdall@4c0d92e,heimdall,4c0d92e,aurora,official,1,0,rating,b,b,0.0,core_destroyed,127,,83,990,5,39,126,950,14,38,ok,,8.038,n-62-11-51,29024039,2026-08-04T11:58:41+0200
017378aff46471aa,auto-e65473c8a824,heimdall@4c0d92e,heimdall,4c0d92e,jonbot@9713344,jonbot,9713344,bridge,official,1,0,rating,b,b,0.0,titanium_stored,1000,,2424,0,5,16,2689,0,3,1,ok,,8.916,n-62-11-54,29024039,2026-08-04T11:57:55+0200
017a845f4067bfa7,auto-e65473c8a824,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,v233_a@9713344,v233_a,9713344,quarry,official,1,0,rating,a,a,1.0,core_destroyed,65,,11,360,9,37,55,40,3,14,ok,,3.722,n-62-29-25,29024039,2026-08-04T12:02:33+0200
017f37ccfaa96b86,auto-e65473c8a824,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,undertow_oracle@75591b7,undertow_oracle,75591b7,pinch,official,1,0,rating,a,a,1.0,core_destroyed,23,,3,0,10,9,1,0,10,2,ok,,4.445,n-62-29-19,29024039,2026-08-04T12:03:24+0200
0187d6790cf51b94,auto-e65473c8a824,heimdall@4c0d92e,heimdall,4c0d92e,tempest_frontier@fdc1e1f,tempest_frontier,fdc1e1f,pinch,official,1,0,rating,a,a,1.0,core_destroyed,38,,3,70,10,15,227,0,3,3,ok,,3.111,n-62-11-67,29024039,2026-08-04T11:59:10+0200
01903e53eecb842b,auto-e65473c8a824,heimdall@4c0d92e,heimdall,4c0d92e,e_post2@4a95297,e_post2,4a95297,runestone,official,1,0,rating,a,a,1.0,core_destroyed,48,,22,110,12,22,79,0,8,2,ok,,4.478,n-62-29-24,29024039,2026-08-04T11:57:47+0200
0191fc3c9c6ac92e,auto-e65473c8a824,claude_challenger_1@fdc1e1f,claude_challenger_1,fdc1e1f,heimdall@4c0d92e,heimdall,4c0d92e,bridge,official,1,0,rating,b,b,0.0,core_destroyed,41,,600,0,0,0,10,60,9,16,ok,,2.204,n-62-21-97,29024039,2026-08-04T11:59:38+0200
0195107d965832bc,auto-e65473c8a824,heimdall@4c0d92e,heimdall,4c0d92e,pantheon_replica_day3@840a180,pantheon_replica_day3,840a180,vase,official,1,0,rating,a,a,1.0,core_destroyed,897,,10,0,7,9,1428,170,4,4,ok,,7.191,n-62-13-9,29024039,2026-08-04T11:57:42+0200
01b0af3067107f5d,auto-e65473c8a824,pantheon_replica_day3@4c0d92e,pantheon_replica_day3,4c0d92e,v233_f@9713344,v233_f,9713344,sweden,official,1,0,rating,a,a,1.0,core_destroyed,134,,20,540,11,64,84,0,3,5,ok,,4.936,n-62-11-69,29024039,2026-08-04T12:02:58+0200
01b37773bfd0947b,auto-e65473c8a824,tempest_picket@fdc1e1f,tempest_picket,fdc1e1f,heimdall@4c0d92e,heimdall,4c0d92e,crossfire,official,1,0,rating,b,b,0.0,core_destroyed,33,,57,0,7,2,10,40,9,4,ok,,4.522,n-62-31-10,29024039,2026-08-04T11:59:02+0200
