match_id,tournament_id,bot_id,bot_name,bot_commit,map,seed,guard_tle_ms,result,match_status,error,turns,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,max_round,timeouts,bot_exceptions,terminal_starts,close_threshold_us,limit_us,host,lsf_job,finished_at
f060d7020f8132bd,auto-ed2109769548,freyja@6a8a5f7,freyja,6a8a5f7,antler,1,12,pass,ok,,27,176,30,43,63,723,3607,2,0,0,0,9000,10000,n-62-29-33,29053003,2026-08-08T19:40:26+0200
b781f64963d4dac1,auto-ed2109769548,freyja@6a8a5f7,freyja,6a8a5f7,archipelago,1,12,pass,ok,,27,111,51,187,772,4046,7330,26,0,0,0,9000,10000,n-62-29-33,29053003,2026-08-08T19:40:28+0200
65eda024b60570e1,auto-ed2109769548,freyja@6a8a5f7,freyja,6a8a5f7,atoll,1,12,pass,ok,,27,174,34,54,115,1057,4300,3,0,0,0,9000,10000,n-62-29-33,29053003,2026-08-08T19:40:30+0200
632c45618f446f06,auto-ed2109769548,freyja@6a8a5f7,freyja,6a8a5f7,aurora,1,12,pass,ok,,27,187,31,58,103,790,6593,4,0,0,0,9000,10000,n-62-29-33,29053003,2026-08-08T19:40:32+0200
1140929f2f7bbfb6,auto-ed2109769548,freyja@6a8a5f7,freyja,6a8a5f7,bridge,1,12,pass,ok,,27,177,31,60,119,727,3061,21,0,0,0,9000,10000,n-62-29-33,29053003,2026-08-08T19:40:34+0200
f5c78281a627cf69,auto-ed2109769548,freyja@6a8a5f7,freyja,6a8a5f7,crossfire,1,12,pass,ok,,27,198,31,46,92,632,3601,9,0,0,0,9000,10000,n-62-29-33,29053003,2026-08-08T19:40:36+0200
34b3b9b7e5360f7a,auto-ed2109769548,freyja@6a8a5f7,freyja,6a8a5f7,drumlin,1,12,pass,ok,,27,118,35,61,701,1852,7117,26,0,0,0,9000,10000,n-62-29-33,29053003,2026-08-08T19:40:38+0200
2a034bb7631b8ce9,auto-ed2109769548,freyja@6a8a5f7,freyja,6a8a5f7,duel,1,12,pass,ok,,27,166,33,46,68,771,3155,2,0,0,0,9000,10000,n-62-29-33,29053003,2026-08-08T19:40:40+0200
729dbc7c7f2da4ba,auto-ed2109769548,freyja@6a8a5f7,freyja,6a8a5f7,eider,1,12,pass,ok,,27,160,32,47,67,823,4932,2,0,0,0,9000,10000,n-62-29-33,29053003,2026-08-08T19:40:42+0200
1367afe1d92d1eda,auto-ed2109769548,freyja@6a8a5f7,freyja,6a8a5f7,fjord,1,12,pass,ok,,27,187,31,58,106,909,5348,26,0,0,0,9000,10000,n-62-29-33,29053003,2026-08-08T19:40:44+0200
fb78cece1f8b7313,auto-ed2109769548,freyja@6a8a5f7,freyja,6a8a5f7,fjordgate,1,12,pass,ok,,27,189,25,30,51,559,2614,7,0,0,0,9000,10000,n-62-29-34,29053003,2026-08-08T19:40:25+0200
0617b9a3d534df69,auto-ed2109769548,freyja@6a8a5f7,freyja,6a8a5f7,heart,1,12,pass,ok,,27,160,25,36,58,867,3965,16,0,0,0,9000,10000,n-62-29-34,29053003,2026-08-08T19:40:27+0200
4e79d2934bf35699,auto-ed2109769548,freyja@6a8a5f7,freyja,6a8a5f7,hive,1,12,pass,ok,,27,200,25,49,85,597,5189,4,0,0,0,9000,10000,n-62-29-34,29053003,2026-08-08T19:40:29+0200
ce31de59c05b0642,auto-ed2109769548,freyja@6a8a5f7,freyja,6a8a5f7,jackpot,1,12,pass,ok,,27,190,24,42,87,519,2932,17,0,0,0,9000,10000,n-62-29-34,29053003,2026-08-08T19:40:31+0200
a7056515e87ec1cb,auto-ed2109769548,freyja@6a8a5f7,freyja,6a8a5f7,lighthouse,1,12,pass,ok,,27,158,24,33,59,703,3341,2,0,0,0,9000,10000,n-62-29-34,29053003,2026-08-08T19:40:32+0200
37ed145550f99b8c,auto-ed2109769548,freyja@6a8a5f7,freyja,6a8a5f7,longship,1,12,pass,ok,,27,188,25,41,89,687,4927,4,0,0,0,9000,10000,n-62-29-34,29053003,2026-08-08T19:40:34+0200
