rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,spar_sentinel@213b430,spar_sentinel,213b430,6600,5063,8,1529,0.7677,1.359085,236.1,1.359085,0.419687,-0.099259,0.0,-0.362115,6,-5
2,freyja@6a8a5f7,freyja,6a8a5f7,6600,5037,8,1555,0.7638,1.319044,229.1,1.319044,0.645559,-0.115269,1.0,0.0,1,1
3,vili@1a0c1ad,vili,1a0c1ad,6600,5025,7,1568,0.7619,1.310223,227.6,1.310223,0.676824,-0.113326,0.0,-0.059719,2,1
4,snotra_h@4437c29,snotra_h,4437c29,6600,4665,7,1928,0.7073,1.018705,177.0,1.018705,0.500948,-0.142933,0.0,-0.424157,7,-3
5,snotra@34b0ce8,snotra,34b0ce8,6600,4645,5,1950,0.7042,1.000629,173.8,1.000629,0.538149,-0.15969,0.0,-0.550831,21,-16
6,hoenir@5907a3b,hoenir,5907a3b,6600,4625,9,1966,0.7014,0.985932,171.3,0.985932,0.313327,-0.395647,0.0,-0.119545,3,3
7,vor@c32539f,vor,c32539f,6600,4576,1,2023,0.6934,0.950238,165.1,0.950238,0.368234,-0.029235,0.0,-0.424157,7,0
8,fulla@ec5aa19,fulla,ec5aa19,6600,4570,1,2029,0.6925,0.946984,164.5,0.946984,0.314778,-0.055672,0.0,-0.424157,7,1
9,gefn@46ac5e6,gefn,46ac5e6,6600,4571,6,2023,0.693,0.946667,164.5,0.946667,0.369166,-0.081854,0.0,-0.487015,12,-3
10,vidarr@c9193be,vidarr,c9193be,6600,4526,14,2060,0.6868,0.93795,162.9,0.93795,0.217191,0.045318,0.0,-0.455476,11,-1
11,bifrost@c70c467,bifrost,c70c467,6600,4505,9,2086,0.6833,0.896899,155.8,0.896899,0.163488,-0.372048,0.0,-0.300754,5,6
12,forseti@37dc858,forseti,37dc858,6600,4476,8,2116,0.6788,0.882214,153.3,0.882214,0.758709,-0.01938,0.0,-0.487015,12,0
13,ostara@832c68a,ostara,832c68a,6600,4472,5,2123,0.678,0.880592,153.0,0.880592,0.132936,-0.029804,0.0,-0.27029,4,9
14,magni@3677a66,magni,3677a66,6600,4474,8,2118,0.6785,0.877784,152.5,0.877784,0.769374,-0.019701,0.0,-0.487015,12,2
15,hodr@ea88247,hodr,ea88247,6600,4473,8,2119,0.6783,0.875414,152.1,0.875414,0.784181,-0.039135,0.0,-0.487015,12,3
16,spork@05ab6a2,spork,05ab6a2,6600,4403,5,2192,0.6675,0.831384,144.4,0.831384,0.084302,-0.030456,0.0,-0.518794,20,-4
17,loki@832c68a,loki,832c68a,6600,4365,1,2234,0.6614,0.803717,139.6,0.803717,0.208462,-0.014699,0.0,-0.487015,12,5
18,mimir@cfc1ec4,mimir,cfc1ec4,6600,4373,8,2219,0.6632,0.79421,138.0,0.79421,0.638432,-0.121812,0.0,-0.487015,12,6
19,spar_sniper@aa24129,spar_sniper,aa24129,6600,4346,12,2242,0.6594,0.784206,136.2,0.784206,0.561566,-0.069303,0.0,-0.487015,12,7
20,steward_relent@7ed1acc,steward_relent,7ed1acc,6600,4353,18,2229,0.6609,0.781057,135.7,0.781057,0.431564,-0.117842,0.0,-0.487015,12,8
21,steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,6564,4290,20,2254,0.6551,0.777198,135.0,0.777198,0.492809,0.068831,0.0,-0.424157,7,14
22,steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,6564,4309,18,2237,0.6578,0.771982,134.1,0.771982,0.498056,-0.119561,0.0,-0.550831,21,1
23,freyr@c2c0d3d,freyr,c2c0d3d,6600,4339,17,2244,0.6587,0.767479,133.3,0.767479,0.5491,-0.10836,0.0,-0.550831,21,2
24,loki@9ac8974,loki,9ac8974,6600,4325,1,2274,0.6554,0.766852,133.2,0.766852,0.147165,-0.1256,0.0,-0.550831,21,3
25,steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,6564,4290,24,2250,0.6554,0.76391,132.7,0.76391,0.486895,-0.058925,0.0,-0.550831,21,4
26,njord@f66a427,njord,f66a427,6600,4323,19,2258,0.6564,0.76153,132.3,0.76153,0.540775,-0.057739,0.0,-0.550831,21,5
27,steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,6564,4300,18,2246,0.6565,0.761373,132.3,0.761373,0.586735,-0.128278,0.0,-0.550831,21,6
28,steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,6564,4257,39,2268,0.6515,0.756341,131.4,0.756341,0.446982,-0.00936,0.0,-0.550831,21,7
29,steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,6564,4254,39,2271,0.6511,0.750794,130.4,0.750794,0.46978,-0.035343,0.0,-0.550831,21,8
