match_id,tournament_id,bot_id,bot_name,bot_commit,map,seed,guard_tle_ms,result,match_status,error,turns,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,max_round,timeouts,bot_exceptions,terminal_starts,close_threshold_us,limit_us,host,lsf_job,finished_at
90076f56aa4a5ba2,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,atoll,1,12,exceeded,ok,,27,148,33,39,50,885,>12000,26,22,0,0,9000,10000,n-62-28-35,29004620,2026-08-02T17:12:51+0200
5738c6754b4e4010,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,aurora,1,12,exceeded,ok,,27,194,34,38,47,895,>12000,26,18,0,0,9000,10000,n-62-28-35,29004620,2026-08-02T17:12:53+0200
0d85e754b55eee16,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,bridge,1,12,pass,ok,,27,195,27,37,44,610,7022,6,0,0,0,9000,10000,n-62-28-35,29004620,2026-08-02T17:12:55+0200
73af1c0befd05ad8,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,crossfire,1,12,exceeded,ok,,27,152,36,40,51,856,>12000,26,22,0,0,9000,10000,n-62-28-35,29004620,2026-08-02T17:12:57+0200
8326188b427429d6,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,duel,1,12,exceeded,ok,,27,126,35,40,294,811,>12000,26,24,0,0,9000,10000,n-62-28-35,29004620,2026-08-02T17:12:59+0200
963b7dd60057d688,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,fjord,1,12,exceeded,ok,,27,176,33,37,45,869,>12000,26,20,0,0,9000,10000,n-62-28-35,29004620,2026-08-02T17:13:01+0200
f1fb84e26e969664,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,hive,1,12,exceeded,ok,,27,198,33,36,44,838,>12000,26,18,0,0,9000,10000,n-62-28-35,29004620,2026-08-02T17:13:03+0200
a4b8c6e6672074e6,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,jackpot,1,12,pass,ok,,27,218,27,37,50,681,8681,20,0,0,0,9000,10000,n-62-28-35,29004620,2026-08-02T17:13:05+0200
806b7b0fa26608ed,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,longship,1,12,exceeded,ok,,27,236,28,36,42,571,>12000,8,15,0,0,9000,10000,n-62-28-35,29004620,2026-08-02T17:13:07+0200
04630ba298a3bb25,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,pinch,1,12,exceeded,ok,,27,181,26,36,44,728,>12000,7,18,0,0,9000,10000,n-62-28-35,29004620,2026-08-02T17:13:09+0200
006d4d8d2cdc7722,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,quarry,1,12,exceeded,ok,,27,181,33,37,47,1126,>12000,26,18,0,0,9000,10000,n-62-28-35,29004620,2026-08-02T17:13:11+0200
0bedbc9769e65add,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,runestone,1,12,exceeded,ok,,27,180,34,37,42,1233,>12000,26,20,0,0,9000,10000,n-62-28-35,29004620,2026-08-02T17:13:14+0200
f1773e9029b0b902,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,showdown,1,12,exceeded,ok,,20,124,26,32,49,770,10620,15,0,0,0,9000,10000,n-62-28-31,29004620,2026-08-02T17:11:52+0200
c2529094abffcacd,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,skerry,1,12,exceeded,ok,,27,171,30,40,46,777,>12000,26,20,0,0,9000,10000,n-62-28-31,29004620,2026-08-02T17:11:53+0200
6c4af60e68706e1f,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,sprint,1,12,exceeded,ok,,25,163,25,33,46,619,10420,2,0,0,0,9000,10000,n-62-28-31,29004620,2026-08-02T17:11:55+0200
aef957327c7808d2,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,strait,1,12,exceeded,ok,,27,259,27,36,41,578,12417,21,0,0,0,9000,10000,n-62-28-31,29004620,2026-08-02T17:11:58+0200
5082b92faaab9274,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,string,1,12,pass,ok,,27,173,24,33,46,435,4192,4,0,0,0,9000,10000,n-62-28-31,29004620,2026-08-02T17:12:00+0200
9c486bf838d5f716,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,sweden,1,12,exceeded,ok,,27,125,37,46,409,1009,>12000,26,22,0,0,9000,10000,n-62-28-31,29004620,2026-08-02T17:12:01+0200
da49552399d2a903,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,twins,1,12,exceeded,ok,,27,143,34,42,66,965,>12000,26,22,0,0,9000,10000,n-62-28-31,29004620,2026-08-02T17:12:03+0200
8ccce5662f132eb1,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,vase,1,12,pass,ok,,27,200,24,34,47,513,5835,2,0,0,0,9000,10000,n-62-28-31,29004620,2026-08-02T17:12:05+0200
e81cb62e68c9f7f6,auto-f0e498404c7d,vigil@e22eda8,vigil,e22eda8,vault,1,12,exceeded,ok,,27,197,31,38,45,794,>12000,26,17,0,0,9000,10000,n-62-28-31,29004620,2026-08-02T17:12:07+0200
