rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vigil@18b749d,vigil,18b749d,3528,3250,0,278,0.9212,2.978895,517.5,2.978895,-1.123243,-0.627096,0.0,-0.280902,2,-1
2,vigil@e22eda8,vigil,e22eda8,3528,3266,0,262,0.9257,2.934896,509.8,2.934896,-1.28741,-0.087701,1.0,0.0,1,1
3,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,3528,3214,0,314,0.911,2.809783,488.1,2.809783,-1.077303,-0.407888,0.0,-0.376478,3,0
4,vigil@1b5f3d1,vigil,1b5f3d1,3528,3186,0,342,0.9031,2.764953,480.3,2.764953,-1.085675,-0.278972,0.0,-0.376478,4,0
5,vigil@bf9b3e3,vigil,bf9b3e3,3528,3169,0,359,0.8982,2.668176,463.5,2.668176,-1.178559,-0.314878,0.0,-0.376478,5,0
6,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,3528,2850,0,678,0.8078,2.180696,378.8,2.180696,-0.377978,-0.566206,0.0,-1.129865,7,-1
7,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,3528,2842,0,686,0.8056,2.168175,376.7,2.168175,-0.019775,-0.63952,0.0,-1.129865,8,-1
8,prospect@bf9b3e3,prospect,bf9b3e3,3528,2883,0,645,0.8172,2.154041,374.2,2.154041,-0.278351,-0.400094,0.0,-0.473784,6,2
9,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,3528,2827,0,701,0.8013,2.102106,365.2,2.102106,-0.448504,-0.499363,0.0,-1.260254,9,0
10,janus@8a1e7a1,janus,8a1e7a1,3528,2774,0,754,0.7863,2.059499,357.8,2.059499,0.147896,-0.568761,0.0,-1.260254,10,0
11,vanguard_oracle@902be71,vanguard_oracle,902be71,3528,2593,0,935,0.735,1.804374,313.5,1.804374,0.252851,-0.666532,0.0,-2.146581,20,-9
12,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,3528,2501,0,1027,0.7089,1.647012,286.1,1.647012,0.410607,-0.817198,0.0,-2.423538,28,-16
13,vanguard_oracle@75591b7,vanguard_oracle,75591b7,3528,2465,0,1063,0.6987,1.601073,278.1,1.601073,0.491978,-0.803151,0.0,-2.785011,34,-21
14,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,3528,2544,0,984,0.7211,1.59602,277.3,1.59602,-0.007864,-0.240802,0.0,-1.919593,14,0
15,tempest_reinforcements@51ad530,tempest_reinforcements,51ad530,3528,2543,0,985,0.7208,1.591767,276.5,1.591767,-0.014508,-0.241075,0.0,-1.919593,15,0
16,vanguard@9932bec,vanguard,9932bec,3528,2375,0,1153,0.6732,1.559128,270.8,1.559128,0.875959,-0.773663,0.0,-2.423538,29,-13
17,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,3528,2570,0,958,0.7285,1.55285,269.8,1.55285,-0.187348,-0.443831,0.0,-2.785011,35,-18
18,vanguard@818f3b4,vanguard,818f3b4,3528,2387,0,1141,0.6766,1.532576,266.2,1.532576,0.75618,-0.74492,0.0,-2.423538,30,-12
19,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,3528,2538,0,990,0.7194,1.523832,264.7,1.523832,-0.143354,-0.179835,0.0,-1.919593,16,3
20,gobbleglitch@e808e1d,gobbleglitch,e808e1d,3528,2657,3,868,0.7535,1.519271,263.9,1.519271,-0.775343,-0.539457,0.0,-3.320228,50,-30
21,vanguard@c407e79,vanguard,c407e79,3528,2300,0,1228,0.6519,1.476696,256.5,1.476696,0.979889,-0.731514,0.0,-1.72551,11,10
22,tempest_oracle_ferry@fdc1e1f,tempest_oracle_ferry,fdc1e1f,3528,2585,0,943,0.7327,1.380541,239.8,1.380541,-0.848598,-0.342689,0.0,-1.72551,12,10
23,undertow@fdc1e1f,undertow,fdc1e1f,3528,2293,0,1235,0.6499,1.378609,239.5,1.378609,0.737188,-0.401748,0.0,-2.423538,31,-8
24,undertow_oracle@75591b7,undertow_oracle,75591b7,3528,2344,0,1184,0.6644,1.373978,238.7,1.373978,0.551455,-0.682023,0.0,-2.785011,36,-12
25,v233_i@902be71,v233_i,902be71,3528,2243,0,1285,0.6358,1.371788,238.3,1.371788,1.147129,-0.793719,0.0,-2.423538,32,-7
26,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,3528,2332,0,1196,0.661,1.362571,236.7,1.362571,0.577056,-0.650309,0.0,-2.785011,37,-11
27,undertow@da3fd8a,undertow,da3fd8a,3528,2289,0,1239,0.6488,1.356103,235.6,1.356103,0.73253,-0.406083,0.0,-2.146581,21,6
28,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,3528,2236,0,1292,0.6338,1.276394,221.7,1.276394,0.808201,-0.44439,0.0,-2.146581,22,6
29,v233_g@9713344,v233_g,9713344,3528,2137,0,1391,0.6057,1.269739,220.6,1.269739,1.295842,-0.42295,0.0,-2.146581,23,6
30,autistimusprime@ecd4d24,autistimusprime,ecd4d24,3528,2588,3,937,0.734,1.237347,214.9,1.237347,-1.198311,-0.44574,0.0,-3.320228,51,-21
31,tempest_ferry@26b5aa1,tempest_ferry,26b5aa1,3528,2458,2,1068,0.697,1.221279,212.2,1.221279,-0.569115,-0.332718,0.0,-1.919593,17,14
32,vanguard@da3fd8a,vanguard,da3fd8a,3528,2158,0,1370,0.6117,1.216694,211.4,1.216694,1.220307,-0.723255,0.0,-2.785011,38,-6
33,tempest_frontier@fdc1e1f,tempest_frontier,fdc1e1f,3528,2403,3,1122,0.6815,1.143737,198.7,1.143737,-0.566259,-0.42466,0.0,-2.146581,24,9
34,tempest_blindfire@fdc1e1f,tempest_blindfire,fdc1e1f,3528,2380,1,1147,0.6747,1.12808,196.0,1.12808,-0.527918,-0.372216,0.0,-1.919593,18,16
35,tempest_fast@eb1f0f3,tempest_fast,eb1f0f3,3528,2375,1,1152,0.6733,1.122475,195.0,1.122475,-0.516638,-0.363434,0.0,-1.919593,19,16
36,tempest_outer@fdc1e1f,tempest_outer,fdc1e1f,3528,2376,1,1151,0.6736,1.118719,194.3,1.118719,-0.512946,-0.293282,0.0,-1.72551,13,23
37,tempest@da3fd8a,tempest,da3fd8a,3528,2364,1,1163,0.6702,1.108317,192.5,1.108317,-0.495785,-0.351222,0.0,-2.146581,25,12
38,tempest_picket@fdc1e1f,tempest_picket,fdc1e1f,3528,2394,3,1131,0.679,1.105065,192.0,1.105065,-0.613383,-0.383276,0.0,-2.146581,26,12
39,v233_f@9713344,v233_f,9713344,3528,2019,0,1509,0.5723,1.023941,177.9,1.023941,1.445265,-0.476924,0.0,-2.785011,39,0
40,mistral_fast@26b5aa1,mistral_fast,26b5aa1,3528,2267,2,1259,0.6429,0.997152,173.2,0.997152,-0.215535,-0.614522,0.0,-2.785011,40,0
41,mistral@ba943b9,mistral,ba943b9,3528,2261,2,1265,0.6412,0.990111,172.0,0.990111,-0.201148,-0.600142,0.0,-2.785011,41,0
42,undertow@9713344,undertow,9713344,3528,2056,1,1471,0.5829,0.912578,158.5,0.912578,0.856676,-0.483621,0.0,-3.320228,52,-10
43,tempest_reinforcements@87724ec,tempest_reinforcements,87724ec,3528,2164,1,1363,0.6135,0.873582,151.8,0.873582,-0.19006,-0.299876,0.0,-2.423538,33,10
44,e_final@9e77076,e_final,9e77076,3528,2064,0,1464,0.585,0.649533,112.8,0.649533,-0.021943,-0.395128,0.0,-3.320228,53,-9
45,v233_e@9713344,v233_e,9713344,3528,1889,0,1639,0.5354,0.496761,86.3,0.496761,0.674044,-0.30254,0.0,-2.785011,42,3
46,uw_v2@9713344,uw_v2,9713344,3528,1943,0,1585,0.5507,0.449809,78.1,0.449809,0.106907,-0.357493,0.0,-2.785011,43,3
47,jonbot@da3fd8a,jonbot,da3fd8a,3528,1945,0,1583,0.5513,0.348307,60.5,0.348307,-0.50265,-0.001571,0.0,-2.785011,44,3
48,casemate_oracle@902be71,casemate_oracle,902be71,3528,1964,0,1564,0.5567,0.320433,55.7,0.320433,-0.926698,-0.321262,0.0,-3.320228,54,-6
49,v233_c@9713344,v233_c,9713344,3528,1727,1,1800,0.4897,-0.060627,-10.5,-0.060627,-0.13932,-0.58742,0.0,-4.442651,59,-10
50,v233_b@9713344,v233_b,9713344,3528,1684,1,1843,0.4775,-0.117752,-20.5,-0.117752,-0.106048,-0.55524,0.0,-4.442651,60,-10
51,v233_d@9713344,v233_d,9713344,3528,1659,0,1869,0.4702,-0.172304,-29.9,-0.172304,0.103951,-0.464829,0.0,-4.442651,61,-10
52,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,3528,1455,0,2073,0.4124,-0.456502,-79.3,-0.456502,-0.354908,0.259213,0.0,-2.785011,45,7
53,e_t4l7@9e77076,e_t4l7,9e77076,3528,1430,0,2098,0.4053,-0.595646,-103.5,-0.595646,1.889897,1.214291,0.0,-2.146581,27,26
