match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
001023d2cb9d0ac6,auto-f11bf027e3d4,vigil@3318ffd,vigil,3318ffd,gobbleglitch@e808e1d,gobbleglitch,e808e1d,string,official,1,0,rating,a,a,1.0,core_destroyed,48,,31,230,9,16,92,0,2,0,ok,,3.416,n-62-29-17,29022081,2026-08-03T19:48:51+0200
00134760d991c9ca,auto-f11bf027e3d4,vg_v6@9713344,vg_v6,9713344,vigil@3318ffd,vigil,3318ffd,string,official,1,0,rating,b,b,0.0,core_destroyed,124,,101,0,2,0,196,990,11,16,ok,,3.928,n-62-11-65,29022081,2026-08-03T19:50:40+0200
00515fca83315467,auto-f11bf027e3d4,attack_wave_v1@9713344,attack_wave_v1,9713344,vigil@3318ffd,vigil,3318ffd,vault,official,1,0,rating,b,b,0.0,core_destroyed,28,,229,0,6,2,23,100,12,10,ok,,3.278,n-62-31-21,29022081,2026-08-03T19:48:18+0200
005a3e7b038285aa,auto-f11bf027e3d4,janus@8a1e7a1,janus,8a1e7a1,vigil@3318ffd,vigil,3318ffd,twins,official,1,0,rating,b,b,0.0,core_destroyed,35,,38,90,11,9,18,60,9,10,ok,,4.523,n-62-29-32,29022081,2026-08-03T19:49:50+0200
008b728c830b6ba2,auto-f11bf027e3d4,uw_v1@9713344,uw_v1,9713344,vigil@3318ffd,vigil,3318ffd,pinch,official,1,0,rating,b,b,0.0,core_destroyed,27,,81,0,4,3,14,50,11,8,ok,,3.463,n-62-29-31,29022081,2026-08-03T19:49:50+0200
00968036a258d8da,auto-f11bf027e3d4,uw_v2@9713344,uw_v2,9713344,vigil@3318ffd,vigil,3318ffd,bridge,official,1,0,rating,b,b,0.0,titanium_collected,1000,,2276,0,5,6,9424,7230,8,23,ok,,7.978,n-62-29-14,29022081,2026-08-03T19:50:38+0200
009d3cf105f2f7c5,auto-f11bf027e3d4,vigil@3318ffd,vigil,3318ffd,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,longship,official,1,0,rating,a,a,1.0,core_destroyed,31,,20,60,11,12,140,50,9,4,ok,,4.147,n-62-31-13,29022081,2026-08-03T19:49:27+0200
009e95aa61006401,auto-f11bf027e3d4,vigil@3318ffd,vigil,3318ffd,tempest_picket@fdc1e1f,tempest_picket,fdc1e1f,vault,official,1,0,rating,a,a,1.0,core_destroyed,34,,5,110,12,10,242,120,7,5,ok,,4.667,n-62-21-8,29022081,2026-08-03T19:49:00+0200
00b2cffa02964199,auto-f11bf027e3d4,gobbleglitch@6cdc440,gobbleglitch,6cdc440,vigil@3318ffd,vigil,3318ffd,longship,official,1,0,rating,b,b,0.0,core_destroyed,37,,98,10,7,9,10,70,11,14,ok,,4.36,n-62-29-14,29022081,2026-08-03T19:48:59+0200
00feb6e64f72371a,auto-f11bf027e3d4,vigil@3318ffd,vigil,3318ffd,autistimusprime@ecd4d24,autistimusprime,ecd4d24,jackpot,official,1,0,rating,a,a,1.0,core_destroyed,184,,673,780,8,12,90,0,3,0,ok,,4.384,n-62-31-21,29022081,2026-08-03T19:49:23+0200
01062d94e67d1d5a,auto-f11bf027e3d4,vigil@3318ffd,vigil,3318ffd,jonbot@9713344,jonbot,9713344,bridge,official,1,0,rating,a,a,1.0,core_destroyed,54,,37,140,11,15,308,0,2,0,ok,,3.969,n-62-29-33,29022081,2026-08-03T19:48:33+0200
012ef98cd3446ded,auto-f11bf027e3d4,vigil@3318ffd,vigil,3318ffd,siege_v2@9713344,siege_v2,9713344,showdown,official,1,0,rating,a,a,1.0,core_destroyed,20,,45,0,7,11,145,0,6,3,ok,,2.891,n-62-11-57,29022081,2026-08-03T19:49:07+0200
013bf5ab5c3fc66c,auto-f11bf027e3d4,claude_challenger_3@fdc1e1f,claude_challenger_3,fdc1e1f,vigil@3318ffd,vigil,3318ffd,twins,official,1,0,rating,a,a,1.0,titanium_collected,1000,,7384,4950,7,11,2627,0,6,4,ok,,13.423,n-62-31-11,29022081,2026-08-03T19:49:21+0200
013fb411553e429a,auto-f11bf027e3d4,vigil@3318ffd,vigil,3318ffd,e_final@9e77076,e_final,9e77076,twins,official,1,0,rating,a,a,1.0,core_destroyed,42,,26,90,11,14,102,10,7,5,ok,,3.956,n-62-28-34,29022081,2026-08-03T19:49:32+0200
014798d472af6ef6,auto-f11bf027e3d4,baiter@9713344,baiter,9713344,vigil@3318ffd,vigil,3318ffd,hive,official,1,0,rating,b,b,0.0,core_destroyed,68,,105,150,5,11,20,150,12,13,ok,,4.769,n-62-31-24,29022081,2026-08-03T19:49:47+0200
014805e5bf965409,auto-f11bf027e3d4,e_post2@4a95297,e_post2,4a95297,vigil@3318ffd,vigil,3318ffd,bridge,official,1,0,rating,b,b,0.0,titanium_collected,1000,,2435,0,2,2,11756,9590,9,20,ok,,5.854,n-62-28-33,29022081,2026-08-03T19:48:57+0200
015e86fc3e90737d,auto-f11bf027e3d4,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,vigil@3318ffd,vigil,3318ffd,atoll,official,1,0,rating,b,b,0.0,core_destroyed,30,,246,90,6,6,11,100,11,10,ok,,3.318,n-62-31-16,29022081,2026-08-03T19:49:45+0200
018b8a2ef79ca290,auto-f11bf027e3d4,vanguard@818f3b4,vanguard,818f3b4,vigil@3318ffd,vigil,3318ffd,sweden,official,1,0,rating,a,a,1.0,core_destroyed,143,,357,740,6,15,918,1130,12,17,ok,,6.829,n-62-31-13,29022081,2026-08-03T19:50:35+0200
01a43ba0e18d7467,auto-f11bf027e3d4,vigil@3318ffd,vigil,3318ffd,claude_challenger_1@fdc1e1f,claude_challenger_1,fdc1e1f,bridge,official,1,0,rating,a,a,1.0,core_destroyed,38,,19,60,8,17,590,0,0,0,ok,,2.025,n-62-11-67,29022081,2026-08-03T19:49:28+0200
01a662e125ed3f79,auto-f11bf027e3d4,vigil@3318ffd,vigil,3318ffd,v233_c@9713344,v233_c,9713344,longship,official,1,0,rating,a,a,1.0,core_destroyed,41,,10,80,11,12,72,50,6,7,ok,,4.587,n-62-29-32,29022081,2026-08-03T19:50:19+0200
01aabc0c3dc3c7b2,auto-f11bf027e3d4,gobbleglitch@e808e1d,gobbleglitch,e808e1d,vigil@3318ffd,vigil,3318ffd,bridge,official,1,0,rating,a,a,1.0,titanium_collected,1000,,2471,40,2,7,2317,0,9,6,ok,,7.173,n-62-29-34,29022081,2026-08-03T19:48:26+0200
01bc90e063312ee2,auto-f11bf027e3d4,vigil@3318ffd,vigil,3318ffd,claude_challenger_2@fdc1e1f,claude_challenger_2,fdc1e1f,skerry,official,1,0,rating,a,a,1.0,core_destroyed,32,,30,120,11,9,50,120,12,5,ok,,7.31,n-62-21-92,29022081,2026-08-03T19:50:16+0200
01c18adfdf364960,auto-f11bf027e3d4,vigil@3318ffd,vigil,3318ffd,autistimusprime@ecd4d24,autistimusprime,ecd4d24,crossfire,official,1,0,rating,a,a,1.0,core_destroyed,25,,8,50,12,6,35,0,7,7,ok,,3.424,n-62-31-21,29022081,2026-08-03T19:48:52+0200
01c353a313d62e04,auto-f11bf027e3d4,vigil@3318ffd,vigil,3318ffd,v233_c@9713344,v233_c,9713344,vault,official,1,0,rating,a,a,1.0,core_destroyed,44,,28,170,13,12,67,100,7,10,ok,,4.21,n-62-29-13,29022081,2026-08-03T19:50:39+0200
01e3cc40c25760d0,auto-f11bf027e3d4,frontier_v2@9713344,frontier_v2,9713344,vigil@3318ffd,vigil,3318ffd,aurora,official,1,0,rating,b,b,0.0,core_destroyed,41,,152,0,7,3,20,80,12,11,ok,,3.777,n-62-29-21,29022081,2026-08-03T19:49:20+0200
01ef03859b549676,auto-f11bf027e3d4,mistral@ba943b9,mistral,ba943b9,vigil@3318ffd,vigil,3318ffd,twins,official,1,0,rating,b,b,0.0,core_destroyed,23,,274,0,4,0,20,30,11,7,ok,,3.458,n-62-29-22,29022081,2026-08-03T19:48:37+0200
01fdaf8142d6e526,auto-f11bf027e3d4,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,vigil@3318ffd,vigil,3318ffd,bridge,official,1,0,rating,b,b,0.0,titanium_collected,1000,,1894,0,1,3,11012,9520,7,27,ok,,4.941,n-62-28-33,29022081,2026-08-03T19:49:58+0200
0202e58700b7a1f0,auto-f11bf027e3d4,undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,vigil@3318ffd,vigil,3318ffd,aurora,official,1,0,rating,b,b,0.0,core_destroyed,55,,56,260,10,21,8,110,13,11,ok,,6.139,n-62-29-21,29022081,2026-08-03T19:50:03+0200
