rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vigil@18b749d,vigil,18b749d,4074,3557,0,517,0.8731,2.630876,457.0,2.630876,0.926574,0.521862,0.0,-0.32869,9,-8
2,vigil@e22eda8,vigil,e22eda8,4074,3598,0,476,0.8832,2.624773,456.0,2.624773,1.128829,0.088076,0.500001,0.0,1,1
3,vigil@e267eeb,vigil,e267eeb,4074,3595,0,479,0.8824,2.601665,452.0,2.601665,1.09139,0.085662,0.0,0.0,1,2
4,warden@3318ffd,warden,3318ffd,4074,3606,0,468,0.8851,2.599116,451.5,2.599116,1.162307,0.138788,0.0,-0.094946,5,-1
5,ragnarok@79582fc,ragnarok,79582fc,4074,3601,0,473,0.8839,2.596638,451.1,2.596638,1.146789,0.180372,0.0,-0.141693,6,-1
6,valkyrie@d181312,valkyrie,d181312,4074,3599,0,475,0.8834,2.590604,450.0,2.590604,1.163938,0.173396,0.0,-0.143599,7,-1
7,warden_walk@3318ffd,warden_walk,3318ffd,4071,3541,0,530,0.8698,2.504359,435.1,2.504359,0.855484,0.115263,0.499999,0.0,1,6
8,tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,4074,3501,0,573,0.8594,2.461416,427.6,2.461416,0.868683,0.377138,0.0,-0.425131,14,-6
9,vigil@1b5f3d1,vigil,1b5f3d1,4074,3464,0,610,0.8503,2.413872,419.3,2.413872,0.870478,0.312277,0.0,-0.376478,11,-2
10,valkyrie@30d0491,valkyrie,30d0491,4074,3498,0,576,0.8586,2.393864,415.9,2.393864,1.042722,0.30941,0.0,-0.093906,4,6
11,vigil@bf9b3e3,vigil,bf9b3e3,4071,3442,0,629,0.8455,2.323215,403.6,2.323215,0.997166,0.327934,0.0,-0.417155,13,-2
12,vigil@60d5afa,vigil,60d5afa,4074,3382,0,692,0.8301,2.161405,375.5,2.161405,0.945619,0.376577,0.0,-0.390851,12,0
13,ragnarok_fair@79582fc,ragnarok_fair,79582fc,4074,3218,0,856,0.7899,1.997485,347.0,1.997485,0.228165,0.127285,0.0,-0.280902,8,5
14,valkyrie_atk2@7227061,valkyrie_atk2,7227061,4074,3342,0,732,0.8203,1.955703,339.7,1.955703,1.203787,0.123273,0.0,-0.597113,16,-2
15,valkyrie_econ2@7227061,valkyrie_econ2,7227061,4074,3262,0,812,0.8007,1.827774,317.5,1.827774,1.032084,0.18398,0.0,-0.624551,17,-2
16,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,4074,3045,0,1029,0.7474,1.812707,314.9,1.812707,0.238061,0.499864,0.0,-1.195059,21,-5
17,prospect@bf9b3e3,prospect,bf9b3e3,4074,3099,0,975,0.7607,1.810815,314.6,1.810815,0.14365,0.302873,0.0,-0.473784,15,2
18,prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,4074,3023,0,1051,0.742,1.7864,310.3,1.7864,-0.094743,0.557346,0.0,-0.851606,18,0
19,gobbleglitch@6cdc440,gobbleglitch,6cdc440,4074,3061,5,1008,0.752,1.78236,309.6,1.78236,0.448732,0.831617,0.0,-2.074524,37,-18
20,tempest_reinforcements@65ddc55,tempest_reinforcements,65ddc55,4074,3017,0,1057,0.7405,1.736138,301.6,1.736138,0.279388,0.46629,0.0,-1.076126,19,1
21,janus@8a1e7a1,janus,8a1e7a1,4074,2935,0,1139,0.7204,1.668549,289.9,1.668549,-0.251433,0.525179,0.0,-1.133947,20,1
22,vanguard_oracle@902be71,vanguard_oracle,902be71,4074,2694,0,1380,0.6613,1.346522,233.9,1.346522,-0.363034,0.78341,0.0,-1.638223,25,-3
23,vigil_reinforcements@60d5afa,vigil_reinforcements,60d5afa,4074,3121,0,953,0.7661,1.345738,233.8,1.345738,1.597518,-0.170153,0.0,-0.330185,10,13
24,tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,4074,2692,0,1382,0.6608,1.244788,216.2,1.244788,-0.129912,0.23448,0.0,-1.589924,23,1
25,tempest_reinforcements@51ad530,tempest_reinforcements,51ad530,4074,2691,0,1383,0.6605,1.2411,215.6,1.2411,-0.123506,0.232834,0.0,-1.589924,23,2
26,vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,4074,2598,0,1476,0.6377,1.205998,209.5,1.205998,-0.486268,0.845576,0.0,-1.912216,30,-4
27,tempest_reinforcements@edf93ad,tempest_reinforcements,edf93ad,4074,2686,0,1388,0.6593,1.182704,205.5,1.182704,-0.012993,0.173526,0.0,-1.660243,26,1
