match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
000819fa88d35729,auto-fae493fe11e0,gobbleglitch@e808e1d,gobbleglitch,e808e1d,siege_v2@9713344,siege_v2,9713344,quarry,official,1,0,rating,a,a,1.0,core_destroyed,36,,70,0,11,1,141,0,6,4,ok,,3.097,n-62-11-53,29004241,2026-08-02T13:47:51+0200
00213836a3be02d0,auto-fae493fe11e0,gobbleglitch@e808e1d,gobbleglitch,e808e1d,v233_d@9713344,v233_d,9713344,pinch,official,1,0,rating,a,a,1.0,core_destroyed,29,,90,0,9,1,121,50,7,12,ok,,2.47,n-62-28-29,29004241,2026-08-02T13:49:18+0200
003ae68c11f363a8,auto-fae493fe11e0,jonbot@da3fd8a,jonbot,da3fd8a,gobbleglitch@e808e1d,gobbleglitch,e808e1d,vault,official,1,0,rating,b,b,0.0,core_destroyed,34,,204,0,7,4,5,0,12,3,ok,,2.864,n-62-29-25,29004241,2026-08-02T13:48:52+0200
0044a46cdae69e14,auto-fae493fe11e0,lockin@9713344,lockin,9713344,gobbleglitch@e808e1d,gobbleglitch,e808e1d,longship,official,1,0,rating,b,b,0.0,core_destroyed,33,,44,60,11,5,42,60,10,11,ok,,5.203,n-62-29-23,29004241,2026-08-02T13:48:18+0200
004fe33f6ad995b5,auto-fae493fe11e0,attack_wave_v1@9713344,attack_wave_v1,9713344,gobbleglitch@e808e1d,gobbleglitch,e808e1d,runestone,official,1,0,rating,b,b,0.0,core_destroyed,27,,116,0,6,4,51,30,11,6,ok,,3.388,n-62-31-22,29004241,2026-08-02T13:47:14+0200
005e020d96f453ee,auto-fae493fe11e0,tempest_reinforcements@3d5ab38,tempest_reinforcements,3d5ab38,gobbleglitch@e808e1d,gobbleglitch,e808e1d,runestone,official,1,0,rating,a,a,1.0,core_destroyed,35,,10,0,11,5,89,40,9,5,ok,,4.006,n-62-21-24,29004241,2026-08-02T13:49:12+0200
0073d4604f1c7fbb,auto-fae493fe11e0,gobbleglitch@e808e1d,gobbleglitch,e808e1d,vg_v5@9713344,vg_v5,9713344,showdown,official,1,0,rating,a,a,1.0,core_destroyed,24,,82,20,8,8,120,0,7,3,ok,,2.747,n-62-31-5,29004241,2026-08-02T13:49:25+0200
007523ec044e7291,auto-fae493fe11e0,frontier_v2@9713344,frontier_v2,9713344,gobbleglitch@e808e1d,gobbleglitch,e808e1d,quarry,official,1,0,rating,b,b,0.0,core_destroyed,31,,167,0,7,2,16,40,11,9,ok,,3.156,n-62-29-22,29004241,2026-08-02T13:47:39+0200
008c810a29ee8eaa,auto-fae493fe11e0,gobbleglitch@e808e1d,gobbleglitch,e808e1d,uw_v1@9713344,uw_v1,9713344,pinch,official,1,0,rating,a,a,1.0,core_destroyed,42,,124,0,9,1,127,0,7,1,ok,,2.878,n-62-11-68,29004241,2026-08-02T13:48:31+0200
009fba2e6f9415ff,auto-fae493fe11e0,v233_b@9713344,v233_b,9713344,gobbleglitch@e808e1d,gobbleglitch,e808e1d,sprint,official,1,0,rating,b,b,0.0,core_destroyed,30,,114,30,5,7,124,50,8,6,ok,,2.518,n-62-21-97,29004241,2026-08-02T13:48:21+0200
00b1d9bc99d536b6,auto-fae493fe11e0,gobbleglitch@e808e1d,gobbleglitch,e808e1d,uw_v1@9713344,uw_v1,9713344,showdown,official,1,0,rating,a,a,1.0,core_destroyed,87,,314,320,5,26,35,0,8,2,ok,,2.687,n-62-11-68,29004241,2026-08-02T13:49:02+0200
00b75f682465553a,auto-fae493fe11e0,gobbleglitch@e808e1d,gobbleglitch,e808e1d,siege_v1@9713344,siege_v1,9713344,vase,official,1,0,rating,a,a,1.0,core_destroyed,38,,236,60,5,7,231,0,6,2,ok,,2.215,n-62-11-57,29004241,2026-08-02T13:47:40+0200
00bd72ed4611beaa,auto-fae493fe11e0,gobbleglitch@e808e1d,gobbleglitch,e808e1d,vg_v7@9713344,vg_v7,9713344,aurora,official,1,0,rating,a,a,1.0,core_destroyed,41,,60,70,11,5,61,80,9,8,ok,,3.313,n-62-11-53,29004241,2026-08-02T13:49:17+0200
00cbba930f20a04d,auto-fae493fe11e0,gobbleglitch@e808e1d,gobbleglitch,e808e1d,mistral_fast@26b5aa1,mistral_fast,26b5aa1,fjord,official,1,0,rating,a,a,1.0,core_destroyed,29,,53,50,12,4,249,0,6,0,ok,,3.53,n-62-30-25,29004241,2026-08-02T13:47:56+0200
00d34e4b96bed9e2,auto-fae493fe11e0,gobbleglitch@e808e1d,gobbleglitch,e808e1d,tempest_fast@eb1f0f3,tempest_fast,eb1f0f3,vase,official,1,0,rating,a,a,1.0,titanium_collected,39,,56,60,8,6,99,0,7,5,ok,,3.47,n-62-12-6,29004241,2026-08-02T13:47:02+0200
0105d138c3c21f04,auto-fae493fe11e0,v233_a@9713344,v233_a,9713344,gobbleglitch@e808e1d,gobbleglitch,e808e1d,twins,official,1,0,rating,b,b,0.0,core_destroyed,29,,115,10,6,3,56,40,11,7,ok,,2.952,n-62-21-103,29004241,2026-08-02T13:48:41+0200
010f66c6e3a108dd,auto-fae493fe11e0,jonbot@da3fd8a,jonbot,da3fd8a,gobbleglitch@e808e1d,gobbleglitch,e808e1d,showdown,official,1,0,rating,b,b,0.0,core_destroyed,64,,10,0,8,13,62,80,4,6,ok,,2.82,n-62-29-25,29004241,2026-08-02T13:47:04+0200
012838fb4ed2730d,auto-fae493fe11e0,undertow@fdc1e1f,undertow,fdc1e1f,gobbleglitch@e808e1d,gobbleglitch,e808e1d,vault,official,1,0,rating,b,b,0.0,core_destroyed,70,,67,320,11,6,60,80,9,17,ok,,4.53,n-62-31-23,29004241,2026-08-02T13:49:39+0200
013481700a06c43b,auto-fae493fe11e0,mistral_fast@26b5aa1,mistral_fast,26b5aa1,gobbleglitch@e808e1d,gobbleglitch,e808e1d,atoll,official,1,0,rating,b,b,0.0,core_destroyed,24,,211,0,7,0,43,0,11,1,ok,,3.532,n-62-30-25,29004241,2026-08-02T13:47:23+0200
014046a4d2a0eabc,auto-fae493fe11e0,vg_v1@9713344,vg_v1,9713344,gobbleglitch@e808e1d,gobbleglitch,e808e1d,jackpot,official,1,0,rating,b,b,0.0,core_destroyed,61,,173,0,7,0,48,0,8,15,ok,,3.206,n-62-31-14,29004241,2026-08-02T13:49:27+0200
0151da24150891f3,auto-fae493fe11e0,gobbleglitch@e808e1d,gobbleglitch,e808e1d,frontier_v1@9713344,frontier_v1,9713344,pinch,official,1,0,rating,a,a,1.0,core_destroyed,28,,54,0,11,1,15,0,9,3,ok,,3.236,n-62-29-19,29004241,2026-08-02T13:47:26+0200
015356cb94cb15f8,auto-fae493fe11e0,gobbleglitch@e808e1d,gobbleglitch,e808e1d,vg_v6@9713344,vg_v6,9713344,quarry,official,1,0,rating,a,a,1.0,core_destroyed,32,,66,0,12,1,67,0,7,13,ok,,2.805,n-62-11-58,29004241,2026-08-02T13:49:13+0200
