bot_id,bot_name,bot_commit,status,matches_planned,matches_completed,matches_reported,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,timeouts,bot_exceptions,close_threshold_us,limit_us
attack_wave_v1@9713344,attack_wave_v1,9713344,pass,21,21,21,3528,29,100,124,174,1863,0,0,9000,10000
autistimusprime@ecd4d24,autistimusprime,ecd4d24,pass,21,21,21,4211,11,48,65,713,3335,0,0,9000,10000
baiter@9713344,baiter,9713344,pass,21,21,21,3000,10,27,564,1050,3940,0,0,9000,10000
casemate@902be71,casemate,902be71,pass,21,21,21,3298,12,500,1573,2252,6665,0,0,9000,10000
casemate_oracle@902be71,casemate_oracle,902be71,exceeded,21,21,21,2970,5,24,2604,6681,>12000,110,0,9000,10000
claude_challenger_1@fdc1e1f,claude_challenger_1,fdc1e1f,exceeded,21,21,21,2727,323,877,1024,3280,>12000,329,0,9000,10000
claude_challenger_2@fdc1e1f,claude_challenger_2,fdc1e1f,exceeded,21,21,21,2855,319,835,1020,1730,>12000,308,0,9000,10000
claude_challenger_3@fdc1e1f,claude_challenger_3,fdc1e1f,exceeded,21,21,21,2574,319,830,1006,4593,>12000,311,14,9000,10000
e9cand@9e77076,e9cand,9e77076,pass,21,21,21,4492,7,34,207,290,6598,0,0,9000,10000
e_condc@6db8844,e_condc,6db8844,pass,21,21,21,3193,7,174,224,310,5874,0,0,9000,10000
e_final@9e77076,e_final,9e77076,pass,21,21,21,4501,5,29,197,275,3789,0,0,9000,10000
e_harc@6db8844,e_harc,6db8844,pass,21,21,21,3992,7,50,244,377,6658,0,0,9000,10000
e_post2@4a95297,e_post2,4a95297,pass,21,21,21,4492,12,55,478,718,5150,0,0,9000,10000
e_t4l7@9e77076,e_t4l7,9e77076,pass,21,21,21,3507,27,603,771,930,3307,0,0,9000,10000
frontier_v1@9713344,frontier_v1,9713344,pass,21,21,21,5066,19,118,153,170,2500,0,0,9000,10000
frontier_v2@9713344,frontier_v2,9713344,pass,21,21,21,4028,18,104,122,157,2413,0,0,9000,10000
jonbot@9713344,jonbot,9713344,exceeded,21,21,21,3416,10,29,460,828,>12000,75,0,9000,10000
jonbot@da3fd8a,jonbot,da3fd8a,exceeded,21,21,20,2690,12,133,520,735,>12000,85,1,9000,10000
jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,exceeded,21,21,21,3373,11,28,410,705,>12000,47,0,9000,10000
lockin@9713344,lockin,9713344,exceeded,21,21,21,2194,520,1230,1450,8483,>12000,560,0,9000,10000
mistral@ba943b9,mistral,ba943b9,exceeded,21,21,20,1904,11,44,1188,>12000,>12000,778,4,9000,10000
mistral_fast@26b5aa1,mistral_fast,26b5aa1,pass,21,21,21,2974,12,36,984,2108,3315,0,0,9000,10000
nemesis@9713344,nemesis,9713344,pass,21,21,21,4327,20,461,811,1482,5051,0,0,9000,10000
opponent_luc@e83a42c,opponent_luc,e83a42c,exceeded,21,21,21,2479,451,1029,1222,2013,>12000,423,0,9000,10000
reaver@9713344,reaver,9713344,pass,21,21,21,2806,11,76,570,1150,3135,0,0,9000,10000
riptide@9713344,riptide,9713344,pass,21,21,21,3012,11,32,496,1026,2877,0,0,9000,10000
siege_v1@9713344,siege_v1,9713344,pass,21,21,21,3528,44,78,96,129,1533,0,0,9000,10000
