match_id,tournament_id,bot_id,bot_name,bot_commit,map,seed,guard_tle_ms,result,match_status,error,turns,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,max_round,timeouts,bot_exceptions,terminal_starts,close_threshold_us,limit_us,host,lsf_job,finished_at
6630f79e3fe34cea,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,atoll,1,12,pass,ok,,27,168,32,104,121,159,629,4,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:02+0200
572cfd65fe035ca4,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,aurora,1,12,pass,ok,,27,168,34,111,135,176,760,3,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:04+0200
a6fd8102c45ac2ca,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,bridge,1,12,pass,ok,,27,168,30,102,118,145,560,4,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:05+0200
b8c117132195b760,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,crossfire,1,12,pass,ok,,27,168,31,111,122,145,750,4,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:07+0200
24ea0e5d29b442c6,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,duel,1,12,pass,ok,,27,168,31,93,118,145,900,22,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:09+0200
276dd8b2d31f0e70,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,fjord,1,12,pass,ok,,27,168,31,85,108,129,587,5,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:11+0200
4345bbdb08fdc479,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,hive,1,12,pass,ok,,27,168,33,108,131,175,660,2,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:12+0200
743355a110a5cada,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,jackpot,1,12,pass,ok,,27,168,30,95,109,161,707,3,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:14+0200
204c27c5957d115c,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,longship,1,12,pass,ok,,27,168,30,84,116,237,974,26,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:16+0200
811346123b5be49d,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,pinch,1,12,pass,ok,,27,168,34,120,132,167,725,4,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:18+0200
3ec209a7637fc619,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,quarry,1,12,pass,ok,,27,168,30,85,117,143,550,4,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:20+0200
156cd7ce5d0a8f58,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,runestone,1,12,pass,ok,,27,168,33,107,127,156,989,24,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:21+0200
a381376e04c9bb2f,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,showdown,1,12,pass,ok,,27,168,32,113,152,478,710,5,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:23+0200
4a3476f4617e29a1,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,skerry,1,12,pass,ok,,27,168,30,80,103,119,578,2,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:25+0200
e41bfd89f5cb22ab,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,sprint,1,12,pass,ok,,27,168,40,137,166,311,1863,11,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:27+0200
21b41bd37b9560c8,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,strait,1,12,pass,ok,,27,168,29,82,107,133,580,3,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:28+0200
6324e2c8fa1a0a6a,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,string,1,12,pass,ok,,27,168,39,128,180,223,1376,14,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:30+0200
7010f6102f06d9c8,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,sweden,1,12,pass,ok,,27,168,34,111,134,152,706,4,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:32+0200
da5e100586d08631,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,twins,1,12,pass,ok,,27,168,30,84,113,143,575,5,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:34+0200
fff8d52934ac0c63,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,vase,1,12,pass,ok,,27,168,35,144,278,337,693,2,0,0,0,9000,10000,n-62-31-22,29003601,2026-08-02T03:14:35+0200
5917c3e1bf2dcfa3,compliance-v5-all,attack_wave_v1@9713344,attack_wave_v1,9713344,vault,1,12,pass,ok,,27,168,30,83,114,154,571,8,0,0,0,9000,10000,n-62-31-24,29003601,2026-08-02T03:14:12+0200
50b043da349946f9,compliance-v5-all,autistimusprime@ecd4d24,autistimusprime,ecd4d24,atoll,1,12,pass,ok,,24,215,14,56,68,487,2661,6,0,0,0,9000,10000,n-62-31-24,29003601,2026-08-02T03:14:15+0200
5d6c20e351b48164,compliance-v5-all,autistimusprime@ecd4d24,autistimusprime,ecd4d24,aurora,1,12,pass,ok,,27,231,18,58,68,680,3335,8,0,0,0,9000,10000,n-62-31-24,29003601,2026-08-02T03:14:17+0200
c1952df3c7060912,compliance-v5-all,autistimusprime@ecd4d24,autistimusprime,ecd4d24,bridge,1,12,pass,ok,,27,190,17,51,65,799,1894,6,0,0,0,9000,10000,n-62-31-24,29003601,2026-08-02T03:14:20+0200
647fc22288899a31,compliance-v5-all,autistimusprime@ecd4d24,autistimusprime,ecd4d24,crossfire,1,12,pass,ok,,24,185,21,47,63,631,2500,4,0,0,0,9000,10000,n-62-31-24,29003601,2026-08-02T03:14:22+0200
