match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
0061c8087b5764c6,gap-fill-2,vanguard@da3fd8a,vanguard,da3fd8a,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,string,official,1,0,rating,a,a,1.0,core_destroyed,62,,114,200,5,7,31,140,17,6,ok,,2.752,bob-a,,2026-08-02T01:18:20+0200
0294c4803412f907,gap-fill-2,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,vanguard@da3fd8a,vanguard,da3fd8a,runestone,official,1,0,rating,a,a,1.0,core_destroyed,122,,60,110,14,13,113,540,12,28,ok,,3.494,bob-a,,2026-08-02T01:18:17+0200
04b24207a1f9f870,gap-fill-2,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,tempest@da3fd8a,tempest,da3fd8a,aurora,official,1,0,rating,a,a,1.0,core_destroyed,40,,43,80,11,8,295,80,5,7,ok,,2.676,bob-a,,2026-08-02T01:17:58+0200
08b99acae68e926d,gap-fill-2,tempest@da3fd8a,tempest,da3fd8a,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,skerry,official,1,0,rating,b,b,0.0,core_destroyed,37,,222,0,6,2,9,80,10,5,ok,,3.116,bob-a,,2026-08-02T01:18:03+0200
0972e177688a540e,gap-fill-2,vanguard@da3fd8a,vanguard,da3fd8a,tempest@da3fd8a,tempest,da3fd8a,duel,official,1,0,rating,b,b,0.0,core_destroyed,40,,105,130,5,7,77,90,10,5,ok,,2.235,bob-a,,2026-08-02T01:18:27+0200
0a3f58c665463893,gap-fill-2,tempest@da3fd8a,tempest,da3fd8a,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,twins,official,1,0,rating,a,a,1.0,titanium_stored,42,,64,0,10,3,1,0,12,4,ok,,3.395,bob-a,,2026-08-02T01:18:06+0200
0c9c1f5b7f969aba,gap-fill-2,tempest@da3fd8a,tempest,da3fd8a,vanguard@da3fd8a,vanguard,da3fd8a,sweden,official,1,0,rating,b,b,0.0,core_destroyed,72,,458,130,4,9,330,370,9,22,ok,,2.612,bob-a,,2026-08-02T01:18:38+0200
0e56ca5297aa1537,gap-fill-2,tempest@da3fd8a,tempest,da3fd8a,vanguard@da3fd8a,vanguard,da3fd8a,longship,official,1,0,rating,a,a,1.0,core_destroyed,49,,154,100,8,12,31,290,13,21,ok,,3.619,bob-a,,2026-08-02T01:18:31+0200
0ed5aff4f479ce0a,gap-fill-2,vanguard@da3fd8a,vanguard,da3fd8a,tempest@da3fd8a,tempest,da3fd8a,pinch,official,1,0,rating,b,b,0.0,core_destroyed,31,,30,100,10,13,35,0,12,4,ok,,2.264,bob-a,,2026-08-02T01:18:32+0200
146de8f879124d0d,gap-fill-2,tempest_reinforcements@e1dc316,tempest_reinforcements,e1dc316,vanguard@da3fd8a,vanguard,da3fd8a,aurora,official,1,0,rating,a,a,1.0,core_destroyed,93,,60,350,13,26,132,590,13,16,ok,,3.813,bob-a,,2026-08-02T01:18:08+0200
