match_id,tournament_id,bot_id,bot_name,bot_commit,map,seed,guard_tle_ms,result,match_status,error,turns,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,max_round,timeouts,bot_exceptions,terminal_starts,close_threshold_us,limit_us,host,lsf_job,finished_at
05bd8f55402ad825,gap-fill,undertow_oracle@75591b7,undertow_oracle,75591b7,atoll,1,12,pass,ok,,27,159,10,206,953,2339,2981,5,0,0,0,9000,10000,bob-a,,2026-08-02T00:08:28+0200
f1160ab54e437dc2,gap-fill,undertow_oracle@75591b7,undertow_oracle,75591b7,duel,1,12,pass,ok,,27,219,9,16,227,447,1384,8,0,0,0,9000,10000,bob-a,,2026-08-02T00:08:28+0200
11673f7933f5df0d,gap-fill,undertow_oracle@75591b7,undertow_oracle,75591b7,quarry,1,12,pass,ok,,27,125,22,362,539,1412,3619,4,0,0,0,9000,10000,bob-a,,2026-08-02T00:08:29+0200
90cd4a31dc45ec70,gap-fill,vanguard@818f3b4,vanguard,818f3b4,atoll,1,12,pass,ok,,27,190,11,26,166,591,2675,21,0,0,3,9000,10000,bob-a,,2026-08-02T00:08:29+0200
605fcac6e322137a,gap-fill,vanguard@818f3b4,vanguard,818f3b4,duel,1,12,pass,ok,,27,184,9,25,266,677,2176,14,0,0,2,9000,10000,bob-a,,2026-08-02T00:08:30+0200
e4e77636180f7532,gap-fill,vanguard@818f3b4,vanguard,818f3b4,quarry,1,12,pass,ok,,27,137,12,57,707,859,1911,26,0,0,0,9000,10000,bob-a,,2026-08-02T00:08:30+0200
6288cec7da93c303,gap-fill,vanguard@c407e79,vanguard,c407e79,atoll,1,12,pass,ok,,27,197,16,26,162,728,1832,15,0,0,4,9000,10000,bob-a,,2026-08-02T00:08:29+0200
6a71ec7b08f00432,gap-fill,vanguard@c407e79,vanguard,c407e79,duel,1,12,pass,ok,,27,184,9,25,322,763,2252,12,0,0,2,9000,10000,bob-a,,2026-08-02T00:08:30+0200
6cd4c6f096b67f48,gap-fill,vanguard@c407e79,vanguard,c407e79,quarry,1,12,pass,ok,,27,136,13,70,877,1081,3934,25,0,0,0,9000,10000,bob-a,,2026-08-02T00:08:29+0200
faebe5581b00341f,gap-fill,vanguard@da3fd8a,vanguard,da3fd8a,atoll,1,12,pass,ok,,27,186,13,24,214,670,2037,18,0,0,4,9000,10000,bob-a,,2026-08-02T00:08:30+0200
d1dc0e469ca7e9b7,gap-fill,vanguard@da3fd8a,vanguard,da3fd8a,duel,1,12,pass,ok,,27,184,8,18,227,416,1574,6,0,0,3,9000,10000,bob-a,,2026-08-02T00:08:30+0200
ad4c12113dde8dd5,gap-fill,vanguard@da3fd8a,vanguard,da3fd8a,quarry,1,12,pass,ok,,27,135,7,43,314,754,1042,2,0,0,2,9000,10000,bob-a,,2026-08-02T00:08:30+0200
ff17b30254ee75cc,gap-fill,vanguard_oracle@75591b7,vanguard_oracle,75591b7,atoll,1,12,pass,ok,,27,267,6,18,25,603,3775,15,0,0,0,9000,10000,bob-a,,2026-08-02T00:08:31+0200
1ea2b5e9468aa4c6,gap-fill,vanguard_oracle@75591b7,vanguard_oracle,75591b7,duel,1,12,pass,ok,,27,184,3,13,194,537,1350,20,0,0,2,9000,10000,bob-a,,2026-08-02T00:08:30+0200
d48e9ae7c666b1fa,gap-fill,vanguard_oracle@75591b7,vanguard_oracle,75591b7,quarry,1,12,pass,ok,,27,210,9,17,41,793,5166,24,0,0,0,9000,10000,bob-a,,2026-08-02T00:08:30+0200
