rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,undertow@da3fd8a,undertow,da3fd8a,1554,1347,0,207,0.8668,2.759783,479.4,2.759783,0.724373,-0.018069,0.0,-0.09309,2,-1
2,vanguard@ba943b9,vanguard,ba943b9,1554,1301,0,253,0.8372,2.71449,471.6,2.71449,1.069444,0.240033,0.0,-0.781701,9,-7
3,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,1554,1337,0,217,0.8604,2.708763,470.6,2.708763,0.820128,-0.006447,0.0,-0.09309,3,0
4,v233_g@9713344,v233_g,9713344,1554,1278,0,276,0.8224,2.671431,464.1,2.671431,0.993253,0.531313,0.0,-0.473784,6,-2
5,v233_f@9713344,v233_f,9713344,1554,1243,0,311,0.7999,2.561445,445.0,2.561445,1.094592,0.63333,0.0,-0.280902,4,1
6,undertow@9713344,undertow,9713344,1554,1286,0,268,0.8275,2.443483,424.5,2.443483,0.815427,-0.016069,0.0,-0.675755,7,-1
7,tempest@da3fd8a,tempest,da3fd8a,1554,1321,0,233,0.8501,2.084965,362.2,2.084965,-0.161435,-1.013186,1.0,0.0,1,6
8,mistral@ba943b9,mistral,ba943b9,1554,1297,0,257,0.8346,2.013945,349.9,2.013945,0.274442,-0.996671,0.0,-0.376478,5,3
9,v233_e@9713344,v233_e,9713344,1554,1169,0,385,0.7523,1.862409,323.5,1.862409,0.945158,0.068875,0.0,-1.260254,13,-4
10,uw_v2@9713344,uw_v2,9713344,1554,1187,0,367,0.7638,1.61304,280.2,1.61304,-0.025119,-0.798337,0.0,-0.781701,10,0
11,jonbot@da3fd8a,jonbot,da3fd8a,1554,1143,0,411,0.7355,1.298842,225.6,1.298842,-0.275136,-0.813535,0.0,-0.781701,8,3
12,v233_c@9713344,v233_c,9713344,1554,1086,0,468,0.6988,1.070304,185.9,1.070304,0.124658,-0.809139,0.0,-1.260254,12,0
13,v233_d@9713344,v233_d,9713344,1554,1076,0,478,0.6924,1.062022,184.5,1.062022,0.280506,-0.633331,0.0,-1.400893,15,-2
14,v233_b@9713344,v233_b,9713344,1554,1071,0,483,0.6892,1.02194,177.5,1.02194,0.172729,-0.754424,0.0,-1.400893,14,0
15,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,1554,868,0,686,0.5586,0.296517,51.5,0.296517,-0.273884,-0.458913,0.0,-1.129865,11,4
16,v233_a@9713344,v233_a,9713344,1554,806,0,748,0.5187,-0.079639,-13.8,-0.079639,-0.165629,0.255144,0.0,-2.146581,18,-2
17,uw_v1@9713344,uw_v1,9713344,1554,751,0,803,0.4833,-0.263285,-45.7,-0.263285,-0.381198,-0.035546,0.0,-1.919593,17,0
18,vg_v5@9713344,vg_v5,9713344,1554,592,0,962,0.381,-0.950721,-165.2,-0.950721,-0.256325,0.588643,0.0,-2.785011,28,-10
19,turtle@9713344,turtle,9713344,1554,586,0,968,0.3771,-0.963708,-167.4,-0.963708,-0.601296,0.67468,0.0,-2.423538,19,0
20,vg_v4@9713344,vg_v4,9713344,1554,566,0,988,0.3642,-1.016643,-176.6,-1.016643,-0.396912,0.527177,0.0,-2.785011,31,-11
21,vg_v7@9713344,vg_v7,9713344,1554,562,0,992,0.3616,-1.027522,-178.5,-1.027522,-0.430788,0.514491,0.0,-2.785011,30,-9
22,vg_v2@9713344,vg_v2,9713344,1554,568,0,986,0.3655,-1.088017,-189.0,-1.088017,-0.092601,0.694348,0.0,-3.320228,33,-11
23,vg_v6@9713344,vg_v6,9713344,1554,550,0,1004,0.3539,-1.093714,-190.0,-1.093714,-0.265028,0.503974,0.0,-2.785011,29,-6
24,riptide@9713344,riptide,9713344,1554,535,0,1019,0.3443,-1.103492,-191.7,-1.103492,-0.36253,0.432219,0.0,-2.785011,23,1
25,vg_v3@9713344,vg_v3,9713344,1554,551,0,1003,0.3546,-1.123457,-195.2,-1.123457,-0.236798,0.626771,0.0,-3.320228,34,-9
26,baiter@9713344,baiter,9713344,1554,543,0,1011,0.3494,-1.133037,-196.8,-1.133037,-0.320201,0.604514,0.0,-2.785011,21,5
27,nemesis@9713344,nemesis,9713344,1554,484,0,1070,0.3115,-1.143003,-198.6,-1.143003,-0.81561,0.048616,0.0,-1.919593,16,11
28,reaver@9713344,reaver,9713344,1554,508,0,1046,0.3269,-1.163623,-202.1,-1.163623,-0.343102,0.247624,0.0,-2.785011,25,3
29,siege_v2@9713344,siege_v2,9713344,1554,435,0,1119,0.2799,-1.408868,-244.7,-1.408868,-0.302856,-0.049664,0.0,-2.785011,26,3
30,vg_v1@9713344,vg_v1,9713344,1554,453,0,1101,0.2915,-1.424273,-247.4,-1.424273,-0.281958,0.43625,0.0,-3.320228,35,-5
31,titanium_v1@9713344,titanium_v1,9713344,1554,449,0,1105,0.2889,-1.46284,-254.1,-1.46284,-0.19191,0.256443,0.0,-2.785011,27,4
32,attack_wave_v1@9713344,attack_wave_v1,9713344,1554,401,0,1153,0.258,-1.553079,-269.8,-1.553079,-0.299349,-0.043441,0.0,-2.785011,22,10
33,jonbot@9713344,jonbot,9713344,1554,386,0,1168,0.2484,-1.58969,-276.2,-1.58969,-0.883151,-0.701176,0.0,-4.442651,38,-5
34,siege_v1@9713344,siege_v1,9713344,1554,364,0,1190,0.2342,-1.637187,-284.4,-1.637187,-0.341702,-0.130466,0.0,-2.785011,24,10
35,frontier_v1@9713344,frontier_v1,9713344,1554,355,0,1199,0.2284,-1.674749,-290.9,-1.674749,-0.073684,-0.393128,0.0,-3.320228,32,3
36,frontier_v2@9713344,frontier_v2,9713344,1554,370,0,1184,0.2381,-1.705652,-296.3,-1.705652,-0.176097,-0.004104,0.0,-2.785011,20,16
37,luc_1@604349b,luc_1,604349b,1554,357,0,1197,0.2297,-1.739625,-302.2,-1.739625,0.234059,-0.061675,0.0,-4.442651,36,1
38,lockin@9713344,lockin,9713344,1554,344,0,1210,0.2214,-1.837557,-319.2,-1.837557,0.405531,-0.147126,0.0,-4.442651,37,1
