rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,undertow@da3fd8a,undertow,da3fd8a,1848,1551,0,297,0.8393,2.536456,440.6,2.536456,0.560899,0.083403,0.0,-0.09309,2,-1
2,undertow_df5e698@da3fd8a,undertow_df5e698,da3fd8a,1848,1551,0,297,0.8393,2.536456,440.6,2.536456,0.560899,0.083403,0.0,-0.09309,3,-1
3,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,1848,1538,0,310,0.8323,2.486946,432.0,2.486946,0.609384,0.14086,0.0,-0.09309,4,-1
4,vanguard_1e88ae8@da3fd8a,vanguard_1e88ae8,da3fd8a,1848,1486,0,362,0.8041,2.481321,431.0,2.481321,0.722275,0.66173,0.0,-0.781701,11,-7
5,vanguard@da3fd8a,vanguard,da3fd8a,1848,1486,0,362,0.8041,2.481321,431.0,2.481321,0.722275,0.66173,0.0,-0.781701,12,-7
6,vanguard@ba943b9,vanguard,ba943b9,1848,1486,0,362,0.8041,2.481321,431.0,2.481321,0.722275,0.66173,0.0,-0.781701,13,-7
7,vanguard@9713344,vanguard,9713344,1848,1486,0,362,0.8041,2.481321,431.0,2.481321,0.722275,0.66173,0.0,-0.781701,10,-3
8,v233_h@9713344,v233_h,9713344,1848,1486,0,362,0.8041,2.481321,431.0,2.481321,0.722275,0.66173,0.0,-0.781701,15,-7
9,v233_g@9713344,v233_g,9713344,1848,1439,0,409,0.7787,2.393996,415.9,2.393996,0.392311,0.8824,0.0,-0.473784,7,2
10,v233_f@9713344,v233_f,9713344,1848,1400,0,448,0.7576,2.292016,398.2,2.292016,0.404916,0.981667,0.0,-0.280902,5,5
11,undertow@9713344,undertow,9713344,1848,1460,0,388,0.79,2.206567,383.3,2.206567,0.530552,0.227704,0.0,-0.675755,8,3
12,tempest@da3fd8a,tempest,da3fd8a,1848,1539,0,309,0.8328,1.955968,339.8,1.955968,0.509608,-1.20503,1.0,0.0,1,11
13,mistral@ba943b9,mistral,ba943b9,1848,1509,0,339,0.8166,1.87574,325.8,1.87574,0.771242,-1.030399,0.0,-0.376478,6,7
