match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
00034adab7481213,jon-oracle-deployable,jonbot@da3fd8a,jonbot,da3fd8a,tempest_oracle_ferry@7196487,tempest_oracle_ferry,7196487,longship,official,1,0,rating,b,0.0,core_destroyed,35,,137,60,6,18,57,0,9,4,ok,,3.561,n-62-21-24,29000409,2026-08-01T17:59:48+0200
00135d9d01eddb07,jon-oracle-deployable,riptide@9713344,riptide,9713344,tempest_oracle_ferry@7196487,tempest_oracle_ferry,7196487,longship,official,1,0,rating,b,0.0,core_destroyed,169,,60,30,7,1,60,0,20,4,ok,,5.953,n-62-29-20,29000409,2026-08-01T18:00:09+0200
00242b7f1c5011f4,jon-oracle-deployable,jonbot@da3fd8a,jonbot,da3fd8a,tempest_oracle_ferry@7196487,tempest_oracle_ferry,7196487,hive,official,1,0,rating,a,1.0,core_destroyed,96,,283,220,5,35,334,0,6,3,ok,,3.737,n-62-21-24,29000409,2026-08-01T17:59:32+0200
00260ed797b910eb,jon-oracle-deployable,vg_v1@9713344,vg_v1,9713344,tempest_oracle_ferry@7196487,tempest_oracle_ferry,7196487,twins,official,1,0,rating,b,0.0,core_destroyed,24,,71,30,5,5,16,0,12,5,ok,,4.625,n-62-31-17,29000409,2026-08-01T17:58:38+0200
002eead1c89d7e8c,jon-oracle-deployable,tempest_oracle_ferry@7196487,tempest_oracle_ferry,7196487,v233_g@9713344,v233_g,9713344,bridge,official,1,0,rating,b,0.0,titanium_collected,1000,,2650,0,5,2,8856,7340,13,17,ok,,14.143,n-62-21-23,29000409,2026-08-01T17:58:34+0200
004545977d2cabdd,jon-oracle-deployable,tempest@da3fd8a,tempest,da3fd8a,tempest_oracle_ferry@7196487,tempest_oracle_ferry,7196487,aurora,official,1,0,rating,b,0.0,core_destroyed,48,,14,0,15,3,26,140,11,22,ok,,8.685,n-62-13-7,29000409,2026-08-01T17:59:03+0200
005b0a27cfee6376,jon-oracle-deployable,vg_v6@9713344,vg_v6,9713344,tempest_oracle_ferry@7196487,tempest_oracle_ferry,7196487,string,official,1,0,rating,b,0.0,core_destroyed,41,,97,0,1,1,70,200,7,15,ok,,3.592,n-62-11-54,29000409,2026-08-01T17:59:04+0200
008ebbe6eeb45d0b,jon-oracle-deployable,tempest_oracle_ferry@7196487,tempest_oracle_ferry,7196487,vanguard@259c188,vanguard,259c188,runestone,official,1,0,rating,a,1.0,core_destroyed,35,,27,60,13,10,49,110,13,10,ok,,5.393,n-62-21-53,29000409,2026-08-01T17:59:45+0200
00bcfa23a5bc00f3,jon-oracle-deployable,tempest_oracle_ferry@7196487,tempest_oracle_ferry,7196487,undertow@9713344,undertow,9713344,strait,official,1,0,rating,a,1.0,core_destroyed,56,,44,0,10,4,23,230,11,11,ok,,6.461,n-62-29-33,29000409,2026-08-01T17:58:49+0200
00c822b5982e490f,jon-oracle-deployable,tempest_oracle_ferry@12802b8,tempest_oracle_ferry,12802b8,tempest_oracle_ferry@7196487,tempest_oracle_ferry,7196487,sweden,official,1,0,rating,a,1.0,core_destroyed,62,,99,0,9,7,58,0,12,3,ok,,5.361,n-62-21-94,29000409,2026-08-01T17:58:42+0200
00dc77d061e84d6d,jon-oracle-deployable,lockin@9713344,lockin,9713344,tempest_oracle_ferry@7196487,tempest_oracle_ferry,7196487,twins,official,1,0,rating,b,0.0,core_destroyed,28,,205,30,5,4,54,0,12,5,ok,,5.433,n-62-21-17,29000409,2026-08-01T17:59:34+0200
0104f7ea902e1fe8,jon-oracle-deployable,tempest_oracle_ferry@7196487,tempest_oracle_ferry,7196487,nemesis@9713344,nemesis,9713344,vase,official,1,0,rating,a,1.0,core_destroyed,62,,145,0,6,6,77,0,4,4,ok,,3.244,n-62-29-32,29000409,2026-08-01T17:59:57+0200
016468644baa764e,jon-oracle-deployable,tempest_oracle_ferry@7196487,tempest_oracle_ferry,7196487,vg_v5@9713344,vg_v5,9713344,pinch,official,1,0,rating,a,1.0,core_destroyed,33,,54,0,11,4,114,100,2,13,ok,,3.795,n-62-11-58,29000409,2026-08-01T17:59:19+0200
0164af190fce14a8,jon-oracle-deployable,vg_v1@9713344,vg_v1,9713344,tempest_oracle_ferry@7196487,tempest_oracle_ferry,7196487,vase,official,1,0,rating,b,0.0,core_destroyed,38,,88,0,4,2,110,60,7,7,ok,,3.433,n-62-31-17,29000409,2026-08-01T17:58:45+0200
