rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta
1,vanguard@9932bec,vanguard,9932bec,1974,1589,0,385,0.805,2.352938,408.7,2.352938,-0.647796,-0.527325,0.0,-0.675755,5,-4
2,vanguard_oracle@75591b7,vanguard_oracle,75591b7,1974,1630,0,344,0.8257,2.348591,408.0,2.348591,-0.814515,-0.143206,0.0,-0.376478,2,0
3,vanguard@818f3b4,vanguard,818f3b4,1974,1611,0,363,0.8161,2.340139,406.5,2.340139,-0.554202,-0.331288,0.0,-0.473784,3,0
4,vanguard@26e6792,vanguard,26e6792,1974,1542,0,432,0.7812,2.254772,391.7,2.254772,-0.784907,-0.688491,0.0,-1.007641,14,-10
5,vanguard@259c188,vanguard,259c188,1974,1498,0,476,0.7589,2.174147,377.7,2.174147,-0.606248,-0.892144,0.0,-1.007641,15,-10
6,undertow_oracle@75591b7,undertow_oracle,75591b7,1974,1559,0,415,0.7898,2.158249,374.9,2.158249,-0.592852,-0.328184,0.0,-0.781701,10,-4
7,undertow@da3fd8a,undertow,da3fd8a,1974,1504,0,470,0.7619,2.076762,360.8,2.076762,-0.361501,-0.606043,0.0,-0.675755,6,1
8,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,1974,1488,0,486,0.7538,2.023976,351.6,2.023976,-0.36726,-0.651576,0.0,-0.675755,7,1
9,vanguard@da3fd8a,vanguard,da3fd8a,1974,1438,0,536,0.7285,1.996785,346.9,1.996785,-0.54778,-0.967428,0.0,-1.129865,17,-8
10,v233_g@9713344,v233_g,9713344,1974,1425,0,549,0.7219,1.98482,344.8,1.98482,-0.214961,-0.982492,0.0,-0.781701,11,-1
11,tempest_oracle_ferry@7196487,tempest_oracle_ferry,7196487,1974,1654,0,320,0.8379,1.912856,332.3,1.912856,-0.405323,1.37969,1.0,0.0,1,10
12,v233_f@9713344,v233_f,9713344,1974,1366,0,608,0.692,1.843356,320.2,1.843356,-0.156,-1.152435,0.0,-1.129865,18,-6
13,tempest_ferry@26b5aa1,tempest_ferry,26b5aa1,1974,1578,0,396,0.7994,1.743171,302.8,1.743171,-0.495247,1.014587,0.0,-0.573346,4,9
14,undertow@9713344,undertow,9713344,1974,1402,0,572,0.7102,1.736575,301.7,1.736575,-0.373688,-0.724966,0.0,-1.007641,16,-2
15,tempest_fast@eb1f0f3,tempest_fast,eb1f0f3,1974,1545,0,429,0.7827,1.678365,291.6,1.678365,-0.580382,0.897617,0.0,-0.675755,8,7
16,tempest@da3fd8a,tempest,da3fd8a,1974,1534,0,440,0.7771,1.656125,287.7,1.656125,-0.556406,0.85298,0.0,-0.675755,9,7
17,mistral_fast@26b5aa1,mistral_fast,26b5aa1,1974,1483,2,489,0.7518,1.542962,268.0,1.542962,-0.875865,0.584725,0.0,-1.72551,21,-4
18,mistral@ba943b9,mistral,ba943b9,1974,1478,2,494,0.7492,1.532823,266.3,1.532823,-0.861409,0.564565,0.0,-1.72551,22,-4
19,v233_e@9713344,v233_e,9713344,1974,1273,0,701,0.6449,1.246655,216.6,1.246655,-0.43327,-0.708041,0.0,-1.129865,19,0
20,uw_v2@9713344,uw_v2,9713344,1974,1326,0,648,0.6717,1.130776,196.4,1.130776,-0.341069,0.411013,0.0,-0.781701,12,8
21,jonbot@da3fd8a,jonbot,da3fd8a,1974,1273,0,701,0.6449,0.863994,150.1,0.863994,-0.260369,0.673992,0.0,-0.781701,13,8
22,v233_c@9713344,v233_c,9713344,1974,1190,1,783,0.6031,0.616545,107.1,0.616545,-0.48276,0.48001,0.0,-1.72551,23,-1
23,v233_b@9713344,v233_b,9713344,1974,1167,1,806,0.5914,0.558442,97.0,0.558442,-0.469339,0.403711,0.0,-1.72551,24,-1
24,v233_d@9713344,v233_d,9713344,1974,1151,0,823,0.5831,0.527858,91.7,0.527858,-0.363575,0.14626,0.0,-1.72551,25,-1
25,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,1974,943,0,1031,0.4777,-0.091163,-15.8,-0.091163,0.114633,0.660904,0.0,-1.260254,20,5
26,v233_a@9713344,v233_a,9713344,1974,825,2,1147,0.4184,-0.706961,-122.8,-0.706961,0.599519,-0.292544,0.0,-2.146581,26,0
27,uw_v1@9713344,uw_v1,9713344,1974,779,0,1195,0.3946,-0.740103,-128.6,-0.740103,0.367916,0.26632,0.0,-2.146581,27,0
28,turtle@9713344,turtle,9713344,1974,590,17,1367,0.3032,-1.519256,-263.9,-1.519256,0.996295,-0.117326,0.0,-2.423538,28,0
29,vg_v4@9713344,vg_v4,9713344,1974,569,16,1389,0.2923,-1.53796,-267.2,-1.53796,0.711648,-0.044771,0.0,-2.423538,29,0
30,vg_v7@9713344,vg_v7,9713344,1974,565,16,1393,0.2903,-1.546572,-268.7,-1.546572,0.721872,-0.010569,0.0,-2.785011,36,-6
31,vg_v5@9713344,vg_v5,9713344,1974,590,16,1368,0.3029,-1.56237,-271.4,-1.56237,0.621067,-0.31879,0.0,-2.785011,37,-6
32,riptide@9713344,riptide,9713344,1974,544,0,1430,0.2756,-1.653483,-287.2,-1.653483,0.696516,-0.080503,0.0,-2.423538,30,2
33,reaver@9713344,reaver,9713344,1974,511,16,1447,0.2629,-1.654319,-287.4,-1.654319,0.581476,0.056204,0.0,-2.785011,38,-5
34,nemesis@9713344,nemesis,9713344,1974,498,0,1476,0.2523,-1.659853,-288.3,-1.659853,0.817341,0.342984,0.0,-3.320228,43,-9
35,vg_v2@9713344,vg_v2,9713344,1974,567,16,1391,0.2913,-1.663533,-289.0,-1.663533,0.655051,-0.381285,0.0,-2.423538,31,4
36,baiter@9713344,baiter,9713344,1974,543,16,1415,0.2791,-1.688023,-293.2,-1.688023,0.752814,-0.203161,0.0,-2.423538,32,4
37,vg_v6@9713344,vg_v6,9713344,1974,548,16,1410,0.2817,-1.691426,-293.8,-1.691426,0.590337,-0.30391,0.0,-2.423538,33,4
38,vg_v3@9713344,vg_v3,9713344,1974,550,16,1408,0.2827,-1.691589,-293.9,-1.691589,0.693232,-0.280787,0.0,-2.423538,34,4
39,siege_v2@9713344,siege_v2,9713344,1974,434,18,1522,0.2244,-1.871306,-325.1,-1.871306,0.564366,0.260262,0.0,-2.423538,35,4
40,titanium_v1@9713344,titanium_v1,9713344,1974,457,0,1517,0.2315,-1.945497,-338.0,-1.945497,0.701159,-0.041348,0.0,-2.785011,39,1
41,vg_v1@9713344,vg_v1,9713344,1974,455,1,1518,0.2307,-1.983922,-344.6,-1.983922,0.444705,-0.135353,0.0,-4.442651,45,-4
42,attack_wave_v1@9713344,attack_wave_v1,9713344,1974,398,27,1549,0.2085,-2.006636,-348.6,-2.006636,0.601992,0.291212,0.0,-2.785011,40,2
43,siege_v1@9713344,siege_v1,9713344,1974,362,25,1587,0.1897,-2.072421,-360.0,-2.072421,0.534432,0.448721,0.0,-2.785011,41,2
44,jonbot@9713344,jonbot,9713344,1974,390,0,1584,0.1976,-2.102755,-365.3,-2.102755,0.109854,0.626772,0.0,-4.442651,46,-2
45,frontier_v2@9713344,frontier_v2,9713344,1974,377,4,1593,0.192,-2.11367,-367.2,-2.11367,0.522512,0.372991,0.0,-2.785011,42,3
46,frontier_v1@9713344,frontier_v1,9713344,1974,360,4,1610,0.1834,-2.115823,-367.6,-2.115823,0.150214,0.41694,0.0,-3.320228,44,2
47,luc_1@604349b,luc_1,604349b,1974,351,12,1611,0.1809,-2.302756,-400.0,-2.302756,-0.151543,-0.12131,0.0,-4.442651,47,0
48,lockin@9713344,lockin,9713344,1974,338,12,1624,0.1743,-2.380285,-413.5,-2.380285,-0.250688,-0.117185,0.0,-4.442651,48,0
