match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,engine_winner,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
00000a95da4e6729,new-code-elias-902be71,e_harc@6db8844,e_harc,6db8844,lockin@9713344,lockin,9713344,longship,official,1,0,rating,a,a,1.0,titanium_collected,1000,,10916,9460,9,99,4679,2480,14,7,ok,,42.707,n-62-21-60,29002554,2026-08-01T22:37:30+0200
0002295be598bb2f,new-code-elias-902be71,e_final@9e77076,e_final,9e77076,tempest_picket@fdc1e1f,tempest_picket,fdc1e1f,sprint,official,1,0,rating,b,b,0.0,core_destroyed,22,,22,0,7,7,23,30,12,7,ok,,6.854,n-62-31-5,29002551,2026-08-01T22:53:53+0200
0005825e8aa4508b,new-code-elias-902be71,mistral_fast@26b5aa1,mistral_fast,26b5aa1,e9cand@9e77076,e9cand,9e77076,quarry,official,1,0,rating,a,a,1.0,core_destroyed,55,,168,0,8,1,31,0,11,5,ok,,5.63,n-62-29-15,29002551,2026-08-01T22:46:05+0200
00061dcdad7e1f0f,new-code-elias-902be71,siege_v1@9713344,siege_v1,9713344,casemate_oracle@902be71,casemate_oracle,902be71,bridge,official,1,0,rating,a,a,1.0,harvesters,1000,,2598,0,6,4,2775,0,4,3,ok,,18.174,n-62-21-13,29002551,2026-08-01T22:29:14+0200
0007d9742d1c1b3e,new-code-elias-902be71,vanguard_oracle@902be71,vanguard_oracle,902be71,casemate@902be71,casemate,902be71,bridge,official,1,0,rating,a,a,1.0,core_destroyed,109,,60,0,13,8,326,0,4,10,ok,,7.002,n-62-30-24,29002554,2026-08-01T22:50:39+0200
0008d587a59c4773,new-code-elias-902be71,autistimusprime@ecd4d24,autistimusprime,ecd4d24,undertow@9713344,undertow,9713344,atoll,official,1,0,rating,a,a,1.0,core_destroyed,59,,60,0,11,1,82,260,11,11,ok,,10.528,n-62-11-64,29002551,2026-08-01T22:43:05+0200
000abba82e5ef8b9,new-code-elias-902be71,casemate_oracle@902be71,casemate_oracle,902be71,claude_challenger_3@fdc1e1f,claude_challenger_3,fdc1e1f,atoll,official,1,0,rating,a,a,1.0,core_destroyed,153,,30,0,8,55,22,0,15,2,ok,,13.378,n-62-11-63,29002551,2026-08-01T22:35:02+0200
000b349970aa4ceb,new-code-elias-902be71,e9cand@9e77076,e9cand,9e77076,e_condc@6db8844,e_condc,6db8844,sprint,official,1,0,rating,a,a,1.0,titanium_collected,1000,,5008,2470,7,14,4805,2440,7,32,ok,,9.321,n-62-12-6,29002554,2026-08-01T22:54:03+0200
000c3a4637c4bb91,new-code-elias-902be71,v233_b@9713344,v233_b,9713344,casemate@902be71,casemate,902be71,skerry,official,1,0,rating,a,a,1.0,core_destroyed,181,,125,0,7,4,27,0,7,50,ok,,8.916,n-62-21-89,29002551,2026-08-01T22:26:47+0200
000c42c7c35849f8,new-code-elias-902be71,e_harc@6db8844,e_harc,6db8844,tempest_ferry@26b5aa1,tempest_ferry,26b5aa1,twins,official,1,0,rating,b,b,0.0,core_destroyed,49,,111,160,9,10,89,100,9,7,ok,,5.498,n-62-29-27,29002554,2026-08-01T22:29:24+0200
000c99b59cc6fabf,new-code-elias-902be71,v233_a@9713344,v233_a,9713344,casemate_oracle@902be71,casemate_oracle,902be71,fjord,official,1,0,rating,a,a,1.0,titanium_collected,1000,,6824,4970,9,10,2468,0,4,39,ok,,33.208,n-62-21-56,29002551,2026-08-01T22:32:20+0200
000eba8c523d39c5,new-code-elias-902be71,undertow@fdc1e1f,undertow,fdc1e1f,v233_i@902be71,v233_i,902be71,bridge,official,1,0,rating,b,b,0.0,core_destroyed,276,,812,1450,4,20,322,1860,13,15,ok,,17.324,n-62-21-17,29003316,2026-08-01T22:40:37+0200
001063f14205cba2,new-code-elias-902be71,tempest_reinforcements@87724ec,tempest_reinforcements,87724ec,tempest_sentinel@fdc1e1f,tempest_sentinel,fdc1e1f,runestone,official,1,0,rating,a,a,1.0,core_destroyed,177,,59,410,16,13,59,0,9,0,ok,,15.225,n-62-21-98,29002554,2026-08-01T22:48:54+0200
0012b29db0aefe07,new-code-elias-902be71,e_final@9e77076,e_final,9e77076,vg_v1@9713344,vg_v1,9713344,longship,official,1,0,rating,a,a,1.0,core_destroyed,42,,22,120,10,14,70,0,7,4,ok,,8.829,n-62-12-5,29003316,2026-08-01T22:52:07+0200
0012f2093beb123c,new-code-elias-902be71,undertow_oracle@75591b7,undertow_oracle,75591b7,tempest_reinforcements@87724ec,tempest_reinforcements,87724ec,strait,official,1,0,rating,b,b,0.0,core_destroyed,161,,46,30,13,11,60,0,15,5,ok,,23.506,n-62-11-61,29002554,2026-08-01T22:47:57+0200
00193a57188496e4,new-code-elias-902be71,e_final@9e77076,e_final,9e77076,frontier_v1@9713344,frontier_v1,9713344,crossfire,official,1,0,rating,a,a,1.0,core_destroyed,46,,46,50,11,4,107,0,9,2,ok,,6.872,n-62-29-30,29002551,2026-08-01T22:48:59+0200
001d7060e3d7ca9a,new-code-elias-902be71,claude_challenger_2@fdc1e1f,claude_challenger_2,fdc1e1f,e_t4l7@9e77076,e_t4l7,9e77076,runestone,official,1,0,rating,b,b,0.0,titanium_collected,1000,,4716,2470,16,7,13887,12880,6,107,ok,,43.898,n-62-31-23,29003316,2026-08-01T23:01:48+0200
001dae99b109ec08,new-code-elias-902be71,riptide@9713344,riptide,9713344,e_final@9e77076,e_final,9e77076,string,official,1,0,rating,b,b,0.0,titanium_collected,1000,,2198,0,12,4,4566,2260,7,15,ok,,16.182,n-62-21-99,29002551,2026-08-01T22:51:47+0200
001f52bf723d5f7e,new-code-elias-902be71,vanguard@818f3b4,vanguard,818f3b4,casemate_oracle@902be71,casemate_oracle,902be71,longship,official,1,0,rating,b,b,0.0,core_destroyed,189,,188,900,16,8,30,0,10,35,ok,,12.156,n-62-29-22,29002551,2026-08-01T22:32:56+0200
002344d3cf945f0e,new-code-elias-902be71,v233_i@902be71,v233_i,902be71,v233_g@9713344,v233_g,9713344,crossfire,official,1,0,rating,a,a,1.0,core_destroyed,60,,146,350,13,15,88,260,11,9,ok,,5.947,n-62-29-29,29002551,2026-08-01T22:39:28+0200
0024abbbc4987e4c,new-code-elias-902be71,v233_f@9713344,v233_f,9713344,vanguard_oracle@902be71,vanguard_oracle,902be71,string,official,1,0,rating,a,a,1.0,titanium_collected,1000,,12061,9870,9,12,9468,7310,8,12,ok,,14.212,n-62-21-98,29002551,2026-08-01T22:37:15+0200
002542a8a7f3b021,new-code-elias-902be71,undertow@9713344,undertow,9713344,tempest_reinforcements@87724ec,tempest_reinforcements,87724ec,longship,official,1,0,rating,b,b,0.0,core_destroyed,55,,26,220,16,21,20,0,10,4,ok,,13.212,n-62-29-16,29002554,2026-08-01T22:43:01+0200
0025f06eb21d162d,new-code-elias-902be71,vanguard@c407e79,vanguard,c407e79,v233_i@902be71,v233_i,902be71,crossfire,official,1,0,rating,b,b,0.0,core_destroyed,48,,110,200,9,11,77,210,13,7,ok,,10.934,n-62-21-99,29002551,2026-08-01T22:41:08+0200
00291087d769ada1,new-code-elias-902be71,uw_v1@9713344,uw_v1,9713344,casemate_oracle@902be71,casemate_oracle,902be71,pinch,official,1,0,rating,b,b,0.0,core_destroyed,39,,74,70,5,8,2,0,9,25,ok,,5.893,n-62-21-103,29002551,2026-08-01T22:33:44+0200
002965c8e6b493d6,new-code-elias-902be71,v233_f@9713344,v233_f,9713344,autistimusprime@ecd4d24,autistimusprime,ecd4d24,twins,official,1,0,rating,b,b,0.0,core_destroyed,36,,93,180,8,14,70,60,10,7,ok,,6.281,n-62-29-32,29003316,2026-08-01T22:43:35+0200
002ae815b474fe6e,new-code-elias-902be71,casemate_oracle@902be71,casemate_oracle,902be71,e_final@9e77076,e_final,9e77076,twins,official,1,0,rating,a,a,1.0,core_destroyed,49,,30,0,8,30,25,20,8,15,ok,,8.312,n-62-11-55,29002554,2026-08-01T22:52:08+0200
002cf25de9d51f71,new-code-elias-902be71,casemate_oracle@902be71,casemate_oracle,902be71,frontier_v1@9713344,frontier_v1,9713344,vault,official,1,0,rating,a,a,1.0,core_destroyed,56,,43,0,6,31,40,0,9,3,ok,,5.99,n-62-28-28,29002551,2026-08-01T22:30:51+0200
002d8d1898d7de65,new-code-elias-902be71,e_condc@6db8844,e_condc,6db8844,vanguard@818f3b4,vanguard,818f3b4,quarry,official,1,0,rating,b,b,0.0,core_destroyed,50,,0,0,7,20,105,250,7,14,ok,,6.694,n-62-29-16,29002554,2026-08-01T22:35:16+0200
002ead6800a4f07f,new-code-elias-902be71,vg_v7@9713344,vg_v7,9713344,e_final@9e77076,e_final,9e77076,runestone,official,1,0,rating,b,b,0.0,core_destroyed,258,,107,80,11,12,950,1360,9,48,ok,,11.316,n-62-31-10,29002551,2026-08-01T22:52:54+0200
002f66c007e35507,new-code-elias-902be71,opponent_luc@e83a42c,opponent_luc,e83a42c,riptide@9713344,riptide,9713344,atoll,official,1,0,rating,a,a,1.0,titanium_collected,1000,,7378,4920,8,9,2007,0,15,4,ok,,33.691,n-62-11-60,29002554,2026-08-01T22:42:39+0200
003227139a151fc2,new-code-elias-902be71,e_condc@6db8844,e_condc,6db8844,autistimusprime@ecd4d24,autistimusprime,ecd4d24,sprint,official,1,0,rating,b,b,0.0,core_destroyed,37,,85,60,7,11,99,100,7,11,ok,,5.781,n-62-11-68,29002554,2026-08-01T22:53:55+0200
0032481cc37aca55,new-code-elias-902be71,v233_c@9713344,v233_c,9713344,e_t4l7@9e77076,e_t4l7,9e77076,quarry,official,1,0,rating,a,a,1.0,core_destroyed,200,,202,1160,14,32,43,860,7,76,ok,,10.558,n-62-31-5,29002551,2026-08-01T22:54:07+0200
003289f0b80d632d,new-code-elias-902be71,frontier_v2@9713344,frontier_v2,9713344,e_post2@4a95297,e_post2,4a95297,fjord,official,1,0,rating,b,b,0.0,titanium_collected,1000,,2605,0,7,3,6101,4210,11,40,ok,,7.961,n-62-29-16,29003316,2026-08-01T22:57:27+0200
0033c4e5fee86828,new-code-elias-902be71,casemate_oracle@902be71,casemate_oracle,902be71,tempest_reinforcements@87724ec,tempest_reinforcements,87724ec,crossfire,official,1,0,rating,a,a,1.0,core_destroyed,53,,31,0,7,11,17,40,11,5,ok,,8.984,n-62-11-66,29002554,2026-08-01T22:54:20+0200
003620acf9288b30,new-code-elias-902be71,e_condc@6db8844,e_condc,6db8844,uw_v1@9713344,uw_v1,9713344,jackpot,official,1,0,rating,a,a,1.0,titanium_collected,1000,,7837,4940,1,10,2709,0,4,4,ok,,4.128,n-62-21-103,29002554,2026-08-01T22:36:05+0200
00366c1bf5d083a0,new-code-elias-902be71,e_condc@6db8844,e_condc,6db8844,v233_d@9713344,v233_d,9713344,skerry,official,1,0,rating,b,b,0.0,core_destroyed,56,,105,220,10,9,124,0,9,4,ok,,6.26,n-62-12-67,29002554,2026-08-01T22:34:36+0200
0037d2b0c016dd78,new-code-elias-902be71,autistimusprime@ecd4d24,autistimusprime,ecd4d24,turtle@9713344,turtle,9713344,duel,official,1,0,rating,a,a,1.0,core_destroyed,32,,150,60,9,3,53,0,9,6,ok,,7.781,n-62-11-57,29002551,2026-08-01T22:43:28+0200
0037f1f6b5646910,new-code-elias-902be71,e9cand@9e77076,e9cand,9e77076,siege_v2@9713344,siege_v2,9713344,string,official,1,0,rating,a,a,1.0,titanium_collected,1000,,4550,2280,8,22,2657,0,6,3,ok,,8.241,n-62-29-20,29002551,2026-08-01T22:44:03+0200
0038b2ec931e6981,new-code-elias-902be71,mistral_fast@26b5aa1,mistral_fast,26b5aa1,v233_i@902be71,v233_i,902be71,string,official,1,0,rating,a,a,1.0,core_destroyed,45,,138,0,7,1,60,40,11,1,ok,,6.037,n-62-21-61,29002551,2026-08-01T22:38:55+0200
003935634deb2b1e,new-code-elias-902be71,e_condc@6db8844,e_condc,6db8844,undertow@fdc1e1f,undertow,fdc1e1f,vase,official,1,0,rating,b,b,0.0,titanium_collected,1000,,2970,0,1,1,4932,2460,8,7,ok,,7.94,n-62-29-22,29002554,2026-08-01T22:35:58+0200
0039552f992a366b,new-code-elias-902be71,e_t4l7@9e77076,e_t4l7,9e77076,e_post2@4a95297,e_post2,4a95297,hive,official,1,0,rating,a,a,1.0,titanium_collected,1000,,8551,6750,6,61,4631,2300,12,12,ok,,10.738,n-62-30-23,29002554,2026-08-01T22:55:05+0200
003ec2c820e7fb7c,new-code-elias-902be71,opponent_luc@e83a42c,opponent_luc,e83a42c,vanguard@259c188,vanguard,259c188,crossfire,official,1,0,rating,b,b,0.0,core_destroyed,42,,259,90,7,4,60,180,14,7,ok,,9.338,n-62-31-23,29002554,2026-08-01T22:40:44+0200
003eecf861675c5d,new-code-elias-902be71,vg_v1@9713344,vg_v1,9713344,v233_i@902be71,v233_i,902be71,string,official,1,0,rating,b,b,0.0,core_destroyed,67,,98,0,2,3,202,480,11,14,ok,,6.365,n-62-29-32,29002551,2026-08-01T22:38:11+0200
003efd296d689645,new-code-elias-902be71,mistral_fast@26b5aa1,mistral_fast,26b5aa1,e9cand@9e77076,e9cand,9e77076,bridge,official,1,0,rating,a,a,1.0,core_destroyed,136,,368,0,5,1,95,0,9,18,ok,,4.966,n-62-21-103,29002551,2026-08-01T22:46:40+0200
00414f6076cdfdc5,new-code-elias-902be71,vanguard@9932bec,vanguard,9932bec,e_t4l7@9e77076,e_t4l7,9e77076,sweden,official,1,0,rating,a,a,1.0,core_destroyed,77,,166,500,13,27,132,500,6,28,ok,,10.771,n-62-31-24,29002551,2026-08-01T22:57:30+0200
00416dd8e4bf4cfe,new-code-elias-902be71,e_condc@6db8844,e_condc,6db8844,v233_e@9713344,v233_e,9713344,twins,official,1,0,rating,b,b,0.0,core_destroyed,74,,77,370,8,44,241,470,8,36,ok,,4.663,n-62-11-68,29002554,2026-08-01T22:33:29+0200
